Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1858,2,-1.009,-0.778,,,
1858,3,-0.693,-0.771,,,
1858,4,-0.444,-0.728,,,
1858,5,-0.74,-0.689,,,
1858,6,-0.905,-0.757,,,
1858,7,-0.897,-0.853,,,
1858,8,-0.971,-0.854,,,
1858,9,-0.974,-0.882,,,
1858,10,-0.578,-0.861,,,
1858,11,-0.572,-0.827,,,
1858,12,-1.381,-0.805,,,
1859,1,-1.072,-0.802,,,
1859,2,-1.022,-0.79,,,
1859,3,-1.031,-0.815,-0.827,,
1859,4,-0.187,-0.822,-0.811,,
1859,5,-0.335,-0.838,-0.802,,
1859,6,-0.64,-0.792,-0.809,,
1859,7,-0.86,-0.789,-0.828,,
1859,8,-0.823,-0.782,-0.83,,
1859,9,-1.275,-0.826,-0.825,,
1859,10,-0.666,-0.84,-0.816,,
1859,11,-0.762,-0.864,-0.797,,
1859,12,-0.825,-0.851,-0.784,,
1860,1,-1.038,-0.796,-0.783,,
1860,2,-0.941,-0.766,-0.787,,
1860,3,-1.554,-0.701,-0.782,,
1860,4,-0.361,-0.698,-0.781,,
1860,5,-0.624,-0.755,-0.784,,
1860,6,,-0.843,-0.803,,
1860,7,-0.197,-0.931,-0.799,-0.81,
1860,8,-0.465,-0.909,-0.784,-0.81,
1860,9,-0.499,-0.823,-0.788,-0.804,
1860,10,-0.632,-0.804,-0.789,-0.801,
1860,11,-1.44,-0.792,-0.787,-0.794,
1860,12,-1.882,-0.798,-0.784,-0.79,
1861,1,-2.091,-0.813,-0.785,-0.786,
1861,2,-0.679,-0.829,-0.788,-0.782,
1861,3,-0.525,-0.865,-0.793,-0.78,
1861,4,-0.131,-0.848,-0.804,-0.776,
1861,5,-0.478,-0.766,-0.816,-0.771,
1861,6,-0.558,-0.658,-0.817,-0.775,
1861,7,-0.38,-0.635,-0.806,-0.769,
1861,8,-0.65,-0.651,-0.8,-0.763,
1861,9,-0.939,-0.681,-0.801,-0.756,
1861,10,-0.419,-0.745,-0.811,-0.749,
1861,11,-0.465,-0.764,-0.819,-0.74,
1861,12,-0.584,-0.746,-0.816,-0.732,
1862,1,-1.814,-0.744,-0.805,-0.727,
1862,2,-0.864,-0.774,-0.808,-0.725,
1862,3,-0.887,-0.76,-0.798,-0.721,
1862,4,-0.908,-0.807,-0.794,-0.706,
1862,5,-0.7,-0.871,-0.796,-0.688,
1862,6,-0.342,-0.964,-0.801,-0.685,
1862,7,-0.362,-0.789,-0.78,-0.684,
1862,8,-1.002,-0.723,-0.78,-0.683,
1862,9,-0.772,-0.726,-0.777,-0.677,
1862,10,-0.99,-0.692,-0.784,-0.662,
1862,11,-1.235,-0.688,-0.787,-0.653,
1862,12,-1.693,-0.719,-0.791,-0.653,
1863,1,0.284,-0.768,-0.795,-0.659,-0.639
1863,2,-0.075,-0.783,-0.797,-0.664,-0.639
1863,3,-0.916,-0.825,-0.793,-0.668,-0.636
1863,4,-0.509,-0.843,-0.784,-0.667,-0.634
1863,5,-0.643,-0.848,-0.762,-0.664,-0.634
1863,6,-0.717,-0.828,-0.744,-0.658,-0.634
1863,7,-0.954,-0.889,-0.702,-0.651,-0.636
1863,8,-1.176,-0.934,-0.701,-0.651,-0.638
1863,9,-1.28,-0.95,-0.705,-0.654,-0.637
1863,10,-1.199,-0.971,-0.706,-0.654,-0.634
1863,11,-1.294,-0.987,-0.706,-0.661,-0.632
1863,12,-1.461,-0.968,-0.711,-0.656,-0.628
1864,1,-0.439,-0.905,-0.699,-0.654,-0.624
1864,2,-0.623,-0.888,-0.696,-0.651,-0.619
1864,3,-1.102,-0.84,-0.685,-0.652,-0.618
1864,4,-0.77,-0.774,-0.687,-0.654,-0.614
1864,5,-0.835,-0.738,-0.678,-0.649,-0.613
1864,6,-0.481,-0.71,-0.656,-0.647,-0.611
1864,7,-0.203,-0.658,-0.626,-0.642,-0.614
1864,8,-0.965,-0.681,-0.62,-0.637,-0.614
1864,9,-0.712,-0.704,-0.616,-0.632,-0.61
1864,10,-0.398,-0.708,-0.596,-0.631,-0.614
1864,11,-0.868,-0.702,-0.579,-0.633,-0.616
1864,12,,-0.725,-0.587,-0.635,-0.617
1865,1,0.185,-0.745,-0.585,-0.634,-0.619
1865,2,-0.893,-0.713,-0.579,-0.634,-0.62
1865,3,-1.382,-0.672,-0.572,-0.628,-0.622
1865,4,-0.819,-0.648,-0.543,-0.628,-0.624
1865,5,-0.761,-0.585,-0.522,-0.624,-0.624
1865,6,-0.757,-0.558,-0.503,-0.62,-0.623
1865,7,-0.448,-0.541,-0.519,-0.617,-0.62
1865,8,-0.579,-0.519,-0.545,-0.617,-0.62
1865,9,-0.222,-0.467,-0.548,-0.608,-0.619
1865,10,-0.109,-0.415,-0.545,-0.606,-0.619
1865,11,-0.108,-0.388,-0.54,-0.599,-0.619
1865,12,-0.806,-0.395,-0.532,-0.596,-0.614
1866,1,0.398,-0.332,-0.518,-0.586,-0.613
1866,2,-0.628,-0.322,-0.514,-0.586,-0.612
1866,3,-0.763,-0.33,-0.516,-0.591,-0.612
1866,4,-0.195,-0.361,-0.504,-0.597,-0.61
1866,5,-0.436,-0.347,-0.507,-0.592,-0.605
1866,6,-0.846,-0.219,-0.495,-0.59,-0.606
1866,7,0.309,-0.252,-0.502,-0.582,-0.602
1866,8,-0.451,-0.243,-0.502,-0.58,-0.6
1866,9,-0.322,-0.236,-0.503,-0.571,-0.597
1866,10,-0.482,-0.192,-0.497,-0.566,-0.592
1866,11,0.061,-0.131,-0.48,-0.565,-0.591
1866,12,0.726,-0.126,-0.478,-0.565,-0.595
1867,1,0.004,-0.175,-0.479,-0.555,-0.594
1867,2,-0.521,-0.19,-0.466,-0.551,-0.593
1867,3,-0.675,-0.194,-0.465,-0.548,-0.589
1867,4,0.331,-0.089,-0.468,-0.544,-0.585
1867,5,0.297,-0.095,-0.47,-0.538,-0.579
1867,6,-0.784,-0.2,-0.47,-0.537,-0.576
1867,7,-0.284,-0.255,-0.487,-0.535,-0.574
1867,8,-0.634,-0.347,-0.488,-0.533,-0.571
1867,9,-0.372,-0.386,-0.479,-0.529,-0.567
1867,10,0.781,-0.438,-0.472,-0.528,-0.564
1867,11,-0.006,-0.492,-0.461,-0.526,-0.558
1867,12,-0.538,-0.449,-0.449,-0.515,-0.558
1868,1,-0.654,-0.43,-0.438,-0.526,-0.561
1868,2,-1.621,-0.457,-0.436,-0.534,-0.556
1868,3,-1.144,-0.541,-0.424,-0.533,-0.55
1868,4,-0.302,-0.647,-0.428,-0.533,-0.547
1868,5,-0.349,-0.769,-0.436,-0.531,-0.545
1868,6,-0.261,-0.788,-0.449,-0.528,-0.542
1868,7,-0.066,-0.802,-0.469,-0.523,-0.537
1868,8,-0.954,-0.721,-0.471,-0.517,-0.532
