Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1853,2,-1.529,,,,
1853,3,-1.957,-0.853,,,
1853,4,-0.882,-0.821,,,
1853,5,-0.412,-0.765,,,
1853,6,-0.814,-0.779,,,
1853,7,0.086,-0.654,,,
1853,8,-0.494,-0.52,,,
1853,9,-0.807,-0.33,,,
1853,10,-0.165,-0.326,,,
1853,11,-1.047,-0.289,,,
1853,12,-0.267,-0.184,,,
1854,1,0.439,-0.191,,,
1854,2,0.08,-0.154,,,
1854,3,0.328,-0.149,-0.369,,
1854,4,-0.836,-0.134,-0.358,,
1854,5,0.031,-0.059,-0.347,,
1854,6,0.439,-0.031,-0.309,,
1854,7,0.011,-0.017,-0.294,,
1854,8,-0.056,-0.064,-0.284,,
1854,9,-0.747,-0.118,-0.256,,
1854,10,0.022,-0.051,-0.242,,
1854,11,-0.158,-0.047,-0.255,,
1854,12,0.07,-0.056,-0.252,,
1855,1,0.617,-0.045,-0.254,,
1855,2,-0.485,-0.002,-0.239,,
1855,3,-0.324,0.04,-0.222,,
1855,4,-0.032,0.055,-0.221,,
1855,5,0.08,0.053,-0.2,,
1855,6,0.33,0.081,-0.198,-0.396,
1855,7,0.137,-0.01,-0.194,-0.403,
1855,8,0.463,-0.024,-0.176,-0.409,
1855,9,-0.238,-0.011,-0.141,-0.411,
1855,10,0.202,0.036,-0.145,-0.406,
1855,11,-0.19,-0.014,-0.143,-0.4,
1855,12,0.406,-0.066,-0.133,-0.398,
1856,1,-0.47,-0.102,-0.139,-0.412,
1856,2,-0.654,-0.111,-0.136,-0.405,
1856,3,-0.167,-0.083,-0.125,-0.4,
1856,4,0.534,-0.085,-0.124,-0.394,
1856,5,-0.523,-0.133,-0.117,-0.389,
1856,6,-0.292,-0.034,-0.119,-0.387,
1856,7,-0.299,0.047,-0.138,-0.39,
1856,8,0.362,0.06,-0.157,-0.397,
1856,9,0.095,0.042,-0.18,-0.394,
1856,10,0.183,-0.018,-0.169,-0.395,
1856,11,-0.772,-0.055,-0.168,-0.392,
1856,12,1.59,-0.047,-0.174,-0.387,
1857,1,0.506,-0.042,-0.187,-0.398,
1857,2,-0.499,-0.074,-0.198,-0.392,
1857,3,-0.378,-0.063,-0.204,-0.382,
1857,4,-0.184,-0.12,-0.191,-0.385,
1857,5,-0.97,-0.097,-0.195,-0.394,
1857,6,-0.198,-0.226,-0.196,-0.394,
1857,7,-0.246,-0.336,-0.226,-0.402,
1857,8,-0.018,-0.33,-0.243,-0.404,
1857,9,0.225,-0.291,-0.257,-0.404,
1857,10,-0.498,-0.367,-0.263,-0.412,
1857,11,-0.499,-0.313,-0.262,-0.399,
1857,12,0.042,-0.31,-0.259,-0.411,-0.494
1858,1,-0.806,-0.316,-0.274,-0.4,-0.492
1858,2,-0.428,-0.337,-0.295,-0.393,-0.501
