Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1852,11,-0.916,,,,
1852,12,0.138,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,-0.921,,,,
1853,4,-0.642,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,-0.326,,,,
1853,9,-0.61,,,,
1853,10,-0.12,,,,
1853,11,-1.528,,,,
1853,12,-1.263,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,-0.837,,,,
1855,1,-0.929,,,,
1855,2,-1.282,,,,
1855,3,-0.825,,,,
1855,4,-0.682,,,,
1855,5,-0.163,,,,
1855,6,-0.088,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,-1.835,,,,
1857,3,-1.599,,,,
1857,4,-0.603,-0.732,,,
1857,5,-1.004,-0.766,,,
1857,6,-0.203,-0.834,,,
1857,7,-0.179,-0.689,,,
1857,8,-0.815,-0.607,,,
1857,9,-0.894,-0.624,,,
1857,10,-0.105,-0.664,,,
1857,11,-0.934,-0.595,,,
1857,12,-1.029,-0.547,,,
1858,1,0.928,-0.599,,,
1858,2,-0.844,-0.605,,,
1858,3,-1.811,-0.511,,,
1858,4,-1.078,-0.552,-0.663,,
1858,5,-0.182,-0.525,-0.656,,
1858,6,0.376,-0.524,-0.659,,
1858,7,-0.801,-0.685,-0.674,,
1858,8,-0.883,-0.682,-0.676,,
1858,9,0.231,-0.573,-0.696,,
1858,10,-0.592,-0.519,-0.691,,
1858,11,-0.62,-0.533,-0.698,,
1858,12,-1.015,-0.617,-0.705,,
1859,1,-1.006,-0.572,-0.699,,
1859,2,-0.802,-0.537,-0.699,,
1859,3,-0.501,-0.624,-0.696,,
1859,4,-0.433,-0.592,-0.693,,
1859,5,-0.354,-0.665,-0.694,,
1859,6,-0.632,-0.667,-0.704,,
1859,7,-0.257,-0.667,-0.718,,
1859,8,-0.462,-0.701,-0.7,,
1859,9,-0.818,-0.828,-0.687,,
1859,10,-0.203,-0.848,,,
1859,11,-1.496,-0.939,,,
1859,12,-1.043,-0.885,,,
