Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1886,2,-1.588,,,,
1886,3,-0.674,-0.63,,,
1886,4,-0.117,-0.596,,,
1886,5,-0.13,-0.552,,,
1886,6,-0.505,-0.635,,,
1886,7,0.256,-0.667,,,
1886,8,-0.301,-0.635,,,
1886,9,-0.75,-0.619,,,
1886,10,-0.398,-0.673,,,
1886,11,-0.506,-0.641,,,
1886,12,-1.196,-0.72,,,
1887,1,-2.09,-0.826,,,
1887,2,-1.204,-0.873,,,
1887,3,-0.485,-0.823,-0.501,,
1887,4,-0.768,-0.814,-0.493,,
1887,5,0.261,-0.783,-0.494,,
1887,6,-1.453,-0.689,-0.484,,
1887,7,-1.017,-0.559,-0.479,,
1887,8,-0.866,-0.526,-0.478,,
1887,9,-0.149,-0.497,-0.499,,
1887,10,-0.29,-0.373,-0.5,,
1887,11,-0.139,-0.45,-0.504,,
1887,12,-0.069,-0.387,-0.515,,
1888,1,-0.533,-0.304,-0.517,,
1888,2,-0.798,-0.294,-0.531,,
1888,3,-0.146,-0.307,-0.542,,
1888,4,0.727,-0.326,-0.543,,
1888,5,-0.67,-0.284,-0.546,,
1888,6,-0.694,-0.305,-0.555,-0.57,
1888,7,-0.025,-0.332,-0.545,-0.57,
1888,8,-0.736,-0.239,-0.549,-0.564,
1888,9,-0.307,-0.239,-0.548,-0.555,
1888,10,-0.527,-0.314,-0.543,-0.554,
1888,11,0.376,-0.265,-0.545,-0.539,
1888,12,-0.33,-0.218,-0.544,-0.541,
1889,1,-0.855,-0.231,-0.553,-0.538,
1889,2,0.324,-0.14,-0.555,-0.543,
1889,3,-0.151,-0.141,-0.544,-0.531,
1889,4,-0.174,-0.13,-0.551,-0.53,
1889,5,-0.082,-0.207,-0.548,-0.518,
1889,6,-0.129,-0.189,-0.532,-0.514,
1889,7,-0.185,-0.229,-0.5,-0.512,
1889,8,0.357,-0.319,-0.486,-0.515,
1889,9,-0.314,-0.45,-0.463,-0.508,
1889,10,-0.397,-0.526,-0.461,-0.499,
1889,11,-0.546,-0.556,-0.486,-0.497,
1889,12,-0.115,-0.657,-0.466,-0.496,
1890,1,-1.337,-0.658,-0.462,-0.494,
1890,2,-0.755,-0.726,-0.452,-0.482,
1890,3,-1.727,-0.811,-0.468,-0.481,
1890,4,-1.079,-0.847,-0.463,-0.464,
1890,5,-0.452,-0.902,-0.465,-0.463,
1890,6,-1.332,-0.959,-0.461,-0.463,
1890,7,-0.195,-0.936,-0.464,-0.464,
1890,8,-0.461,-1.026,-0.474,-0.466,
1890,9,-1.342,-0.936,-0.486,-0.468,
1890,10,-0.82,-0.829,-0.515,-0.455,
1890,11,-1.212,-0.812,-0.495,-0.439,
1890,12,-0.794,-0.741,-0.492,-0.437,-0.392
1891,1,-1.061,-0.747,-0.491,-0.424,-0.401
1891,2,-1.838,-0.741,-0.479,-0.415,-0.399
1891,3,-0.648,-0.638,-0.465,-0.424,-0.402
1891,4,0.21,-0.637,-0.461,-0.435,-0.406
1891,5,-0.255,-0.566,-0.458,-0.441,-0.408
1891,6,-0.475,-0.517,-0.466,-0.443,-0.409
1891,7,-0.271,-0.444,-0.468,-0.45,-0.409
1891,8,-0.389,-0.319,-0.491,-0.451,-0.406
1891,9,-0.11,-0.193,-0.494,-0.45,-0.406
1891,10,-0.804,-0.265,-0.502,-0.452,-0.408
1891,11,-0.355,-0.344,-0.498,-0.454,-0.404
1891,12,-0.208,-0.33,-0.508,-0.455,-0.406
1892,1,-0.187,-0.367,-0.514,-0.446,-0.409
1892,2,-0.334,-0.36,-0.527,-0.449,-0.405
1892,3,0.864,-0.445,-0.516,-0.451,-0.401
1892,4,-0.649,-0.373,-0.506,-0.445,-0.394
1892,5,-1.207,-0.368,-0.5,-0.437,-0.395
1892,6,-0.304,-0.337,-0.509,-0.425,-0.39
1892,7,-0.725,-0.377,-0.509,-0.422,-0.386
1892,8,-0.297,-0.469,-0.486,-0.412,-0.38
1892,9,-1.129,-0.61,-0.463,-0.415,-0.379
1892,10,0.06,-0.642,-0.428,-0.418,-0.383
1892,11,-0.293,-0.496,-0.422,-0.415,-0.38
1892,12,0.163,-0.516,-0.411,-0.424,-0.381
1893,1,-0.674,-0.452,-0.411,-0.431,-0.379
1893,2,-1.437,-0.428,-0.402,-0.44,-0.38
1893,3,-0.823,-0.291,-0.393,-0.447,-0.387
1893,4,-1.034,-0.317,-0.368,-0.464,-0.388
1893,5,0.537,-0.247,-0.333,-0.456,-0.388
1893,6,-0.546,-0.331,-0.319,-0.436,-0.392
1893,7,0.042,-0.352,-0.303,-0.433,-0.399
1893,8,0.001,-0.324,-0.282,-0.427,-0.4
1893,9,0.51,-0.283,-0.3,-0.428,-0.404
1893,10,-0.248,-0.251,-0.328,-0.422,-0.404
1893,11,0.549,-0.284,-0.338,-0.419,-0.405
1893,12,-0.851,-0.296,-0.341,-0.422,-0.406
1894,1,-0.928,-0.348,-0.347,-0.415,-0.409
1894,2,-1.095,-0.38,-0.347,-0.417,-0.417
1894,3,-0.331,-0.392,-0.357,-0.414,-0.417
1894,4,-0.654,-0.355,-0.354,-0.406,-0.42
1894,5,0.146,-0.416,-0.36,-0.398,-0.417
1894,6,-0.69,-0.401,-0.379,-0.395,-0.413
1894,7,-0.58,-0.436,-0.391,-0.389,-0.411
1894,8,-0.386,-0.291,-0.413,-0.381,-0.411
1894,9,0.364,-0.295,-0.439,-0.369,-0.406
1894,10,0.191,-0.153,-0.429,-0.362,-0.407
1894,11,-0.175,-0.176,-0.388,-0.35,-0.405
1894,12,-0.679,-0.171,-0.384,-0.351,-0.403
1895,1,-1.341,-0.143,-0.383,-0.355,-0.406
1895,2,0.639,-0.1,-0.373,-0.336,-0.417
1895,3,-0.371,-0.198,-0.362,-0.309,-0.421
1895,4,1.045,-0.157,-0.374,-0.305,-0.416
1895,5,-0.124,-0.071,-0.365,-0.296,-0.417
1895,6,-0.634,-0.009,-0.387,-0.29,-0.418
1895,7,-0.238,0.095,-0.399,-0.298,-0.421
1895,8,0.121,-0.007,-0.406,-0.29,-0.425
1895,9,-0.813,-0.119,-0.408,-0.282,-0.423
1895,10,0.681,-0.33,-0.413,-0.275,-0.422
1895,11,0.868,-0.389,-0.418,-0.269,-0.415
1895,12,0.062,-0.391,-0.379,-0.269,-0.415
1896,1,-0.092,-0.427,-0.376,-0.266,-0.411
1896,2,-0.592,-0.469,-0.376,-0.25,-0.411
1896,3,-1.711,-0.457,-0.39,-0.246,-0.412
1896,4,-1.483,-0.568,-0.384,-0.246,-0.409
1896,5,-0.84,-0.698,-0.379,-0.246,-0.411
1896,6,-0.657,-0.816,-0.377,-0.244,-0.414
1896,7,-0.669,-0.885,-0.363,-0.24,-0.416
1896,8,-0.382,-0.972,-0.342,-0.234,-0.419
1896,9,-0.668,-0.89,-0.335,-0.23,-0.417
1896,10,-0.653,-0.769,-0.309,-0.229,-0.416
1896,11,-0.689,-0.597,-0.297,-0.228,-0.414
1896,12,-1.356,-0.546,-0.282,-0.235,-0.411
1897,1,-0.926,-0.546,-0.264,-0.243,-0.409
1897,2,-1.627,-0.486,-0.235,-0.239,-0.414
1897,3,-0.734,-0.472,-0.223,-0.251,-0.422
1897,4,-0.022,-0.471,-0.218,-0.239,-0.422
1897,5,1.224,-0.396,-0.2,-0.229,-0.427
1897,6,-0.052,-0.379,-0.194,-0.217,-0.426
1897,7,-0.672,-0.416,-0.202,-0.206,-0.419
1897,8,0.34,-0.437,-0.186,-0.194,-0.42
1897,9,-0.501,-0.453,-0.156,-0.183,-0.423
1897,10,-0.641,-0.562,-0.182,-0.193,-0.42
1897,11,0.219,-0.644,-0.169,-0.192,-0.419
1897,12,-1.159,-0.493,-0.17,-0.208,-0.424
1898,1,-1.369,-0.415,-0.184,-0.207,-0.424
1898,2,-1.879,-0.445,-0.179,-0.211,-0.427
1898,3,-0.927,-0.431,-0.171,-0.215,-0.429
1898,4,-1.32,-0.367,-0.183,-0.213,-0.432
1898,5,0.23,-0.317,-0.205,-0.215,-0.428
1898,6,1.765,-0.278,-0.219,-0.215,-0.425
1898,7,0.26,-0.172,-0.23,-0.228,-0.424
1898,8,-0.015,-0.003,-0.218,-0.237,-0.423
1898,9,-0.334,0.085,-0.191,-0.252,-0.423
1898,10,0.121,0.266,-0.163,-0.255,-0.425
1898,11,0.821,0.323,-0.153,-0.271,-0.43
1898,12,-0.689,0.192,-0.147,-0.271,-0.433
1899,1,-0.099,0.211,-0.132,-0.279,-0.434
1899,2,0.147,0.324,-0.12,-0.292,-0.433
1899,3,0.13,0.445,-0.104,-0.303,-0.424
1899,4,0.861,0.476,-0.103,-0.31,-0.426
1899,5,0.908,0.479,-0.095,-0.316,-0.43
1899,6,0.198,0.513,-0.091,-0.312,-0.434
1899,7,0.478,0.37,-0.095,-0.31,-0.438
1899,8,1.349,0.49,-0.066,-0.307,-0.444
1899,9,1.114,0.599,-0.062,-0.305,-0.443
1899,10,0.499,0.483,-0.05,-0.315,-0.445
1899,11,0.851,0.464,-0.071,-0.313,-0.437
1899,12,-0.278,0.389,-0.05,-0.31,-0.439
1900,1,-1.822,0.256,-0.029,-0.319,-0.438
1900,2,1.596,0.18,-0.016,-0.352,-0.441
1900,3,1.433,0.059,-0.004,-0.361,-0.44
1900,4,-0.526,0.015,-0.013,-0.369,-0.437
1900,5,0.672,-0.094,-0.019,-0.371,-0.436
1900,6,-0.702,-0.137,-0.029,-0.372,-0.43
1900,7,-1.111,-0.044,-0.016,-0.378,-0.43
1900,8,0.433,-0.168,-0.015,-0.383,-0.428
1900,9,-0.335,-0.296,-0.021,-0.378,-0.424
1900,10,-0.028,-0.237,-0.013,-0.388,-0.422
1900,11,-0.464,-0.313,-0.011,-0.391,-0.42
1900,12,-0.785,-0.278,-0.05,-0.393,-0.418
1901,1,-0.715,-0.167,-0.079,-0.399,-0.413
1901,2,0.109,-0.174,-0.098,-0.407,-0.412
1901,3,-0.106,-0.119,-0.114,-0.4,-0.41
1901,4,0.187,-0.168,-0.126,-0.383,-0.41
1901,5,-0.24,-0.149,-0.163,-0.38,-0.413
1901,6,-0.286,-0.176,-0.165,-0.386,-0.414
1901,7,0.223,-0.212,-0.196,-0.382,-0.415
1901,8,0.357,-0.209,-0.242,-0.387,-0.416
1901,9,0.322,-0.245,-0.272,-0.383,-0.418
1901,10,-0.623,-0.2,-0.31,-0.38,-0.415
1901,11,-0.228,-0.182,-0.335,-0.374,-0.417
1901,12,-1.112,-0.062,-0.342,-0.367,-0.421
1902,1,-1.145,-0.031,-0.357,-0.372,-0.423
1902,2,0.139,0.033,-0.379,-0.379,-0.424
1902,3,-0.536,0.027,-0.387,-0.392,-0.434
1902,4,0.725,-0.019,-0.413,-0.399,-0.431
1902,5,-0.019,-0.015,-0.425,-0.416,-0.426
1902,6,1.159,-0.066,-0.427,-0.427,-0.426
1902,7,0.592,-0.019,-0.435,-0.416,-0.419
1902,8,1.127,-0.185,-0.518,-0.428,-0.415
1902,9,0.25,-0.249,-0.567,-0.431,-0.413
1902,10,-1.181,-0.375,-0.556,-0.422,-0.418
1902,11,-0.184,-0.349,-0.572,-0.422,-0.421
1902,12,-1.717,-0.491,-0.575,-0.423,-0.429
1903,1,-0.582,-0.665,-0.571,-0.417,-0.429
1903,2,-1.857,-0.853,-0.586,-0.415,-0.426
1903,3,-1.297,-0.982,-0.585,-0.412,-0.434
1903,4,-0.793,-0.933,-0.594,-0.401,-0.43
1903,5,0.294,-1.033,-0.576,-0.399,-0.43
1903,6,-0.55,-0.959,-0.566,-0.414,-0.424
1903,7,-1.492,-1.074,-0.568,-0.414,-0.418
1903,8,-1.127,-1.137,-0.595,-0.418,-0.41
1903,9,-1.293,-1.171,-0.608,-0.419,-0.408
1903,10,-0.602,-1.222,-0.602,-0.428,-0.404
1903,11,-1.384,-1.296,-0.607,-0.441,-0.411
1903,12,-0.822,-1.267,-0.624,-0.445,-0.41
1904,1,-1.96,-1.177,-0.632,-0.452,-0.4
1904,2,-2.622,-1.081,-0.654,-0.448,-0.401
1904,3,-1.698,-0.92,-0.663,-0.434,-0.402
1904,4,-1.41,-0.959,-0.656,-0.447,-0.4
1904,5,-0.596,-0.834,-0.652,-0.462,-0.393
1904,6,-0.198,-0.798,-0.643,-0.473,-0.382
1904,7,-0.406,-0.828,-0.648,-0.487,-0.374
1904,8,0.02,-0.888,-0.693,-0.507,-0.372
1904,9,0.639,-0.872,-0.722,-0.518,-0.374
1904,10,-1.068,-0.747,-0.749,-0.528,-0.372
1904,11,0.114,-0.721,-0.762,-0.524,-0.363
1904,12,-0.396,-0.775,-0.803,-0.528,-0.363
1905,1,-2.312,-0.815,-0.804,-0.521,-0.358
1905,2,-3.342,-0.858,-0.839,-0.547,-0.364
1905,3,-1.506,-0.933,-0.859,-0.571,-0.358
1905,4,0.087,-0.889,-0.831,-0.569,-0.358
1905,5,-0.289,-0.851,-0.825,-0.576,-0.354
1905,6,-0.836,-0.833,-0.817,-0.57,-0.353
1905,7,-0.892,-0.709,-0.819,-0.561,-0.353
1905,8,-0.497,-0.556,-0.814,-0.566,-0.351
1905,9,-0.261,-0.506,-0.803,-0.566,-0.35
1905,10,-0.534,-0.465,-0.789,-0.568,-0.353
1905,11,0.573,-0.488,-0.787,-0.57,-0.352
1905,12,-0.19,-0.524,-0.778,-0.567,-0.355
1906,1,-0.818,-0.47,-0.749,-0.561,-0.36
1906,2,-1.503,-0.513,-0.738,-0.573,-0.36
1906,3,-0.908,-0.506,-0.724,-0.574,-0.346
1906,4,0.58,-0.48,-0.73,-0.574,-0.34
1906,5,-0.565,-0.527,-0.719,-0.58,-0.338
1906,6,-1.271,-0.559,-0.725,-0.584,-0.337
1906,7,-0.245,-0.611,-0.709,-0.59,-0.336
1906,8,-1.013,-0.7,-0.655,-0.597,-0.336
1906,9,-0.182,-0.813,-0.595,-0.607,-0.338
1906,10,-0.223,-0.935,-0.583,-0.602,-0.342
1906,11,0.013,-0.954,-0.588,-0.607,-0.341
1906,12,-0.569,-0.959,-0.603,-0.607,-0.338
1907,1,-1.445,-0.891,-0.617,-0.604,-0.328
1907,2,-2.569,-0.891,-0.635,-0.609,-0.317
1907,3,-2.264,-0.953,-0.648,-0.618,-0.311
1907,4,-0.888,-0.896,-0.642,-0.622,-0.313
1907,5,-0.798,-0.881,-0.622,-0.623,-0.321
1907,6,-1.323,-0.936,-0.628,-0.634,-0.322
1907,7,0.57,-0.876,-0.607,-0.632,-0.321
1907,8,-1.014,-0.79,-0.577,-0.636,-0.321
1907,9,-0.925,-0.653,-0.575,-0.644,-0.324
1907,10,0.466,-0.574,-0.582,-0.642,-0.325
1907,11,0.191,-0.475,-0.58,-0.649,-0.328
1907,12,-1.236,-0.364,-0.565,-0.65,-0.32
1908,1,-0.719,-0.394,-0.552,-0.651,-0.322
1908,2,-1.534,-0.347,-0.546,-0.641,-0.32
1908,3,-0.629,-0.31,-0.547,-0.653,-0.316
1908,4,0.063,-0.426,-0.543,-0.648,-0.311
1908,5,0.388,-0.504,-0.564,-0.646,-0.312
1908,6,0.009,-0.498,-0.567,-0.634,-0.322
1908,7,0.208,-0.519,-0.553,-0.608,-0.323
1908,8,-0.447,-0.341,-0.551,-0.582,-0.327
1908,9,-0.479,-0.131,-0.54,-0.563,-0.326
1908,10,-0.921,-0.194,-0.545,-0.554,-0.326
1908,11,-0.755,-0.299,-0.552,-0.55,-0.328
1908,12,-1.159,-0.396,-0.545,-0.549,-0.33
1909,1,-0.975,-0.516,-0.548,-0.52,-0.33
1909,2,0.608,-0.566,-0.541,-0.51,-0.33
1909,3,1.886,-0.539,-0.55,-0.501,-0.331
1909,4,-0.694,-0.52,-0.548,-0.491,-0.331
1909,5,-0.874,-0.348,-0.561,-0.47,-0.338
1909,6,-1.147,-0.313,-0.571,-0.453,-0.337
1909,7,-1.24,-0.321,-0.56,-0.438,-0.336
1909,8,-1.038,-0.498,-0.526,-0.437,-0.343
1909,9,-0.158,-0.774,-0.514,-0.444,-0.349
1909,10,-0.7,-0.741,-0.495,-0.429,-0.349
1909,11,1.32,-0.683,-0.483,-0.412,-0.356
1909,12,-0.747,-0.582,-0.464,-0.415,-0.364
1910,1,-1.066,-0.487,-0.46,-0.398,-0.362
1910,2,-1.522,-0.413,-0.433,-0.377,-0.378
1910,3,-1.417,-0.426,-0.428,-0.355,-0.395
1910,4,-0.3,-0.393,-0.452,-0.346,-0.391
1910,5,-0.182,-0.559,-0.473,-0.337,-0.396
1910,6,0.068,-0.53,-0.483,-0.334,-0.395
1910,7,-0.106,-0.438,-0.483,-0.327,-0.39
1910,8,-0.142,-0.426,-0.468,-0.319,-0.394
1910,9,-0.318,-0.328,-0.502,-0.322,-0.394
1910,10,-0.307,-0.282,-0.507,-0.317,-0.391
1910,11,-0.668,-0.348,-0.504,-0.313,-0.385
1910,12,-0.403,-0.426,-0.49,-0.318,-0.389
1911,1,0.044,-0.452,-0.467,-0.321,-0.394
1911,2,-1.383,-0.487,-0.427,-0.314,-0.399
1911,3,-0.242,-0.525,-0.402,-0.293,-0.405
1911,4,0.249,-0.503,-0.378,-0.297,-0.407
1911,5,-0.966,-0.514,-0.381,-0.296,-0.408
1911,6,-0.866,-0.576,-0.373,-0.289,-0.408
1911,7,-0.417,-0.645,-0.332,-0.289,-0.407
1911,8,-0.562,-0.574,-0.364,-0.284,-0.409
1911,9,-0.775,-0.684,-0.407,-0.294,-0.411
1911,10,-0.044,-0.685,-0.399,-0.305,-0.409
1911,11,-0.797,-0.611,-0.353,-0.309,-0.403
1911,12,-1.153,-0.555,-0.302,-0.309,-0.395
1912,1,-0.779,-0.451,-0.258,-0.285,-0.393
1912,2,-0.529,-0.35,-0.238,-0.255,-0.396
1912,3,-1.564,-0.342,-0.239,-0.229,-0.397
1912,4,0.231,-0.42,-0.215,-0.226,-0.397
1912,5,-0.077,-0.439,-0.203,-0.225,-0.398
1912,6,-0.191,-0.499,-0.202,-0.217,-0.396
1912,7,0.827,-0.494,-0.19,-0.225,-0.398
1912,8,0.647,-0.501,-0.177,-0.215,-0.405
1912,9,-0.673,-0.595,-0.136,-0.217,-0.407
1912,10,-0.983,-0.632,-0.11,-0.229,-0.402
1912,11,-1.025,-0.579,-0.094,-0.233,-0.397
1912,12,-1.868,-0.489,-0.103,-0.218,-0.393
1913,1,-0.722,-0.427,-0.103,-0.226,-0.387
1913,2,-0.618,-0.318,-0.093,-0.225,-0.385
1913,3,-2.686,-0.177,-0.096,-0.22,-0.383
1913,4,-0.21,-0.051,-0.092,-0.22,-0.379
1913,5,0.557,-0.045,-0.063,-0.225,-0.381
1913,6,0.88,0.052,-0.069,-0.231,-0.379
1913,7,1.582,0.236,-0.09,-0.232,-0.376
1913,8,1.95,0.177,-0.077,-0.236,-0.373
1913,9,1.015,0.348,-0.046,-0.234,-0.369
1913,10,0.527,0.345,-0.049,-0.224,-0.367
1913,11,-0.942,0.456,-0.039,-0.215,-0.362
1913,12,-0.709,0.541,-0.033,-0.215,-0.362
1914,1,1.491,0.528,-0.03,-0.207,-0.356
1914,2,-1.332,0.376,-0.028,-0.211,-0.339
1914,3,-0.636,0.275,-0.037,-0.229,-0.328
1914,4,-0.24,0.291,-0.063,-0.216,-0.321
1914,5,1.88,0.541,-0.057,-0.215,-0.315
1914,6,1.906,0.543,-0.048,-0.201,-0.314
1914,7,1.423,0.392,-0.011,-0.185,-0.314
1914,8,0.129,0.437,0.017,-0.18,-0.313
1914,9,-0.201,0.581,0.056,-0.181,-0.316
1914,10,0.727,0.704,0.043,-0.171,-0.309
1914,11,2.058,0.61,0.032,-0.188,-0.312
1914,12,-0.692,0.413,0.031,-0.201,-0.31
1915,1,-0.319,0.286,0.009,-0.204,-0.31
1915,2,-0.788,0.313,0.002,-0.208,-0.302
1915,3,1.091,0.288,-0.007,-0.218,-0.294
1915,4,1.237,0.224,-0.005,-0.212,-0.291
1915,5,0.755,0.14,0.006,-0.216,-0.29
1915,6,-0.463,0.136,0.047,-0.219,-0.288
1915,7,-0.096,0.061,0.032,-0.218,-0.282
1915,8,0.453,0.074,0.017,-0.222,-0.279
1915,9,-0.503,0.12,0.061,-0.222,-0.275
1915,10,-0.043,0.023,0.066,-0.214,-0.273
1915,11,1.052,-0.072,0.055,-0.201,-0.269
1915,12,-0.748,-0.076,0.028,-0.211,-0.266
1916,1,-1.219,-0.086,0.003,-0.228,-0.259
1916,2,-0.624,-0.162,-0.046,-0.224,-0.255
1916,3,1.638,-0.228,-0.066,-0.235,-0.254
1916,4,0.069,-0.358,-0.071,-0.24,-0.254
1916,5,-0.378,-0.482,-0.05,-0.237,-0.249
1916,6,-0.508,-0.472,-0.057,-0.231,-0.242
1916,7,-0.226,-0.25,-0.083,-0.224,-0.24
1916,8,-0.456,-0.104,-0.058,-0.221,-0.232
1916,9,-1.297,-0.174,-0.051,-0.215,-0.229
1916,10,-1.596,-0.223,-0.033,-0.216,-0.228
1916,11,-0.437,-0.253,-0.077,-0.2,-0.226
1916,12,-0.634,-0.235,-0.099,-0.182,-0.222
1917,1,1.449,-0.254,-0.112,-0.183,-0.219
1917,2,1.13,-0.197,-0.122,-0.182,-0.212
1917,3,0.79,-0.191,-0.123,-0.176,-0.207
1917,4,-0.516,-0.133,-0.127,-0.172,-0.204
1917,5,-0.738,-0.126,-0.174,-0.173,-0.198
1917,6,-0.292,-0.021,-0.199,-0.159,-0.195
1917,7,-0.449,-0.278,-0.218,-0.165,-0.195
1917,8,0.222,-0.498,-0.239,-0.174,-0.192
1917,9,-1.216,-0.568,-0.301,-0.171,-0.188
1917,10,-0.906,-0.519,-0.314,-0.162,-0.189
1917,11,-0.348,-0.466,-0.338,-0.145,-0.188
1917,12,0.626,-0.504,-0.335,-0.136,-0.175
1918,1,-1.642,-0.46,-0.334,-0.123,-0.168
1918,2,-1.502,-0.559,-0.35,-0.129,-0.166
1918,3,-0.049,-0.472,-0.347,-0.113,-0.161
1918,4,0.064,-0.381,-0.337,-0.11,-0.162
1918,5,-0.101,-0.322,-0.339,-0.117,-0.161
1918,6,-0.746,-0.472,-0.352,-0.125,-0.164
1918,7,0.082,-0.338,-0.367,-0.144,-0.163
1918,8,-0.966,-0.202,-0.371,-0.163,-0.164
1918,9,-0.169,-0.213,-0.425,-0.174,-0.16
1918,10,0.179,-0.15,-0.43,-0.181,-0.153
1918,11,0.365,-0.204,-0.435,-0.174,-0.15
1918,12,-1.183,-0.093,-0.429,-0.174,-0.146
1919,1,-0.033,-0.044,-0.417,-0.192,-0.147
1919,2,0.134,-0.003,-0.414,-0.169,-0.151
1919,3,-0.185,-0.014,-0.393,-0.156,-0.158
1919,4,0.822,0.013,-0.368,-0.151,-0.158
1919,5,-0.745,-0.079,-0.343,-0.16,-0.153
1919,6,0.583,-0.165,-0.316,-0.175,-0.152
1919,7,0.669,-0.282,-0.354,-0.19,-0.151
1919,8,-0.47,-0.467,-0.382,-0.189,-0.149
1919,9,-0.31,-0.671,-0.408,-0.187,-0.15
1919,10,0.513,-0.702,-0.387,-0.189,-0.148
1919,11,-0.739,-0.695,-0.378,-0.211,-0.153
1919,12,-2.225,-0.77,-0.348,-0.206,-0.156
1920,1,-1.433,-0.825,-0.34,-0.222,-0.153
1920,2,-2.086,-0.83,-0.35,-0.227,-0.14
1920,3,-2.625,-0.832,-0.335,-0.232,-0.134
1920,4,0.441,-0.825,-0.32,-0.237,-0.13
1920,5,-0.655,-0.685,-0.297,-0.243,-0.128
1920,6,-0.315,-0.63,-0.319,-0.242,-0.128
1920,7,0.01,-0.686,-0.279,-0.236,-0.128
1920,8,-0.538,-0.584,-0.276,-0.238,-0.128
1920,9,-0.331,-0.499,-0.287,-0.229,-0.125
1920,10,0.599,-0.558,-0.286,-0.228,-0.124
1920,11,0.941,-0.557,-0.289,-0.226,-0.121
1920,12,-1.565,-0.545,-0.278,-0.215,-0.113
1921,1,-2.107,-0.503,-0.291,-0.197,-0.104
