Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,8,0.178,,,,
1873,9,-0.041,,,,
1873,10,-0.335,,,,
1873,11,,,,,
1873,12,-0.056,,,,
1874,1,,,,,
1874,2,,,,,
1874,3,,,,,
1874,4,,,,,
1874,5,,,,,
1874,6,,,,,
1874,7,,,,,
1874,8,,,,,
1874,9,,,,,
1874,10,-0.238,,,,
1874,11,-0.609,,,,
1874,12,-0.567,-0.445,,,
1875,1,-1.152,-0.424,,,
1875,2,-0.804,-0.413,,,
1875,3,-0.81,-0.459,,,
1875,4,-0.584,-0.514,,,
1875,5,-0.207,-0.572,,,
1875,6,-0.002,-0.604,,,
1875,7,0.166,-0.603,,,
1875,8,-0.132,-0.65,,,
1875,9,-0.568,-0.677,,,
1875,10,-0.9,,,,
1875,11,-1.3,-0.654,,,
1875,12,-0.952,,,,
1876,1,-1.141,,,,
1876,2,-1.369,,,,
1876,3,-1.129,,,,
1876,4,,,,,
1876,5,-0.514,,,,
1876,6,-0.204,,,,
1876,7,,,,,
1876,8,,,,,
1876,9,,,,,
1876,10,-0.1,,,,
1876,11,-0.505,,,,
1876,12,-0.964,,-0.331,,
1877,1,-0.613,,-0.341,,
1877,2,-0.689,,-0.354,,
1877,3,-0.206,-0.186,-0.365,,
1877,4,-0.297,-0.175,-0.365,,
1877,5,-0.13,-0.119,-0.363,,
1877,6,0.241,-0.065,-0.367,,
1877,7,0.38,-0.061,-0.364,,
1877,8,0.49,0.002,-0.374,,
1877,9,0.158,0.094,-0.38,,
1877,10,0.038,0.147,-0.384,,
1877,11,0.163,0.146,-0.386,,
1877,12,-0.316,0.174,-0.397,,
1878,1,-0.564,0.158,-0.399,,
1878,2,0.063,0.107,-0.396,,
1878,3,0.906,0.071,-0.394,,
1878,4,0.335,0.063,,,
1878,5,-0.143,0.054,,,
1878,6,0.578,0.062,,,
1878,7,0.194,0.043,,,
1878,8,-0.129,-0.009,,,
1878,9,-0.271,-0.156,,,
1878,10,-0.064,-0.25,-0.286,,
1878,11,0.058,-0.3,-0.274,,
1878,12,-0.218,-0.369,-0.279,,
1879,1,-0.795,-0.443,-0.277,,
1879,2,-0.563,-0.518,-0.279,,
1879,3,-0.851,-0.553,-0.275,,
1879,4,-0.794,-0.568,-0.276,,
1879,5,-0.74,-0.611,-0.276,,
1879,6,-0.254,-0.662,-0.26,,
1879,7,-0.696,-0.677,-0.249,,
1879,8,-1.03,-0.748,-0.244,,
1879,9,-0.687,-0.774,-0.25,,
1879,10,-0.247,-0.774,-0.259,,
1879,11,-0.457,-0.742,-0.262,,
1879,12,-0.828,-0.774,-0.273,,
1880,1,-0.974,-0.715,-0.288,,
1880,2,-1.417,-0.621,-0.305,,
1880,3,-1.161,-0.6,-0.309,,
1880,4,-0.797,-0.612,-0.314,,
1880,5,-0.363,-0.58,-0.329,,
1880,6,-0.626,-0.523,-0.341,,
1880,7,0.012,-0.439,-0.346,,
1880,8,0.095,-0.348,-0.367,,
1880,9,-0.44,-0.23,-0.378,,
1880,10,-0.394,-0.138,-0.382,,
1880,11,-0.07,-0.094,-0.379,,
1880,12,-0.14,-0.081,-0.382,,
1881,1,0.03,-0.075,-0.383,,
1881,2,-0.327,-0.13,,,
1881,3,0.264,-0.107,,,
1881,4,0.299,-0.086,,,
1881,5,0.173,-0.122,,,
1881,6,,-0.114,,,
1881,7,0.081,-0.11,,,
1881,8,,-0.114,,,
1881,9,-0.168,-0.184,,,
1881,10,-0.136,-0.278,,,
1881,11,-0.499,-0.319,,,
1881,12,-0.046,,,,-0.43
1882,1,0.072,,,,-0.426
1882,2,-0.368,,,,-0.424
1882,3,-0.582,,,,-0.422
1882,4,-0.827,,,,-0.422
1882,5,-0.322,,,,-0.425
1882,6,,,,,-0.427
1882,7,-0.516,,,-0.397,-0.432
1882,8,-0.487,,,-0.414,-0.435
1882,9,-0.115,,,-0.422,-0.437
1882,10,-0.283,,,-0.429,-0.44
1882,11,-0.732,,,-0.434,-0.438
1882,12,,,,-0.435,-0.433
1883,1,,,,-0.437,-0.431
1883,2,,,,-0.442,-0.434
1883,3,0.234,,,-0.449,-0.435
1883,4,0.131,,,-0.451,-0.436
