Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1867,3,-0.693,-0.451,,,
1867,4,-0.273,-0.359,,,
1867,5,-0.092,-0.385,,,
1867,6,-0.938,-0.479,,,
1867,7,-0.393,-0.515,,,
1867,8,-0.577,-0.592,,,
1867,9,-0.672,-0.619,,,
1867,10,0.293,,,,
1867,11,-0.54,,,,
1867,12,-0.633,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,-0.1,,,,
1868,8,-0.79,,,,
1868,9,-1.543,-0.822,,,
1868,10,-0.583,-0.855,,,
1868,11,-1.403,-0.834,,,
1868,12,-0.911,-0.825,,,
1869,1,-1.333,-0.826,,,
1869,2,-0.446,-0.764,,,
1869,3,-1.347,-0.674,,,
1869,4,-0.9,-0.669,,,
1869,5,0.077,-0.608,-0.559,,
1869,6,-0.615,-0.634,-0.576,,
1869,7,,-0.604,-0.585,,
1869,8,,-0.666,-0.588,,
1869,9,-0.465,-0.607,-0.577,,
1869,10,-0.525,,-0.586,,
1869,11,-0.673,,-0.584,,
1869,12,-1.212,,-0.583,,
1870,1,-0.98,,-0.579,,
1870,2,-1.19,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,-0.573,,
1870,9,0.284,,-0.569,,
1870,10,-0.472,,-0.574,,
1870,11,-0.523,-0.557,-0.583,,
1870,12,-1.584,-0.588,-0.585,,
1871,1,-0.87,-0.55,-0.585,,
1871,2,-1.082,-0.522,-0.581,,
1871,3,-0.81,-0.54,-0.567,,
1871,4,-0.974,-0.468,-0.563,,
1871,5,-0.134,-0.453,-0.548,,
1871,6,-0.574,-0.364,-0.534,,
1871,7,0.591,-0.379,-0.515,,
1871,8,-0.122,-0.365,,,
1871,9,0.068,-0.303,,,
1871,10,0.399,-0.289,,,
1871,11,-0.344,-0.275,,,
1871,12,-0.514,-0.3,,,
1872,1,-1.054,-0.362,,,
1872,2,-0.907,-0.371,,,
1872,3,-0.07,-0.408,,,
1872,4,-0.803,-0.486,,,
1872,5,0.031,-0.506,,,
1872,6,-0.87,-0.525,,,
1872,7,,-0.519,,,
1872,8,,-0.517,,,
1872,9,,-0.574,,,
1872,10,-0.537,-0.578,,,
1872,11,-0.576,-0.637,,,
1872,12,-0.742,-0.64,,,
1873,1,-0.985,-0.63,,,
1873,2,-0.89,-0.661,-0.537,,
1873,3,-0.75,-0.688,-0.555,,
1873,4,-0.853,-0.671,-0.559,,
1873,5,-0.675,-0.665,-0.564,,
1873,6,-0.9,-0.61,-0.544,,
1873,7,-0.044,,-0.54,,
1873,8,-0.603,,-0.536,,
1873,9,-0.707,,-0.54,,
1873,10,,,-0.532,,
1873,11,,,-0.538,,
1873,12,,,,,
1874,1,,,,,
1874,2,,,,,
1874,3,,,,,
1874,4,,,,,
1874,5,-0.26,,,,
1874,6,-0.703,,,,
1874,7,-0.465,,,,
1874,8,-0.085,,,,
1874,9,0.292,,,,
1874,10,-0.762,,,,
1874,11,-1.184,,,,
1874,12,,,,,
1875,1,,,,,
1875,2,,,,,
1875,3,,,,,
1875,4,,,,,
1875,5,-0.445,,,,
1875,6,-0.85,,,,
1875,7,-0.095,-0.68,,,
1875,8,-0.396,-0.675,,,
1875,9,-0.806,-0.666,,,
1875,10,-0.717,-0.63,,,
1875,11,-0.837,-0.633,,,
1875,12,-0.405,-0.626,,,
1876,1,-0.575,-0.583,,,
1876,2,-0.899,-0.593,,,
1876,3,-1.005,-0.597,,,
1876,4,-0.528,-0.588,,,
1876,5,-0.486,,,,
1876,6,,,,,
1876,7,0.419,,,,
1876,8,,,,,
1876,9,-0.861,,,,
1876,10,,,,,
1876,11,,,,,
1876,12,,,,,
1877,1,,,,,
1877,2,,,,,
1877,3,,,,,
1877,4,,,,,
1877,5,,,,,
1877,6,,,,,
1877,7,,,,,
1877,8,,,,,
1877,9,,,,,
1877,10,,,,,
1877,11,,,,,
1877,12,,,,,
1878,1,,,,,
1878,2,,,,,
1878,3,,,,,
1878,4,,,,,
1878,5,,,,,
1878,6,,,,,
1878,7,,,,,
1878,8,,,,,
1878,9,,,,,
1878,10,,,,,
1878,11,,,,,
1878,12,,,,,
1879,1,,,,,
1879,2,,,,,
1879,3,,,,,
1879,4,,,,,
1879,5,,,,,
1879,6,,,,,
1879,7,,,,,
1879,8,,,,,
1879,9,,,,,
1879,10,,,,,
1879,11,,,,,
1879,12,,,,,
1880,1,,,,,
1880,2,,,,,
1880,3,,,,,
1880,4,,,,,
1880,5,,,,,
1880,6,,,,,
1880,7,,,,,
1880,8,,,,,
1880,9,,,,,
1880,10,,,,,
1880,11,,,,,
1880,12,,,,,
1881,1,,,,,
1881,2,,,,,
1881,3,,,,,
1881,4,,,,,
1881,5,,,,,
1881,6,,,,,
1881,7,,,,,
1881,8,,,,,
1881,9,,,,,
1881,10,,,,,
1881,11,,,,,
1881,12,,,,,
1882,1,,,,,
1882,2,,,,,
1882,3,,,,,
1882,4,,,,,
1882,5,,,,,
1882,6,,,,,
1882,7,,,,,
1882,8,,,,,
1882,9,,,,,
1882,10,,,,,
1882,11,,,,,
1882,12,,,,,
1883,1,-1.192,,,,
1883,2,-1.451,,,,
1883,3,-0.427,-0.781,,,
1883,4,-0.582,-0.793,,,
1883,5,-0.403,-0.795,,,
1883,6,-0.478,-0.742,,,
1883,7,0.001,-0.734,,,
1883,8,-0.571,-0.705,,,
1883,9,-0.904,-0.766,,,
1883,10,-0.954,-0.83,,,
1883,11,-1.078,-0.894,,,
1883,12,-0.862,-0.944,,,
1884,1,-1.101,-1.032,,,
1884,2,-1.106,-1.063,,,
1884,3,-1.149,-1.115,,,
1884,4,-1.36,-1.14,-0.877,,
1884,5,-1.166,-1.14,-0.888,,
1884,6,-1.079,-1.143,-0.89,,
1884,7,-1.061,-1.184,-0.923,,
1884,8,-0.941,-1.169,-0.945,,
1884,9,-1.529,-1.126,-0.962,,
1884,10,-1.25,-1.094,-0.967,,
1884,11,-1.072,-1.058,-0.962,,
1884,12,-0.899,-1.078,-0.95,,
1885,1,-1.593,-1.038,-0.946,,
1885,2,-0.926,-1.058,-0.957,,
1885,3,-0.639,-1.07,-0.957,,
1885,4,-0.977,-1.083,-0.952,,
1885,5,-0.725,-1.075,-0.947,,
1885,6,-1.325,-1.053,-0.937,,
1885,7,-0.576,-1.036,-0.939,,
1885,8,-1.18,-1.037,-0.938,,
1885,9,-1.675,-1.065,-0.95,,
1885,10,-1.408,-1.065,-0.955,,
1885,11,,-1.063,-0.962,,
1885,12,-0.634,-1.043,-0.974,,
1886,1,-1.384,-1.03,-0.979,,
1886,2,-0.94,-0.974,-0.979,,
1886,3,-0.981,-0.892,-0.976,,
1886,4,-0.969,-0.831,-0.968,,
1886,5,-0.71,-0.87,-0.959,,
1886,6,-1.086,-0.892,-0.957,,
1886,7,-0.415,-0.944,-0.955,,
1886,8,-0.501,-0.993,-0.937,,
1886,9,-0.696,-1.03,,,
1886,10,-0.681,-1.035,,,
1886,11,-1.451,-0.995,,,
1886,12,-0.892,-0.922,,,
1887,1,-2.006,-0.915,,,
1887,2,-1.531,-0.948,,,
1887,3,-1.423,-0.927,,,
1887,4,-1.027,-0.913,,,
1887,5,-0.234,-0.855,,,
1887,6,-0.207,-0.857,,,
1887,7,-0.335,-0.795,,-0.853,
1887,8,-0.892,-0.787,,-0.854,
1887,9,-0.452,-0.763,,-0.856,
1887,10,-0.507,,,-0.852,
1887,11,-0.755,,,-0.853,
1887,12,-0.911,,,-0.851,
1888,1,,,,-0.855,
1888,2,,,,-0.856,
1888,3,,,,-0.86,
1888,4,,,,-0.864,
1888,5,,,,-0.864,
1888,6,,,,-0.863,
1888,7,,,,-0.867,
1888,8,,,,-0.866,
1888,9,,,,-0.863,
1888,10,,,,-0.863,
1888,11,,,,-0.86,
1888,12,,,,-0.859,
1889,1,,,,-0.862,
1889,2,,,,-0.86,
1889,3,,,,-0.856,
1889,4,,,,-0.85,
1889,5,,,,-0.845,
1889,6,,,,-0.841,
1889,7,,,,-0.836,
1889,8,,,,-0.828,
1889,9,,,,-0.814,
1889,10,,,,-0.804,
1889,11,,,,-0.801,
1889,12,,,,-0.8,
1890,1,-1.369,,,-0.798,-0.688
1890,2,-1.028,,,-0.803,-0.682
1890,3,-0.995,-0.902,,-0.804,-0.681
1890,4,-1.258,-0.876,,-0.801,-0.678
1890,5,-0.768,-0.846,,-0.795,-0.682
1890,6,-0.736,-0.832,,-0.789,-0.685
1890,7,-0.769,-0.802,,-0.787,-0.686
1890,8,-0.731,-0.812,,-0.782,-0.686
1890,9,-0.275,-0.797,,-0.775,-0.683
1890,10,-0.317,-0.782,,-0.768,-0.679
1890,11,-0.934,-0.784,,-0.767,-0.68
1890,12,-0.812,-0.792,,-0.765,-0.679
1891,1,-1.001,-0.804,,-0.76,-0.679
1891,2,-1.147,-0.79,,-0.757,-0.679
1891,3,-0.823,-0.825,-0.75,-0.755,-0.68
1891,4,-1.073,-0.831,-0.758,-0.754,-0.681
1891,5,-0.789,-0.819,-0.761,-0.75,-0.68
1891,6,-0.837,-0.803,-0.761,-0.748,-0.681
1891,7,-0.905,-0.82,-0.768,-0.747,-0.681
1891,8,-0.573,-0.792,-0.783,-0.748,-0.683
1891,9,-0.691,-0.781,-0.789,-0.744,-0.684
1891,10,-0.388,-0.771,-0.797,-0.74,-0.687
1891,11,-0.785,-0.79,-0.801,-0.734,-0.687
1891,12,-0.624,-0.772,-0.804,-0.729,-0.686
1892,1,-1.199,-0.752,-0.81,-0.72,-0.687
1892,2,-0.821,-0.732,-0.801,-0.714,-0.688
1892,3,-0.683,-0.736,-0.788,-0.703,-0.689
1892,4,-0.95,-0.726,-0.777,-0.698,-0.689
1892,5,-1.028,-0.764,-0.767,-0.698,-0.688
1892,6,-0.614,-0.815,-0.764,-0.696,-0.689
1892,7,-0.67,-0.851,-0.764,-0.693,-0.69
1892,8,-0.333,-0.914,-0.773,-0.685,-0.693
1892,9,-0.74,-0.939,-0.769,-0.684,-0.696
1892,10,-0.269,-0.94,-0.758,-0.682,-0.697
1892,11,-1.231,-0.893,-0.746,-0.681,-0.694
1892,12,-1.237,-0.874,-0.743,-0.675,-0.688
