Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,8,,,,,
1819,9,0.22,,,,
1819,10,-0.939,,,,
1819,11,-1.964,,,,
1819,12,-1.176,,,,
1820,1,-3.301,,,,
1820,2,-0.407,-0.751,,,
1820,3,-0.347,-0.794,,,
1820,4,0.688,-0.851,,,
1820,5,-0.104,-0.876,,,
1820,6,-0.073,-0.987,,,
1820,7,0.023,-0.691,,,
1820,8,-1.628,-0.587,,,
1820,9,-0.301,-0.543,,,
1820,10,-1.621,-0.593,,,
1820,11,-2.259,-0.604,,,
1820,12,-2.51,-0.661,,,
1821,1,0.244,-0.713,,,
1821,2,0.851,-0.633,,,
1821,3,0.177,-0.755,,,
1821,4,0.084,-0.79,-0.891,,
1821,5,-0.239,-0.768,-0.911,,
1821,6,-0.753,-0.654,-0.921,,
1821,7,-0.598,-0.768,-0.894,,
1821,8,-0.671,-0.809,-0.882,,
1821,9,,-0.64,-0.836,,
1821,10,-2.04,-0.717,-0.806,,
1821,11,-1.993,-0.813,-0.788,,
1821,12,-1.147,-0.762,-0.775,,
1822,1,-1.118,-0.763,-0.761,,
1822,2,0.355,-0.782,-0.753,,
1822,3,2.198,-0.681,-0.762,,
1822,4,-0.839,-0.649,-0.769,,
1822,5,-1.388,-0.685,,,
1822,6,-0.142,-0.807,,,
1822,7,-0.611,-0.807,,,
1822,8,-0.89,-0.868,,,
1822,9,-0.552,-1.117,,,
1822,10,-1.664,-1.13,,,
1822,11,-2.425,-1.168,-0.674,,
1822,12,-2.604,-1.138,-0.673,,
1823,1,-1.118,-1.048,-0.696,,
1823,2,-0.376,-1.07,-0.708,,
1823,3,-0.799,-1.1,-0.72,,
1823,4,-0.994,-1.083,-0.697,,
1823,5,-1.835,-1.025,,,
1823,6,0.211,-0.92,,,
1823,7,0.474,-0.808,,,
1823,8,-1.163,,,,
1823,9,-0.911,,,,
1823,10,-1.458,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,0.222,,,,
1825,2,-0.45,,,,
1825,3,-0.584,-0.586,,,
1825,4,-0.036,-0.488,,,
1825,5,-0.131,-0.453,,,
1825,6,0.004,-0.607,,,
1825,7,-1.368,-0.681,,,
1825,8,-2.366,,,,
1825,9,-1.024,,,,
1825,10,-0.223,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,0.305,,,,
1826,6,0.698,,,,
1826,7,-0.075,,,,
1826,8,-1.724,,,,
1826,9,-0.879,-0.005,,,
1826,10,-0.419,0.077,,,
1826,11,0.008,0.048,,,
1826,12,0.457,0.06,,,
1827,1,0.351,0.134,,,
1827,2,0.44,0.261,,,
1827,3,0.822,0.334,,,
1827,4,0.941,0.34,,,
1827,5,-0.048,0.265,,,
1827,6,0.851,0.186,,,
1827,7,0.804,0.032,,,
1827,8,-0.2,-0.1,,,
1827,9,0.002,-0.174,,,
1827,10,-0.352,-0.233,,,
1827,11,-0.891,-0.283,,,
1827,12,-0.491,-0.368,,,
1828,1,-1.495,-0.469,,,
1828,2,-1.137,-0.502,,,
1828,3,-0.072,-0.574,,,
1828,4,0.24,-0.6,,,
1828,5,-0.658,-0.588,,,
1828,6,-0.163,-0.634,,,
1828,7,-0.413,,,,
1828,8,-0.588,,,,
1828,9,-0.862,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,-1.876,,,,
1830,10,,,,,
1830,11,0.395,,,,
1830,12,0.316,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,-2.371,,,,
1831,9,-1.117,,,,
1831,10,-1.239,-1.013,,,
