Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1903,3,-0.416,-0.674,,,
1903,4,-0.731,-0.643,,,
1903,5,-0.621,-0.593,,,
1903,6,-0.663,-0.572,,,
1903,7,-0.431,-0.644,,,
1903,8,-0.201,-0.715,,,
1903,9,-0.78,-0.745,,,
1903,10,-0.522,-0.733,,,
1903,11,-0.84,-0.736,,,
1903,12,-0.999,-0.722,,,
1904,1,-1.089,-0.707,,,
1904,2,-1.284,-0.75,,,
1904,3,-0.782,-0.761,-0.589,,
1904,4,-0.588,-0.785,-0.585,,
1904,5,-0.652,-0.782,-0.586,,
1904,6,-0.497,-0.763,-0.583,,
1904,7,-0.247,-0.724,-0.589,,
1904,8,-0.718,-0.729,-0.601,,
1904,9,-0.911,-0.722,-0.601,,
1904,10,-0.815,-0.717,-0.609,,
1904,11,-0.8,-0.702,-0.624,,
1904,12,-0.776,-0.671,-0.63,,
1905,1,-0.618,-0.701,-0.627,,
1905,2,-1.339,-0.693,-0.639,,
1905,3,-0.709,-0.666,-0.64,,
1905,4,-0.522,-0.64,-0.635,,
1905,5,-0.467,-0.607,-0.629,,
1905,6,-0.134,-0.582,-0.621,-0.539,
1905,7,-0.599,-0.604,-0.627,-0.54,
1905,8,-0.632,-0.553,-0.629,-0.54,
1905,9,-0.582,-0.549,-0.642,-0.541,
1905,10,-0.503,-0.494,-0.63,-0.545,
1905,11,-0.409,-0.459,-0.629,-0.549,
1905,12,-0.472,-0.479,-0.621,-0.553,
1906,1,-0.884,-0.444,-0.618,-0.552,
1906,2,-0.728,-0.414,-0.633,-0.551,
1906,3,-0.655,-0.398,-0.627,-0.556,
1906,4,0.142,-0.365,-0.627,-0.56,
1906,5,-0.054,-0.386,-0.634,-0.563,
1906,6,-0.375,-0.361,-0.628,-0.563,
1906,7,-0.173,-0.363,-0.63,-0.565,
1906,8,-0.272,-0.393,-0.618,-0.565,
1906,9,-0.39,-0.41,-0.609,-0.567,
1906,10,-0.109,-0.494,-0.614,-0.568,
1906,11,-0.659,-0.607,-0.617,-0.565,
1906,12,-0.172,-0.634,-0.61,-0.565,
1907,1,-0.918,-0.622,-0.608,-0.564,
1907,2,-1.088,-0.687,-0.606,-0.564,
1907,3,-0.848,-0.701,-0.597,-0.562,
1907,4,-0.871,-0.742,-0.585,-0.561,
1907,5,-1.408,-0.778,-0.576,-0.558,
1907,6,-0.697,-0.828,-0.576,-0.557,
1907,7,-0.033,-0.801,-0.565,-0.56,
1907,8,-1.052,-0.755,-0.55,-0.561,
1907,9,-0.555,-0.781,-0.551,-0.561,
1907,10,-0.603,-0.713,-0.548,-0.559,
1907,11,-1.091,-0.639,-0.545,-0.552,
1907,12,-0.779,-0.598,-0.55,-0.546,-0.472
1908,1,-0.59,-0.619,-0.542,-0.547,-0.475
1908,2,-0.534,-0.619,-0.539,-0.549,-0.476
1908,3,-1.167,-0.607,-0.534,-0.551,-0.474
1908,4,-0.047,-0.604,-0.529,-0.546,-0.476
1908,5,-0.523,-0.619,-0.538,-0.543,-0.477
1908,6,-0.206,-0.607,-0.54,-0.537,-0.479
1908,7,-0.284,-0.659,-0.534,-0.532,-0.48
1908,8,-1.049,-0.662,-0.53,-0.531,-0.482
1908,9,-0.417,-0.584,-0.53,-0.529,-0.482
1908,10,-0.558,-0.655,-0.538,-0.528,-0.481
1908,11,-1.275,-0.679,-0.546,-0.521,-0.48
1908,12,-0.631,-0.67,-0.543,-0.514,-0.48
1909,1,-1.214,-0.656,-0.543,-0.506,-0.478
1909,2,-0.568,-0.616,-0.545,-0.5,-0.475
1909,3,-0.233,-0.612,-0.545,-0.493,-0.472
1909,4,-0.898,-0.573,-0.55,-0.489,-0.471
1909,5,-0.817,-0.49,-0.544,-0.482,-0.47
1909,6,-0.094,-0.5,-0.546,-0.477,-0.468
1909,7,-0.118,-0.396,-0.538,-0.478,-0.468
1909,8,-0.562,-0.386,-0.527,-0.476,-0.468
1909,9,-0.376,-0.433,-0.524,-0.472,-0.471
1909,10,-0.093,-0.384,-0.513,-0.471,-0.471
1909,11,-0.273,-0.339,-0.493,-0.471,-0.472
1909,12,-0.754,-0.367,-0.484,-0.469,-0.47
1910,1,0.036,-0.371,-0.492,-0.47,-0.466
1910,2,-0.446,-0.36,-0.483,-0.46,-0.469
1910,3,-0.794,-0.352,-0.482,-0.459,-0.471
1910,4,-0.313,-0.361,-0.484,-0.451,-0.472
1910,5,-0.277,-0.415,-0.475,-0.445,-0.472
1910,6,-0.433,-0.404,-0.471,-0.446,-0.471
1910,7,-0.161,-0.451,-0.466,-0.443,-0.473
1910,8,-0.437,-0.454,-0.468,-0.439,-0.472
1910,9,-0.281,-0.442,-0.461,-0.439,-0.474
1910,10,-0.193,-0.445,-0.463,-0.441,-0.478
1910,11,-0.932,-0.466,-0.457,-0.439,-0.478
1910,12,-0.612,-0.448,-0.453,-0.435,-0.481
1911,1,-0.528,-0.446,-0.447,-0.43,-0.48
1911,2,-0.492,-0.444,-0.429,-0.424,-0.479
1911,3,-0.644,-0.453,-0.432,-0.423,-0.481
1911,4,-0.353,-0.472,-0.429,-0.425,-0.485
1911,5,-0.525,-0.416,-0.408,-0.425,-0.487
1911,6,-0.216,-0.391,-0.4,-0.427,-0.489
1911,7,-0.145,-0.385,-0.382,-0.425,-0.491
1911,8,-0.41,-0.379,-0.381,-0.426,-0.491
1911,9,-0.383,-0.38,-0.376,-0.429,-0.493
1911,10,-0.419,-0.37,-0.364,-0.429,-0.494
1911,11,-0.261,-0.341,-0.347,-0.425,-0.494
1911,12,-0.318,-0.337,-0.344,-0.429,-0.494
1912,1,-0.458,-0.368,-0.348,-0.424,-0.493
1912,2,-0.42,-0.377,-0.345,-0.426,-0.495
1912,3,-0.65,-0.386,-0.346,-0.424,-0.494
1912,4,-0.235,-0.411,-0.357,-0.422,-0.494
1912,5,-0.174,-0.433,-0.367,-0.421,-0.494
1912,6,-0.176,-0.455,-0.363,-0.421,-0.495
1912,7,-0.512,-0.439,-0.375,-0.425,-0.497
1912,8,-0.518,-0.459,-0.37,-0.42,-0.498
1912,9,-0.496,-0.468,-0.367,-0.424,-0.5
1912,10,-0.717,-0.459,-0.353,-0.422,-0.498
1912,11,-0.523,-0.463,-0.345,-0.421,-0.494
1912,12,-0.581,-0.44,-0.342,-0.421,-0.492
1913,1,-0.263,-0.391,-0.343,-0.423,-0.493
1913,2,-0.664,-0.35,-0.338,-0.429,-0.494
1913,3,-0.758,-0.356,-0.344,-0.426,-0.495
1913,4,-0.13,-0.327,-0.354,-0.431,-0.495
1913,5,-0.212,-0.288,-0.34,-0.432,-0.495
1913,6,0.089,-0.252,-0.33,-0.437,-0.494
1913,7,0.076,-0.242,-0.327,-0.439,-0.495
1913,8,-0.016,-0.225,-0.319,-0.439,-0.497
1913,9,-0.575,-0.157,-0.316,-0.44,-0.496
1913,10,-0.367,-0.162,-0.312,-0.437,-0.496
1913,11,-0.05,-0.128,-0.304,-0.43,-0.494
1913,12,-0.151,-0.125,-0.312,-0.43,-0.491
1914,1,-0.143,-0.164,-0.307,-0.418,-0.49
1914,2,-0.46,-0.196,-0.307,-0.416,-0.487
1914,3,0.054,-0.184,-0.314,-0.415,-0.486
1914,4,-0.186,-0.214,-0.307,-0.406,-0.485
1914,5,0.197,-0.283,-0.306,-0.4,-0.483
1914,6,0.114,-0.313,-0.311,-0.402,-0.483
1914,7,-0.392,-0.36,-0.31,-0.406,-0.484
1914,8,-0.39,-0.334,-0.324,-0.404,-0.483
1914,9,-0.439,-0.389,-0.324,-0.406,-0.481
1914,10,-0.725,-0.33,-0.331,-0.408,-0.482
1914,11,-0.872,-0.331,-0.35,-0.409,-0.482
1914,12,-0.516,-0.361,-0.358,-0.405,-0.481
1915,1,-0.706,-0.344,-0.358,-0.405,-0.481
1915,2,-0.152,-0.326,-0.358,-0.408,-0.477
1915,3,-0.599,-0.34,-0.366,-0.406,-0.475
1915,4,0.519,-0.345,-0.361,-0.405,-0.475
1915,5,0.19,-0.281,-0.368,-0.405,-0.475
1915,6,-0.256,-0.237,-0.371,-0.404,-0.477
1915,7,-0.186,-0.207,-0.379,-0.405,-0.48
1915,8,-0.172,-0.196,-0.39,-0.404,-0.481
1915,9,-0.606,-0.189,-0.391,-0.407,-0.481
1915,10,-0.789,-0.238,-0.4,-0.411,-0.481
1915,11,-0.105,-0.256,-0.406,-0.406,-0.48
1915,12,0.019,-0.293,-0.421,-0.409,-0.479
1916,1,-0.346,-0.265,-0.432,-0.408,-0.478
1916,2,-0.022,-0.285,-0.45,-0.407,-0.477
1916,3,-0.511,-0.302,-0.448,-0.407,-0.477
1916,4,-0.072,-0.237,-0.445,-0.41,-0.479
1916,5,-0.029,-0.245,-0.452,-0.412,-0.478
1916,6,-0.703,-0.3,-0.459,-0.415,-0.476
1916,7,0.16,-0.305,-0.454,-0.416,-0.475
1916,8,-0.418,-0.406,-0.452,-0.417,-0.473
1916,9,-0.808,-0.417,-0.454,-0.419,-0.471
1916,10,-0.009,-0.466,-0.448,-0.421,-0.471
1916,11,-0.206,-0.574,-0.453,-0.422,-0.469
1916,12,-0.635,-0.57,-0.461,-0.424,-0.469
1917,1,-0.402,-0.624,-0.463,-0.423,-0.466
1917,2,-1.237,-0.632,-0.462,-0.426,-0.462
1917,3,-0.64,-0.649,-0.465,-0.426,-0.458
1917,4,-0.663,-0.681,-0.46,-0.427,-0.457
1917,5,-1.319,-0.742,-0.451,-0.429,-0.452
1917,6,-0.661,-0.752,-0.448,-0.433,-0.451
1917,7,-0.484,-0.783,-0.434,-0.433,-0.452
1917,8,-0.522,-0.789,-0.445,-0.436,-0.449
1917,9,-1.011,-0.804,-0.445,-0.44,-0.445
1917,10,-0.387,-0.803,-0.456,-0.436,-0.442
1917,11,-0.944,-0.742,-0.464,-0.436,-0.437
