Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,2.632,0.449,,,
1750,3,1.69,0.417,,,
1750,4,1.235,0.242,,,
1750,5,-0.974,-0.268,,,
1750,6,-0.371,-0.43,,,
1750,7,0.871,-0.648,,,
1750,8,0.944,-1.142,,,
1750,9,-0.422,-1.186,,,
1750,10,-3.798,-1.29,,,
1750,11,-5.934,-1.31,,,
1750,12,-3.337,-1.4,,,
1751,1,-0.314,-1.438,,,
1751,2,-3.289,-1.526,,,
1751,3,1.155,-1.582,,,
1751,4,-0.005,-1.421,,,
1751,5,-1.219,-1.093,,,
1751,6,-1.452,-0.866,,,
1751,7,0.413,-0.986,,,
1751,8,-0.111,-0.57,,,
1751,9,-1.095,-0.58,,,
1751,10,-1.86,-0.601,,,
1751,11,-1.998,-0.554,,,
1751,12,-0.617,-0.423,,,
1752,1,-1.751,-0.304,,,
1752,2,1.705,-0.246,,,
1752,3,1.034,,,,
1752,4,-0.259,,,,
1752,5,-0.657,,,,
1752,6,0.119,,,,
1752,7,1.849,,,,
1752,8,0.582,,,,
1752,9,,,,,
1752,10,-0.796,,,,
1752,11,0.917,,,,
1752,12,0.089,,,,
1753,1,0.199,,,,
1753,2,0.209,,,,
1753,3,1.723,-0.007,,,
1753,4,0.408,0.077,,,
1753,5,-0.463,-0.088,,,
1753,6,-0.893,-0.569,,,
1753,7,-0.502,-0.571,,,
1753,8,-0.563,-0.669,,,
1753,9,-0.412,-0.945,,,
1753,10,0.209,-0.823,,,
1753,11,-1.06,-0.729,,,
1753,12,-5.679,-0.65,,,
1754,1,0.177,-0.672,,,
1754,2,-0.97,-0.734,,,
1754,3,-1.587,-0.808,,,
1754,4,1.863,-0.852,,,
1754,5,0.669,-0.81,,,
1754,6,0.052,-0.337,,,
1754,7,-0.76,-0.455,,,
1754,8,-1.304,-0.571,,,
1754,9,-1.304,-0.604,,,
1754,10,-0.316,-0.692,,,
1754,11,-0.558,-0.727,,,
1754,12,-0.008,-0.66,,,
1755,1,-1.234,-0.512,,,
1755,2,-2.361,-0.56,,,
1755,3,-1.985,-0.562,-0.259,,
1755,4,0.808,-0.503,-0.315,,
1755,5,0.248,-0.524,-0.338,,
1755,6,0.849,-0.631,-0.38,,
1755,7,1.026,-0.356,-0.435,,
1755,8,-1.885,0.182,-0.461,,
1755,9,-1.328,0.36,-0.516,,
1755,10,0.387,0.253,-0.544,,
1755,11,-0.809,0.099,-0.547,,
1755,12,-1.292,0.069,-0.544,,
1756,1,2.07,0.002,-0.551,,
1756,2,4.1,-0.005,-0.566,,
1756,3,0.142,0.047,-0.6,,
1756,4,-0.477,-0.094,-0.66,,
1756,5,-1.597,-0.271,-0.653,,
1756,6,0.489,-0.373,-0.595,,
1756,7,0.229,-0.74,-0.549,,
1756,8,-1.979,-0.91,-0.475,,
1756,9,-0.699,-0.969,-0.441,,
1756,10,-1.305,-0.799,-0.481,,
1756,11,-2.933,-0.708,-0.529,,
1756,12,-2.516,-0.6,-0.519,,
1757,1,-2.334,-0.366,-0.509,,
1757,2,2.059,-0.091,-0.479,,
1757,3,-0.569,0.033,-0.475,,
1757,4,1.561,-0.203,-0.499,,
1757,5,-0.5,0.004,-0.528,,
1757,6,1.788,0.009,-0.611,,
1757,7,3.028,-0.055,-0.686,,
1757,8,1.325,-0.338,-0.632,,
1757,9,0.792,-0.423,-0.638,-0.539,
1757,10,-4.141,-0.658,-0.677,-0.576,
1757,11,-0.447,-0.67,-0.695,-0.586,
1757,12,-2.449,-0.88,-0.716,-0.582,
1758,1,-3.104,-1.207,-0.745,-0.584,
1758,2,-1.334,-1.441,-0.73,-0.591,
1758,3,-1.589,-1.709,-0.707,-0.624,
1758,4,-1.259,-1.649,-0.763,-0.643,
1758,5,-0.644,-1.664,-0.77,-0.648,
1758,6,-0.741,-1.644,-0.786,-0.64,
1758,7,-0.89,-1.142,-0.808,-0.621,
1758,8,-1.488,-0.737,-0.861,-0.621,
1758,9,-2.42,-0.569,-0.824,-0.62,
1758,10,-3.421,-0.509,-0.806,-0.63,
1758,11,-0.626,-0.639,-0.77,-0.623,
1758,12,-2.207,-0.522,-0.741,-0.595,
1759,1,2.916,-0.462,-0.73,-0.595,
1759,2,3.523,-0.297,-0.676,-0.562,
1759,3,0.431,-0.186,-0.649,-0.542,
1759,4,-0.536,-0.046,-0.684,-0.558,
1759,5,-2.21,-0.186,-0.638,-0.573,
1759,6,0.668,-0.415,-0.651,-0.6,
1759,7,-0.177,-1.139,-0.567,-0.586,
1759,8,0.493,-1.36,-0.593,-0.586,
