Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,-0.286,,,,
1880,10,-0.535,-0.142,,,
1880,11,-0.351,-0.079,,,
1880,12,0.454,-0.047,,,
1881,1,0.333,0.012,,,
1881,2,0.343,0.055,,,
1881,3,0.199,0.064,,,
1881,4,-0.32,0.119,,,
1881,5,0.636,0.116,,,
1881,6,-0.274,0.067,,,
1881,7,0.377,0.08,,,
1881,8,,0.005,,,
1881,9,-0.176,-0.08,,,
1881,10,0.122,-0.074,,,
1881,11,-0.382,-0.151,-0.373,,
1881,12,-0.141,-0.173,-0.382,,
1882,1,0.497,-0.316,-0.384,,
1882,2,-0.561,-0.384,-0.381,,
1882,3,-0.816,-0.401,-0.359,,
1882,4,-0.25,-0.449,-0.362,,
1882,5,-0.292,-0.541,-0.359,,
1882,6,-0.538,-0.532,-0.356,,
1882,7,-1.341,-0.602,-0.378,,
1882,8,-0.727,-0.606,-0.364,,
1882,9,-0.382,-0.58,-0.381,,
1882,10,-0.45,-0.58,-0.4,,
1882,11,-1.489,-0.571,-0.402,,
1882,12,-0.032,-0.502,-0.396,,
1883,1,-0.349,-0.483,-0.386,,
1883,2,-0.606,-0.497,-0.376,,
1883,3,-0.509,-0.519,-0.378,,
1883,4,-0.248,-0.486,-0.375,,
1883,5,-0.182,-0.487,-0.365,,
1883,6,0.286,-0.54,-0.376,,
1883,7,-1.104,-0.538,-0.394,-0.387,
1883,8,-0.899,-0.555,-0.421,-0.395,
1883,9,-0.643,-0.566,-0.437,-0.402,
1883,10,-0.053,-0.592,-0.431,-0.405,
1883,11,-1.498,-0.641,-0.432,-0.402,
1883,12,-0.672,-0.728,-0.421,-0.384,
1884,1,-0.323,-0.659,-0.42,-0.386,
1884,2,-0.815,-0.593,-0.43,-0.379,
1884,3,-0.646,-0.501,-0.436,-0.361,
1884,4,-0.558,-0.54,-0.435,-0.357,
1884,5,-0.768,-0.507,-0.44,-0.351,
1884,6,-0.761,-0.471,-0.458,-0.35,
1884,7,-0.274,-0.527,-0.488,-0.349,
1884,8,-0.104,-0.545,-0.487,-0.35,
1884,9,0.465,-0.552,-0.485,-0.341,
1884,10,-0.524,-0.612,-0.484,-0.345,
1884,11,-1.104,-0.57,-0.492,-0.347,
1884,12,-0.243,-0.531,-0.49,-0.341,
1885,1,-0.992,-0.486,-0.479,-0.337,
1885,2,-1.035,-0.46,-0.485,-0.317,
1885,3,-0.729,,-0.491,-0.325,
1885,4,-1.275,,-0.492,-0.325,
1885,5,-0.259,,-0.464,-0.335,
1885,6,,,-0.469,-0.332,
1885,7,,,-0.473,-0.337,
1885,8,,,-0.47,-0.348,
1885,9,,,-0.465,-0.353,
1885,10,,,-0.462,-0.353,
1885,11,0.245,,-0.467,-0.352,
1885,12,-0.206,,-0.483,-0.361,
1886,1,-0.748,-0.157,-0.467,-0.365,-0.281
1886,2,-1.25,-0.215,-0.458,-0.369,-0.281
1886,3,-0.795,-0.224,-0.45,-0.375,-0.282
1886,4,0.021,-0.184,-0.45,-0.372,-0.281
1886,5,0.605,-0.258,-0.428,-0.382,-0.283
1886,6,0.384,-0.344,-0.398,-0.389,-0.281
1886,7,0.426,-0.392,-0.394,-0.399,-0.278
1886,8,-0.497,-0.327,-0.378,-0.404,-0.28
1886,9,-0.527,-0.32,-0.358,-0.399,-0.277
1886,10,0.135,-0.339,-0.348,-0.397,-0.277
1886,11,-0.638,-0.451,-0.33,-0.391,-0.278
1886,12,-1.246,-0.518,-0.317,-0.384,-0.279
1887,1,-1.318,-0.61,-0.315,-0.389,-0.283
1887,2,-0.478,-0.66,-0.319,-0.387,-0.286
1887,3,-0.701,-0.677,-0.323,-0.379,-0.291
1887,4,-0.208,-0.73,-0.329,-0.369,-0.294
1887,5,-0.748,-0.663,-0.334,-0.368,-0.298
1887,6,-0.417,-0.588,-0.326,-0.365,-0.301
1887,7,-0.678,-0.525,-0.295,-0.356,-0.301
1887,8,-1.098,-0.522,-0.269,-0.353,-0.302
1887,9,-0.727,-0.48,-0.269,-0.355,-0.3
1887,10,-0.502,-0.469,-0.25,-0.35,-0.299
1887,11,0.166,-0.448,-0.267,-0.345,-0.301
1887,12,-0.346,-0.469,-0.268,-0.348,-0.297
