Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1848,2,-0.624,,,,
1848,3,-1.373,,,,
1848,4,-0.745,,,,
1848,5,-0.458,-1.054,,,
1848,6,-1.262,-0.94,,,
1848,7,-0.202,-0.879,,,
1848,8,-0.618,-0.905,,,
1848,9,-1.203,-0.843,,,
1848,10,-0.943,-0.846,,,
1848,11,-1.017,-0.839,,,
1848,12,-1.372,-0.846,,,
1849,1,-0.727,-0.85,,,
1849,2,-0.943,-0.839,,,
1849,3,-0.622,-0.853,,,
1849,4,-0.779,-0.836,,,
1849,5,-0.379,-0.818,,,
1849,6,-1.347,-0.828,,,
1849,7,-0.249,-0.903,-0.769,,
1849,8,-0.49,-0.885,-0.79,,
1849,9,-1.371,-0.878,-0.797,,
1849,10,-0.736,-0.895,-0.807,,
1849,11,-0.796,-0.94,-0.8,,
1849,12,-1.501,-0.905,-0.795,,
1850,1,-1.624,-0.853,-0.795,,
1850,2,-0.727,-0.827,-0.794,,
1850,3,-0.542,-0.765,-0.791,,
1850,4,-0.975,-0.777,-0.784,,
1850,5,-0.928,-0.789,-0.8,,
1850,6,-0.925,-0.726,-0.761,,
1850,7,0.382,-0.676,-0.759,,
1850,8,-0.178,-0.682,-0.771,,
1850,9,-0.631,-0.705,-0.766,,
1850,10,-0.874,-0.718,,,
1850,11,-0.945,-0.612,,,
1850,12,-0.739,-0.559,,,
1851,1,-1.024,-0.611,,,
1851,2,-0.808,-0.631,,,
1851,3,-0.809,-0.644,,,
1851,4,-1.137,-0.619,,,
1851,5,0.348,-0.636,,,
1851,6,-0.292,-0.647,,,
1851,7,-0.241,-0.595,,,
1851,8,-0.417,-0.604,,,
1851,9,-0.788,-0.683,,,
1851,10,-0.58,,,,
1851,11,-1.144,,,,
1851,12,-0.867,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,,,,,
1858,4,,,,,
1858,5,,,,,
1858,6,,,,,
1858,7,,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,,,,,
1859,5,,,,,
1859,6,,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,,,,,
1860,2,,,,,
1860,3,,,,,
1860,4,,,,,
1860,5,,,,,
1860,6,,,,,
1860,7,,,,,
1860,8,,,,,
1860,9,,,,,
1860,10,,,,,
1860,11,,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
