Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1903,2,-0.421,,,,
1903,3,-0.693,,,,
1903,4,-0.656,,,,
1903,5,-0.495,,,,
1903,6,-0.493,-0.476,,,
1903,7,-0.094,-0.563,,,
1903,8,-0.361,-0.647,,,
1903,9,-0.685,-0.647,,,
1903,10,-0.44,-0.698,,,
1903,11,-0.39,-0.733,,,
1903,12,-0.821,-0.741,,,
1904,1,-1.207,-0.779,,,
1904,2,-1.427,-0.795,,,
1904,3,-0.693,-0.828,,,
1904,4,-1.273,-0.868,,,
1904,5,-0.912,-0.902,,,
1904,6,-0.587,-0.907,,,
1904,7,-0.547,-0.861,,,
1904,8,-0.561,-0.854,,,
1904,9,-1.078,-0.824,,,
1904,10,-0.926,-0.734,,,
1904,11,-0.791,-0.703,,,
1904,12,-0.878,-0.657,,,
1905,1,-0.664,-0.655,,,
1905,2,-1.335,-0.664,,,
1905,3,-0.332,-0.631,,,
1905,4,-0.198,-0.558,-0.6,,
1905,5,-0.542,-0.537,-0.595,,
1905,6,-0.035,-0.5,-0.594,,
1905,7,-0.52,-0.485,-0.602,,
1905,8,-0.673,-0.41,-0.605,,
1905,9,-0.682,-0.399,-0.606,,
1905,10,-0.046,-0.371,-0.603,,
1905,11,-0.534,-0.325,-0.603,,
1905,12,-0.442,-0.345,-0.6,,
1906,1,-0.483,-0.318,-0.603,,
1906,2,-0.428,-0.292,-0.601,,
1906,3,-0.202,-0.281,-0.597,,
1906,4,0.134,-0.298,-0.598,-0.537,
1906,5,0.009,-0.32,-0.611,-0.542,
1906,6,-0.28,-0.297,-0.608,-0.546,
1906,7,-0.19,-0.343,-0.6,-0.554,
1906,8,-0.362,-0.378,-0.585,-0.556,
1906,9,-0.549,-0.449,-0.583,-0.56,
1906,10,-0.251,-0.536,-0.575,-0.559,
1906,11,-0.803,-0.623,-0.57,-0.557,
1906,12,-0.164,-0.656,-0.563,-0.559,
1907,1,-1.031,-0.684,-0.557,-0.563,
1907,2,-0.85,-0.698,-0.555,-0.566,
1907,3,-1.047,-0.69,-0.543,-0.57,
1907,4,-0.911,-0.719,-0.533,-0.573,
1907,5,-1.033,-0.731,-0.527,-0.57,
1907,6,-0.676,-0.788,-0.521,-0.565,
1907,7,-0.532,-0.758,-0.508,-0.567,
1907,8,-0.534,-0.734,-0.491,-0.569,
1907,9,-0.451,-0.712,-0.495,-0.566,
1907,10,-0.59,-0.677,-0.5,-0.562,
1907,11,-0.952,-0.631,-0.504,-0.556,
1907,12,-0.846,-0.602,-0.513,-0.552,
1908,1,-0.677,-0.58,-0.509,-0.553,-0.429
1908,2,-0.564,-0.555,-0.506,-0.553,-0.429
1908,3,-0.78,-0.553,-0.505,-0.548,-0.426
1908,4,-0.483,-0.547,-0.509,-0.545,-0.43
