Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1843,3,-0.533,-0.628,,,
1843,4,-0.724,-0.596,,,
1843,5,-1.496,-0.629,,,
1843,6,-1.346,-0.675,,,
1843,7,-0.382,-0.775,,,
1843,8,-0.876,-0.932,,,
1843,9,-1.239,-0.92,,,
1843,10,,-0.981,,,
1843,11,-1.314,,,,
1843,12,-0.637,,,,
1844,1,-0.93,,,,
1844,2,-1.06,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,-1.514,,,,
1844,12,-1.744,,,,
1845,1,-0.747,,,,
1845,2,-1.301,,,,
1845,3,-0.225,,,,
1845,4,-0.429,,,,
1845,5,-0.92,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,,,,,
1848,2,,,,,
1848,3,,,,,
1848,4,,,,,
1848,5,,,,,
1848,6,,,,,
1848,7,,,,,
1848,8,,,,,
1848,9,,,,,
1848,10,,,,,
1848,11,,,,,
1848,12,,,,,
1849,1,,,,,
1849,2,,,,,
1849,3,,,,,
1849,4,,,,,
1849,5,,,,,
1849,6,,,,,
1849,7,,,,,
1849,8,,,,,
1849,9,,,,,
1849,10,,,,,
1849,11,,,,,
1849,12,,,,,
1850,1,,,,,
1850,2,,,,,
1850,3,,,,,
1850,4,,,,,
1850,5,,,,,
1850,6,,,,,
1850,7,,,,,
1850,8,,,,,
1850,9,,,,,
1850,10,,,,,
1850,11,,,,,
1850,12,,,,,
1851,1,,,,,
1851,2,,,,,
1851,3,,,,,
1851,4,,,,,
1851,5,,,,,
1851,6,,,,,
1851,7,,,,,
1851,8,,,,,
1851,9,,,,,
1851,10,,,,,
1851,11,,,,,
1851,12,,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,-0.252,,,,
1853,7,0.301,,,,
1853,8,0.067,,,,
1853,9,-0.367,,,,
1853,10,-0.547,,,,
1853,11,-1.228,,,,
1853,12,-0.551,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,-0.329,,,,
1854,9,-0.931,,,,
1854,10,0.321,-0.362,,,
1854,11,-0.446,-0.325,,,
1854,12,-0.205,-0.298,,,
1855,1,-0.611,-0.341,,,
1855,2,-0.118,-0.369,,,
1855,3,-0.402,-0.414,-0.743,,
1855,4,-0.207,-0.511,-0.762,,
1855,5,-0.059,-0.543,-0.763,,
1855,6,-0.611,-0.615,-0.778,,
1855,7,-0.497,-0.578,-0.775,,
1855,8,-0.659,-0.672,-0.794,,
1855,9,-1.474,-0.78,-0.788,,
1855,10,-0.839,-0.85,-0.784,,
1855,11,-0.838,-0.93,-0.785,,
1855,12,-1.069,-0.892,-0.792,,
1856,1,-0.165,-0.888,-0.809,,
