Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1883,3,-0.415,,,,
1883,4,-0.381,,,,
1883,5,-0.339,-0.691,,,
1883,6,-0.008,-0.613,,,
1883,7,-0.323,-0.582,,,
1883,8,-0.447,-0.553,,,
1883,9,-0.637,-0.62,,,
1883,10,-0.376,-0.691,,,
1883,11,-1.296,-0.765,,,
1883,12,-0.711,-0.814,,,
1884,1,-0.825,-0.833,,,
1884,2,-0.876,-0.837,,,
1884,3,-1.222,-0.833,,,
1884,4,-1.235,-0.86,,,
1884,5,-1.227,-0.841,,,
1884,6,-0.595,-0.868,,,
1884,7,-0.545,-0.948,,,
1884,8,-0.496,-0.955,,,
1884,9,-0.592,-0.911,,,
1884,10,-0.704,-0.912,,,
1884,11,-1.062,-0.884,-0.757,,
1884,12,-1.04,-0.873,-0.756,,
1885,1,-1.782,-0.845,-0.752,,
1885,2,-0.963,-0.842,-0.761,,
1885,3,-0.696,-0.826,-0.763,,
1885,4,-1.247,-0.818,-0.759,,
1885,5,-0.885,-0.789,-0.752,,
1885,6,-0.46,-0.756,-0.738,,
1885,7,-0.212,-0.725,-0.736,,
1885,8,-0.462,-0.748,-0.739,,
1885,9,-0.403,-0.772,-0.751,,
1885,10,-0.599,-0.704,-0.752,,
1885,11,-0.714,-0.687,-0.76,,
1885,12,-0.653,-0.694,-0.766,,
1886,1,-1.403,-0.686,-0.761,,
1886,2,-1.244,-0.692,-0.76,,
1886,3,-0.982,-0.679,-0.753,-0.632,
1886,4,-0.429,-0.67,-0.747,-0.634,
1886,5,-0.686,-0.685,-0.731,-0.635,
1886,6,-0.543,-0.676,-0.726,-0.631,
1886,7,-0.116,-0.705,-0.729,-0.631,
1886,8,-0.538,-0.696,-0.717,-0.629,
1886,9,-0.236,-0.69,-0.701,-0.627,
1886,10,-0.492,-0.694,-0.68,-0.626,
1886,11,-0.903,-0.697,-0.661,-0.624,
1886,12,-0.54,-0.698,-0.653,-0.622,
1887,1,-1.747,-0.715,-0.644,-0.63,
1887,2,-1.146,-0.733,-0.641,-0.632,
1887,3,-0.9,-0.749,-0.637,-0.634,
1887,4,-0.488,-0.76,-0.634,-0.632,
1887,5,-0.713,-0.752,-0.632,-0.633,
1887,6,-0.559,-0.776,-0.627,-0.631,
1887,7,-0.315,-0.718,-0.612,-0.63,
1887,8,-0.755,-0.741,-0.607,-0.633,
1887,9,-0.432,-0.76,-0.613,-0.634,
1887,10,-0.627,-0.76,-0.602,-0.632,
1887,11,-0.801,-0.766,-0.6,-0.633,
1887,12,-0.824,-0.753,-0.598,-0.629,-0.551
1888,1,-1.057,-0.727,-0.6,-0.636,-0.548
1888,2,-1.426,-0.694,-0.603,-0.638,-0.554
1888,3,-1.118,-0.68,-0.601,-0.641,-0.564
1888,4,-0.495,-0.628,-0.595,-0.641,-0.568
1888,5,-0.779,-0.589,-0.602,-0.646,-0.568
1888,6,-0.405,-0.554,-0.605,-0.653,-0.57
1888,7,-0.01,-0.55,-0.588,-0.654,-0.572
1888,8,-0.351,-0.441,-0.584,-0.656,-0.574
1888,9,-0.268,-0.373,-0.574,-0.656,-0.576
1888,10,0.003,-0.329,-0.572,-0.66,-0.577
1888,11,-0.342,-0.271,-0.566,-0.657,-0.581
1888,12,-0.4,-0.245,-0.559,-0.66,-0.583
1889,1,-1.004,-0.247,-0.56,-0.664,-0.584
1889,2,-0.124,-0.242,-0.551,-0.665,-0.584
