Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1857,5,-0.955,,,,
1857,6,-0.362,,,,
1857,7,,,,,
1857,8,-0.914,-0.726,,,
1857,9,-1.132,-0.774,,,
1857,10,-0.39,-0.833,,,
1857,11,-1.118,-0.794,,,
1857,12,-1.543,-0.755,,,
1858,1,,-0.802,,,
1858,2,-0.966,-0.798,,,
1858,3,-1.622,-0.699,,,
1858,4,-1.054,-0.748,,,
1858,5,-0.483,-0.668,,,
1858,6,,-0.682,,,
1858,7,,-0.775,,,
1858,8,-0.865,-0.807,,,
1858,9,0.049,-0.763,,,
1858,10,-0.968,-0.704,,,
1858,11,-0.165,-0.673,,,
1858,12,-1.71,-0.735,,,
1859,1,-1.011,-0.719,,,
1859,2,-1.354,-0.68,,,
1859,3,-1.09,-0.766,,,
1859,4,-0.352,-0.703,,,
1859,5,-0.108,-0.787,,,
1859,6,-0.638,-0.714,,,
1859,7,-0.418,-0.715,,,
1859,8,-0.395,-0.717,,,
1859,9,-0.984,-0.782,,,
1859,10,-0.206,-0.821,,,
1859,11,-1.179,-0.89,,,
1859,12,-0.835,-0.866,,,
1860,1,-1.019,-0.877,,,
1860,2,-1.374,-0.866,,,
1860,3,-1.872,-0.819,,,
1860,4,-0.826,-0.86,,,
1860,5,-0.938,-0.812,,,
1860,6,-0.345,-0.838,,,
1860,7,-0.547,-0.905,,,
1860,8,-0.261,-0.867,,,
1860,9,-0.42,-0.786,,,
1860,10,-0.696,,,,
1860,11,-0.608,,,,
1860,12,-1.147,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,-1.004,,,,
1863,2,-0.152,,,,
1863,3,-0.535,,,,
1863,4,-0.871,,,,
1863,5,-0.324,,,,
1863,6,-0.082,-0.709,,,
1863,7,-0.515,-0.638,,,
1863,8,-0.646,-0.64,,,
1863,9,-1.045,-0.747,,,
1863,10,-0.593,,,,
1863,11,-1.039,,,,
1863,12,-1.704,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,-2.014,,,,
1866,4,-1.592,,,,
1866,5,-0.747,,,,
1866,6,,-0.945,,,
1866,7,-0.487,-0.885,,,
1866,8,-0.616,-0.882,,,
1866,9,-0.73,-0.734,,,
1866,10,-0.845,-0.632,,,
1866,11,-1.138,-0.586,,,
1866,12,-0.195,-0.522,,,
1867,1,-0.205,-0.472,,,
1867,2,-1.221,-0.454,,,
1867,3,-0.24,-0.461,,,
1867,4,-0.369,-0.441,,,
1867,5,-0.186,-0.433,,,
1867,6,-0.029,-0.502,,,
1867,7,0.107,-0.478,,,
1867,8,-0.395,-0.474,,,
1867,9,-0.821,-0.572,,,
1867,10,-0.597,-0.59,,,
1867,11,-1.049,-0.621,,,
1867,12,-1.016,-0.673,,,
1868,1,0.083,-0.69,,,
1868,2,-1.175,-0.668,,,
1868,3,-1.411,-0.636,,,
1868,4,-0.594,-0.602,,,
1868,5,-0.56,-0.58,,,
1868,6,-0.651,-0.517,,,
1868,7,-0.092,-0.51,,,
1868,8,-0.127,-0.334,,,
1868,9,-0.447,-0.192,,,
1868,10,-0.189,-0.073,,,
1868,11,-0.779,0.04,,,
1868,12,-0.261,0.159,,,
1869,1,0.169,0.227,,,
1869,2,0.937,0.26,,,
1869,3,0.288,,,,
1869,4,0.84,,,,
1869,5,0.791,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
