Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1891,2,-1.356,,,,
1891,3,-0.413,-0.692,,,
1891,4,-0.469,-0.767,,,
1891,5,-0.176,-0.722,,,
1891,6,-0.47,-0.696,,,
1891,7,-0.575,-0.711,,,
1891,8,-0.877,-0.747,,,
1891,9,-1.224,-0.846,,,
1891,10,-0.811,-0.839,,,
1891,11,-0.488,-0.841,,,
1891,12,-0.221,-0.756,,,
1892,1,-1.453,,,,
1892,2,-1.786,,,,
1892,3,-1.606,,,,
1892,4,,,,,
1892,5,,,,,
1892,6,,,,,
1892,7,,,,,
1892,8,,,,,
1892,9,,,,,
1892,10,,,,,
1892,11,,,,,
1892,12,,,,,
1893,1,,,,,
1893,2,,,,,
1893,3,,,,,
1893,4,,,,,
1893,5,,,,,
1893,6,,,,,
1893,7,,,,,
1893,8,,,,,
1893,9,,,,,
1893,10,,,,,
1893,11,,,,,
1893,12,,,,,
1894,1,,,,,
1894,2,,,,,
1894,3,,,,,
1894,4,,,,,
1894,5,,,,,
1894,6,,,,,
1894,7,,,,,
1894,8,,,,,
1894,9,,,,,
1894,10,,,,,
1894,11,,,,,
1894,12,,,,,
1895,1,,,,,
1895,2,,,,,
1895,3,,,,,
1895,4,,,,,
1895,5,,,,,
1895,6,,,,,
1895,7,,,,,
1895,8,,,,,
1895,9,,,,,
1895,10,,,,,
1895,11,,,,,
1895,12,,,,,
1896,1,,,,,
1896,2,,,,,
1896,3,,,,,
1896,4,,,,,
1896,5,,,,,
1896,6,,,,,
1896,7,,,,,
1896,8,,,,,
1896,9,,,,,
1896,10,,,,,
1896,11,,,,,
1896,12,,,,,
1897,1,,,,,
1897,2,,,,,
1897,3,,,,,
1897,4,,,,,
1897,5,,,,,
1897,6,,,,,
1897,7,,,,,
1897,8,,,,,
1897,9,,,,,
1897,10,,,,,
1897,11,,,,,
1897,12,,,,,
1898,1,,,,,
1898,2,,,,,
1898,3,,,,,
1898,4,,,,,
1898,5,,,,,
1898,6,,,,,
1898,7,,,,,
1898,8,,,,,
1898,9,,,,,
1898,10,,,,,
1898,11,,,,,
1898,12,,,,,
1899,1,,,,,
1899,2,,,,,
1899,3,,,,,
1899,4,,,,,
1899,5,,,,,
1899,6,,,,,
1899,7,,,,,
1899,8,,,,,
1899,9,,,,,
1899,10,,,,,
1899,11,,,,,
1899,12,,,,,
1900,1,,,,,
1900,2,,,,,
1900,3,,,,,
1900,4,,,,,
1900,5,,,,,
1900,6,,,,,
1900,7,,,,,
1900,8,,,,,
1900,9,,,,,
1900,10,,,,,
1900,11,,,,,
1900,12,,,,,
1901,1,,,,,
1901,2,,,,,
1901,3,,,,,
1901,4,,,,,
1901,5,,,,,
1901,6,,,,,
1901,7,,,,,
1901,8,,,,,
1901,9,,,,,
1901,10,,,,,
1901,11,,,,,
1901,12,,,,,
1902,1,,,,,
1902,2,,,,,
1902,3,,,,,
1902,4,,,,,
1902,5,,,,,
1902,6,,,,,
1902,7,-0.928,,,,
1902,8,-1.128,,,,
1902,9,-1.534,-0.744,,,
1902,10,-1.574,-0.758,,,
1902,11,-2.17,-0.756,,,
1902,12,-0.449,-0.77,,,
1903,1,-0.042,-0.675,,,
1903,2,-0.131,-0.596,,,
1903,3,-0.224,-0.471,,,
1903,4,-0.374,-0.375,,,
1903,5,-0.496,-0.231,,,
1903,6,-0.189,-0.232,,,
1903,7,0.212,-0.285,,,
1903,8,-0.179,-0.34,,,
1903,9,-0.042,-0.376,-0.382,,
1903,10,-0.417,-0.406,-0.385,,
1903,11,-0.448,-0.413,-0.389,,
1903,12,-0.455,-0.461,-0.406,,
1904,1,-0.681,-0.542,-0.406,,
1904,2,-0.788,-0.606,-0.415,,
1904,3,-0.651,-0.674,-0.411,,
1904,4,-0.738,-0.682,-0.421,,
1904,5,-0.587,-0.726,-0.403,,
