Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1855,6,-1.101,,,,
1855,7,-0.861,-0.789,,,
1855,8,-0.281,-0.897,,,
1855,9,-1.014,-0.996,,,
1855,10,-1.425,-1.092,,,
1855,11,-0.902,-1.193,,,
1855,12,-2.713,-1.083,,,
1856,1,-0.506,-1.03,,,
1856,2,-1.56,-1.104,,,
1856,3,-1.831,-1.137,,,
1856,4,-0.608,-1.127,,,
1856,5,-1.51,-1.059,,,
1856,6,0.218,-0.928,,,
1856,7,-0.231,-0.917,-0.781,,
1856,8,-1.168,-0.877,-0.779,,
1856,9,-1.412,-0.779,-0.764,,
1856,10,-1.298,-0.897,-0.748,,
1856,11,-0.09,-0.858,-0.739,,
1856,12,-1.14,-0.827,-0.721,,
1857,1,-0.374,-0.78,-0.71,,
1857,2,-1.079,-0.754,-0.717,,
1857,3,-0.652,-0.73,-0.721,,
1857,4,-2.023,-0.756,-0.712,,
1857,5,-1.05,-0.698,-0.712,,
1857,6,0.593,-0.691,-0.714,,
1857,7,0.336,-0.687,-0.715,,
1857,8,-0.853,-0.627,-0.721,,
1857,9,-1.127,-0.632,-0.735,,
1857,10,-1.613,-0.454,-0.748,-0.644,
1857,11,0.604,-0.438,-0.76,-0.638,
1857,12,-1.051,-0.576,-0.744,-0.645,
1858,1,-0.326,-0.743,-0.714,-0.638,
1858,2,-0.357,-0.664,-0.682,-0.634,
1858,3,-0.722,-0.632,-0.659,-0.633,
1858,4,0.123,-0.692,-0.634,-0.632,
1858,5,-0.866,-0.855,-0.635,-0.637,
1858,6,-1.055,-0.979,-0.624,-0.636,
1858,7,-1.671,-1.097,-0.648,-0.642,
1858,8,0.089,-1.162,-0.63,-0.652,
1858,9,-0.739,-1.11,-0.617,-0.657,
1858,10,-2.336,-1.042,-0.595,-0.659,
1858,11,-1.355,-0.965,-0.588,-0.656,
1858,12,-2.534,-0.841,-0.612,-0.653,
1859,1,-1.743,-0.634,-0.629,-0.651,
1859,2,-1.137,-0.689,-0.583,-0.644,
1859,3,-0.098,-0.695,-0.573,-0.643,
1859,4,0.942,-0.431,-0.58,-0.646,
1859,5,0.05,-0.359,-0.588,-0.645,
1859,6,0.435,-0.218,-0.58,-0.64,
1859,7,0.818,-0.086,-0.59,-0.645,
1859,8,-0.572,-0.042,-0.592,-0.653,
1859,9,-0.806,-0.159,-0.589,-0.656,
1859,10,0.834,-0.257,-0.546,-0.664,
1859,11,-0.49,-0.343,-0.523,-0.665,
1859,12,-0.843,-0.393,-0.524,-0.669,
1860,1,-0.159,-0.385,-0.553,-0.672,
1860,2,-0.612,-0.199,-0.562,-0.677,
1860,3,-1.502,-0.102,-0.572,-0.681,
1860,4,-0.237,-0.162,-0.553,-0.689,-0.604
1860,5,-0.986,-0.205,-0.574,-0.693,-0.6
1860,6,-0.165,-0.303,-0.571,-0.681,-0.598
1860,7,0.919,-0.452,-0.567,-0.673,-0.598
1860,8,1.661,-0.445,-0.571,-0.676,-0.603
1860,9,0.353,-0.405,-0.584,-0.673,-0.603
1860,10,0.116,-0.325,-0.586,-0.659,-0.6
1860,11,-1.005,-0.334,-0.591,-0.651,-0.598
1860,12,-2.021,-0.422,-0.577,-0.633,-0.597
1861,1,-1.945,-0.604,-0.559,-0.629,-0.6
1861,2,-0.524,-0.609,-0.579,-0.625,-0.603
1861,3,-1.022,-0.705,-0.583,-0.616,-0.601
1861,4,0.72,-0.858,-0.565,-0.613,-0.601
1861,5,-1.096,-0.824,-0.554,-0.601,-0.604
1861,6,-1.219,-0.708,-0.526,-0.611,-0.604
1861,7,-1.271,-0.629,-0.521,-0.604,-0.607
