Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1892,2,-1.265,,,,
1892,3,-1.199,,,,
1892,4,-0.971,,,,
1892,5,-0.594,,,,
1892,6,0.462,,,,
1892,7,,,,,
1892,8,,,,,
1892,9,,,,,
1892,10,,,,,
1892,11,,,,,
1892,12,,,,,
1893,1,-2.246,,,,
1893,2,-1.336,,,,
1893,3,-1.055,-0.973,,,
1893,4,-0.576,-0.967,,,
1893,5,-1.043,-0.983,,,
1893,6,-1.191,-0.986,,,
1893,7,-0.705,-0.946,,,
1893,8,-0.611,-0.945,,,
1893,9,-0.384,-0.963,,,
1893,10,-0.584,-1.006,,,
1893,11,-1.274,-0.945,,,
1893,12,-0.831,-0.811,,,
1894,1,-1.76,-0.71,,,
1894,2,-1.328,-0.708,,,
1894,3,-1.27,-0.682,-0.644,,
1894,4,-1.092,-0.679,-0.627,,
1894,5,-0.305,-0.646,-0.622,,
1894,6,0.416,-0.667,-0.618,,
1894,7,0.501,-0.639,-0.605,,
1894,8,,-0.681,-0.593,,
1894,9,-0.071,-0.686,-0.58,,
1894,10,,-0.656,,,
1894,11,-0.882,-0.647,,,
1894,12,-1.08,-0.591,,,
1895,1,-1.431,-0.551,-0.56,,
1895,2,-1.827,-0.473,-0.55,,
1895,3,-1.33,-0.42,-0.549,,
1895,4,-0.729,-0.407,-0.542,,
1895,5,-0.198,-0.399,-0.54,,
1895,6,1.081,-0.362,-0.536,,
1895,7,0.98,-0.309,-0.501,,
1895,8,0.356,-0.208,-0.495,,
1895,9,0.563,-0.156,-0.504,,
1895,10,-0.384,-0.16,-0.502,,
1895,11,-0.788,-0.15,,,
1895,12,-0.63,,,,
1896,1,,,,,
1896,2,,,,,
1896,3,,,,,
1896,4,-0.769,,,,
1896,5,-0.085,,,,
1896,6,,,,,
1896,7,0.683,,,,
1896,8,0.272,,,,
1896,9,0.019,,,,
1896,10,,,,,
1896,11,,,,-0.48,
1896,12,,,,-0.479,
1897,1,-0.628,,,-0.472,
1897,2,-0.584,,,-0.47,
1897,3,-0.392,,,-0.468,
1897,4,,,,-0.464,
1897,5,-0.0,-0.38,,-0.461,
1897,6,-0.048,-0.386,,-0.466,
1897,7,-0.512,-0.348,,-0.457,
1897,8,,,,-0.446,
1897,9,-0.387,,,-0.444,
1897,10,-0.256,,,-0.441,
1897,11,-0.955,,,-0.432,
1897,12,-0.544,,,-0.428,
1898,1,,,,-0.41,
1898,2,,,,-0.394,
1898,3,,,,-0.386,
1898,4,,,,-0.386,
1898,5,,,,-0.386,
1898,6,,,,-0.382,
1898,7,,,,-0.379,
1898,8,,,,-0.381,
1898,9,,,,-0.385,
1898,10,,,,-0.386,
1898,11,,,,-0.382,
1898,12,,,,-0.384,
1899,1,-0.239,,,-0.378,
1899,2,-1.22,,,-0.375,
1899,3,-1.001,-0.561,,-0.373,
1899,4,-0.018,-0.527,,-0.373,
1899,5,-0.5,-0.45,-0.338,-0.377,-0.517
1899,6,-0.063,-0.42,-0.34,-0.38,-0.52
1899,7,-0.42,-0.438,-0.339,-0.387,-0.521
1899,8,-0.297,-0.326,-0.347,-0.383,-0.523
1899,9,-0.272,-0.192,-0.355,-0.389,-0.521
1899,10,-0.459,-0.167,-0.367,-0.389,-0.52
1899,11,0.187,-0.115,-0.37,-0.381,-0.516
1899,12,-0.741,-0.105,-0.373,-0.374,-0.516
1900,1,-0.458,-0.082,-0.354,-0.364,-0.516
1900,2,0.131,-0.069,-0.342,-0.351,-0.517
1900,3,0.609,-0.071,-0.339,-0.346,-0.517
1900,4,0.277,-0.012,-0.34,-0.341,-0.518
1900,5,0.13,-0.024,-0.324,-0.339,-0.518
1900,6,0.051,0.058,-0.32,-0.343,-0.519
1900,7,-0.146,0.082,-0.318,-0.345,-0.521
1900,8,-0.133,0.062,-0.294,-0.349,-0.522
1900,9,-0.299,-0.01,-0.268,-0.358,-0.524
1900,10,0.24,-0.038,-0.271,-0.357,-0.528
1900,11,0.049,-0.077,-0.279,-0.349,-0.527
1900,12,0.243,-0.11,-0.282,-0.347,-0.529
1901,1,-0.164,-0.123,-0.286,-0.343,-0.528
1901,2,-0.116,-0.108,-0.298,-0.342,-0.528
1901,3,-0.256,-0.118,-0.302,-0.34,-0.53
1901,4,-0.059,-0.18,-0.298,-0.333,-0.531
1901,5,-0.341,-0.232,-0.299,-0.335,-0.532
1901,6,-0.338,-0.302,-0.3,-0.336,-0.531
1901,7,-0.304,-0.334,-0.312,-0.343,-0.53
1901,8,0.045,-0.413,-0.309,-0.348,-0.529
1901,9,-0.416,-0.466,-0.309,-0.35,-0.529
1901,10,-0.498,-0.504,-0.327,-0.356,-0.526
1901,11,-0.578,-0.492,-0.332,-0.353,-0.524
1901,12,-0.599,-0.479,-0.329,-0.357,-0.521
1902,1,-0.553,-0.402,-0.329,-0.359,-0.514
1902,2,-1.057,-0.392,-0.325,-0.365,-0.508
1902,3,-0.89,-0.375,-0.333,-0.365,-0.503
1902,4,-0.524,-0.355,-0.334,-0.372,-0.498
1902,5,-0.195,-0.308,-0.338,-0.378,-0.495
1902,6,-0.181,-0.284,-0.328,-0.383,-0.499
1902,7,0.617,-0.245,-0.325,-0.383,-0.498
1902,8,0.168,-0.113,-0.331,-0.38,-0.495
1902,9,-0.205,-0.048,-0.353,-0.38,-0.494
1902,10,-0.263,-0.052,-0.361,-0.382,-0.493
1902,11,-0.018,-0.116,-0.361,-0.38,-0.493
1902,12,-0.306,-0.163,-0.353,-0.381,-0.492
1903,1,-0.081,-0.242,-0.338,-0.384,-0.485
1903,2,0.524,-0.329,-0.338,-0.383,-0.485
1903,3,-0.117,-0.385,-0.341,-0.375,-0.483
1903,4,-0.569,-0.416,-0.349,-0.376,-0.484
1903,5,-0.963,-0.48,-0.348,-0.378,-0.482
1903,6,-0.743,-0.55,-0.358,-0.375,-0.479
1903,7,-0.333,-0.623,-0.36,-0.377,-0.476
1903,8,-0.872,-0.754,-0.366,-0.381,-0.472
1903,9,-0.873,-0.828,-0.371,-0.382,-0.471
1903,10,-0.636,-0.871,-0.368,-0.385,-0.468
1903,11,-0.793,-0.859,-0.368,-0.389,-0.462
1903,12,-1.146,-0.788,-0.371,-0.387,-0.46
1904,1,-0.958,-0.794,-0.368,-0.394,-0.453
1904,2,-1.039,-0.728,-0.373,-0.394,-0.448
1904,3,-1.006,-0.719,-0.371,-0.39,-0.444
1904,4,-1.092,-0.709,-0.373,-0.396,-0.442
1904,5,-0.818,-0.644,-0.367,-0.405,-0.441
1904,6,0.108,-0.562,-0.373,-0.412,-0.445
1904,7,-0.408,-0.503,-0.379,-0.412,-0.446
1904,8,-0.071,-0.436,-0.383,-0.418,-0.443
1904,9,-0.774,-0.415,-0.375,-0.418,-0.443
1904,10,-0.507,-0.338,-0.378,-0.417,-0.442
1904,11,-0.02,-0.262,-0.385,-0.421,-0.44
1904,12,-0.155,-0.226,-0.393,-0.42,-0.435
1905,1,-0.258,-0.13,-0.412,-0.426,-0.428
1905,2,-0.236,-0.13,-0.418,-0.438,-0.42
1905,3,-0.752,-0.111,-0.42,-0.453,-0.414
1905,4,-0.162,-0.088,-0.425,-0.463,-0.409
1905,5,0.097,-0.074,-0.437,-0.472,-0.407
1905,6,0.539,-0.094,-0.443,-0.481,-0.412
1905,7,0.74,-0.094,-0.45,-0.487,-0.415
1905,8,-0.077,-0.116,-0.472,-0.495,-0.415
1905,9,-0.536,-0.096,-0.481,-0.502,-0.419
1905,10,-0.236,-0.076,-0.481,-0.515,-0.419
1905,11,0.148,-0.112,-0.478,-0.523,-0.419
1905,12,-0.389,-0.198,-0.469,-0.536,-0.418
1906,1,-0.269,-0.273,-0.468,-0.547,-0.418
1906,2,-0.501,-0.287,-0.464,-0.554,-0.419
1906,3,-0.505,-0.267,-0.463,-0.564,-0.419
1906,4,0.081,-0.297,-0.472,-0.571,-0.416
1906,5,-0.337,-0.328,-0.479,-0.574,-0.417
1906,6,-0.495,-0.375,-0.474,-0.572,-0.42
1906,7,-0.158,-0.43,-0.476,-0.569,-0.426
1906,8,-0.252,-0.498,-0.48,-0.572,-0.432
1906,9,-0.288,-0.487,-0.471,-0.571,-0.433
1906,10,-0.595,-0.552,-0.466,-0.569,-0.437
1906,11,-0.227,-0.575,-0.479,-0.567,-0.442
1906,12,-0.961,-0.591,-0.496,-0.562,-0.444
1907,1,-0.922,-0.619,-0.496,-0.555,-0.446
1907,2,-1.318,-0.616,-0.511,-0.546,-0.449
1907,3,-0.372,-0.62,-0.502,-0.538,-0.45
1907,4,-0.698,-0.617,-0.499,-0.531,-0.454
1907,5,-0.62,-0.656,-0.504,-0.53,-0.457
1907,6,-0.676,-0.634,-0.512,-0.531,-0.457
1907,7,-0.496,-0.597,-0.528,-0.539,-0.456
1907,8,-0.22,-0.557,-0.544,-0.544,-0.456
1907,9,-0.34,-0.579,-0.552,-0.544,-0.459
1907,10,-0.558,-0.571,-0.564,-0.545,-0.463
1907,11,-0.694,-0.583,-0.583,-0.554,-0.462
1907,12,-0.694,-0.541,-0.608,-0.557,-0.467
1908,1,-0.478,-0.522,-0.635,-0.56,-0.473
1908,2,-0.834,-0.558,-0.653,-0.575,-0.475
1908,3,-0.645,-0.596,-0.662,-0.58,-0.473
1908,4,-0.598,-0.65,-0.68,-0.581,-0.474
1908,5,-0.764,-0.691,-0.698,-0.579,-0.474
1908,6,-0.177,-0.704,-0.715,-0.576,-0.469
1908,7,-0.267,-0.755,-0.733,-0.572,-0.467
1908,8,-0.645,-0.791,-0.741,-0.563,-0.463
1908,9,-0.794,-0.779,-0.757,-0.557,-0.461
1908,10,-1.21,-0.794,-0.774,-0.551,-0.46
1908,11,-1.184,-0.861,-0.78,-0.543,-0.458
1908,12,-0.849,-0.922,-0.773,-0.536,-0.453
1909,1,-1.093,-0.934,-0.77,-0.529,-0.449
1909,2,-1.264,-0.962,-0.77,-0.521,-0.44
1909,3,-0.5,-0.916,-0.77,-0.514,-0.436
1909,4,-0.781,-0.842,-0.766,-0.51,-0.434
1909,5,-1.565,-0.771,-0.767,-0.506,-0.431
1909,6,-0.912,-0.753,-0.752,-0.509,-0.432
1909,7,-0.408,-0.765,-0.731,-0.504,-0.432
1909,8,-0.982,-0.76,-0.708,-0.502,-0.433
1909,9,-0.249,-0.817,-0.701,-0.497,-0.433
1909,10,-0.32,-0.829,-0.685,-0.495,-0.433
1909,11,-0.324,-0.786,-0.676,-0.499,-0.436
1909,12,-0.632,-0.79,-0.67,-0.496,-0.436
1910,1,-1.244,-0.829,-0.666,-0.492,-0.434
1910,2,-1.206,-0.841,-0.67,-0.49,-0.434
