Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,2.22,0.269,,,
1750,3,2.713,0.26,,,
1750,4,0.691,0.184,,,
1750,5,-0.915,-0.167,,,
1750,6,-0.037,-0.291,,,
1750,7,0.958,-0.475,,,
1750,8,0.789,-0.929,,,
1750,9,-0.394,-1.007,,,
1750,10,-2.637,-1.176,,,
1750,11,-5.233,-1.147,,,
1750,12,-2.76,-1.215,,,
1751,1,-1.097,-1.219,,,
1751,2,-3.225,-1.213,,,
1751,3,1.774,-1.214,,,
1751,4,-1.335,-1.126,,,
1751,5,-0.564,-0.924,,,
1751,6,-0.851,-0.803,,,
1751,7,0.909,-0.788,,,
1751,8,0.862,-0.42,,,
1751,9,-0.41,-0.482,,,
1751,10,-1.58,-0.423,,,
1751,11,-2.81,-0.437,,,
1751,12,-1.308,-0.302,,,
1752,1,-0.918,-0.262,,,
1752,2,1.195,-0.331,,,
1752,3,1.023,,,,
1752,4,-0.623,,,,
1752,5,-0.729,,,,
1752,6,0.77,,,,
1752,7,1.386,,,,
1752,8,0.035,,,,
1752,9,,,,,
1752,10,-0.359,,,,
1752,11,0.176,,,,
1752,12,-0.362,,,,
1753,1,-0.872,,,,
1753,2,-0.411,,,,
1753,3,1.817,-0.092,,,
1753,4,0.618,-0.057,,,
1753,5,0.05,-0.206,,,
1753,6,-0.404,-0.515,,,
1753,7,-0.193,-0.472,,,
1753,8,-0.834,-0.558,,,
1753,9,-0.334,-0.913,,,
1753,10,0.069,-0.928,,,
1753,11,-1.614,-0.844,,,
1753,12,-4.075,-0.796,,,
1754,1,-0.353,-0.864,,,
1754,2,-1.448,-0.861,,,
1754,3,-2.433,-0.93,,,
1754,4,0.439,-0.909,,,
1754,5,1.052,-0.799,,,
1754,6,0.177,-0.472,,,
1754,7,-1.019,-0.701,,,
1754,8,-0.792,-0.933,,,
1754,9,-1.167,-0.815,,,
1754,10,0.324,-0.694,,,
1754,11,-0.296,-0.746,,,
1754,12,-0.151,-0.616,,,
1755,1,-3.096,-0.46,,,
1755,2,-4.231,-0.505,,,
1755,3,-1.016,-0.53,-0.176,,
1755,4,1.883,-0.572,-0.248,,
1755,5,0.439,-0.655,-0.257,,
1755,6,1.731,-0.648,-0.29,,
1755,7,0.851,-0.192,-0.342,,
1755,8,-1.334,0.427,-0.361,,
1755,9,-1.457,0.601,-0.402,,
1755,10,-0.186,0.386,-0.43,,
1755,11,-1.297,0.281,-0.425,,
1755,12,-0.056,0.276,-0.417,,
1756,1,2.367,0.283,-0.433,,
1756,2,3.205,0.32,-0.431,,
1756,3,1.062,0.446,-0.463,,
1756,4,-0.695,0.432,-0.515,,
1756,5,-0.817,0.314,-0.504,,
1756,6,1.67,0.12,-0.451,,
1756,7,0.941,-0.213,-0.399,,
1756,8,-0.899,-0.323,-0.331,,
1756,9,0.064,-0.384,-0.275,,
1756,10,-0.36,-0.181,-0.288,,
1756,11,-2.712,-0.112,-0.335,,
1756,12,-2.388,-0.086,-0.322,,
1757,1,-1.629,0.14,-0.288,,
1757,2,1.889,0.291,-0.266,,
1757,3,0.328,0.227,-0.262,,
1757,4,1.746,-0.136,-0.283,,
1757,5,0.006,0.063,-0.339,,
1757,6,1.98,0.067,-0.413,,
1757,7,3.651,-0.131,-0.416,,
1757,8,0.912,-0.417,-0.354,,
1757,9,-0.695,-0.497,-0.365,-0.347,
1757,10,-4.715,-0.734,-0.403,-0.372,
1757,11,-0.325,-0.707,-0.406,-0.378,
1757,12,-2.342,-0.862,-0.425,-0.4,
