Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1780,2,-0.488,,,,
1780,3,0.6,0.248,,,
1780,4,2.565,0.231,,,
1780,5,1.874,0.164,,,
1780,6,0.48,0.055,,,
1780,7,0.724,0.128,,,
1780,8,-0.288,0.165,,,
1780,9,-1.187,0.112,,,
1780,10,-0.063,-0.109,,,
1780,11,-0.839,-0.234,,,
1780,12,-1.119,-0.386,,,
1781,1,-0.724,-0.428,,,
1781,2,-0.045,-0.371,,,
1781,3,-0.04,-0.425,-0.336,,
1781,4,-0.077,-0.469,-0.328,,
1781,5,0.373,-0.291,-0.331,,
1781,6,-1.345,-0.097,-0.302,,
1781,7,0.212,-0.104,-0.275,,
1781,8,0.4,-0.32,-0.322,,
1781,9,-1.836,-0.42,-0.329,,
1781,10,-0.589,-0.503,-0.353,,
1781,11,1.296,-0.564,-0.38,,
1781,12,1.207,-0.374,-0.342,,
1782,1,-0.799,-0.39,-0.323,,
1782,2,-2.643,-0.366,-0.318,,
1782,3,-1.245,-0.222,-0.338,,
1782,4,-1.069,-0.288,-0.371,,
1782,5,-0.363,-0.601,-0.398,,
1782,6,0.943,-0.833,-0.437,-0.427,
1782,7,0.017,-0.921,-0.402,-0.425,
1782,8,0.689,-0.654,-0.427,-0.423,
1782,9,-0.113,-0.619,-0.49,-0.433,
1782,10,-1.375,-0.519,-0.546,-0.43,
1782,11,-2.465,-0.54,-0.583,-0.441,
1782,12,-1.577,-0.562,-0.562,-0.426,
1783,1,-1.851,-0.54,-0.576,-0.443,
1783,2,0.558,-0.617,-0.571,-0.44,
1783,3,-0.817,-0.815,-0.556,-0.431,
1783,4,0.128,-0.805,-0.564,-0.439,
1783,5,-0.612,-0.75,-0.558,-0.428,
1783,6,0.675,-0.558,-0.563,-0.412,
1783,7,0.28,-0.454,-0.571,-0.409,
1783,8,-0.237,-0.637,-0.581,-0.396,
1783,9,-2.491,-0.565,-0.581,-0.4,
1783,10,-1.252,-0.631,-0.574,-0.387,
1783,11,-1.801,-0.604,-0.57,-0.374,
1783,12,0.723,-0.618,-0.533,-0.377,
1784,1,-0.598,-0.612,-0.532,-0.36,
1784,2,-1.648,-0.614,-0.537,-0.364,
1784,3,0.052,-0.475,-0.51,-0.377,
1784,4,-0.659,-0.526,-0.517,-0.391,
1784,5,-0.29,-0.51,-0.57,-0.4,
1784,6,0.502,-0.749,-0.625,-0.394,
1784,7,0.361,-0.659,-0.616,-0.4,
1784,8,-0.26,-0.687,-0.558,-0.401,
1784,9,-0.825,-0.957,-0.524,-0.413,
1784,10,-1.865,-0.97,-0.514,-0.431,
1784,11,-1.611,-0.971,-0.519,-0.448,
1784,12,-2.144,-0.87,-0.537,-0.453,-0.36
1785,1,0.478,-0.909,-0.566,-0.441,-0.366
1785,2,-1.984,-0.888,-0.582,-0.433,-0.373
1785,3,-3.186,-0.842,-0.605,-0.436,-0.375
1785,4,-0.813,-0.73,-0.601,-0.464,-0.372
1785,5,-0.303,-0.637,-0.583,-0.491,-0.363
1785,6,1.718,-0.578,-0.549,-0.491,-0.363
1785,7,-0.117,-0.717,-0.557,-0.502,-0.364
1785,8,-0.004,-0.605,-0.544,-0.497,-0.361
1785,9,-0.279,-0.344,-0.534,-0.494,-0.357
1785,10,-0.512,-0.249,-0.533,-0.494,-0.356
1785,11,-0.497,-0.172,-0.512,-0.488,-0.365
1785,12,-1.437,-0.244,-0.518,-0.478,-0.352
1786,1,-1.188,-0.21,-0.509,-0.469,-0.336
1786,2,-0.641,-0.199,-0.489,-0.476,-0.338
1786,3,-0.06,-0.197,-0.465,-0.473,-0.345
1786,4,0.328,-0.235,-0.446,-0.46,-0.341
1786,5,0.624,-0.35,-0.416,-0.475,-0.335
1786,6,0.857,-0.407,-0.452,-0.471,-0.331
1786,7,0.287,-0.331,-0.445,-0.479,-0.33
1786,8,0.135,-0.207,-0.407,-0.475,-0.33
1786,9,-0.255,-0.135,-0.425,-0.454,-0.321
1786,10,-0.977,-0.201,-0.428,-0.456,-0.319
1786,11,-1.868,-0.308,-0.42,-0.471,-0.321
1786,12,-2.131,-0.392,-0.447,-0.486,-0.332
1787,1,-0.272,-0.557,-0.477,-0.482,-0.334
1787,2,0.848,-0.595,-0.484,-0.451,-0.33
1787,3,0.809,-0.698,-0.488,-0.436,-0.338
1787,4,-0.468,-0.709,-0.49,-0.42,-0.334
1787,5,-0.663,-0.667,-0.498,-0.416,-0.33
1787,6,-0.15,-0.455,-0.469,-0.422,-0.326
1787,7,-1.696,-0.624,-0.48,-0.424,-0.319
1787,8,-0.317,-0.584,-0.439,-0.432,-0.314
1787,9,-1.493,-0.67,-0.383,-0.442,-0.317
1787,10,-1.103,-0.612,-0.381,-0.437,-0.316
1787,11,-1.369,-0.503,-0.399,-0.422,-0.32
1787,12,0.418,-0.464,-0.42,-0.41,-0.312
1788,1,-2.306,-0.259,-0.428,-0.407,-0.31
1788,2,1.334,-0.152,-0.424,-0.404,-0.315
1788,3,-0.223,-0.111,-0.432,-0.399,-0.307
1788,4,0.226,-0.031,-0.424,-0.406,-0.309
1788,5,0.642,0.083,-0.419,-0.402,-0.307
1788,6,0.321,-0.07,-0.393,-0.411,-0.298
1788,7,0.766,0.107,-0.367,-0.404,-0.299
1788,8,0.961,0.049,-0.372,-0.399,-0.291
1788,9,-1.0,-0.021,-0.364,-0.389,-0.292
1788,10,-0.143,-0.107,-0.346,-0.38,-0.285
1788,11,-0.003,-0.144,-0.381,-0.36,-0.279
1788,12,-1.415,-0.264,-0.408,-0.36,-0.275
1789,1,-0.183,-0.447,-0.425,-0.358,-0.269
1789,2,0.633,-0.588,-0.414,-0.336,-0.268
1789,3,-1.058,-0.594,-0.398,-0.327,-0.273
1789,4,-0.808,-0.746,-0.396,-0.312,-0.284
