Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1878,2,-0.941,,,,
1878,3,0.822,,,,
1878,4,0.851,0.234,,,
1878,5,0.594,0.209,,,
1878,6,0.501,0.286,,,
1878,7,1.622,0.485,,,
1878,8,0.73,0.509,,,
1878,9,0.888,0.338,,,
1878,10,0.202,0.291,,,
1878,11,-0.308,0.223,,,
1878,12,,0.2,,,
1879,1,1.009,0.078,,,
1879,2,-0.651,-0.005,,,
1879,3,-1.227,-0.131,,,
1879,4,0.286,-0.155,,,
1879,5,-0.231,-0.196,,,
1879,6,0.227,-0.143,,,
1879,7,0.158,-0.212,,,
1879,8,-0.268,,,,
1879,9,-0.619,,,,
1879,10,-0.084,,0.02,,
1879,11,-0.801,,-0.007,,
1879,12,0.488,,-0.011,,
1880,1,,,-0.043,,
1880,2,,,-0.056,,
1880,3,,,-0.068,,
1880,4,-0.21,,-0.093,,
1880,5,,,-0.118,,
1880,6,,,-0.088,,
1880,7,,,-0.079,,
1880,8,-0.457,,-0.078,,
1880,9,0.025,0.027,-0.092,,
1880,10,-0.264,0.066,-0.105,,
1880,11,-0.223,0.129,-0.114,,
1880,12,0.131,0.16,-0.106,,
1881,1,0.932,0.216,-0.145,-0.146,
1881,2,0.54,0.284,-0.173,-0.151,
1881,3,0.378,0.301,-0.194,-0.158,
1881,4,0.253,0.355,-0.194,-0.165,
1881,5,0.585,0.346,-0.212,-0.168,
1881,6,0.223,0.314,-0.206,-0.16,
1881,7,0.473,0.222,-0.227,-0.156,
1881,8,0.356,0.054,-0.239,-0.16,
1881,9,0.23,-0.097,-0.227,-0.163,
1881,10,0.382,-0.137,-0.233,-0.163,
1881,11,-0.323,-0.242,-0.252,-0.169,
1881,12,-0.265,-0.27,-0.262,-0.185,
1882,1,-0.17,-0.402,-0.273,-0.201,
1882,2,-1.468,-0.453,-0.272,-0.205,
1882,3,-1.437,-0.497,-0.26,-0.219,
1882,4,-0.228,-0.563,-0.265,-0.229,
1882,5,-0.672,-0.663,-0.266,-0.245,
1882,6,-0.116,-0.579,-0.274,-0.245,
1882,7,-1.11,-0.634,-0.302,-0.256,
1882,8,-0.253,-0.586,-0.279,-0.27,
1882,9,-0.302,-0.47,-0.289,-0.279,
1882,10,-0.408,-0.444,-0.307,-0.288,
1882,11,-1.529,-0.385,-0.3,-0.282,
1882,12,0.742,-0.292,-0.303,-0.275,
1883,1,-0.822,-0.258,-0.294,-0.264,
1883,2,-0.897,-0.314,-0.285,-0.252,
1883,3,-0.041,-0.321,-0.294,-0.26,
1883,4,0.074,-0.272,-0.296,-0.27,
1883,5,0.044,-0.262,-0.293,-0.278,
1883,6,0.992,-0.304,-0.294,-0.285,
1883,7,-0.699,-0.256,-0.33,-0.299,-0.22
1883,8,-0.923,-0.298,-0.368,-0.308,-0.221
1883,9,-0.39,-0.334,-0.389,-0.316,-0.223
1883,10,0.179,-0.347,-0.396,-0.313,-0.225
1883,11,-1.401,-0.465,-0.4,-0.312,-0.225
1883,12,0.236,-0.578,-0.392,-0.3,-0.218
1884,1,-0.248,-0.56,-0.389,-0.313,-0.218
1884,2,-1.4,-0.505,-0.407,-0.306,-0.218
1884,3,-0.473,-0.462,-0.42,-0.285,-0.211
1884,4,-0.077,-0.507,-0.429,-0.287,-0.21
1884,5,-1.377,-0.465,-0.447,-0.283,-0.217
1884,6,-0.363,-0.485,-0.47,-0.282,-0.215
1884,7,-0.486,-0.587,-0.501,-0.286,-0.218
1884,8,-0.254,-0.544,-0.491,-0.29,-0.221
1884,9,0.124,-0.571,-0.485,-0.277,-0.221
1884,10,-0.364,-0.673,-0.478,-0.28,-0.221
1884,11,-0.897,-0.535,-0.483,-0.285,-0.223
1884,12,-0.003,-0.536,-0.478,-0.28,-0.223
1885,1,-1.476,-0.467,-0.47,-0.279,-0.226
1885,2,-0.878,-0.439,-0.485,-0.257,-0.225
1885,3,-0.802,-0.489,-0.49,-0.262,-0.23
1885,4,-1.304,-0.491,-0.482,-0.261,-0.227
1885,5,0.28,-0.424,-0.446,-0.271,-0.228
1885,6,-0.372,-0.416,-0.463,-0.269,-0.227
1885,7,0.346,-0.397,-0.45,-0.276,-0.229
1885,8,0.074,-0.467,-0.426,-0.288,-0.232
1885,9,-0.468,-0.471,-0.428,-0.295,-0.234
1885,10,-0.392,-0.379,-0.434,-0.297,-0.234
1885,11,-0.091,-0.373,-0.441,-0.299,-0.232
1885,12,0.087,-0.286,-0.464,-0.297,-0.225
1886,1,-1.245,-0.258,-0.453,-0.304,-0.215
1886,2,-1.716,-0.323,-0.444,-0.31,-0.215
1886,3,-0.85,-0.332,-0.439,-0.321,-0.218
1886,4,-0.2,-0.313,-0.431,-0.322,-0.216
1886,5,0.347,-0.42,-0.412,-0.336,-0.223
1886,6,0.681,-0.564,-0.394,-0.347,-0.223
1886,7,0.682,-0.633,-0.398,-0.358,-0.221
1886,8,-0.712,-0.56,-0.372,-0.369,-0.223
1886,9,-0.575,-0.577,-0.344,-0.367,-0.222
1886,10,-0.166,-0.547,-0.34,-0.368,-0.228
1886,11,-1.374,-0.654,-0.313,-0.364,-0.233
1886,12,-1.641,-0.7,-0.303,-0.354,-0.232
1887,1,-2.071,-0.807,-0.299,-0.354,-0.234
1887,2,-0.842,-0.842,-0.307,-0.349,-0.24
1887,3,-1.052,-0.848,-0.295,-0.336,-0.248
1887,4,0.155,-0.828,-0.296,-0.329,-0.254
1887,5,-0.937,-0.661,-0.304,-0.325,-0.258
1887,6,0.139,-0.545,-0.286,-0.325,-0.261
1887,7,-0.602,-0.377,-0.257,-0.319,-0.264
1887,8,-1.14,-0.259,-0.235,-0.321,-0.268
1887,9,-0.647,-0.187,-0.235,-0.325,-0.269
1887,10,0.074,-0.223,-0.215,-0.32,-0.27
1887,11,0.628,-0.175,-0.243,-0.313,-0.272
1887,12,-0.246,-0.222,-0.234,-0.32,-0.266
1888,1,-0.054,-0.173,-0.258,-0.309,-0.267
1888,2,0.571,-0.113,-0.291,-0.319,-0.266
1888,3,-0.186,-0.065,-0.296,-0.32,-0.276
1888,4,-0.272,-0.015,-0.298,-0.317,-0.277
1888,5,-0.362,-0.088,-0.304,-0.319,-0.282
1888,6,-0.422,0.039,-0.3,-0.328,-0.287
1888,7,-0.022,0.004,-0.277,-0.32,-0.295
1888,8,-0.414,-0.031,-0.251,-0.315,-0.301
1888,9,-0.071,0.088,-0.254,-0.315,-0.305
