Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1787,3,-1.601,,,,
1787,4,-1.237,-0.749,,,
1787,5,-0.594,-0.678,,,
1787,6,,-0.489,,,
1787,7,-0.874,-0.648,,,
1787,8,-0.176,-0.552,,,
1787,9,-0.951,,,,
1787,10,-0.864,,,,
1787,11,0.684,,,,
1787,12,-0.614,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,-1.671,,,,
1788,6,-0.097,,,,
1788,7,1.228,-0.271,,,
1788,8,-0.286,-0.424,-0.411,,
1788,9,-0.38,-0.41,-0.439,,
1788,10,-1.485,-0.41,-0.462,,
1788,11,0.267,-0.232,-0.475,,
1788,12,-1.215,-0.274,-0.466,,
1789,1,-0.701,-0.333,-0.484,,
1789,2,-1.247,-0.354,-0.494,,
1789,3,0.226,-0.371,-0.487,,
1789,4,0.434,-0.311,-0.467,,
1789,5,0.465,-0.404,-0.468,,
1789,6,-0.594,-0.417,-0.437,,
1789,7,0.514,-0.376,-0.453,,
1789,8,-0.535,-0.288,-0.443,,
1789,9,-0.58,-0.386,-0.427,,
1789,10,-0.768,-0.503,-0.42,,
1789,11,-0.842,-0.577,-0.418,,
1789,12,-1.371,-0.512,-0.41,,
1790,1,-0.221,-0.541,-0.374,,
1790,2,-0.184,-0.597,-0.375,,
1790,3,-0.954,-0.604,-0.354,,
1790,4,-0.967,-0.651,-0.359,,
1790,5,-0.42,-0.715,-0.387,,
1790,6,0.184,-0.676,-0.383,,
1790,7,0.164,-0.69,-0.386,,
1790,8,-1.207,-0.713,-0.373,,
1790,9,-0.657,-0.738,-0.381,,
1790,10,-1.334,-0.678,-0.381,,
1790,11,-1.612,-0.671,-0.357,,
1790,12,-0.9,-0.66,-0.358,,
1791,1,-0.394,-0.665,-0.377,,
1791,2,-0.453,-0.533,-0.382,,
1791,3,-1.256,-0.421,-0.372,,
1791,4,-0.248,-0.327,-0.363,,
1791,5,-0.344,-0.211,-0.379,,
1791,6,0.322,-0.219,-0.39,,
1791,7,0.105,-0.278,,,
1791,8,0.371,-0.236,,,
1791,9,0.69,-0.186,,,
1791,10,-0.203,-0.234,,,
1791,11,-0.227,-0.246,,,
1791,12,-0.99,-0.142,,,
1792,1,-1.11,-0.045,,,
1792,2,0.057,-0.097,,,
1792,3,-0.657,-0.128,,,
1792,4,-0.818,-0.208,,,
1792,5,-0.492,-0.27,,,
1792,6,1.565,-0.221,,,
1792,7,1.275,,,,
1792,8,-0.257,,,,
1792,9,0.326,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,,,,,
1793,4,,,,,
1793,5,,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,,,,,
1793,12,,,,,
1794,1,,,,,
1794,2,,,,,
1794,3,,,,,
1794,4,,,,,
1794,5,,,,,
1794,6,,,,,
1794,7,,,,,
1794,8,,,,,
1794,9,,,,,
1794,10,,,,,
1794,11,,,,,
1794,12,,,,,
1795,1,,,,,
1795,2,,,,,
1795,3,,,,,
1795,4,,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,,,,,
1796,7,,,,,
1796,8,,,,,
1796,9,,,,,
1796,10,,,,,
1796,11,,,,,
1796,12,,,,,
1797,1,,,,,
1797,2,,,,,
