Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.596,-0.469,,,
1750,3,,-0.474,,,
1750,4,0.285,-0.466,,,
1750,5,-1.499,-0.747,,,
1750,6,0.012,-0.764,,,
1750,7,0.681,-0.873,,,
1750,8,0.705,-1.103,,,
1750,9,,-1.145,,,
1750,10,-1.527,-1.3,,,
1750,11,-4.746,-1.246,,,
1750,12,-3.275,-1.312,,,
1751,1,-1.7,-1.254,,,
1751,2,-3.359,-1.242,,,
1751,3,1.19,-1.226,,,
1751,4,-1.577,-1.245,,,
1751,5,-0.851,-1.151,,,
1751,6,-0.771,-1.08,,,
1751,7,1.373,-1.097,,,
1751,8,0.847,-0.701,,,
1751,9,-0.318,-0.741,,,
1751,10,-1.758,-0.703,,,
1751,11,-3.613,-0.679,,,
1751,12,-2.428,-0.527,,,
1752,1,-1.904,-0.542,,,
1752,2,1.399,-0.683,,,
1752,3,0.715,,,,
1752,4,-1.129,,,,
1752,5,-0.558,,,,
1752,6,1.051,,,,
1752,7,1.189,,,,
1752,8,-0.839,,,,
1752,9,,,,,
1752,10,-0.543,,,,
1752,11,-0.552,,,,
1752,12,-1.37,,,,
1753,1,-0.966,,,,
1753,2,-1.421,,,,
1753,3,1.325,-0.355,,,
1753,4,0.048,-0.33,,,
1753,5,0.192,-0.434,,,
1753,6,0.297,-0.638,,,
1753,7,0.235,-0.615,,,
1753,8,-0.805,-0.721,,,
1753,9,-0.697,-1.005,,,
1753,10,-0.25,-0.872,,,
1753,11,-1.792,-0.819,,,
1753,12,-3.819,-0.775,,,
1754,1,-0.689,-0.792,,,
1754,2,-2.704,-0.783,,,
1754,3,-2.083,-0.819,,,
1754,4,1.644,-0.749,,,
1754,5,0.833,-0.63,,,
1754,6,0.83,-0.355,,,
1754,7,0.028,-0.482,,,
1754,8,-0.697,-0.576,,,
1754,9,-1.137,-0.478,,,
1754,10,0.598,-0.479,,,
1754,11,-0.368,-0.506,,,
1754,12,-0.517,-0.423,,,
1755,1,-2.209,-0.357,,,
1755,2,-3.834,-0.418,,,
1755,3,-0.906,-0.435,-0.246,,
1755,4,1.63,-0.411,-0.305,,
1755,5,0.513,-0.534,-0.327,,
1755,6,1.826,-0.59,-0.353,,
1755,7,0.82,-0.324,-0.411,,
1755,8,-1.435,0.181,-0.437,,
1755,9,-1.343,0.295,-0.473,,
1755,10,0.896,0.155,-0.489,,
1755,11,-1.852,0.121,-0.518,,
1755,12,-1.188,0.087,-0.523,,
1756,1,0.979,0.041,-0.546,,
1756,2,2.231,0.134,-0.565,,
1756,3,0.466,0.219,-0.591,,
1756,4,-0.052,0.098,-0.638,,
1756,5,0.103,0.02,-0.628,,
1756,6,1.417,-0.108,-0.584,,
1756,7,0.27,-0.357,-0.541,,
1756,8,-0.321,-0.446,-0.472,,
1756,9,-0.325,-0.494,-0.435,,
1756,10,-0.552,-0.409,-0.48,,
1756,11,-2.792,-0.357,-0.524,,
1756,12,-2.72,-0.274,-0.526,,
1757,1,-2.013,-0.029,-0.529,,
1757,2,1.163,0.136,-0.517,,
1757,3,-0.112,0.163,-0.507,,
1757,4,0.977,-0.132,-0.537,,
1757,5,0.719,-0.059,-0.596,,
1757,6,2.422,-0.073,-0.655,,
1757,7,3.205,-0.275,-0.667,,
1757,8,1.66,-0.625,-0.622,,
1757,9,-0.005,-0.682,-0.644,-0.603,
1757,10,-4.085,-0.842,-0.68,-0.616,
1757,11,-1.917,-1.026,-0.694,-0.614,
1757,12,-2.886,-1.232,-0.726,-0.633,
1758,1,-4.448,-1.593,-0.753,-0.655,
1758,2,-3.027,-1.893,-0.744,-0.65,
1758,3,-0.799,-2.082,-0.74,-0.685,
1758,4,-0.941,-1.998,-0.775,-0.694,
1758,5,-1.498,-1.938,-0.765,-0.705,
1758,6,-0.04,-1.796,-0.777,-0.718,
1758,7,-1.131,-1.264,-0.824,-0.706,
1758,8,-1.941,-0.893,-0.881,-0.697,
1758,9,-2.267,-0.816,-0.867,-0.702,
1758,10,-3.08,-0.827,-0.877,-0.723,
1758,11,-1.198,-0.851,-0.853,-0.73,
