Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1829,6,-1.137,,,,
1829,7,0.185,-0.499,,,
1829,8,-0.427,-0.312,,,
1829,9,-1.391,-0.316,,,
1829,10,-0.439,-0.222,,,
1829,11,0.226,-0.281,,,
1829,12,-1.13,-0.274,,,
1830,1,0.833,-0.32,,,
1830,2,1.945,-0.285,,,
1830,3,-0.658,-0.354,,,
1830,4,-0.317,-0.473,,,
1830,5,-1.063,-0.279,,,
1830,6,-1.048,-0.106,,,
1830,7,-0.371,-0.206,-0.688,,
1830,8,-0.006,-0.321,-0.65,,
1830,9,-2.216,-0.377,-0.679,,
1830,10,-1.873,-0.435,-0.703,,
1830,11,2.562,-0.395,-0.725,,
1830,12,0.945,-0.366,-0.739,,
1831,1,-0.375,-0.447,-0.754,,
1831,2,0.566,-0.598,-0.765,,
1831,3,-1.329,-0.597,-0.75,,
1831,4,-1.007,-0.548,-0.761,,
1831,5,-0.593,-0.908,-0.718,,
1831,6,-0.695,-1.029,-0.695,,
1831,7,-1.342,-1.063,-0.722,,
1831,8,-1.82,-1.007,-0.715,,
1831,9,-2.197,-0.887,-0.677,,
1831,10,-1.293,-0.809,-0.656,-0.487,
1831,11,-1.756,-0.833,-0.644,-0.514,
1831,12,-0.503,-0.904,-0.631,-0.526,
1832,1,-0.785,-0.915,-0.652,-0.54,
1832,2,1.241,-0.934,-0.645,-0.543,
1832,3,0.109,-0.932,-0.63,-0.568,
1832,4,-0.079,-0.831,-0.621,-0.598,
1832,5,-0.878,-0.822,-0.597,-0.621,
1832,6,-1.543,-1.112,-0.583,-0.638,
1832,7,-1.472,-1.116,-0.576,-0.652,
1832,8,-2.056,-1.136,-0.564,-0.655,
1832,9,-2.17,-1.262,-0.552,-0.663,
1832,10,-0.08,-1.364,-0.544,-0.665,
1832,11,-1.645,-1.375,-0.546,-0.685,
1832,12,-3.987,-1.299,-0.558,-0.687,
1833,1,-0.828,-1.281,-0.585,-0.703,
1833,2,1.004,-1.161,-0.612,-0.697,
1833,3,-1.41,-1.091,-0.607,-0.716,
1833,4,-1.302,-1.177,-0.591,-0.717,
1833,5,-1.004,-0.793,-0.67,-0.728,
1833,6,-0.633,-0.542,-0.757,-0.736,
1833,7,-1.262,-0.728,-0.757,-0.733,
1833,8,-0.611,-0.798,-0.754,-0.727,
1833,9,-1.328,-0.544,-0.697,-0.716,
1833,10,-1.117,-0.451,-0.695,-0.708,
1833,11,2.966,-0.337,-0.711,-0.703,
1833,12,-0.979,-0.311,-0.718,-0.687,
1834,1,-3.053,-0.297,-0.716,-0.667,
1834,2,0.162,-0.244,-0.714,-0.653,
1834,3,1.639,-0.175,-0.694,-0.673,
1834,4,-0.192,-0.074,-0.652,-0.672,-0.518
1834,5,0.363,-0.182,-0.646,-0.669,-0.519
1834,6,-0.321,-0.129,-0.64,-0.665,-0.516
1834,7,-1.089,0.232,-0.631,-0.661,-0.515
1834,8,0.018,0.443,-0.627,-0.649,-0.513
1834,9,-0.498,0.308,-0.654,-0.643,-0.513
1834,10,0.092,0.339,-0.696,-0.645,-0.509
1834,11,1.675,0.212,-0.714,-0.668,-0.519
1834,12,-0.338,0.09,-0.718,-0.701,-0.537
1835,1,1.279,0.013,-0.719,-0.699,-0.542
1835,2,2.686,-0.124,-0.693,-0.716,-0.554
1835,3,0.026,-0.238,-0.686,-0.73,-0.559
1835,4,0.172,-0.323,-0.706,-0.727,-0.562
1835,5,-1.154,-0.645,-0.697,-0.713,-0.565
1835,6,-1.79,-0.974,-0.652,-0.7,-0.568
1835,7,-2.012,-1.11,-0.718,-0.694,-0.561
1835,8,-1.63,-1.274,-0.745,-0.7,-0.557
1835,9,-1.866,-1.102,-0.753,-0.694,-0.553
1835,10,-0.921,-1.188,-0.732,-0.7,-0.556
1835,11,-2.193,-1.222,-0.732,-0.746,-0.559
1835,12,-4.281,-1.166,-0.733,-0.777,-0.562
1836,1,-0.358,-1.099,-0.713,-0.804,-0.558
1836,2,0.718,-1.105,-0.689,-0.814,-0.551
