Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1892,2,-0.633,,,,
1892,3,-0.412,-0.343,,,
1892,4,-0.188,-0.323,,,
1892,5,-0.11,-0.3,,,
1892,6,0.469,-0.337,,,
1892,7,0.024,-0.338,,,
1892,8,-0.302,-0.378,,,
1892,9,-0.202,-0.381,,,
1892,10,-0.193,-0.373,,,
1892,11,-0.507,-0.494,,,
1892,12,-0.461,-0.624,,,
1893,1,-1.54,-0.672,,,
1893,2,-1.118,-0.715,,,
1893,3,-0.444,-0.737,-0.417,,
1893,4,-0.091,-0.725,-0.411,,
1893,5,-1.565,-0.721,-0.394,,
1893,6,-1.085,-0.662,-0.384,,
1893,7,-0.555,-0.577,-0.369,,
1893,8,-0.817,-0.462,-0.356,,
1893,9,-0.465,-0.478,-0.358,,
1893,10,-0.053,-0.531,-0.351,,
1893,11,-0.46,-0.414,-0.343,,
1893,12,0.25,-0.379,-0.336,,
1894,1,-0.524,-0.357,-0.33,,
1894,2,0.259,-0.279,-0.327,,
1894,3,-0.628,-0.225,-0.33,,
1894,4,-0.735,-0.2,-0.326,,
1894,5,-0.151,-0.148,-0.325,,
1894,6,-0.673,-0.155,-0.333,-0.347,
1894,7,-0.282,-0.118,-0.312,-0.346,
1894,8,0.118,-0.218,-0.308,-0.344,
1894,9,0.183,-0.184,-0.31,-0.34,
1894,10,0.238,-0.157,-0.314,-0.335,
1894,11,0.165,-0.15,-0.319,-0.325,
1894,12,0.171,-0.129,-0.335,-0.322,
1895,1,-0.076,-0.083,-0.341,-0.317,
1895,2,-0.95,-0.084,-0.341,-0.307,
1895,3,-0.215,-0.135,-0.338,-0.295,
1895,4,-0.415,-0.161,-0.338,-0.289,
1895,5,-0.068,-0.182,-0.318,-0.28,
1895,6,-0.415,-0.22,-0.315,-0.277,
1895,7,0.263,-0.215,-0.285,-0.274,
1895,8,0.113,-0.166,-0.275,-0.265,
1895,9,-0.434,-0.207,-0.277,-0.26,
1895,10,-0.071,-0.19,-0.274,-0.25,
1895,11,-0.085,-0.199,-0.241,-0.24,
1895,12,-0.283,-0.17,-0.216,-0.231,
1896,1,-0.023,-0.186,-0.211,-0.217,
1896,2,-0.355,-0.216,-0.213,-0.207,
1896,3,-0.71,-0.21,-0.214,-0.201,
1896,4,-0.211,-0.219,-0.216,-0.196,
1896,5,-0.173,-0.275,-0.214,-0.191,
1896,6,-0.073,-0.293,-0.211,-0.187,
1896,7,0.068,-0.313,-0.202,-0.181,
1896,8,-0.236,-0.318,-0.218,-0.174,
1896,9,-0.372,-0.299,-0.211,-0.163,
1896,10,-0.172,-0.319,-0.194,-0.152,
1896,11,-0.754,-0.338,-0.197,-0.137,
1896,12,-0.5,-0.371,-0.188,-0.13,-0.199
1897,1,-0.262,-0.406,-0.175,-0.114,-0.194
1897,2,-0.416,-0.411,-0.177,-0.108,-0.192
1897,3,-0.485,-0.385,-0.174,-0.103,-0.188
1897,4,-0.447,-0.383,-0.173,-0.097,-0.188
1897,5,-0.409,-0.266,-0.167,-0.092,-0.185
1897,6,-0.46,-0.247,-0.173,-0.091,-0.185
1897,7,-0.363,-0.202,-0.17,-0.084,-0.188
1897,8,-0.288,-0.213,-0.144,-0.076,-0.187
1897,9,-0.068,-0.216,-0.134,-0.075,-0.188
