Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.812,,,,
1824,3,-0.264,-0.693,,,
1824,4,0.262,-0.663,,,
1824,5,-0.293,-0.58,,,
1824,6,-0.372,-0.495,,,
1824,7,-0.179,-0.48,,,
1824,8,-1.006,-0.429,,,
1824,9,-0.985,-0.405,,,
1824,10,-1.333,-0.389,,,
1824,11,-0.439,-0.36,,,
1824,12,-0.279,-0.343,,,
1825,1,-0.057,-0.353,,,
1825,2,-0.201,-0.327,,,
1825,3,0.029,-0.335,,,
1825,4,0.453,-0.317,-0.566,,
1825,5,0.052,-0.304,-0.543,,
1825,6,-0.174,-0.319,-0.507,,
1825,7,-0.291,-0.338,-0.513,,
1825,8,-0.701,-0.401,-0.511,,
1825,9,-1.081,-0.491,-0.507,,
1825,10,-1.111,-0.549,-0.494,,
1825,11,-0.28,-0.564,-0.481,,
1825,12,-0.46,-0.597,-0.479,,
1826,1,-0.293,-0.593,-0.48,,
1826,2,-0.958,-0.613,-0.465,,
1826,3,-1.052,-0.608,-0.46,,
1826,4,-0.243,-0.595,-0.442,,
1826,5,-0.123,-0.59,-0.42,,
1826,6,-0.567,-0.504,-0.408,,
1826,7,-0.24,-0.475,-0.42,,
1826,8,-0.951,-0.404,-0.422,,
1826,9,-1.021,-0.304,-0.424,,
1826,10,-0.951,-0.246,-0.43,,
1826,11,-0.215,-0.22,-0.427,,
1826,12,0.569,-0.188,-0.433,,
1827,1,0.05,-0.164,-0.432,,
1827,2,-0.108,-0.153,-0.424,,
1827,3,0.156,-0.163,-0.423,,
1827,4,0.446,-0.167,-0.412,,
1827,5,0.193,-0.155,-0.416,,
1827,6,,-0.237,-0.425,,
1827,7,0.051,-0.323,-0.408,,
1827,8,-0.824,-0.406,-0.388,,
1827,9,-1.14,-0.453,-0.404,,
1827,10,-0.997,-0.499,-0.41,,
1827,11,-0.072,-0.52,-0.428,,
1827,12,-0.417,-0.518,-0.435,,
1828,1,-0.982,-0.539,-0.424,,
1828,2,-1.097,-0.491,-0.421,,
1828,3,-0.406,-0.499,-0.429,,
1828,4,-0.105,-0.466,-0.429,,
1828,5,-0.061,-0.471,-0.402,,
1828,6,-0.168,-0.484,-0.378,,
1828,7,-0.204,-0.484,,,
1828,8,-0.245,-0.469,,,
1828,9,-1.235,-0.469,,,
1828,10,,-0.469,,,
1828,11,-0.125,-0.474,,,
1828,12,-0.576,-0.516,,,
1829,1,-0.99,-0.514,,,
1829,2,-0.915,-0.535,,,
1829,3,-0.408,-0.51,,,
1829,4,-0.101,-0.517,,,
1829,5,-0.114,-0.559,,,
1829,6,-0.682,-0.583,,,
1829,7,-0.171,-0.42,,,
1829,8,-0.503,-0.26,,,
1829,9,-0.929,,,,
1829,10,,,,,
1829,11,-0.628,,,,
1829,12,-0.867,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
