Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.805,,,,
1824,3,-0.461,-0.814,,,
1824,4,0.288,-0.791,,,
1824,5,-0.58,-0.71,,,
1824,6,-0.475,-0.646,,,
1824,7,-0.35,-0.621,,,
1824,8,-1.051,-0.589,,,
1824,9,-1.049,-0.534,,,
1824,10,-1.449,-0.501,,,
1824,11,-0.646,-0.441,,,
1824,12,-0.565,-0.402,,,
1825,1,-0.306,-0.388,,,
1825,2,-0.423,-0.345,,,
1825,3,0.191,-0.356,,,
1825,4,0.686,-0.322,-0.644,,
1825,5,0.141,-0.298,-0.617,,
1825,6,-0.007,-0.272,-0.577,,
1825,7,-0.175,-0.242,-0.584,,
1825,8,-0.534,-0.302,-0.588,,
1825,9,-1.182,-0.428,-0.585,,
1825,10,-1.04,-0.516,-0.573,,
1825,11,-0.361,-0.537,-0.558,,
1825,12,-0.251,-0.574,-0.557,,
1826,1,0.051,-0.593,-0.562,,
1826,2,-1.148,-0.636,-0.55,,
1826,3,-1.318,-0.651,-0.544,,
1826,4,-0.372,-0.654,-0.527,,
1826,5,-0.102,-0.64,-0.501,,
1826,6,-0.45,-0.583,-0.491,,
1826,7,-0.406,-0.599,-0.497,,
1826,8,-1.052,-0.54,-0.499,,
1826,9,-1.365,-0.423,-0.496,,
1826,10,-1.075,-0.354,-0.501,,
1826,11,-0.188,-0.352,-0.492,,
1826,12,0.426,-0.322,-0.494,,
1827,1,-0.132,-0.309,-0.495,,
1827,2,-0.441,-0.314,-0.491,,
1827,3,0.077,-0.308,-0.492,,
1827,4,0.46,-0.325,-0.479,,
1827,5,-0.073,-0.32,-0.478,,
1827,6,,-0.388,-0.48,,
1827,7,-0.251,-0.474,-0.463,,
1827,8,-1.106,-0.547,-0.44,,
1827,9,-1.297,-0.594,-0.459,,
1827,10,-1.273,-0.64,-0.467,,
1827,11,-0.136,-0.639,-0.49,,
1827,12,-0.383,-0.641,-0.502,,
1828,1,-1.164,-0.648,-0.494,,
1828,2,-1.316,-0.589,-0.497,,
1828,3,-0.485,-0.593,-0.504,,
1828,4,-0.1,-0.541,-0.505,,
1828,5,-0.062,-0.539,-0.479,,
1828,6,-0.115,-0.565,-0.459,,
1828,7,-0.342,-0.548,,,
1828,8,-0.391,-0.519,,,
1828,9,-1.349,-0.501,,,
1828,10,,-0.494,,,
1828,11,-0.105,-0.492,,,
1828,12,-0.692,-0.532,,,
1829,1,-0.958,-0.535,,,
1829,2,-0.969,-0.57,,,
1829,3,-0.269,-0.552,,,
1829,4,-0.025,-0.552,,,
1829,5,-0.029,-0.594,,,
1829,6,-0.604,-0.593,,,
1829,7,-0.371,-0.451,,,
1829,8,-0.809,-0.29,,,
1829,9,-1.134,,,,
1829,10,,,,,
1829,11,-0.616,,,,
