Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-1.32,-0.695,,,
1750,3,1.872,-0.651,,,
1750,4,0.343,-0.551,,,
1750,5,-1.625,-0.698,,,
1750,6,0.328,-0.662,,,
1750,7,0.34,-0.671,,,
1750,8,0.594,-0.828,,,
1750,9,-0.207,-0.905,,,
1750,10,-0.45,-1.089,,,
1750,11,-3.182,-1.043,,,
1750,12,-2.56,-1.117,,,
1751,1,-2.184,-1.057,,,
1751,2,-3.207,-1.0,,,
1751,3,0.953,-0.99,,,
1751,4,-1.865,-1.036,,,
1751,5,-1.07,-1.063,,,
1751,6,-0.567,-1.076,,,
1751,7,1.065,-1.008,,,
1751,8,1.279,-0.651,,,
1751,9,-0.098,-0.724,,,
1751,10,-0.994,-0.674,,,
1751,11,-3.506,-0.656,,,
1751,12,-2.716,-0.44,,,
1752,1,-1.367,-0.492,,,
1752,2,1.07,-0.701,,,
1752,3,0.084,,,,
1752,4,-1.263,,,,
1752,5,-0.863,,,,
1752,6,2.032,,,,
1752,7,0.437,,,,
1752,8,-1.229,,,,
1752,9,,,,,
1752,10,-0.309,,,,
1752,11,-0.644,,,,
1752,12,-1.556,,,,
1753,1,-2.172,,,,
1753,2,-1.485,,,,
1753,3,0.725,-0.308,,,
1753,4,0.303,-0.322,,,
1753,5,0.249,-0.426,,,
1753,6,1.609,-0.407,,,
1753,7,0.782,-0.349,,,
1753,8,-0.669,-0.473,,,
1753,9,-0.537,-0.826,,,
1753,10,-0.47,-0.815,,,
1753,11,-1.894,-0.762,,,
1753,12,-1.333,-0.795,,,
1754,1,-1.466,-0.868,,,
1754,2,-2.977,-0.772,,,
1754,3,-3.506,-0.779,,,
1754,4,0.432,-0.655,,,
1754,5,0.885,-0.436,,,
1754,6,1.21,-0.359,,,
1754,7,-0.095,-0.561,,,
1754,8,0.491,-0.663,,,
1754,9,-0.63,-0.433,,,
1754,10,1.026,-0.182,,,
1754,11,0.734,-0.239,,,
1754,12,-0.411,-0.13,,,
1755,1,-3.897,-0.111,,,
1755,2,-4.199,-0.258,,,
1755,3,-0.743,-0.325,-0.305,,
1755,4,3.442,-0.402,-0.356,,
1755,5,0.199,-0.636,-0.378,,
1755,6,2.528,-0.605,-0.38,,
1755,7,0.131,-0.301,-0.408,,
1755,8,-1.27,0.121,-0.433,,
1755,9,-1.444,0.213,-0.451,,
1755,10,0.106,-0.14,-0.463,,
1755,11,-2.073,-0.138,-0.478,,
1755,12,-0.037,-0.215,-0.491,,
1756,1,-0.245,-0.242,-0.536,,
1756,2,0.86,-0.069,-0.546,,
1756,3,0.359,0.042,-0.571,,
1756,4,-0.798,-0.04,-0.606,,
1756,5,0.234,-0.111,-0.579,,
1756,6,1.592,-0.243,-0.554,,
1756,7,-0.183,-0.448,-0.508,,
1756,8,0.803,-0.532,-0.437,,
1756,9,-0.112,-0.633,-0.378,,
1756,10,-0.883,-0.51,-0.387,,
1756,11,-2.929,-0.428,-0.413,,
1756,12,-1.61,-0.4,-0.421,,
1757,1,-2.71,-0.17,-0.402,,
1757,2,-0.15,-0.09,-0.413,,
1757,3,-0.854,-0.153,-0.401,,
1757,4,0.678,-0.359,-0.419,,
1757,5,1.218,-0.283,-0.494,,
1757,6,1.928,-0.285,-0.5,,
1757,7,2.582,-0.383,-0.456,,
1757,8,1.759,-0.619,-0.414,,
1757,9,-0.865,-0.578,-0.432,-0.428,
1757,10,-3.356,-0.668,-0.46,-0.436,
1757,11,-2.014,-0.822,-0.46,-0.439,
1757,12,-1.639,-0.917,-0.49,-0.456,
1758,1,-3.879,-1.29,-0.489,-0.468,
1758,2,-2.985,-1.54,-0.479,-0.452,
1758,3,-0.365,-1.64,-0.474,-0.471,
1758,4,-0.4,-1.573,-0.481,-0.477,
1758,5,-0.629,-1.428,-0.459,-0.495,
1758,6,0.792,-1.278,-0.467,-0.513,
1758,7,-1.904,-0.849,-0.492,-0.513,
1758,8,-1.233,-0.493,-0.521,-0.5,
1758,9,-2.062,-0.46,-0.511,-0.504,
1758,10,-2.563,-0.434,-0.502,-0.518,
1758,11,-0.265,-0.437,-0.482,-0.517,
1758,12,0.162,-0.442,-0.493,-0.505,
1759,1,1.267,-0.197,-0.459,-0.492,
1759,2,1.287,-0.107,-0.463,-0.456,
1759,3,0.024,0.069,-0.448,-0.443,
1759,4,-0.077,0.282,-0.47,-0.455,
1759,5,-0.667,-0.013,-0.445,-0.45,
1759,6,0.729,-0.089,-0.469,-0.456,
1759,7,1.038,-0.298,-0.427,-0.456,
1759,8,-0.153,-0.549,-0.444,-0.474,
1759,9,0.044,-0.701,-0.479,-0.481,
1759,10,-0.009,-0.546,-0.459,-0.503,
1759,11,-3.798,-0.476,-0.464,-0.521,
1759,12,-0.75,-0.477,-0.506,-0.51,
1760,1,-1.245,-0.546,-0.534,-0.452,
1760,2,-1.727,-0.589,-0.56,-0.433,
