Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1856,3,-0.677,,,,
1856,4,-0.785,,,,
1856,5,-1.218,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,-1.503,,,,
1857,5,-1.575,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,-1.24,-1.048,,,
1857,9,-1.399,-1.036,,,
1857,10,-1.451,-0.924,,,
1857,11,-1.066,-0.869,,,
1857,12,-0.776,-0.841,,,
1858,1,-0.328,-0.915,,,
1858,2,-0.925,-0.878,,,
1858,3,-0.884,-0.861,,,
1858,4,-0.165,-0.818,,,
1858,5,-0.914,,,,
1858,6,,,,,
1858,7,-1.307,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,-0.928,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,-0.297,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,0.275,,,,
1859,5,-0.231,-0.583,,,
1859,6,-0.42,-0.496,-0.767,,
1859,7,-0.543,-0.444,-0.782,,
1859,8,-0.631,-0.371,-0.791,,
1859,9,-1.174,-0.388,-0.783,,
1859,10,-0.781,-0.465,-0.768,,
1859,11,-0.715,-0.49,-0.755,,
1859,12,-0.26,-0.473,-0.75,,
1860,1,0.325,-0.452,-0.748,,
1860,2,0.102,-0.43,-0.74,,
1860,3,-0.602,-0.368,-0.738,,
1860,4,,-0.368,,,
1860,5,-0.527,-0.414,,,
1860,6,-0.214,-0.545,,,
1860,7,-0.299,-0.716,,,
1860,8,-0.369,-0.819,,,
1860,9,-0.42,-0.853,,,
1860,10,-0.784,-0.888,,,
1860,11,-1.27,-0.92,,,
1860,12,-1.835,-0.951,,,
1861,1,-1.719,-0.977,,,
1861,2,-1.132,-1.005,,,
1861,3,-1.011,-1.045,,,
1861,4,-1.069,-1.054,,,
1861,5,-0.915,-1.026,,,
1861,6,-0.582,-0.943,,,
1861,7,-0.616,-0.924,,,
1861,8,-0.702,-0.946,,,
1861,9,,-0.905,,,
1861,10,,-0.867,,,
1861,11,-0.923,-0.857,,,
1861,12,-0.838,,,,
1862,1,-1.495,,,,
1862,2,-1.393,,,,
1862,3,-0.525,,,,
1862,4,-0.611,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,,,,,
1873,2,,,,,
1873,3,-0.472,,,,
1873,4,,,,,
1873,5,-0.099,,,,
1873,6,0.999,,,,
1873,7,0.814,-0.058,,,
1873,8,0.329,-0.098,,,
1873,9,0.206,-0.114,,,
1873,10,-0.791,-0.084,,,
1873,11,,-0.151,,,
1873,12,-0.368,-0.242,,,
1874,1,0.18,-0.319,,,
1874,2,-0.658,-0.395,,,
1874,3,-0.663,-0.434,,,
1874,4,-0.511,-0.416,,,
1874,5,-0.9,-0.466,,,
1874,6,,-0.498,,,
1874,7,-0.111,-0.615,,,
1874,8,-0.577,-0.641,,,
1874,9,-0.266,-0.672,,,
1874,10,-0.572,-0.683,,,
1874,11,-1.06,-0.63,,,
1874,12,-0.742,-0.599,-0.532,,
1875,1,-1.231,-0.563,-0.529,,
1875,2,-0.973,-0.509,-0.518,,
1875,3,-1.026,-0.538,-0.516,,
1875,4,-0.649,-0.592,-0.516,,
1875,5,-0.26,-0.639,-0.504,,
1875,6,0.273,-0.704,-0.486,,
1875,7,0.322,-0.749,-0.481,,
1875,8,0.074,-0.83,-0.482,,
1875,9,-0.613,-0.913,-0.467,,
1875,10,-1.221,-0.881,-0.452,,
1875,11,-1.617,-0.946,-0.463,,
1875,12,-1.529,-0.999,-0.484,,
1876,1,-1.768,-1.036,-0.51,,
1876,2,-1.949,-1.095,-0.535,,
1876,3,-2.022,,-0.55,-0.591,
1876,4,,,-0.546,-0.593,
1876,5,-1.043,,-0.553,-0.591,
1876,6,-0.36,,-0.564,-0.597,
1876,7,,,-0.592,-0.598,
1876,8,,,-0.597,-0.605,
1876,9,,,-0.613,-0.605,
1876,10,-0.023,-0.579,-0.626,-0.605,
1876,11,-0.627,-0.549,-0.633,-0.6,
1876,12,-0.65,-0.492,-0.65,-0.595,
1877,1,-0.628,-0.468,-0.67,-0.588,
1877,2,-0.889,-0.375,-0.679,-0.583,
1877,3,-0.587,-0.328,-0.693,-0.584,
1877,4,-0.63,-0.339,-0.701,-0.587,
1877,5,-0.694,-0.3,-0.699,-0.591,
1877,6,0.33,-0.248,-0.708,-0.596,
1877,7,0.169,-0.227,-0.708,-0.602,
1877,8,0.486,-0.171,-0.714,-0.608,
1877,9,-0.194,-0.089,-0.723,-0.609,
1877,10,-0.15,-0.035,-0.732,-0.614,
1877,11,-0.162,-0.037,-0.747,-0.612,
1877,12,-0.027,-0.09,-0.77,-0.613,
1878,1,-0.376,-0.166,-0.776,-0.617,
1878,2,-0.222,-0.3,-0.779,-0.625,
1878,3,0.406,-0.344,-0.78,-0.621,
1878,4,0.014,-0.375,-0.769,-0.612,
1878,5,-0.723,-0.437,-0.751,-0.613,
1878,6,-0.295,-0.52,-0.732,-0.622,
1878,7,-0.743,-0.612,-0.713,-0.627,
1878,8,-1.131,-0.676,-0.683,-0.627,
1878,9,-0.715,-0.844,-0.652,-0.631,-0.605
1878,10,-0.525,-0.952,-0.654,-0.626,-0.611
1878,11,-0.906,-1.001,-0.644,-0.627,-0.609
1878,12,-1.028,-1.07,-0.656,-0.629,-0.61
1879,1,-1.477,-1.119,-0.656,-0.638,-0.612
1879,2,-0.987,-1.117,-0.661,-0.632,-0.615
1879,3,-1.609,-1.15,-0.658,-0.631,-0.61
1879,4,-1.281,-1.19,-0.662,-0.631,-0.609
1879,5,-1.309,-1.195,-0.66,-0.628,-0.609
1879,6,-1.128,-1.214,-0.648,-0.63,-0.609
1879,7,-1.33,-1.198,-0.64,-0.635,-0.611
1879,8,-1.11,-1.224,-0.631,-0.636,-0.614
1879,9,-1.113,-1.22,-0.629,-0.641,-0.618
1879,10,-1.005,-1.214,-0.636,-0.643,-0.621
1879,11,-0.968,-1.202,-0.639,-0.644,-0.623
1879,12,-1.254,-1.2,-0.66,-0.645,-0.621
1880,1,-1.283,-1.093,-0.676,-0.646,-0.624
1880,2,-1.296,-1.008,-0.699,-0.644,-0.624
1880,3,-1.568,-0.969,-0.702,-0.641,-0.628
