Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,-0.098,,,,
1880,10,0.035,-0.021,,,
1880,11,-0.211,0.007,,,
1880,12,-0.647,0.004,,,
1881,1,0.546,0.031,,,
1881,2,-0.011,0.098,,,
1881,3,-0.126,0.121,,,
1881,4,0.676,0.139,,,
1881,5,0.139,0.128,,,
1881,6,-0.178,0.147,,,
1881,7,0.399,0.053,,,
1881,8,0.648,-0.085,,,
1881,9,0.182,-0.179,,,
1881,10,0.257,-0.255,-0.366,,
1881,11,-0.344,-0.346,-0.389,,
1881,12,-0.418,-0.399,-0.402,,
1882,1,-0.593,-0.506,-0.42,,
1882,2,-1.658,-0.569,-0.42,,
1882,3,-1.261,-0.605,-0.416,,
1882,4,-0.235,-0.68,-0.422,,
1882,5,-0.951,-0.774,-0.43,,
1882,6,-0.807,-0.734,-0.434,,
1882,7,-0.887,-0.732,-0.429,,
1882,8,-0.113,-0.671,-0.412,,
1882,9,-0.246,-0.572,-0.409,,
1882,10,-0.653,-0.577,-0.416,,
1882,11,-1.47,-0.535,-0.407,,
1882,12,0.065,-0.445,-0.417,,
1883,1,-0.565,-0.444,-0.416,-0.358,
1883,2,-0.927,-0.48,-0.417,-0.344,
1883,3,-0.079,-0.491,-0.43,-0.348,
1883,4,-0.288,-0.411,-0.439,-0.36,
1883,5,-0.451,-0.383,-0.442,-0.367,
1883,6,0.273,-0.416,-0.428,-0.379,
1883,7,-0.871,-0.454,-0.454,-0.39,
1883,8,-0.549,-0.522,-0.47,-0.4,
1883,9,-0.373,-0.583,-0.485,-0.405,
1883,10,0.307,-0.55,-0.502,-0.398,
1883,11,-1.133,-0.633,-0.516,-0.411,
1883,12,-0.331,-0.691,-0.509,-0.413,
1884,1,-1.028,-0.662,-0.51,-0.419,
1884,2,-1.744,-0.633,-0.529,-0.414,
1884,3,-0.803,-0.652,-0.544,-0.398,
1884,4,0.1,-0.726,-0.554,-0.403,
1884,5,-1.446,-0.731,-0.578,-0.4,
1884,6,-0.425,-0.71,-0.595,-0.405,
1884,7,-0.523,-0.699,-0.615,-0.41,
1884,8,-0.192,-0.597,-0.6,-0.413,
1884,9,-0.607,-0.606,-0.602,-0.405,
1884,10,-0.575,-0.677,-0.594,-0.403,
