Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.368,,,,
1849,3,0.034,,,,
1849,4,-0.84,-0.658,,,
1849,5,-0.945,-0.627,,,
1849,6,-0.712,-0.557,,,
1849,7,-0.521,-0.599,,,
1849,8,-0.919,-0.578,,,
1849,9,-0.794,-0.585,,,
1849,10,-0.486,-0.556,,,
1849,11,-0.43,-0.552,,,
1849,12,-0.295,-0.524,,,
1850,1,-0.914,-0.529,,,
1850,2,-0.118,-0.508,,,
1850,3,-0.052,-0.481,,,
1850,4,-0.492,-0.521,,,
1850,5,-0.891,-0.558,,,
1850,6,-0.376,-0.534,,,
1850,7,-0.583,-0.472,,,
1850,8,-0.668,-0.506,,,
1850,9,-0.465,-0.544,,,
1850,10,-0.97,-0.531,,,
1850,11,-0.872,-0.486,,,
1850,12,-0.006,-0.494,,,
1851,1,-0.167,-0.461,,,
1851,2,-0.534,-0.453,,,
1851,3,-0.507,-0.446,,,
1851,4,-0.331,-0.402,,,
1851,5,-0.349,-0.403,,,
1851,6,-0.476,-0.377,,,
1851,7,-0.183,-0.383,,,
1851,8,-0.577,-0.396,,,
1851,9,-0.38,,,,
1851,10,-0.442,,,,
1851,11,-0.884,,,,
1851,12,0.306,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
