Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1744,1,,,,,
1744,2,,,,,
1744,3,,,,,
1744,4,2.109,,,,
1744,5,-1.241,,,,
1744,6,-1.253,,,,
1744,7,-0.703,,,,
1744,8,,,,,
1744,9,-0.817,,,,
1744,10,-0.974,,,,
1744,11,-0.52,,,,
1744,12,-0.635,,,,
1745,1,-1.688,,,,
1745,2,-1.524,,,,
1745,3,-1.607,,,,
1745,4,-0.399,,,,
1745,5,,,,,
1745,6,,,,,
1745,7,,,,,
1745,8,,,,,
1745,9,,,,,
1745,10,,,,,
1745,11,,,,,
1745,12,,,,,
1746,1,,,,,
1746,2,,,,,
1746,3,,,,,
1746,4,,,,,
1746,5,,,,,
1746,6,,,,,
1746,7,,,,,
1746,8,,,,,
1746,9,,,,,
1746,10,,,,,
1746,11,,,,,
1746,12,,,,,
1747,1,,,,,
1747,2,,,,,
1747,3,,,,,
1747,4,,,,,
1747,5,,,,,
1747,6,,,,,
1747,7,,,,,
1747,8,,,,,
1747,9,,,,,
1747,10,,,,,
1747,11,,,,,
1747,12,,,,,
1748,1,,,,,
1748,2,,,,,
1748,3,,,,,
1748,4,,,,,
1748,5,,,,,
1748,6,,,,,
1748,7,,,,,
1748,8,,,,,
1748,9,,,,,
1748,10,,,,,
1748,11,,,,,
1748,12,,,,,
1749,1,,,,,
1749,2,,,,,
1749,3,,,,,
1749,4,,,,,
1749,5,,,,,
1749,6,,,,,
1749,7,,,,,
1749,8,,,,,
1749,9,,,,,
1749,10,,,,,
1749,11,,,,,
1749,12,,,,,
1750,1,0.091,,,,
1750,2,0.465,,,,
1750,3,1.037,,,,
1750,4,-0.192,,,,
1750,5,-0.238,,,,
1750,6,-0.401,,,,
1750,7,1.621,,,,
1750,8,0.129,,,,
1750,9,-1.034,,,,
1750,10,-2.955,,,,
1750,11,,,,,
1750,12,-1.593,,,,
1751,1,-0.734,,,,
1751,2,-3.297,,,,
1751,3,0.956,,,,
1751,4,-1.095,,,,
1751,5,,,,,
1751,6,0.702,,,,
1751,7,,,,,
1751,8,0.522,,,,
1751,9,-1.484,,,,
1751,10,,,,,
1751,11,,,,,
1751,12,,,,,
1752,1,-2.382,,,,
1752,2,,,,,
1752,3,0.732,,,,
1752,4,-0.475,,,,
1752,5,,,,,
1752,6,,,,,
1752,7,,,,,
1752,8,,,,,
1752,9,,,,,
1752,10,-1.084,,,,
1752,11,0.117,,,,
1752,12,0.289,,,,
1753,1,-2.452,,,,
1753,2,-3.33,,,,
1753,3,-0.092,-0.304,,,
1753,4,-0.285,-0.247,,,
1753,5,0.056,-0.469,,,
1753,6,1.689,-0.787,,,
1753,7,1.269,-0.81,,,
1753,8,-0.375,-0.978,,,
1753,9,0.551,-1.247,,,
1753,10,-0.4,-1.164,,,
1753,11,-2.551,-1.144,,,
1753,12,-3.52,-1.209,,,
1754,1,-2.729,-1.315,,,
1754,2,-5.353,-1.304,,,
1754,3,-3.319,-1.431,,,
1754,4,0.713,-1.358,,,
1754,5,0.297,-1.19,,,
1754,6,0.915,-0.952,,,
1754,7,-0.012,-1.125,,,
1754,8,-0.244,-1.148,,,
1754,9,-0.968,-0.984,,,
1754,10,0.48,-0.857,,,
1754,11,-0.544,-0.829,,,
1754,12,-0.663,-0.688,,,
1755,1,-4.798,-0.689,,,
1755,2,-5.627,-0.755,,,
1755,3,-1.356,-0.748,-0.535,,
1755,4,2.243,-0.849,-0.577,,
1755,5,0.627,-0.95,-0.63,,
1755,6,2.603,-0.997,-0.699,,
1755,7,-0.018,-0.561,-0.741,,
1755,8,-1.037,0.006,-0.725,,
1755,9,-0.891,0.08,-0.741,,
1755,10,-0.725,-0.119,-0.765,,
1755,11,-1.757,-0.026,-0.778,,
1755,12,-1.228,-0.093,-0.797,,
1756,1,0.433,-0.077,-0.833,,
1756,2,1.174,-0.043,-0.851,,
1756,3,-0.464,0.095,-0.899,,
1756,4,-0.148,-0.01,-0.968,,
1756,5,1.749,-0.172,-0.927,,
1756,6,1.799,-0.275,-0.88,,
1756,7,0.173,-0.615,-0.806,,
1756,8,-0.635,-0.758,-0.716,,
1756,9,0.771,-0.773,-0.671,,
1756,10,-1.985,-0.801,-0.719,,
1756,11,-3.704,-0.872,-0.744,,
1756,12,-2.458,-0.765,-0.753,,
1757,1,-3.653,-0.482,-0.746,,
1757,2,-0.54,-0.234,-0.735,,
1757,3,-0.647,-0.285,-0.71,,
1757,4,-0.481,-0.424,-0.722,,
1757,5,0.892,-0.369,-0.779,,
1757,6,3.087,-0.486,-0.819,,
1757,7,3.568,-0.594,-0.781,,
1757,8,2.337,-0.749,-0.721,,
1757,9,0.162,-0.781,-0.744,-0.707,
1757,10,-3.647,-0.884,-0.78,-0.722,
1757,11,-3.048,-1.02,-0.795,-0.735,
1757,12,-3.866,-1.229,-0.842,-0.768,
1758,1,-4.951,-1.603,-0.842,-0.774,
1758,2,-2.389,-1.917,-0.826,-0.745,
1758,3,-1.041,-2.128,-0.816,-0.765,
1758,4,-1.71,-2.198,-0.826,-0.768,
1758,5,-0.738,-1.953,-0.823,-0.778,
1758,6,0.571,-1.692,-0.808,-0.8,
1758,7,-0.912,-1.134,-0.852,-0.797,
1758,8,-1.434,-0.93,-0.871,-0.788,
1758,9,-2.37,-0.898,-0.845,-0.805,
1758,10,-4.488,-0.933,-0.868,-0.831,
1758,11,-0.111,-0.972,-0.87,-0.831,
1758,12,-0.731,-0.987,-0.861,-0.796,
1759,1,1.744,-0.879,-0.815,-0.769,
1759,2,0.06,-0.726,-0.786,-0.704,
1759,3,-0.66,-0.484,-0.782,-0.684,
1759,4,-2.131,-0.128,-0.785,-0.699,
1759,5,-1.201,-0.449,-0.764,-0.692,
1759,6,0.387,-0.643,-0.805,-0.703,
1759,7,0.391,-1.0,-0.712,-0.704,
1759,8,0.4,-1.175,-0.702,-0.713,
1759,9,0.532,-1.347,-0.737,-0.714,
1759,10,-0.215,-1.161,-0.709,-0.725,
1759,11,-3.962,-1.088,-0.722,-0.73,
1759,12,-3.059,-1.138,-0.764,-0.715,
1760,1,-2.546,-1.168,-0.8,-0.652,
1760,2,-2.04,-1.208,-0.852,-0.618,
1760,3,-2.725,-1.276,-0.879,-0.596,
1760,4,0.102,-1.37,-0.866,-0.609,
1760,5,-0.32,-1.174,-0.84,-0.622,
1760,6,-0.216,-0.945,-0.836,-0.65,
1760,7,0.039,-0.916,-0.806,-0.66,
1760,8,-0.083,-0.745,-0.765,-0.653,
1760,9,-0.289,-0.426,-0.788,-0.65,
1760,10,-1.345,-0.56,-0.771,-0.647,
1760,11,-1.61,-0.396,-0.778,-0.637,
1760,12,-0.306,-0.183,-0.803,-0.641,
1761,1,-2.199,0.057,-0.761,-0.678,
1761,2,0.007,0.153,-0.725,-0.699,
1761,3,1.105,0.262,-0.711,-0.692,
1761,4,-1.508,0.194,-0.694,-0.686,
1761,5,1.652,0.125,-0.734,-0.693,
1761,6,2.336,-0.26,-0.712,-0.702,
1761,7,2.922,0.087,-0.732,-0.711,
1761,8,1.075,0.09,-0.692,-0.706,
1761,9,1.02,-0.229,-0.698,-0.709,
1761,10,-2.167,-0.008,-0.68,-0.699,
1761,11,-2.441,-0.134,-0.641,-0.662,
1761,12,-4.927,-0.284,-0.653,-0.656,
1762,1,1.973,-0.408,-0.662,-0.677,
1762,2,0.042,-0.561,-0.691,-0.669,
1762,3,-2.73,-0.769,-0.719,-0.656,
1762,4,1.151,-0.827,-0.728,-0.668,
1762,5,0.144,-0.747,-0.681,-0.681,
1762,6,0.535,-0.639,-0.611,-0.703,
1762,7,1.434,-1.067,-0.523,-0.726,
1762,8,-0.761,-1.066,-0.514,-0.739,
1762,9,-1.484,-1.039,-0.448,-0.739,-0.684
1762,10,-2.857,-1.191,-0.438,-0.707,-0.678
1762,11,-1.481,-1.303,-0.449,-0.673,-0.672
1762,12,-3.636,-1.423,-0.458,-0.669,-0.669
1763,1,-3.157,-1.406,-0.479,-0.671,-0.661
1763,2,0.046,-1.282,-0.479,-0.685,-0.656
1763,3,-2.403,-1.288,-0.484,-0.699,-0.663
1763,4,-0.672,-1.339,-0.467,-0.686,-0.661
1763,5,-1.2,-1.426,-0.451,-0.688,-0.654
1763,6,-0.906,-1.07,-0.474,-0.698,-0.666
1763,7,1.64,-0.766,-0.505,-0.682,-0.674
1763,8,0.726,-0.563,-0.526,-0.669,-0.677
1763,9,-1.56,-0.446,-0.538,-0.655,-0.675
1763,10,-3.466,-0.478,-0.505,-0.627,-0.669
1763,11,-2.522,-0.285,-0.516,-0.637,-0.667
1763,12,0.629,-0.238,-0.543,-0.645,-0.643
1764,1,0.498,-0.383,-0.608,-0.652,-0.635
1764,2,2.485,-0.558,-0.625,-0.664,-0.611
1764,3,-1.0,-0.523,-0.635,-0.663,-0.594
1764,4,-1.062,-0.295,-0.614,-0.641,-0.589
1764,5,1.121,-0.185,-0.56,-0.626,-0.581
1764,6,-0.345,-0.139,-0.506,-0.617,-0.579
1764,7,-0.104,0.047,-0.642,-0.621,-0.573
1764,8,-1.37,-0.285,-0.637,-0.626,-0.567
1764,9,-1.138,-0.097,-0.575,-0.628,-0.566
1764,10,-0.736,0.048,-0.627,-0.663,-0.572
1764,11,-1.193,-0.127,-0.64,-0.648,-0.589
1764,12,1.176,-0.161,-0.641,-0.649,-0.6
1765,1,2.73,-0.254,-0.653,-0.64,-0.581
1765,2,-1.502,-0.15,-0.627,-0.625,-0.548
1765,3,1.254,-0.1,-0.599,-0.625,-0.536
1765,4,0.68,-0.069,-0.548,-0.622,-0.55
1765,5,-0.971,-0.023,-0.505,-0.624,-0.558
1765,6,-0.755,-0.26,-0.501,-0.631,-0.567
1765,7,-1.225,-0.826,-0.536,-0.647,-0.564
1765,8,-0.115,-0.807,-0.605,-0.654,-0.553
1765,9,-0.542,-0.878,-0.611,-0.649,-0.547
1765,10,-0.359,-0.895,-0.601,-0.637,-0.539
1765,11,-0.653,-0.73,-0.597,-0.627,-0.53
1765,12,-1.666,-0.611,-0.593,-0.621,-0.535
1766,1,-4.054,-0.587,-0.603,-0.589,-0.553
1766,2,-1.278,-0.574,-0.612,-0.624,-0.553
1766,3,0.396,-0.496,-0.6,-0.657,-0.549
1766,4,0.481,-0.539,-0.561,-0.667,-0.552
1766,5,1.007,-0.42,-0.539,-0.679,-0.565
1766,6,0.679,-0.422,-0.579,-0.698,-0.572
1766,7,-0.94,-0.599,-0.572,-0.72,-0.573
1766,8,0.047,-0.463,-0.636,-0.725,-0.567
1766,9,0.385,-0.413,-0.629,-0.731,-0.576
1766,10,-0.871,-0.619,-0.603,-0.707,-0.574
1766,11,0.779,-0.756,-0.611,-0.716,-0.566
1766,12,-1.695,-0.772,-0.581,-0.683,-0.563
1767,1,-6.178,-0.634,-0.581,-0.692,-0.549
1767,2,0.356,-0.573,-0.56,-0.686,-0.548
1767,3,0.993,-0.587,-0.537,-0.662,-0.543
1767,4,-1.985,-0.498,-0.598,-0.667,-0.549
1767,5,-0.64,-0.474,-0.616,-0.682,-0.553
1767,6,0.478,-0.615,-0.687,-0.681,-0.569
1767,7,0.727,-0.539,-0.757,-0.683,-0.589
1767,8,0.772,-0.907,-0.737,-0.673,-0.599
1767,9,0.223,-1.219,-0.802,-0.66,-0.604
1767,10,0.191,-1.062,-0.805,-0.634,-0.595
1767,11,1.069,-1.088,-0.799,-0.609,-0.585
1767,12,-3.388,-1.182,-0.805,-0.57,-0.578
1768,1,-5.264,-1.155,-0.815,-0.549,-0.554
1768,2,-4.056,-1.208,-0.83,-0.568,-0.545
1768,3,-2.759,-1.293,-0.815,-0.561,-0.541
1768,4,-0.102,-1.402,-0.807,-0.555,-0.523
1768,5,-0.95,-1.596,-0.803,-0.53,-0.516
1768,6,-0.649,-1.46,-0.768,-0.532,-0.523
1768,7,1.055,-0.945,-0.674,-0.551,-0.512
1768,8,0.132,-0.719,-0.721,-0.565,-0.505
1768,9,-0.802,-0.539,-0.775,-0.544,-0.497
1768,10,-1.113,-0.486,-0.829,-0.508,-0.483
1768,11,-1.254,-0.356,-0.842,-0.503,-0.488
1768,12,-1.761,-0.179,-0.852,-0.49,-0.48
1769,1,0.921,-0.275,-0.832,-0.502,-0.498
1769,2,-1.349,-0.298,-0.825,-0.518,-0.489
