Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1892,2,-0.596,,,,
1892,3,-0.664,-0.392,,,
1892,4,-0.189,-0.375,,,
1892,5,-0.276,-0.371,,,
1892,6,-0.042,-0.434,,,
1892,7,-0.165,-0.464,,,
1892,8,-0.196,-0.487,,,
1892,9,-0.404,-0.443,,,
1892,10,-0.163,-0.446,,,
1892,11,-0.706,-0.441,,,
1892,12,-0.79,-0.467,,,
1893,1,-1.375,-0.473,,,
1893,2,-0.872,-0.487,,,
1893,3,-0.142,-0.471,-0.431,,
1893,4,-0.218,-0.47,-0.427,,
1893,5,-0.219,-0.474,-0.412,,
1893,6,-0.357,-0.465,-0.409,,
1893,7,-0.237,-0.421,-0.399,,
1893,8,-0.36,-0.4,-0.398,,
1893,9,-0.217,-0.442,-0.401,,
1893,10,-0.15,-0.447,-0.403,,
1893,11,-0.755,-0.464,-0.39,,
1893,12,-0.68,-0.495,-0.38,,
1894,1,-0.846,-0.489,-0.368,,
1894,2,-0.62,-0.454,-0.357,,
1894,3,-0.639,-0.413,-0.352,,
1894,4,-0.286,-0.39,-0.342,,
1894,5,-0.421,-0.352,-0.33,,
1894,6,-0.73,-0.323,-0.329,-0.338,
1894,7,-0.16,-0.294,-0.308,-0.341,
1894,8,0.063,-0.25,-0.296,-0.339,
1894,9,0.266,-0.245,-0.283,-0.339,
1894,10,0.133,-0.266,-0.272,-0.338,
1894,11,-0.301,-0.229,-0.266,-0.333,
1894,12,-0.335,-0.193,-0.26,-0.331,
1895,1,-0.501,-0.227,-0.25,-0.333,
1895,2,-0.094,-0.242,-0.239,-0.331,
1895,3,-0.573,-0.246,-0.228,-0.324,
1895,4,-0.546,-0.263,-0.226,-0.319,
1895,5,0.031,-0.257,-0.211,-0.311,
1895,6,-0.298,-0.288,-0.197,-0.304,
1895,7,-0.572,-0.279,-0.18,-0.301,
1895,8,-0.114,-0.335,-0.173,-0.293,
1895,9,0.215,-0.35,-0.175,-0.291,
1895,10,-0.073,-0.344,-0.166,-0.288,
1895,11,-0.228,-0.332,-0.16,-0.281,
1895,12,-0.708,-0.306,-0.157,-0.278,
1896,1,-0.388,-0.248,-0.16,-0.273,
1896,2,-0.767,-0.236,-0.156,-0.273,
1896,3,-0.747,-0.239,-0.155,-0.274,
1896,4,-0.477,-0.213,-0.158,-0.275,
1896,5,0.175,-0.194,-0.148,-0.274,
1896,6,0.016,-0.134,-0.142,-0.276,
1896,7,0.12,-0.08,-0.139,-0.275,
1896,8,0.029,-0.009,-0.14,-0.273,
1896,9,0.177,0.062,-0.139,-0.275,
1896,10,0.242,0.141,-0.138,-0.273,
1896,11,0.002,0.138,-0.136,-0.268,
1896,12,0.009,0.161,-0.132,-0.27,-0.311
1897,1,0.266,0.188,-0.138,-0.263,-0.31
1897,2,0.083,0.223,-0.143,-0.259,-0.309
1897,3,0.103,0.231,-0.151,-0.257,-0.309
1897,4,0.475,0.206,-0.159,-0.254,-0.308
1897,5,0.13,0.223,-0.157,-0.252,-0.308
