Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,2,-0.485,,,,
1849,3,-0.229,-0.764,,,
1849,4,-1.204,-0.772,,,
1849,5,-0.988,-0.738,,,
1849,6,-0.705,-0.641,,,
1849,7,-0.685,-0.665,,,
1849,8,-0.719,-0.636,,,
1849,9,-0.943,-0.638,,,
1849,10,-0.502,-0.606,,,
1849,11,-0.497,-0.601,,,
1849,12,-0.345,-0.579,,,
1850,1,-0.679,-0.582,,,
1850,2,-0.132,-0.572,,,
1850,3,-0.261,-0.545,,,
1850,4,-0.81,-0.594,,,
1850,5,-0.933,-0.62,,,
1850,6,-0.443,-0.595,,,
1850,7,-0.724,-0.552,,,
1850,8,-0.59,-0.589,,,
1850,9,-0.627,-0.624,,,
1850,10,-1.084,-0.605,,,
1850,11,-0.806,-0.577,,,
1850,12,-0.047,-0.609,,,
1851,1,-0.168,-0.585,,,
1851,2,-0.578,-0.586,,,
1851,3,-0.675,-0.602,,,
1851,4,-0.583,-0.574,,,
1851,5,-0.598,-0.582,,,
1851,6,-0.834,-0.613,,,
1851,7,-0.429,-0.625,,,
1851,8,-0.603,-0.655,,,
1851,9,-0.817,-0.725,,,
1851,10,-0.751,,,,
1851,11,-0.905,,,,
1851,12,-0.412,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,1.121,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,-1.097,,,,
1858,4,-0.578,,,,
1858,5,-0.821,,,,
1858,6,0.677,-0.42,,,
1858,7,0.089,-0.445,,,
1858,8,0.385,-0.412,,,
1858,9,0.145,-0.393,,,
1858,10,,-0.185,,,
1858,11,-0.455,0.027,,,
1858,12,-1.565,0.071,,,
1859,1,-0.703,0.059,,,
1859,2,,,,,
1859,3,-0.873,,,,
1859,4,1.92,,,,
1859,5,1.721,,,,
1859,6,1.206,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,-0.482,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,-0.799,,,,
1860,2,-0.887,,,,
1860,3,0.139,,,,
1860,4,,-0.579,,,
1860,5,-0.928,-0.736,,,
1860,6,-0.562,-0.873,,,
1860,7,-0.824,-0.967,,,
1860,8,-0.416,,,,
1860,9,-1.165,,,,
1860,10,-1.603,,,,
1860,11,-2.176,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,-1.385,,,,
1862,2,-2.314,,,,
1862,3,-2.007,,,,
1862,4,-1.913,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,,,,,
1873,2,,,,,
1873,3,,,,,
1873,4,,,,,
1873,5,,,,,
1873,6,,,,,
1873,7,0.024,,,,
1873,8,-0.15,,,,
1873,9,0.193,,,,
1873,10,-0.434,-0.412,,,
1873,11,,-0.448,,,
1873,12,-0.258,-0.458,,,
1874,1,-1.055,-0.504,,,
1874,2,-0.625,-0.558,,,
1874,3,-1.529,-0.586,,,
1874,4,0.098,-0.586,,,
1874,5,-0.709,-0.571,,,
1874,6,,-0.619,,,
1874,7,-0.526,-0.624,,,
1874,8,-0.801,-0.652,,,
1874,9,-0.142,-0.595,,,
1874,10,-0.435,-0.659,,,
1874,11,-1.002,-0.688,-0.645,,
1874,12,-0.827,-0.754,-0.642,,
1875,1,-1.119,-0.789,-0.634,,
1875,2,-0.961,-0.809,-0.631,,
1875,3,-0.844,-0.851,-0.626,,
1875,4,-0.668,-0.865,-0.63,,
1875,5,-1.067,-0.915,-0.618,,
1875,6,-0.65,-0.942,-0.603,,
1875,7,-0.946,-0.919,-0.597,,
1875,8,-1.043,-0.921,-0.589,,
1875,9,-0.652,-0.868,-0.573,,
1875,10,-0.603,-0.826,-0.557,,
1875,11,-1.596,-0.812,-0.555,,
1875,12,-1.153,-0.755,-0.553,,
1876,1,-0.847,-0.739,-0.56,,
1876,2,-0.986,-0.751,-0.559,-0.404,
1876,3,-0.207,-0.805,-0.563,-0.396,
1876,4,-0.159,-0.839,-0.559,-0.398,
1876,5,-0.902,-0.842,-0.542,-0.389,
1876,6,0.037,-0.856,-0.548,-0.388,
1876,7,-0.751,-0.877,-0.545,-0.378,
1876,8,-1.197,-0.869,-0.535,-0.38,
1876,9,-1.294,-0.899,-0.518,-0.374,
1876,10,-1.008,-0.924,-0.53,-0.377,
1876,11,-1.631,-0.857,-0.531,-0.368,
1876,12,-1.326,-0.868,-0.52,-0.365,
1877,1,-1.102,-0.75,-0.525,-0.358,
1877,2,-0.893,-0.638,-0.527,-0.35,
1877,3,-0.567,-0.519,-0.531,-0.344,
1877,4,-0.455,-0.459,-0.524,-0.344,
1877,5,-0.098,-0.349,-0.518,-0.343,
1877,6,-0.101,-0.27,-0.514,-0.347,
1877,7,0.667,-0.217,-0.503,-0.344,
1877,8,0.155,-0.121,-0.498,-0.344,
1877,9,0.126,-0.021,-0.489,-0.345,
1877,10,-0.279,0.036,-0.492,-0.345,
1877,11,-0.316,0.031,-0.465,-0.34,
1877,12,-0.374,0.068,-0.443,-0.33,
1878,1,-0.47,-0.021,-0.413,-0.325,
1878,2,0.256,-0.04,-0.379,-0.331,
1878,3,0.633,-0.053,-0.373,-0.338,
1878,4,0.234,-0.047,-0.343,-0.329,
1878,5,-0.153,-0.034,-0.312,-0.333,
1878,6,0.332,-0.055,-0.289,-0.331,
1878,7,-0.389,-0.089,-0.264,-0.33,
1878,8,-0.077,-0.113,-0.249,-0.333,
1878,9,-0.037,-0.208,-0.239,-0.34,
1878,10,-0.204,-0.28,-0.237,-0.333,
1878,11,-0.157,-0.327,-0.212,-0.317,
1878,12,-0.623,-0.291,-0.212,-0.318,
1879,1,-0.877,-0.327,-0.178,-0.314,
1879,2,-0.038,-0.399,-0.162,-0.309,
1879,3,-0.51,-0.426,-0.135,-0.29,
1879,4,-0.622,-0.411,-0.125,-0.286,
1879,5,-0.722,-0.449,-0.103,-0.278,
1879,6,0.759,-0.449,-0.088,-0.285,
1879,7,-0.819,-0.411,-0.072,-0.286,
1879,8,-0.943,-0.464,-0.057,-0.268,
1879,9,-0.355,-0.447,-0.042,-0.273,
1879,10,-0.03,-0.467,-0.043,-0.275,
1879,11,-0.615,-0.363,-0.041,-0.276,
1879,12,-0.616,-0.369,-0.051,-0.274,
1880,1,-0.419,-0.23,-0.055,-0.275,
1880,2,-0.681,-0.066,-0.057,-0.275,
1880,3,-0.307,-0.062,-0.065,-0.274,
1880,4,-0.861,0.04,-0.06,-0.278,
1880,5,0.535,0.112,-0.063,-0.277,
1880,6,0.678,0.185,-0.056,-0.278,
1880,7,0.851,0.274,-0.054,-0.274,
1880,8,1.034,0.325,-0.073,-0.27,
1880,9,-0.309,0.381,-0.103,-0.271,
1880,10,1.197,0.451,-0.101,-0.268,
1880,11,0.247,0.454,-0.112,-0.26,
1880,12,0.259,0.401,-0.108,-0.249,-0.43
1881,1,0.647,0.438,-0.099,-0.25,-0.429
1881,2,-0.067,0.334,-0.108,-0.248,-0.427
1881,3,0.367,0.386,-0.116,-0.243,-0.425
1881,4,-0.021,0.254,-0.106,-0.246,-0.428
