Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.825,-0.534,,,
1750,3,2.08,-0.495,,,
1750,4,0.388,-0.414,,,
1750,5,-1.444,-0.581,,,
1750,6,0.29,-0.567,,,
1750,7,0.526,-0.596,,,
1750,8,0.634,-0.797,,,
1750,9,-0.267,-0.879,,,
1750,10,-0.674,-1.066,,,
1750,11,-3.487,-1.02,,,
1750,12,-2.394,-1.092,,,
1751,1,-1.984,-1.041,,,
1751,2,-3.235,-0.984,,,
1751,3,1.095,-0.974,,,
1751,4,-1.849,-1.003,,,
1751,5,-0.896,-1.001,,,
1751,6,-0.57,-1.001,,,
1751,7,1.141,-0.929,,,
1751,8,1.317,-0.578,,,
1751,9,-0.152,-0.653,,,
1751,10,-1.02,-0.594,,,
1751,11,-3.465,-0.587,,,
1751,12,-2.392,-0.382,,,
1752,1,-1.127,-0.425,,,
1752,2,0.982,-0.62,,,
1752,3,0.196,,,,
1752,4,-1.149,,,,
1752,5,-0.805,,,,
1752,6,1.885,,,,
1752,7,0.627,,,,
1752,8,-1.018,,,,
1752,9,,,,,
1752,10,-0.261,,,,
1752,11,-0.591,,,,
1752,12,-1.252,,,,
1753,1,-1.943,,,,
1753,2,-1.269,,,,
1753,3,0.93,-0.254,,,
1753,4,0.408,-0.263,,,
1753,5,0.329,-0.372,,,
1753,6,1.224,-0.39,,,
1753,7,0.677,-0.319,,,
1753,8,-0.702,-0.431,,,
1753,9,-0.593,-0.792,,,
1753,10,-0.38,-0.795,,,
1753,11,-1.891,-0.736,,,
1753,12,-1.465,-0.753,,,
1754,1,-1.093,-0.824,,,
1754,2,-2.619,-0.735,,,
1754,3,-3.401,-0.747,,,
1754,4,0.374,-0.636,,,
1754,5,1.042,-0.435,,,
1754,6,1.014,-0.335,,,
1754,7,-0.172,-0.55,,,
1754,8,0.37,-0.692,,,
1754,9,-0.747,-0.476,,,
1754,10,0.957,-0.236,,,
1754,11,0.52,-0.301,,,
1754,12,-0.263,-0.185,,,
1755,1,-3.68,-0.134,,,
1755,2,-4.32,-0.264,,,
1755,3,-0.812,-0.33,-0.241,,
1755,4,3.253,-0.4,-0.298,,
1755,5,0.262,-0.608,-0.314,,
1755,6,2.413,-0.57,-0.319,,
1755,7,0.433,-0.233,-0.352,,
1755,8,-1.184,0.217,-0.379,,
1755,9,-1.536,0.325,-0.401,,
1755,10,0.11,-0.01,-0.415,,
1755,11,-1.973,-0.031,-0.425,,
1755,12,0.195,-0.089,-0.433,,
1756,1,0.366,-0.108,-0.473,,
1756,2,1.079,0.05,-0.478,,
1756,3,0.479,0.167,-0.504,,
1756,4,-0.768,0.109,-0.541,,
1756,5,0.008,0.039,-0.519,,
1756,6,1.722,-0.121,-0.491,,
1756,7,0.21,-0.342,-0.448,,
1756,8,0.705,-0.421,-0.38,,
1756,9,-0.127,-0.513,-0.32,,
1756,10,-0.585,-0.365,-0.326,,
1756,11,-2.819,-0.275,-0.356,,
1756,12,-1.724,-0.264,-0.36,,
1757,1,-2.281,-0.038,-0.336,,
1757,2,0.129,0.037,-0.344,,
1757,3,-0.622,-0.041,-0.336,,
1757,4,1.004,-0.298,-0.353,,
1757,5,1.087,-0.196,-0.428,,
1757,6,1.859,-0.181,-0.447,,
1757,7,2.925,-0.316,-0.406,,
1757,8,1.603,-0.568,-0.361,,
1757,9,-1.069,-0.549,-0.375,-0.365,
1757,10,-3.672,-0.666,-0.405,-0.374,
1757,11,-1.595,-0.781,-0.402,-0.377,
1757,12,-1.545,-0.873,-0.429,-0.396,
1758,1,-3.896,-1.263,-0.432,-0.412,
1758,2,-2.901,-1.478,-0.422,-0.396,
1758,3,-0.386,-1.567,-0.413,-0.417,
1758,4,-0.408,-1.477,-0.417,-0.425,
1758,5,-0.284,-1.393,-0.395,-0.441,
1758,6,0.757,-1.249,-0.4,-0.456,
1758,7,-1.757,-0.797,-0.432,-0.454,
1758,8,-0.975,-0.438,-0.46,-0.44,
1758,9,-2.14,-0.388,-0.448,-0.445,
1758,10,-2.596,-0.351,-0.436,-0.459,
1758,11,-0.586,-0.391,-0.409,-0.459,
1758,12,0.187,-0.39,-0.418,-0.443,
1759,1,1.527,-0.139,-0.393,-0.428,
1759,2,1.408,-0.063,-0.391,-0.392,
1759,3,0.208,0.093,-0.373,-0.379,
1759,4,0.044,0.299,-0.403,-0.39,
1759,5,-0.77,0.02,-0.377,-0.385,
1759,6,0.773,-0.112,-0.403,-0.393,
1759,7,1.251,-0.344,-0.361,-0.388,
1759,8,-0.063,-0.594,-0.38,-0.404,
1759,9,-0.271,-0.751,-0.417,-0.412,
1759,10,-0.115,-0.63,-0.401,-0.433,
1759,11,-3.943,-0.532,-0.401,-0.451,
1759,12,-1.397,-0.529,-0.439,-0.443,
1760,1,-1.252,-0.614,-0.474,-0.387,
1760,2,-1.59,-0.657,-0.5,-0.368,
1760,3,-1.675,-0.714,-0.489,-0.352,
1760,4,1.486,-0.72,-0.451,-0.375,
1760,5,0.411,-0.446,-0.439,-0.384,
1760,6,0.81,-0.339,-0.472,-0.405,
1760,7,0.229,-0.36,-0.473,-0.425,
1760,8,-0.581,-0.28,-0.413,-0.42,
1760,9,-0.955,-0.038,-0.434,-0.413,
1760,10,-0.181,-0.167,-0.435,-0.415,
1760,11,-0.652,-0.064,-0.457,-0.405,
1760,12,-0.115,-0.033,-0.48,-0.421,
1761,1,-1.513,0.091,-0.436,-0.46,
1761,2,-0.629,0.206,-0.402,-0.487,
1761,3,1.235,0.363,-0.386,-0.491,
1761,4,-0.062,0.182,-0.378,-0.479,
1761,5,1.648,0.13,-0.399,-0.473,
1761,6,1.18,-0.133,-0.394,-0.482,
1761,7,1.712,0.011,-0.409,-0.494,
1761,8,0.801,-0.021,-0.403,-0.501,
1761,9,0.934,-0.358,-0.438,-0.504,
1761,10,-2.358,-0.188,-0.454,-0.507,
1761,11,-1.269,-0.236,-0.414,-0.476,
1761,12,-3.281,-0.373,-0.426,-0.475,
1762,1,0.223,-0.442,-0.44,-0.513,
1762,2,-1.02,-0.508,-0.464,-0.507,
1762,3,-2.805,-0.618,-0.488,-0.501,
1762,4,1.977,-0.539,-0.513,-0.527,
1762,5,1.073,-0.507,-0.474,-0.547,
1762,6,-0.464,-0.528,-0.44,-0.569,
1762,7,0.881,-0.874,-0.368,-0.589,
1762,8,0.019,-0.732,-0.376,-0.606,
1762,9,-0.389,-0.634,-0.33,-0.604,-0.543
1762,10,-1.408,-0.839,-0.345,-0.576,-0.54
1762,11,-0.89,-1.06,-0.366,-0.554,-0.531
1762,12,-3.529,-1.075,-0.381,-0.566,-0.522
1763,1,-3.935,-1.073,-0.417,-0.573,-0.512
1763,2,0.682,-0.989,-0.418,-0.577,-0.514
1763,3,-1.63,-1.056,-0.413,-0.589,-0.524
1763,4,-0.483,-1.115,-0.413,-0.586,-0.527
1763,5,-1.569,-1.193,-0.414,-0.588,-0.524
1763,6,-0.654,-0.858,-0.441,-0.605,-0.534
