Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1891,2,-0.936,,,,
1891,3,-0.516,,,,
1891,4,-0.409,,,,
1891,5,-0.381,-0.547,,,
1891,6,-0.347,-0.535,,,
1891,7,-0.322,-0.573,,,
1891,8,-0.318,-0.622,,,
1891,9,-0.648,,,,
1891,10,-0.814,,,,
1891,11,-0.684,,,,
1891,12,-0.357,,,,
1892,1,,,,,
1892,2,,,,,
1892,3,,,,,
1892,4,,,,,
1892,5,,,,,
1892,6,,,,,
1892,7,,,,,
1892,8,,,,,
1892,9,,,,,
1892,10,,,,,
1892,11,,,,,
1892,12,,,,,
1893,1,,,,,
1893,2,,,,,
1893,3,,,,,
1893,4,,,,,
1893,5,,,,,
1893,6,,,,,
1893,7,,,,,
1893,8,,,,,
1893,9,,,,,
1893,10,,,,,
1893,11,,,,,
1893,12,,,,,
1894,1,,,,,
1894,2,,,,,
1894,3,,,,,
1894,4,,,,,
1894,5,,,,,
1894,6,,,,,
1894,7,,,,,
1894,8,,,,,
1894,9,,,,,
1894,10,,,,,
1894,11,-1.335,,,,
1894,12,-0.725,,,,
1895,1,-0.139,-0.478,,,
1895,2,-0.143,-0.462,,,
1895,3,-0.804,-0.455,,,
1895,4,-0.355,-0.459,,,
1895,5,-0.215,-0.413,,,
1895,6,-0.257,-0.385,,,
1895,7,-0.22,-0.487,,,
1895,8,-0.261,-0.505,,,
1895,9,,-0.513,,,
1895,10,-0.406,-0.497,,,
1895,11,-0.777,-0.512,,,
1895,12,-0.396,-0.532,,,
1896,1,-1.367,-0.559,,,
1896,2,-0.352,-0.613,,,
1896,3,-0.9,-0.622,,,
1896,4,-0.165,-0.738,,,
1896,5,-0.398,-0.698,,,
1896,6,-0.491,-0.708,,,
1896,7,-0.545,-0.586,,,
1896,8,-0.917,-0.56,,,
1896,9,-0.75,-0.511,,,
1896,10,-1.801,-0.567,,,
1896,11,-0.298,-0.557,,,
1896,12,-0.518,-0.488,,,
1897,1,0.101,-0.431,,,
1897,2,-0.044,-0.353,,,
1897,3,-0.309,,,,
1897,4,-0.83,,,,
1897,5,-0.276,,,,
1897,6,,,,,
1897,7,,,,,
1897,8,,,,,
1897,9,,,,,
1897,10,,,,,
1897,11,,,,,
1897,12,,,,,
1898,1,,,,,
1898,2,,,,,
1898,3,,,,,
1898,4,,,,,
1898,5,,,,,
1898,6,,,,,
1898,7,,,,,
1898,8,,,,,
1898,9,,,,,
1898,10,,,,,
1898,11,,,,,
1898,12,,,,,
1899,1,,,,,
1899,2,,,,,
1899,3,,,,,
1899,4,,,,,
1899,5,,,,,
1899,6,,,,,
1899,7,,,,,
1899,8,,,,,
1899,9,,,,,
1899,10,,,,,
1899,11,,,,,
1899,12,,,,,
1900,1,,,,,
1900,2,,,,,
1900,3,,,,,
1900,4,,,,,
1900,5,,,,,
1900,6,,,,,
1900,7,,,,,
1900,8,,,,,
1900,9,,,,,
1900,10,,,,,
1900,11,,,,,
1900,12,,,,,
1901,1,,,,,
1901,2,,,,,
1901,3,,,,,
1901,4,,,,,
1901,5,,,,,
1901,6,,,,,
1901,7,,,,,
1901,8,0.47,,,,
1901,9,0.213,,,,
1901,10,0.377,,,,
1901,11,-1.138,,,,
1901,12,-0.448,-0.219,,,
1902,1,0.227,-0.328,,,
1902,2,-0.203,-0.418,,,
1902,3,,-0.521,,,
1902,4,,-0.637,,,
1902,5,-0.744,-0.696,,,
1902,6,-0.488,-0.68,,,
1902,7,-0.892,-0.685,,,
1902,8,-0.602,-0.699,,,
1902,9,-1.031,-0.681,,,
1902,10,-1.017,-0.67,,,
1902,11,-1.841,-0.629,,,
1902,12,-0.26,-0.586,-0.383,,
1903,1,0.172,-0.505,-0.397,,
1903,2,-0.373,-0.484,-0.409,,
1903,3,-0.482,-0.432,-0.423,,
1903,4,-0.482,-0.4,-0.433,,
1903,5,-0.257,-0.317,-0.437,,
1903,6,0.039,-0.324,-0.433,,
1903,7,0.071,-0.349,-0.435,,
1903,8,-0.348,-0.359,-0.427,,
1903,9,-0.403,-0.353,-0.429,,
1903,10,-0.637,-0.342,-0.443,,
1903,11,-0.85,-0.368,-0.454,,
1903,12,-0.336,-0.425,-0.481,,
1904,1,-0.134,-0.492,-0.493,,
1904,2,-0.49,-0.536,-0.508,,
1904,3,-0.413,-0.539,-0.508,,
1904,4,-0.344,-0.545,-0.523,,
1904,5,-0.57,-0.552,-0.515,,
1904,6,-0.647,-0.594,-0.513,-0.391,-0.358
1904,7,-0.734,-0.654,-0.527,-0.383,-0.358
1904,8,-0.872,-0.726,-0.528,-0.377,-0.359
1904,9,-0.436,-0.759,-0.523,-0.367,-0.359
1904,10,-0.709,-0.783,-0.515,-0.368,-0.36
1904,11,-0.943,-0.786,-0.513,-0.369,-0.356
1904,12,-0.834,-0.765,-0.509,-0.363,-0.353
1905,1,-0.861,-0.771,-0.497,-0.358,-0.352
1905,2,-1.354,-0.738,-0.49,-0.356,-0.352
1905,3,-0.81,-0.719,-0.481,-0.363,-0.346
1905,4,-0.624,-0.69,-0.471,-0.371,-0.344
1905,5,-0.606,-0.676,-0.453,-0.38,-0.342
1905,6,-0.393,-0.602,-0.453,-0.382,-0.339
1905,7,-0.808,-0.577,-0.464,-0.388,-0.336
1905,8,-0.476,-0.502,-0.459,-0.394,-0.334
1905,9,-0.209,-0.428,-0.46,-0.402,-0.33
1905,10,-0.359,-0.395,-0.461,-0.405,-0.326
