Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,0.026,,,,
1880,10,-0.228,,,,
1880,11,-0.248,,,,
1880,12,-0.001,,,,
1881,1,-0.426,0.004,,,
1881,2,0.076,,,,
1881,3,0.519,,,,
1881,4,0.64,,,,
1881,5,0.393,,,,
1881,6,-0.625,,,,
1881,7,0.153,,,,
1881,8,,,,,
1881,9,0.198,,,,
1881,10,0.355,,,,
1881,11,-0.23,,,,
1881,12,-0.246,,,,
1882,1,0.436,,,,
1882,2,0.32,-0.08,,,
1882,3,-0.197,-0.096,,,
1882,4,-0.112,-0.154,,,
1882,5,0.315,-0.205,,,
1882,6,-0.565,-0.267,,,
1882,7,-0.937,-0.338,,,
1882,8,-0.294,-0.404,,,
1882,9,0.006,-0.39,,,
1882,10,-0.344,-0.386,,,
1882,11,-0.845,-0.424,,,
1882,12,-0.987,-0.389,,,
1883,1,-0.422,-0.429,,,
1883,2,-0.466,-0.44,,,
1883,3,-0.034,-0.464,,,
1883,4,-0.065,-0.428,,,
1883,5,-0.133,-0.42,,,
1883,6,-0.149,-0.378,,,
1883,7,-1.422,-0.382,,,
1883,8,-0.416,-0.38,,,
1883,9,-0.291,-0.422,,,
1883,10,0.088,-0.463,,,
1883,11,-0.745,-0.516,,,
1883,12,-0.479,-0.589,,,
1884,1,-0.47,-0.495,,,
1884,2,-0.445,-0.476,,,
1884,3,-0.533,-0.439,,,
1884,4,-0.563,-0.501,,,
1884,5,-0.77,-0.518,,,
1884,6,-1.023,-0.492,,,
1884,7,-0.29,-0.503,,,
1884,8,-0.19,-0.47,,,
1884,9,0.147,-0.482,,,
1884,10,-0.653,-0.402,,,
1884,11,-0.945,-0.364,,,
1884,12,-0.167,,,,
1885,1,-0.607,,,,
1885,2,-0.051,,,,
1885,3,-0.666,,,,
1885,4,0.395,,,,
1885,5,-0.322,,,,
1885,6,,,,,
1885,7,,,,,
1885,8,,,,,
1885,9,,,,,
1885,10,,,,,
1885,11,-0.414,,,,
1885,12,-0.033,,,,
1886,1,-0.443,,,,
1886,2,-0.696,,,-0.304,
1886,3,-0.111,,,-0.311,
1886,4,0.388,-0.146,,-0.319,
1886,5,-0.206,-0.141,,-0.326,
1886,6,-0.333,-0.156,,-0.325,
1886,7,0.537,-0.186,,-0.33,
1886,8,-0.087,-0.167,,-0.334,
1886,9,-0.335,-0.195,,-0.333,
1886,10,-0.02,-0.259,,-0.337,
1886,11,-0.356,-0.252,,-0.338,
1886,12,-0.21,-0.271,,-0.335,
1887,1,-0.809,-0.369,,-0.35,-0.234
1887,2,-0.457,-0.462,,-0.355,-0.233
1887,3,-0.449,-0.448,,-0.357,-0.234
1887,4,-0.383,-0.525,,-0.354,-0.233
1887,5,-0.119,-0.547,,-0.354,-0.235
1887,6,-0.559,-0.572,,-0.347,-0.236
1887,7,-0.638,-0.554,,-0.343,-0.238
1887,8,-1.208,-0.564,,-0.348,-0.24
1887,9,-0.173,-0.595,,-0.355,-0.238
1887,10,-0.944,-0.523,,-0.353,-0.24
1887,11,-0.61,-0.516,,-0.35,-0.241
1887,12,-0.51,-0.492,,-0.347,-0.237
1888,1,-0.599,-0.431,-0.31,-0.35,-0.234
1888,2,-0.581,-0.298,-0.328,-0.348,-0.238
1888,3,-0.823,-0.277,-0.319,-0.348,-0.245
1888,4,0.483,-0.229,-0.312,-0.348,-0.25
1888,5,-0.026,-0.183,-0.312,-0.348,-0.248
1888,6,-0.281,-0.157,-0.319,-0.351,-0.25
1888,7,0.104,-0.133,-0.324,-0.34,-0.253
1888,8,0.382,-0.04,-0.32,-0.336,-0.255
1888,9,0.081,0.012,-0.323,-0.334,-0.256
1888,10,-0.371,-0.013,-0.335,-0.336,-0.258
1888,11,-0.055,0.007,-0.339,-0.335,-0.26
1888,12,-0.201,0.01,-0.341,-0.334,-0.259
1889,1,-0.303,-0.013,-0.358,-0.336,-0.259
1889,2,0.533,-0.091,-0.362,-0.333,-0.26
1889,3,-0.195,-0.097,-0.352,-0.332,-0.26
1889,4,0.175,-0.098,-0.354,-0.329,-0.258
1889,5,0.219,-0.16,-0.354,-0.322,-0.26
1889,6,-0.249,-0.209,-0.348,-0.315,-0.26
1889,7,-0.169,-0.215,-0.357,-0.315,-0.26
1889,8,-0.561,-0.289,-0.355,-0.315,-0.258
1889,9,0.016,-0.31,-0.354,-0.311,-0.255
1889,10,-0.388,-0.317,-0.344,-0.303,-0.256
1889,11,-0.792,-0.397,-0.336,-0.299,-0.254
1889,12,-0.79,-0.44,-0.323,-0.302,-0.25
1890,1,-0.381,-0.522,-0.32,-0.3,-0.25
1890,2,-0.35,-0.587,-0.315,-0.305,-0.244
1890,3,-0.45,-0.599,-0.324,-0.3,-0.241
1890,4,0.089,-0.56,-0.312,-0.305,-0.238
1890,5,-0.738,-0.529,-0.309,-0.302,-0.238
1890,6,-0.77,-0.502,-0.31,-0.297,-0.235
1890,7,-1.155,-0.53,-0.315,-0.296,-0.235
1890,8,-1.331,-0.541,-0.308,-0.293,-0.235
1890,9,-0.127,-0.525,-0.294,-0.287,-0.234
1890,10,0.077,-0.562,-0.303,-0.284,-0.234
1890,11,-0.424,-0.536,-0.306,-0.281,-0.233
1890,12,-0.468,-0.511,-0.31,-0.284,-0.232
1891,1,-0.719,-0.457,-0.313,-0.283,-0.23
1891,2,-0.475,-0.373,-0.319,-0.277,-0.234
1891,3,-0.265,-0.338,-0.321,-0.275,-0.239
1891,4,-0.347,-0.358,-0.318,-0.276,-0.241
1891,5,-0.424,-0.351,-0.327,-0.273,-0.241
1891,6,-0.471,-0.302,-0.328,-0.266,-0.24
1891,7,-0.505,-0.354,-0.335,-0.268,-0.239
1891,8,-0.329,-0.339,-0.347,-0.271,-0.239
1891,9,0.294,-0.351,-0.349,-0.267,-0.239
1891,10,-0.17,-0.303,-0.357,-0.268,-0.243
1891,11,-0.336,-0.237,-0.358,-0.268,-0.242
1891,12,0.117,-0.182,-0.358,-0.275,-0.243
1892,1,-1.34,-0.178,-0.36,-0.275,-0.247
1892,2,-0.294,-0.224,-0.354,-0.27,-0.25
1892,3,-0.407,-0.312,-0.344,-0.268,-0.25
1892,4,0.223,-0.313,-0.332,-0.263,-0.25
1892,5,0.372,-0.324,-0.326,-0.261,-0.252
1892,6,0.187,-0.38,-0.321,-0.259,-0.249
1892,7,-0.46,-0.341,-0.322,-0.256,-0.243
1892,8,-0.873,-0.334,-0.327,-0.245,-0.239
1892,9,-0.762,-0.298,-0.32,-0.24,-0.238
1892,10,-0.187,-0.321,-0.325,-0.233,-0.236
1892,11,-0.461,-0.367,-0.312,-0.23,-0.232
1892,12,-0.554,-0.426,-0.299,-0.227,-0.228
1893,1,-0.87,-0.392,-0.283,-0.22,-0.226
1893,2,-0.215,-0.319,-0.259,-0.216,-0.224
1893,3,0.027,-0.26,-0.255,-0.213,-0.224
1893,4,-0.059,-0.258,-0.255,-0.219,-0.225
1893,5,-0.181,-0.271,-0.25,-0.214,-0.225
1893,6,-0.514,-0.249,-0.249,-0.212,-0.225
1893,7,-0.057,-0.234,-0.242,-0.212,-0.218
1893,8,0.003,-0.231,-0.233,-0.215,-0.215
1893,9,-0.048,-0.26,-0.227,-0.217,-0.213
1893,10,-0.164,-0.28,-0.218,-0.217,-0.212
1893,11,-0.615,-0.253,-0.207,-0.218,-0.213
1893,12,-0.293,-0.232,-0.192,-0.218,-0.214
1894,1,-0.697,-0.252,-0.177,-0.219,-0.217
1894,2,-0.174,-0.266,-0.18,-0.226,-0.217
1894,3,-0.322,-0.21,-0.183,-0.229,-0.215
1894,4,-0.294,-0.171,-0.182,-0.229,-0.213
1894,5,0.143,-0.157,-0.183,-0.235,-0.21
1894,6,-0.266,-0.172,-0.202,-0.233,-0.204
1894,7,-0.296,-0.15,-0.193,-0.234,-0.202
1894,8,-0.168,-0.191,-0.186,-0.228,-0.2
1894,9,0.627,-0.164,-0.182,-0.227,-0.197
1894,10,0.306,-0.157,-0.182,-0.227,-0.197
1894,11,-0.445,-0.165,-0.186,-0.221,-0.196
1894,12,-0.474,-0.147,-0.195,-0.216,-0.197
1895,1,-0.436,-0.134,-0.192,-0.219,-0.197
1895,2,-0.673,-0.112,-0.176,-0.215,-0.198
1895,3,0.009,-0.158,-0.156,-0.212,-0.196
1895,4,-0.209,-0.177,-0.154,-0.211,-0.2
