Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1857,2,-0.569,,,,
1857,3,-1.28,,,,
1857,4,-1.704,,,,
1857,5,-1.011,,,,
1857,6,-1.085,-0.876,,,
1857,7,-0.709,-0.84,,,
1857,8,0.066,-0.884,,,
1857,9,-0.532,-0.863,,,
1857,10,-0.913,-0.691,,,
1857,11,-0.594,-0.652,,,
1857,12,-0.895,-0.545,,,
1858,1,-0.849,-0.599,,,
1858,2,-1.102,-0.626,,,
1858,3,-1.03,-0.633,,,
1858,4,0.356,-0.592,,,
1858,5,-0.537,-0.552,,,
1858,6,0.195,-0.569,,,
1858,7,-1.356,-0.574,-0.663,,
1858,8,-0.25,-0.579,-0.68,,
1858,9,-0.619,-0.545,-0.684,,
1858,10,-0.428,-0.585,-0.688,,
1858,11,-0.114,-0.521,-0.689,,
1858,12,-1.099,-0.534,-0.692,,
1859,1,-0.9,-0.476,-0.691,,
1859,2,-1.161,-0.488,-0.681,,
1859,3,-0.632,-0.473,-0.655,,
1859,4,-0.119,-0.477,-0.644,,
1859,5,0.232,-0.532,-0.645,,
1859,6,0.041,-0.478,-0.649,-0.636,
1859,7,-0.662,-0.486,-0.654,-0.641,
1859,8,-0.395,-0.402,-0.662,-0.642,
1859,9,-0.446,-0.431,-0.663,-0.637,
1859,10,-0.471,-0.465,-0.647,-0.644,
1859,11,-0.776,-0.504,-0.633,-0.647,
1859,12,-0.45,-0.513,-0.619,-0.645,
1860,1,-0.995,-0.522,-0.61,-0.648,
1860,2,-0.152,-0.423,-0.628,-0.652,
1860,3,-0.973,-0.51,-0.638,-0.644,
1860,4,-0.529,-0.512,-0.643,-0.65,
1860,5,-0.239,-0.587,-0.653,-0.651,
1860,6,-0.073,-0.666,-0.646,-0.648,
1860,7,-0.764,-0.686,-0.632,-0.636,
1860,8,0.79,-0.831,-0.623,-0.627,
1860,9,-1.483,-0.86,-0.627,-0.62,
1860,10,-0.499,-0.869,-0.638,-0.61,
1860,11,-1.671,-0.899,-0.644,-0.609,
1860,12,-1.402,-0.892,-0.651,-0.598,
1861,1,-1.233,-0.849,-0.629,-0.596,
1861,2,-1.893,-0.916,-0.635,-0.592,
1861,3,-1.318,-0.772,-0.649,-0.588,
1861,4,-0.641,-0.771,-0.654,-0.587,
1861,5,-0.603,-0.713,-0.674,-0.581,
1861,6,0.016,-0.656,-0.665,-0.585,
1861,7,-0.249,-0.683,-0.659,-0.582,
1861,8,-0.02,-0.614,-0.651,-0.576,
1861,9,0.248,-0.617,-0.665,-0.568,
1861,10,-0.482,-0.623,-0.692,-0.562,
1861,11,-0.972,-0.588,-0.696,-0.555,
1861,12,-0.722,-0.613,-0.704,-0.554,
1862,1,-1.556,-0.603,-0.702,-0.542,
1862,2,-1.07,-0.684,-0.696,-0.544,
1862,3,-1.357,-0.8,-0.69,-0.542,
1862,4,-0.702,-0.863,-0.686,-0.531,
1862,5,-0.19,-0.884,-0.687,-0.527,
1862,6,-0.279,-0.859,-0.682,-0.517,
1862,7,-0.138,-0.734,-0.669,-0.508,
1862,8,-0.993,-0.69,-0.675,-0.506,-0.508
1862,9,-1.143,-0.681,-0.657,-0.503,-0.507
1862,10,-1.239,-0.647,-0.654,-0.499,-0.506
1862,11,-1.216,-0.707,-0.651,-0.492,-0.503
1862,12,-0.423,-0.701,-0.649,-0.485,-0.506
1863,1,-0.059,-0.694,-0.624,-0.483,-0.502
1863,2,-0.537,-0.662,-0.624,-0.486,-0.499
1863,3,-1.254,-0.687,-0.602,-0.49,-0.495
1863,4,-0.294,-0.645,-0.586,-0.499,-0.494
1863,5,-0.91,-0.656,-0.573,-0.497,-0.492
1863,6,-0.206,-0.666,-0.557,-0.501,-0.49
1863,7,-0.061,-0.706,-0.529,-0.49,-0.489
1863,8,-0.602,-0.717,-0.504,-0.482,-0.49
1863,9,-1.448,-0.739,-0.491,-0.482,-0.49
1863,10,-0.725,-0.856,-0.486,-0.48,-0.488
1863,11,-1.359,-0.782,-0.473,-0.489,-0.483
1863,12,-0.536,-0.801,-0.478,-0.486,-0.481
1864,1,-0.546,-0.841,-0.472,-0.482,-0.475
1864,2,-0.658,-0.795,-0.472,-0.466,-0.472
1864,3,-1.521,-0.681,-0.481,-0.469,-0.473
1864,4,-1.705,-0.641,-0.48,-0.47,-0.473
1864,5,-0.02,-0.596,-0.465,-0.473,-0.475
1864,6,-0.436,-0.564,-0.458,-0.469,-0.475
1864,7,-0.532,-0.534,-0.431,-0.467,-0.48
1864,8,-0.059,-0.522,-0.425,-0.462,-0.48
1864,9,-0.082,-0.389,-0.42,-0.454,-0.476
1864,10,-0.244,-0.274,-0.415,-0.452,-0.48
1864,11,-0.817,-0.277,-0.421,-0.45,-0.481
1864,12,-0.149,-0.24,-0.414,-0.457,-0.481
1865,1,-0.183,-0.13,-0.406,-0.457,-0.483
1865,2,-0.514,-0.061,-0.385,-0.462,-0.485
1865,3,0.074,-0.068,-0.369,-0.465,-0.485
1865,4,-0.324,-0.009,-0.355,-0.464,-0.489
1865,5,-0.063,-0.018,-0.33,-0.471,-0.491
1865,6,0.008,-0.042,-0.324,-0.469,-0.492
1865,7,0.787,0.01,-0.334,-0.465,-0.491
1865,8,0.773,0.023,-0.35,-0.474,-0.492
1865,9,-0.165,-0.031,-0.353,-0.462,-0.494
1865,10,0.459,-0.029,-0.361,-0.459,-0.494
1865,11,-0.916,-0.01,-0.351,-0.449,-0.493
1865,12,-0.442,-0.034,-0.351,-0.446,-0.488
1866,1,0.444,-0.093,-0.351,-0.446,-0.49
1866,2,-0.355,-0.156,-0.33,-0.439,-0.49
1866,3,-0.579,-0.166,-0.315,-0.438,-0.491
1866,4,-0.298,-0.241,-0.306,-0.432,-0.489
1866,5,0.16,-0.169,-0.303,-0.427,-0.492
1866,6,-0.278,-0.16,-0.308,-0.429,-0.494
1866,7,0.082,-0.193,-0.306,-0.428,-0.494
1866,8,0.014,-0.221,-0.282,-0.427,-0.493
1866,9,-0.282,-0.262,-0.273,-0.425,-0.49
1866,10,-0.442,-0.27,-0.248,-0.422,-0.486
1866,11,-0.056,-0.328,-0.251,-0.423,-0.485
1866,12,-0.334,-0.296,-0.235,-0.423,-0.49
1867,1,0.058,-0.271,-0.231,-0.42,-0.487
1867,2,-0.698,-0.248,-0.227,-0.416,-0.487
1867,3,-1.074,-0.242,-0.219,-0.41,-0.483
1867,4,-0.391,-0.241,-0.217,-0.407,-0.476
1867,5,-0.538,-0.209,-0.213,-0.405,-0.474
1867,6,0.113,-0.187,-0.232,-0.405,-0.469
1867,7,0.376,-0.248,-0.245,-0.404,-0.465
1867,8,0.289,-0.312,-0.25,-0.393,-0.463
1867,9,-0.207,-0.345,-0.273,-0.389,-0.461
1867,10,-0.428,-0.375,-0.275,-0.378,-0.456
1867,11,0.324,-0.356,-0.291,-0.377,-0.455
1867,12,-0.073,-0.384,-0.288,-0.38,-0.457
1868,1,-0.67,-0.42,-0.306,-0.379,-0.458
1868,2,-1.464,-0.389,-0.325,-0.376,-0.454
1868,3,-1.473,-0.419,-0.321,-0.371,-0.45
1868,4,-0.751,-0.399,-0.332,-0.372,-0.449
1868,5,-0.31,-0.523,-0.324,-0.362,-0.449
1868,6,-0.222,-0.586,-0.335,-0.357,-0.449
1868,7,-0.059,-0.565,-0.362,-0.353,-0.443
1868,8,0.668,-0.377,-0.375,-0.347,-0.442
1868,9,-0.563,-0.338,-0.385,-0.34,-0.444
1868,10,-0.199,-0.291,-0.379,-0.335,-0.446
1868,11,-1.157,-0.282,-0.381,-0.329,-0.446
1868,12,-0.836,-0.22,-0.38,-0.327,-0.447
1869,1,-0.41,-0.242,-0.383,-0.322,-0.448
1869,2,0.787,-0.28,-0.382,-0.32,-0.449
