Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,8,,,,,
1819,9,0.304,,,,
1819,10,-0.985,,,,
1819,11,-2.289,-0.926,,,
1819,12,-0.916,-0.886,,,
1820,1,-3.435,-0.819,,,
1820,2,-0.509,-0.779,,,
1820,3,-0.469,-0.838,,,
1820,4,0.478,-0.874,,,
1820,5,0.053,-0.874,,,
1820,6,-0.267,-1.025,,,
1820,7,0.161,-0.757,,,
1820,8,-1.473,-0.714,,,
1820,9,-0.409,-0.698,,,
1820,10,-1.413,-0.724,,,
1820,11,-2.288,-0.717,-1.03,,
1820,12,-2.734,-0.737,-1.042,,
1821,1,-0.208,-0.784,-1.016,,
1821,2,-0.003,-0.714,-1.015,,
1821,3,-0.272,-0.84,-1.001,,
1821,4,0.168,-0.913,-0.977,,
1821,5,0.134,-0.917,-0.997,,
1821,6,-0.506,-0.796,-1.007,,
1821,7,-0.408,-0.877,-0.98,,
1821,8,-0.636,-0.896,-0.97,,
1821,9,,-0.731,-0.925,,
1821,10,-2.281,-0.858,-0.895,,
1821,11,-2.341,-0.987,-0.878,,
1821,12,-1.273,-0.959,-0.864,,
1822,1,-1.186,-0.993,-0.854,,
1822,2,-0.233,-1.017,-0.846,,
1822,3,1.71,-0.894,-0.858,,
1822,4,-1.35,-0.849,-0.866,,
1822,5,-1.425,-0.866,-0.846,,
1822,6,-0.166,-0.979,-0.815,,
1822,7,-0.82,-0.971,-0.758,,
1822,8,-0.914,-0.989,-0.762,,
1822,9,-0.45,-1.222,-0.767,,
1822,10,-1.741,-1.203,-0.78,,
1822,11,-2.547,-1.243,-0.78,,
1822,12,-2.63,-1.223,-0.782,,
1823,1,-1.088,-1.109,-0.807,,
1823,2,-0.443,-1.131,-0.825,,
1823,3,-1.088,-1.166,-0.838,,
1823,4,-1.12,-1.119,-0.813,,
1823,5,-1.91,-1.059,,,
1823,6,0.078,-0.95,,,
1823,7,0.543,-0.837,,,
1823,8,-1.176,,,,
1823,9,-0.872,,,,
1823,10,-1.18,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,-0.018,,,,
1825,2,-0.721,,,,
1825,3,-0.759,-0.735,,,
1825,4,-0.303,-0.612,,,
1825,5,0.005,-0.581,,,
1825,6,-0.356,-0.716,,,
1825,7,-1.352,-0.764,,,
1825,8,-2.566,,,,
1825,9,-1.155,,,,
1825,10,0.05,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,0.423,,,,
1826,6,0.536,,,,
1826,7,-0.222,,,,
1826,8,-1.933,-0.254,,,
1826,9,-1.068,-0.181,,,
1826,10,-0.401,-0.089,,,
1826,11,-0.017,-0.12,,,
1826,12,0.128,-0.105,,,
1827,1,0.09,-0.017,,,
1827,2,-0.08,0.141,,,
1827,3,0.486,0.238,,,
1827,4,0.991,0.244,,,
1827,5,0.045,0.146,,,
1827,6,0.725,0.095,,,
1827,7,0.829,0.001,,,
1827,8,-0.043,-0.094,,,
1827,9,0.108,-0.169,,,
1827,10,-0.334,-0.248,,,
1827,11,-1.193,-0.289,,,
1827,12,-0.487,-0.376,,,
1828,1,-1.035,-0.501,,,
1828,2,-1.217,-0.553,,,
1828,3,-0.412,-0.628,,,
1828,4,0.038,-0.657,,,
1828,5,-0.45,-0.623,,,
1828,6,-0.314,-0.683,,,
1828,7,-0.676,,,,
1828,8,-0.664,,,,
1828,9,-0.794,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,-1.966,,,,
1830,10,,,,,
1830,11,0.269,,,,
1830,12,0.257,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,-2.509,,,,
1831,9,-1.097,,,,
1831,10,-1.203,,,,
1831,11,-2.096,-1.1,,,
1831,12,-1.389,-1.152,,,
1832,1,-0.452,-1.162,,,
1832,2,-1.025,-1.097,,,
1832,3,-0.543,-1.121,,,
1832,4,-0.318,-1.082,,,
1832,5,-1.389,-1.039,,,
1832,6,-0.891,-1.086,,,
1832,7,-1.033,-1.116,,,
1832,8,-1.732,-1.112,,,
1832,9,-1.384,-1.158,,,
1832,10,-0.728,-1.197,,,
1832,11,-1.579,-1.176,,,
1832,12,-1.953,,,,
1833,1,-0.817,,,,
1833,2,-0.973,,,,
1833,3,-1.099,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,-0.885,,,,
1839,2,-1.085,,,,
1839,3,-2.202,,,,
1839,4,-1.082,,,,
1839,5,-0.854,-0.959,,,
1839,6,-0.313,-1.112,,,
1839,7,0.229,-1.06,,,
1839,8,-0.38,-1.064,,,
1839,9,-0.377,-1.003,,,
1839,10,-1.78,-0.906,,,
1839,11,-2.117,-0.84,,,
1839,12,-2.492,-0.82,,,
1840,1,-0.268,-0.852,,,
1840,2,-1.135,-0.902,,,
1840,3,-1.467,-0.914,,,
1840,4,0.088,-0.861,,,
1840,5,-0.065,-0.716,,,
1840,6,-0.077,-0.662,,,
1840,7,-0.151,-0.843,,,
1840,8,-0.977,-0.946,,,
1840,9,-0.533,-1.004,,,
1840,10,-1.136,-1.093,,,
1840,11,-0.377,-1.184,,,
1840,12,-1.841,-1.307,,,
1841,1,-2.451,-1.295,,,
1841,2,-2.361,-1.346,,,
1841,3,-2.166,-1.411,,,
1841,4,-0.984,-1.439,,,
1841,5,-1.16,-1.56,,,
1841,6,-1.544,-1.561,,,
1841,7,-0.014,-1.467,,,
1841,8,-1.587,-1.334,,,
1841,9,-1.315,-1.149,,,
1841,10,-1.465,-1.066,,,
1841,11,-1.834,-1.083,,,
1841,12,-1.853,-1.011,,,
1842,1,-1.328,,,,
1842,2,-0.762,,,,
1842,3,0.054,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,-0.755,
1843,8,,,,-0.761,
1843,9,,,,-0.76,
1843,10,,,,-0.757,
1843,11,,,,-0.763,
1843,12,,,,-0.75,
1844,1,,,,-0.734,
1844,2,,,,-0.701,
1844,3,,,,-0.676,
1844,4,,,,-0.676,
1844,5,-1.665,,,-0.679,
1844,6,-1.119,,,-0.682,
1844,7,-0.99,-0.636,,-0.699,
1844,8,-0.947,-0.533,,-0.702,
1844,9,-0.978,-0.528,,-0.693,
1844,10,-0.57,-0.464,,-0.688,
1844,11,-0.223,-0.352,,-0.688,
1844,12,-1.053,-0.213,,-0.673,
1845,1,1.727,-0.12,,-0.675,
1845,2,0.368,-0.191,,-0.67,
1845,3,0.307,-0.23,,-0.654,
1845,4,-0.425,-0.313,,-0.672,
1845,5,-0.327,-0.459,,-0.674,
1845,6,0.558,-0.653,,-0.679,
1845,7,0.121,-0.887,-0.608,-0.683,
1845,8,-1.793,-0.92,-0.623,-0.691,
1845,9,-1.446,-1.039,-0.621,-0.691,
1845,10,-1.575,-1.032,-0.623,-0.687,
1845,11,-1.97,-1.22,-0.585,-0.7,
1845,12,-3.378,-1.292,-0.574,-0.694,
1846,1,-1.083,-1.348,-0.56,-0.668,-0.815
1846,2,-0.034,-1.213,-0.565,-0.654,-0.823
1846,3,-1.119,-0.983,-0.561,-0.648,-0.825
1846,4,-0.332,-0.855,-0.542,-0.658,-0.822
1846,5,-2.585,-0.869,-0.55,-0.663,-0.817
1846,6,-0.311,-0.56,-0.534,-0.654,-0.814
1846,7,-0.553,-0.418,-0.508,-0.657,-0.805
1846,8,-0.172,-0.475,-0.447,-0.654,-0.798
1846,9,1.316,-0.416,-0.437,-0.654,-0.796
1846,10,-0.039,-0.323,-0.436,-0.662,-0.799
1846,11,-2.139,-0.199,-0.427,-0.653,-0.789
1846,12,0.335,-0.26,-0.421,-0.657,-0.788
1847,1,0.613,-0.227,-0.433,-0.656,-0.79
1847,2,-0.719,-0.327,-0.43,-0.675,-0.788
1847,3,-0.401,-0.462,-0.403,-0.697,-0.784
1847,4,0.775,-0.543,-0.412,-0.716,-0.774
1847,5,-1.087,-0.276,-0.444,-0.717,-0.775
1847,6,-1.05,-0.294,-0.437,-0.708,-0.77
1847,7,-0.152,-0.414,-0.476,-0.692,-0.767
1847,8,-1.377,-0.338,-0.491,-0.689,-0.765
1847,9,-0.303,-0.271,-0.487,-0.691,-0.764
1847,10,-1.007,-0.367,-0.515,-0.683,-0.76
1847,11,1.061,-0.256,-0.516,-0.678,-0.752
1847,12,0.117,-0.225,-0.536,-0.691,-0.75
1848,1,-0.825,-0.203,-0.548,-0.7,-0.736
1848,2,0.189,-0.209,-0.551,-0.726,-0.728
1848,3,0.407,-0.211,-0.534,-0.735,-0.725
1848,4,-0.373,-0.153,-0.52,-0.744,-0.722
1848,5,0.242,-0.41,-0.52,-0.737,-0.715
1848,6,-0.683,-0.339,-0.481,-0.721,-0.715
1848,7,0.112,-0.183,-0.453,-0.701,-0.716
1848,8,-1.449,0.034,-0.463,-0.695,-0.72
1848,9,-0.322,0.067,-0.47,-0.69,-0.718
1848,10,-0.31,0.007,-0.499,-0.694,-0.718
1848,11,-2.027,-0.109,-0.485,-0.688,-0.716
1848,12,0.967,-0.114,-0.488,-0.701,-0.718
1849,1,1.054,-0.267,-0.485,-0.696,-0.717
1849,2,2.785,-0.209,-0.504,-0.705,-0.718
1849,3,0.802,-0.127,-0.547,-0.711,-0.71
1849,4,-1.083,-0.198,-0.586,-0.711,-0.699
1849,5,-1.149,-0.205,-0.564,-0.702,-0.696
1849,6,-0.744,-0.34,-0.608,-0.694,-0.692
1849,7,-1.725,-0.478,-0.638,-0.686,-0.696
1849,8,-0.752,-0.753,-0.676,-0.685,-0.699
1849,9,0.654,-0.777,-0.713,-0.681,-0.7
1849,10,-1.155,-0.861,-0.765,-0.684,-0.696
1849,11,-2.112,-0.796,-0.77,-0.692,-0.691
1849,12,-0.65,-0.788,-0.746,-0.693,-0.683
1850,1,-0.603,-0.694,-0.734,-0.716,-0.689
1850,2,-0.518,-0.797,-0.729,-0.725,-0.687
1850,3,0.515,-0.888,-0.739,-0.73,-0.693
1850,4,-2.09,-0.852,-0.733,-0.718,-0.695
1850,5,-0.377,-0.841,-0.773,-0.72,-0.703
1850,6,-0.64,-0.874,-0.795,-0.723,-0.704
1850,7,-0.594,-0.771,-0.792,-0.722,-0.706
1850,8,-1.994,-0.784,-0.83,-0.721,-0.704
1850,9,-0.44,-0.951,-0.85,-0.709,-0.698
1850,10,-0.714,-0.95,-0.865,-0.701,-0.699
1850,11,-1.98,-1.067,-0.889,-0.695,-0.711
1850,12,-1.048,-1.053,-0.869,-0.665,-0.711
1851,1,0.627,-1.033,-0.842,-0.667,-0.714
1851,2,-0.666,-0.977,-0.826,-0.689,-0.713
1851,3,-1.497,-1.047,-0.818,-0.68,-0.706
1851,4,-2.081,-1.185,-0.847,-0.682,-0.701
1851,5,-1.774,-1.088,-0.826,-0.665,-0.701
1851,6,-0.473,-1.195,-0.869,-0.661,-0.695
1851,7,-0.35,-1.344,-0.884,-0.647,-0.695
1851,8,-1.332,-1.54,-0.964,-0.648,-0.69
1851,9,-1.274,-1.633,-0.986,-0.663,-0.689
1851,10,-2.373,-1.654,-0.987,-0.671,-0.687
1851,11,-0.821,-1.623,-0.976,-0.657,-0.683
1851,12,-2.33,-1.553,-0.968,-0.659,-0.682
1852,1,-1.163,-1.472,-0.938,-0.671,-0.684
1852,2,-3.011,-1.454,-0.941,-0.665,-0.69
1852,3,-2.609,-1.422,-0.959,-0.665,-0.695
1852,4,-2.339,-1.279,-0.957,-0.67,-0.699
1852,5,-1.407,-1.321,-0.941,-0.678,-0.695
1852,6,0.378,-1.226,-0.949,-0.67,-0.69
1852,7,0.618,-1.185,-0.956,-0.669,-0.685
1852,8,-1.112,-1.106,-0.96,-0.665,-0.684
1852,9,-0.889,-0.957,-0.972,-0.669,-0.684
1852,10,-0.66,-0.865,-0.921,-0.664,-0.682
1852,11,-1.324,-0.847,-0.924,-0.678,-0.684
1852,12,-1.192,-0.836,-0.909,-0.679,-0.695
1853,1,-0.672,-0.745,-0.897,-0.669,-0.695
1853,2,-2.058,-0.693,-0.89,-0.669,-0.696
1853,3,-0.827,-0.607,-0.884,-0.677,-0.696
1853,4,-1.23,-0.722,-0.881,-0.673,-0.701
1853,5,-1.199,-0.675,-0.869,-0.677,-0.698
1853,6,0.512,-0.711,-0.848,-0.674,-0.689
1853,7,1.716,-0.641,-0.881,-0.677,-0.678
1853,8,-0.492,-0.637,-0.916,-0.68,-0.674
1853,9,0.139,-0.61,-0.891,-0.676,-0.678
1853,10,-2.041,-0.604,-0.865,-0.678,-0.679
1853,11,-0.753,-0.548,-0.845,-0.668,-0.678
1853,12,-1.622,-0.609,-0.835,-0.686,-0.679
1854,1,0.163,-0.749,-0.81,-0.7,-0.682
1854,2,-2.004,-0.784,-0.792,-0.735,-0.683
1854,3,-0.506,-0.832,-0.779,-0.743,-0.692
1854,4,-1.163,-0.745,-0.757,-0.723,-0.688
1854,5,-0.52,-0.78,-0.75,-0.713,-0.686
1854,6,-0.229,-0.74,-0.71,-0.701,-0.684
1854,7,0.043,-0.838,-0.704,-0.693,-0.678
1854,8,-0.913,-0.736,-0.655,-0.697,-0.678
1854,9,-0.437,-0.711,-0.617,-0.707,-0.678
1854,10,-0.998,-0.533,-0.576,-0.704,-0.676
1854,11,-1.177,-0.537,-0.586,-0.694,-0.677
1854,12,-1.133,-0.496,-0.593,-0.693,-0.68
1855,1,-1.022,-0.485,-0.604,-0.702,-0.686
