Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1764,2,1.566,,,,
1764,3,-1.691,-0.911,,,
1764,4,-1.145,-0.745,,,
1764,5,0.108,-0.644,,,
1764,6,-0.213,-0.534,,,
1764,7,-1.364,-0.315,,,
1764,8,-1.595,-0.515,,,
1764,9,-1.365,-0.321,,,
1764,10,-0.889,-0.211,,,
1764,11,-0.517,-0.265,,,
1764,12,1.242,-0.321,,,
1765,1,2.082,-0.298,,,
1765,2,-0.831,-0.209,,,
1765,3,0.634,-0.154,-0.77,,
1765,4,0.181,-0.125,-0.724,,
1765,5,-0.551,-0.144,-0.68,,
1765,6,-0.877,-0.409,-0.661,,
1765,7,-1.093,-1.0,-0.667,,
1765,8,-0.521,-0.993,-0.697,,
1765,9,-0.713,-1.075,-0.698,,
1765,10,-0.534,-1.092,-0.686,,
1765,11,-0.752,-1.077,-0.672,,
1765,12,-1.931,-0.989,-0.677,,
1766,1,-5.011,-1.043,-0.689,,
1766,2,-0.742,-0.944,-0.699,,
1766,3,-0.356,-0.853,-0.697,,
1766,4,-0.027,-0.832,-0.655,,
1766,5,-0.373,-0.654,-0.628,,
1766,6,0.186,-0.584,-0.645,,
1766,7,-1.743,-0.526,-0.637,,
1766,8,0.669,-0.352,-0.678,,
1766,9,0.376,-0.24,-0.671,,
1766,10,-0.283,-0.37,-0.647,,
1766,11,1.392,-0.435,-0.639,,
1766,12,-1.091,-0.449,-0.632,-0.775,
1767,1,-4.319,-0.37,-0.624,-0.793,
1767,2,1.347,-0.395,-0.605,-0.79,
1767,3,0.992,-0.468,-0.598,-0.773,
1767,4,-1.589,-0.451,-0.648,-0.781,
1767,5,-1.154,-0.433,-0.654,-0.796,
1767,6,0.015,-0.527,-0.721,-0.787,
1767,7,-0.799,-0.486,-0.777,-0.792,
1767,8,0.376,-0.755,-0.758,-0.784,
1767,9,-0.503,-1.05,-0.801,-0.778,
1767,10,-0.083,-0.89,-0.807,-0.75,
1767,11,1.616,-0.898,-0.826,-0.728,
1767,12,-2.219,-0.998,-0.837,-0.686,
1768,1,-3.836,-0.959,-0.872,-0.669,
1768,2,-1.878,-1.029,-0.883,-0.687,
1768,3,-2.544,-1.096,-0.878,-0.677,
1768,4,0.334,-1.122,-0.883,-0.672,
1768,5,-1.26,-1.264,-0.862,-0.657,
1768,6,-1.177,-1.17,-0.824,-0.657,
1768,7,-0.337,-0.857,-0.717,-0.667,
1768,8,-0.461,-0.778,-0.742,-0.671,
1768,9,-1.313,-0.671,-0.768,-0.659,
1768,10,-0.386,-0.672,-0.81,-0.637,
1768,11,-0.089,-0.52,-0.815,-0.635,
1768,12,-1.094,-0.404,-0.837,-0.622,
1769,1,-0.081,-0.45,-0.809,-0.632,
1769,2,-0.927,-0.447,-0.813,-0.637,-0.633
1769,3,-1.264,-0.417,-0.835,-0.616,-0.63
1769,4,0.319,-0.712,-0.816,-0.598,-0.621
1769,5,0.569,-0.774,-0.864,-0.577,-0.613
1769,6,0.22,-0.916,-0.845,-0.567,-0.62
1769,7,-0.893,-1.016,-0.787,-0.551,-0.621
1769,8,-0.426,-0.913,-0.805,-0.528,-0.623
1769,9,-0.954,-0.971,-0.83,-0.526,-0.622
1769,10,-3.927,-1.012,-0.8,-0.532,-0.618
1769,11,-0.827,-1.202,-0.809,-0.541,-0.605
1769,12,-2.799,-1.344,-0.8,-0.575,-0.592
1770,1,-1.288,-1.535,-0.785,-0.585,-0.586
1770,2,0.319,-1.602,-0.779,-0.558,-0.587
1770,3,-1.969,-1.557,-0.787,-0.556,-0.572
1770,4,-0.165,-1.296,-0.776,-0.559,-0.567
1770,5,-1.712,-1.187,-0.777,-0.561,-0.557
1770,6,-1.483,-0.922,-0.711,-0.559,-0.552
1770,7,-3.195,-0.7,-0.672,-0.552,-0.545
1770,8,-1.227,-0.913,-0.678,-0.55,-0.541
1770,9,-0.415,-0.91,-0.656,-0.553,-0.538
1770,10,-0.793,-1.105,-0.659,-0.549,-0.529
1770,11,0.483,-1.022,-0.642,-0.536,-0.53
1770,12,0.379,-0.99,-0.638,-0.536,-0.531
1771,1,1.375,-0.728,-0.646,-0.517,-0.522
1771,2,-2.234,-0.59,-0.644,-0.507,-0.522
1771,3,-1.931,-0.637,-0.621,-0.505,-0.525
1771,4,-2.512,-0.5,-0.62,-0.507,-0.518
1771,5,-0.717,-0.664,-0.643,-0.521,-0.52
1771,6,-1.093,-0.691,-0.6,-0.522,-0.529
1771,7,-0.052,-0.877,-0.626,-0.514,-0.538
1771,8,0.435,-0.667,-0.596,-0.515,-0.54
1771,9,-0.98,-0.546,-0.56,-0.538,-0.545
1771,10,0.851,-0.32,-0.548,-0.543,-0.537
1771,11,-1.487,-0.404,-0.514,-0.559,-0.526
1771,12,0.05,-0.264,-0.501,-0.549,-0.502
1772,1,-0.856,-0.252,-0.478,-0.512,-0.51
1772,2,0.284,-0.227,-0.45,-0.523,-0.521
1772,3,-0.471,-0.226,-0.455,-0.523,-0.515
1772,4,0.199,-0.251,-0.415,-0.522,-0.525
1772,5,-1.725,0.002,-0.428,-0.526,-0.528
1772,6,0.578,0.144,-0.428,-0.537,-0.521
1772,7,0.095,0.093,-0.393,-0.546,-0.522
1772,8,0.739,-0.117,-0.358,-0.551,-0.518
1772,9,-0.968,-0.18,-0.31,-0.549,-0.512
1772,10,0.551,-0.185,-0.311,-0.556,-0.507
1772,11,1.549,-0.064,-0.295,-0.568,-0.514
1772,12,1.75,-0.187,-0.281,-0.565,-0.507
1773,1,-1.466,-0.265,-0.232,-0.536,-0.497
1773,2,-2.234,-0.353,-0.216,-0.516,-0.494
1773,3,-1.234,-0.27,-0.228,-0.504,-0.487
1773,4,0.148,-0.34,-0.216,-0.496,-0.484
1773,5,-0.278,-0.591,-0.21,-0.49,-0.478
1773,6,-0.896,-0.617,-0.248,-0.49,-0.472
1773,7,-0.845,-0.631,-0.317,-0.482,-0.471
1773,8,-0.316,-0.369,-0.273,-0.48,-0.473
1773,9,0.034,-0.192,-0.241,-0.476,-0.476
1773,10,-0.299,-0.119,-0.205,-0.486,-0.467
1773,11,-1.455,0.123,-0.226,-0.496,-0.465
1773,12,1.441,0.279,-0.207,-0.493,-0.461
1774,1,-1.638,0.39,-0.218,-0.513,-0.463
1774,2,0.91,0.52,-0.218,-0.495,-0.477
1774,3,0.89,0.417,-0.24,-0.482,-0.469
1774,4,1.017,0.313,-0.27,-0.475,-0.469
1774,5,2.633,0.301,-0.254,-0.469,-0.468
1774,6,0.98,-0.055,-0.252,-0.485,-0.463
1774,7,0.482,0.152,-0.236,-0.483,-0.455
1774,8,1.244,0.277,-0.24,-0.484,-0.452
1774,9,-1.204,0.278,-0.216,-0.471,-0.448
1774,10,-1.549,0.176,-0.245,-0.434,-0.453
1774,11,-1.591,-0.108,-0.243,-0.426,-0.458
1774,12,-2.838,-0.244,-0.275,-0.397,-0.474
1775,1,0.849,-0.304,-0.307,-0.399,-0.481
1775,2,2.411,-0.432,-0.323,-0.41,-0.486
1775,3,0.9,-0.425,-0.311,-0.385,-0.502
1775,4,-0.208,-0.302,-0.335,-0.368,-0.507
1775,5,-0.77,-0.097,-0.359,-0.341,-0.505
1775,6,-0.657,-0.019,-0.419,-0.323,-0.495
1775,7,-0.233,-0.322,-0.4,-0.292,-0.491
1775,8,-0.299,-0.487,-0.354,-0.283,-0.49
1775,9,-1.113,-0.566,-0.353,-0.286,-0.485
1775,10,-0.073,-0.578,-0.334,-0.278,-0.484
1775,11,0.865,-0.675,-0.337,-0.291,-0.483
1775,12,-1.901,-0.621,-0.343,-0.305,-0.48
1776,1,-2.786,-0.661,-0.317,-0.322,-0.462
1776,2,0.435,-0.596,-0.316,-0.303,-0.461
1776,3,-0.05,-0.698,-0.331,-0.285,-0.461
1776,4,-0.355,-0.769,-0.353,-0.26,-0.459
1776,5,-1.935,-0.885,-0.35,-0.249,-0.455
1776,6,-0.006,-0.713,-0.386,-0.248,-0.451
1776,7,-0.711,-0.471,-0.4,-0.244,-0.444
1776,8,0.482,-0.504,-0.395,-0.244,-0.448
1776,9,-2.346,-0.419,-0.405,-0.248,-0.451
1776,10,-0.922,-0.519,-0.401,-0.262,-0.455
1776,11,-0.526,-0.491,-0.424,-0.241,-0.468
1776,12,0.16,-0.603,-0.469,-0.23,-0.47
1777,1,0.118,-0.697,-0.487,-0.227,-0.456
1777,2,0.042,-0.756,-0.517,-0.252,-0.46
1777,3,0.97,-0.577,-0.488,-0.257,-0.46
1777,4,-1.556,-0.578,-0.453,-0.269,-0.455
1777,5,-1.593,-0.526,-0.425,-0.259,-0.455
1777,6,-1.354,-0.692,-0.365,-0.254,-0.454
1777,7,-1.84,-0.729,-0.406,-0.251,-0.456
1777,8,-0.223,-0.69,-0.461,-0.252,-0.458
1777,9,-0.199,-0.864,-0.46,-0.246,-0.461
1777,10,-0.933,-0.63,-0.426,-0.264,-0.464
1777,11,0.1,-0.534,-0.387,-0.301,-0.476
1777,12,-1.839,-0.524,-0.365,-0.328,-0.463
1778,1,-0.326,-0.313,-0.351,-0.324,-0.455
1778,2,0.513,-0.317,-0.349,-0.301,-0.441
1778,3,-1.118,-0.374,-0.343,-0.297,-0.43
1778,4,1.25,-0.428,-0.34,-0.296,-0.43
1778,5,-0.445,-0.543,-0.373,-0.3,-0.422
1778,6,-1.234,-0.451,-0.362,-0.288,-0.415
1778,7,0.701,-0.627,-0.328,-0.275,-0.41
1778,8,-0.271,-0.573,-0.333,-0.275,-0.405
1778,9,-0.889,-0.453,-0.329,-0.292,-0.403
1778,10,-1.581,-0.454,-0.314,-0.297,-0.403
1778,11,-1.282,-0.314,-0.273,-0.295,-0.404
1778,12,-0.734,-0.355,-0.288,-0.3,-0.407
1779,1,-2.439,-0.463,-0.27,-0.294,-0.409
1779,2,1.171,-0.485,-0.27,-0.316,-0.403
1779,3,0.314,-0.364,-0.256,-0.323,-0.404
1779,4,1.242,-0.186,-0.253,-0.34,-0.406
1779,5,1.238,-0.074,-0.227,-0.36,-0.405
1779,6,-1.724,0.051,-0.208,-0.359,-0.41
1779,7,-0.603,0.121,-0.217,-0.359,-0.411
1779,8,-0.527,-0.053,-0.264,-0.376,-0.411
1779,9,0.554,-0.0,-0.298,-0.369,-0.411
1779,10,0.562,0.051,-0.293,-0.373,-0.402
1779,11,0.064,0.079,-0.276,-0.375,-0.408
1779,12,0.766,0.277,-0.233,-0.373,-0.4
1780,1,-1.6,0.376,-0.194,-0.376,-0.396
1780,2,-0.922,0.409,-0.18,-0.414,-0.395
1780,3,0.945,0.297,-0.181,-0.448,-0.386
1780,4,1.86,0.263,-0.192,-0.455,-0.387
1780,5,1.569,0.162,-0.242,-0.45,-0.385
1780,6,0.654,-0.005,-0.236,-0.431,-0.376
1780,7,0.59,0.068,-0.248,-0.43,-0.365
1780,8,-0.14,0.152,-0.248,-0.429,-0.358
1780,9,-0.787,0.09,-0.242,-0.417,-0.359
1780,10,0.151,-0.019,-0.258,-0.418,-0.354
1780,11,-1.143,-0.103,-0.262,-0.43,-0.356
1780,12,-1.242,-0.236,-0.233,-0.423,-0.359
1781,1,-0.722,-0.252,-0.232,-0.407,-0.361
1781,2,0.093,-0.203,-0.233,-0.415,-0.356
1781,3,0.192,-0.263,-0.253,-0.418,-0.346
1781,4,0.555,-0.337,-0.241,-0.411,-0.328
1781,5,0.558,-0.156,-0.24,-0.389,-0.331
1781,6,-0.932,0.059,-0.214,-0.38,-0.329
1781,7,0.393,0.081,-0.188,-0.374,-0.331
1781,8,0.454,-0.158,-0.237,-0.381,-0.328
1781,9,-1.516,-0.261,-0.242,-0.365,-0.322
1781,10,-0.731,-0.411,-0.28,-0.366,-0.329
1781,11,1.032,-0.507,-0.295,-0.376,-0.326
1781,12,1.336,-0.325,-0.249,-0.391,-0.327
1782,1,-0.466,-0.32,-0.231,-0.4,-0.324
1782,2,-2.768,-0.304,-0.234,-0.397,-0.322
1782,3,-1.045,-0.2,-0.251,-0.398,-0.317
1782,4,-1.247,-0.273,-0.294,-0.388,-0.313
1782,5,-0.596,-0.598,-0.324,-0.383,-0.305
1782,6,1.249,-0.833,-0.381,-0.37,-0.306
1782,7,0.453,-0.881,-0.347,-0.366,-0.307
1782,8,0.651,-0.61,-0.367,-0.366,-0.31
1782,9,-0.273,-0.584,-0.436,-0.374,-0.313
1782,10,-1.602,-0.458,-0.484,-0.373,-0.317
1782,11,-2.865,-0.466,-0.513,-0.385,-0.325
1782,12,-1.489,-0.525,-0.496,-0.361,-0.334
1783,1,-1.047,-0.502,-0.509,-0.374,-0.335
1783,2,0.486,-0.584,-0.51,-0.366,-0.323
1783,3,-0.735,-0.733,-0.491,-0.356,-0.319
1783,4,0.274,-0.674,-0.497,-0.364,-0.324
1783,5,-0.696,-0.535,-0.487,-0.354,-0.325
1783,6,0.538,-0.345,-0.485,-0.339,-0.323
1783,7,0.728,-0.327,-0.487,-0.338,-0.313
1783,8,-0.322,-0.517,-0.497,-0.33,-0.309
1783,9,-2.068,-0.453,-0.507,-0.33,-0.314
1783,10,-0.89,-0.562,-0.507,-0.319,-0.312
1783,11,-1.194,-0.478,-0.506,-0.311,-0.304
1783,12,0.792,-0.438,-0.472,-0.321,-0.307
1784,1,-0.837,-0.455,-0.479,-0.306,-0.303
1784,2,-1.795,-0.488,-0.492,-0.31,-0.301
1784,3,0.037,-0.355,-0.474,-0.325,-0.3
1784,4,-1.031,-0.45,-0.479,-0.337,-0.298
1784,5,0.31,-0.496,-0.525,-0.341,-0.31
1784,6,1.02,-0.784,-0.574,-0.334,-0.318
1784,7,0.517,-0.673,-0.582,-0.339,-0.318
1784,8,-0.722,-0.704,-0.529,-0.339,-0.324
1784,9,-0.464,-0.973,-0.498,-0.351,-0.324
1784,10,-2.03,-0.972,-0.484,-0.369,-0.319
1784,11,-1.752,-1.012,-0.491,-0.39,-0.309
1784,12,-2.656,-0.957,-0.508,-0.404,-0.301
1785,1,0.49,-1.013,-0.537,-0.393,-0.311
1785,2,-2.166,-0.97,-0.552,-0.38,-0.32
1785,3,-3.193,-0.903,-0.567,-0.386,-0.323
1785,4,-1.014,-0.751,-0.554,-0.407,-0.319
1785,5,-0.174,-0.652,-0.527,-0.428,-0.31
1785,6,1.684,-0.522,-0.487,-0.429,-0.31
1785,7,-0.163,-0.633,-0.499,-0.439,-0.313
1785,8,-0.196,-0.495,-0.484,-0.433,-0.31
1785,9,0.329,-0.261,-0.471,-0.433,-0.306
