Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1796,2,0.319,,,,
1796,3,-1.091,,,,
1796,4,-0.489,-0.258,,,
1796,5,-0.065,-0.31,,,
1796,6,-0.365,-0.469,,,
1796,7,-0.85,-0.306,,,
1796,8,-0.307,-0.069,,,
1796,9,-0.417,0.013,,,
1796,10,-0.486,0.0,,,
1796,11,-0.825,-0.008,,,
1796,12,-1.561,0.089,,,
1797,1,,0.129,,,
1797,2,,0.207,,,
1797,3,-0.112,0.219,,,
1797,4,-0.639,0.205,,,
1797,5,-0.169,0.212,,,
1797,6,0.796,0.327,,,
1797,7,-0.369,0.125,,,
1797,8,0.631,-0.081,,,
1797,9,-0.266,-0.013,,,
1797,10,-0.657,0.022,,,
1797,11,-0.743,0.01,,,
1797,12,-0.183,-0.031,-0.116,,
1798,1,0.046,0.044,-0.141,,
1798,2,0.697,0.024,-0.146,,
1798,3,0.695,0.015,-0.136,,
1798,4,,0.054,-0.121,,
1798,5,,0.092,-0.117,,
1798,6,0.305,0.058,-0.131,,
1798,7,0.537,0.031,-0.128,,
1798,8,0.389,-0.122,-0.13,,
1798,9,-0.38,-0.235,-0.084,,
1798,10,-0.19,-0.227,-0.086,,
1798,11,-0.283,-0.192,-0.067,,
1798,12,-0.594,-0.202,-0.069,,
1799,1,-0.269,-0.315,-0.062,,
1799,2,-1.148,-0.349,-0.057,,
1799,3,-0.659,-0.361,-0.06,,
1799,4,-0.12,-0.34,-0.047,,
1799,5,0.111,-0.264,-0.041,,
1799,6,0.186,-0.278,-0.005,,
1799,7,-0.828,-0.266,-0.028,,
1799,8,-0.018,-0.184,-0.062,,
1799,9,-0.522,-0.149,-0.033,0.071,
1799,10,0.064,-0.079,-0.013,0.07,
1799,11,,-0.138,-0.023,0.077,
1799,12,-0.771,-0.171,-0.026,0.076,
1800,1,-0.124,-0.187,-0.015,0.071,
1800,2,-0.163,-0.209,-0.029,0.055,
