Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1885,12,0.489,,,,
1886,1,-1.414,,,,
1886,2,-1.374,,,,
1886,3,-1.22,,,,
1886,4,-0.158,-0.584,,,
1886,5,-1.164,-0.615,,,
1886,6,-0.27,-0.721,,,
1886,7,0.16,,,,
1886,8,-0.243,,,,
1886,9,-0.292,,,,
1886,10,,,,,
1886,11,,,,,
1886,12,,,,,
1887,1,,,,,
1887,2,,,,,
1887,3,,,,,
1887,4,,,,,
1887,5,,,,,
1887,6,,,,,
1887,7,,,,,
1887,8,,,,,
1887,9,,,,,
1887,10,,,,,
1887,11,,,,,
1887,12,,,,,
1888,1,,,,,
1888,2,,,,,
1888,3,,,,,
1888,4,-0.405,,,,
1888,5,-0.882,,,,
1888,6,-0.816,-0.291,,,
1888,7,0.67,-0.262,,,
1888,8,0.238,-0.169,,,
1888,9,-0.3,-0.142,,,
1888,10,-0.033,-0.138,,,
1888,11,-0.446,-0.056,,,
1888,12,-0.238,-0.003,,,
1889,1,-0.012,-0.033,,,
1889,2,0.629,-0.082,,,
1889,3,-0.105,-0.078,,,
1889,4,-0.357,-0.114,,,
1889,5,0.101,-0.175,,,
1889,6,-0.181,-0.2,-0.377,,
1889,7,0.302,-0.282,-0.361,,
1889,8,-0.348,-0.332,-0.352,,
1889,9,-0.244,-0.387,-0.349,,
1889,10,-0.474,-0.364,-0.347,-0.464,
1889,11,-1.172,-0.441,-0.341,-0.456,
1889,12,-0.537,-0.484,-0.34,-0.454,
1890,1,-0.997,-0.525,-0.336,-0.463,
1890,2,0.023,-0.542,-0.329,-0.457,
1890,3,-0.758,-0.542,-0.333,-0.454,
1890,4,-0.087,-0.526,-0.343,-0.448,
1890,5,-0.826,-0.509,-0.344,-0.44,
1890,6,-0.693,-0.476,-0.344,-0.438,
1890,7,-0.191,-0.476,-0.351,-0.438,
1890,8,-0.545,-0.546,-0.366,-0.436,
1890,9,-0.246,-0.531,-0.379,-0.433,
1890,10,-0.279,-0.541,-0.391,-0.434,
1890,11,-0.968,-0.486,-0.396,-0.432,
1890,12,-0.147,-0.504,-0.393,-0.437,
1891,1,-0.994,-0.479,-0.4,-0.425,
1891,2,-0.824,-0.42,-0.408,-0.415,
1891,3,-0.573,-0.392,-0.41,-0.415,
1891,4,-0.208,-0.386,-0.42,-0.419,
1891,5,-0.169,-0.34,-0.415,-0.409,
1891,6,-0.9,-0.304,-0.415,-0.409,
1891,7,0.106,-0.272,-0.423,-0.41,
1891,8,0.166,-0.203,-0.439,-0.407,
1891,9,0.089,-0.235,-0.44,-0.41,
1891,10,-0.213,-0.199,-0.448,-0.404,
1891,11,-0.413,-0.227,-0.452,-0.395,
1891,12,0.283,-0.222,-0.457,-0.393,
1892,1,-0.606,-0.25,-0.47,-0.384,
1892,2,0.001,-0.3,-0.467,-0.385,
1892,3,-0.958,-0.352,-0.464,-0.388,
1892,4,0.227,-0.359,-0.457,-0.394,-0.375
1892,5,-0.506,-0.375,-0.439,-0.384,-0.372
1892,6,-0.843,-0.447,-0.431,-0.384,-0.371
1892,7,-0.224,-0.465,-0.441,-0.386,-0.372
1892,8,-0.437,-0.578,-0.445,-0.384,-0.37
1892,9,-0.532,-0.603,-0.44,-0.383,-0.371
1892,10,-0.296,-0.712,-0.44,-0.388,-0.368
1892,11,-0.612,-0.77,-0.423,-0.381,-0.364
1892,12,-0.577,-0.753,-0.422,-0.384,-0.361
1893,1,-0.823,-0.711,-0.417,-0.383,-0.362
1893,2,-1.352,-0.696,-0.409,-0.388,-0.363
1893,3,-1.256,-0.685,-0.412,-0.393,-0.374
1893,4,-1.089,-0.715,-0.424,-0.395,-0.372
1893,5,-1.194,-0.675,-0.414,-0.387,-0.37
1893,6,-0.645,-0.646,-0.414,-0.379,-0.372
1893,7,0.274,-0.622,-0.398,-0.382,-0.371
1893,8,-0.255,-0.534,-0.386,-0.387,-0.37
1893,9,-0.402,-0.446,-0.398,-0.39,-0.375
1893,10,-0.656,-0.423,-0.404,-0.389,-0.377
1893,11,-0.131,-0.338,-0.4,-0.388,-0.374
1893,12,-0.227,-0.324,-0.39,-0.39,-0.369
1894,1,-0.53,-0.383,-0.39,-0.386,-0.364
1894,2,-0.301,-0.378,-0.393,-0.4,-0.363
1894,3,-0.202,-0.348,-0.404,-0.401,-0.36
1894,4,-0.808,-0.298,-0.404,-0.399,-0.366
1894,5,-0.171,-0.297,-0.395,-0.404,-0.366
1894,6,-0.476,-0.281,-0.409,-0.403,-0.371
1894,7,-0.434,-0.372,-0.406,-0.404,-0.37
1894,8,-0.2,-0.361,-0.419,-0.396,-0.369
1894,9,-0.042,-0.385,-0.427,-0.392,-0.367
1894,10,-0.049,-0.326,-0.44,-0.39,-0.362
1894,11,-0.128,-0.292,-0.427,-0.383,-0.359
1894,12,-0.033,-0.305,-0.429,-0.385,-0.362
1895,1,-1.625,-0.261,-0.436,-0.383,-0.359
1895,2,-0.163,-0.251,-0.438,-0.386,-0.362
1895,3,-0.487,-0.283,-0.432,-0.373,-0.365
1895,4,-0.108,-0.36,-0.434,-0.374,-0.367
1895,5,0.237,-0.381,-0.418,-0.36,-0.365
1895,6,-0.631,-0.394,-0.424,-0.357,-0.362
1895,7,0.093,-0.258,-0.414,-0.354,-0.361
1895,8,-0.075,-0.256,-0.41,-0.347,-0.356
1895,9,-0.423,-0.32,-0.406,-0.35,-0.352
1895,10,-0.978,-0.361,-0.4,-0.349,-0.35
1895,11,-0.378,-0.373,-0.378,-0.343,-0.345
1895,12,-0.186,-0.347,-0.364,-0.343,-0.348
1896,1,0.005,-0.346,-0.364,-0.332,-0.342
1896,2,-0.138,-0.339,-0.367,-0.316,-0.336
1896,3,-1.258,-0.353,-0.371,-0.305,-0.338
1896,4,-0.607,-0.29,-0.357,-0.301,-0.344
1896,5,0.093,-0.247,-0.361,-0.299,-0.339
1896,6,-0.316,-0.276,-0.365,-0.294,-0.341
1896,7,0.103,-0.313,-0.35,-0.285,-0.344
1896,8,0.009,-0.364,-0.362,-0.279,-0.344
1896,9,-0.59,-0.383,-0.362,-0.273,-0.347
1896,10,-0.216,-0.378,-0.351,-0.265,-0.345
1896,11,0.133,-0.361,-0.356,-0.259,-0.341
1896,12,-0.529,-0.415,-0.349,-0.259,-0.335
1897,1,-0.436,-0.478,-0.339,-0.258,-0.326
1897,2,-0.757,-0.527,-0.326,-0.253,-0.324
1897,3,-1.485,-0.492,-0.32,-0.247,-0.323
1897,4,-0.544,-0.506,-0.323,-0.249,-0.324
1897,5,0.294,-0.489,-0.327,-0.244,-0.323
1897,6,-0.956,-0.523,-0.338,-0.243,-0.322
1897,7,-0.656,-0.505,-0.325,-0.247,-0.32
1897,8,-0.58,-0.533,-0.327,-0.239,-0.319
1897,9,-0.176,-0.497,-0.305,-0.233,-0.32
1897,10,-0.381,-0.511,-0.309,-0.231,-0.321
1897,11,0.342,-0.526,-0.296,-0.228,-0.322
1897,12,-0.934,-0.431,-0.293,-0.227,-0.321
1898,1,-0.225,-0.352,-0.292,-0.227,-0.322
1898,2,-1.09,-0.339,-0.285,-0.23,-0.324
1898,3,-1.059,-0.379,-0.287,-0.242,-0.321
1898,4,-0.707,-0.332,-0.275,-0.235,-0.317
1898,5,0.113,-0.388,-0.272,-0.229,-0.315
1898,6,0.184,-0.351,-0.271,-0.229,-0.312
1898,7,0.286,-0.3,-0.266,-0.235,-0.316
1898,8,-0.418,-0.294,-0.246,-0.234,-0.318
1898,9,-0.653,-0.225,-0.212,-0.24,-0.318
1898,10,0.173,-0.178,-0.198,-0.24,-0.319
1898,11,-0.331,-0.227,-0.198,-0.239,-0.318
1898,12,-0.484,-0.247,-0.197,-0.231,-0.319
1899,1,0.387,-0.258,-0.179,-0.225,-0.318
1899,2,-1.023,-0.172,-0.166,-0.23,-0.316
1899,3,-0.225,-0.093,-0.143,-0.236,-0.313
1899,4,-0.142,-0.125,-0.126,-0.246,-0.317
1899,5,-0.482,-0.131,-0.123,-0.257,-0.318
1899,6,-0.053,-0.149,-0.108,-0.262,-0.32
1899,7,0.156,-0.252,-0.11,-0.262,-0.322
1899,8,0.607,-0.186,-0.088,-0.259,-0.321
1899,9,0.299,-0.101,-0.066,-0.261,-0.322
1899,10,-0.206,-0.115,-0.057,-0.261,-0.321
1899,11,-0.404,0.005,-0.061,-0.263,-0.313
1899,12,-0.7,-0.025,-0.058,-0.27,-0.311
1900,1,-0.851,-0.026,-0.058,-0.256,-0.309
1900,2,-0.23,-0.048,-0.04,-0.267,-0.309
1900,3,0.791,-0.118,-0.033,-0.277,-0.316
1900,4,-0.305,-0.122,-0.029,-0.285,-0.315
1900,5,0.961,-0.107,-0.038,-0.29,-0.311
1900,6,-0.419,-0.057,-0.031,-0.285,-0.308
1900,7,0.147,0.038,-0.041,-0.283,-0.308
1900,8,0.337,0.146,-0.05,-0.277,-0.306
1900,9,-0.538,0.148,-0.077,-0.272,-0.307
1900,10,-0.253,0.191,-0.07,-0.266,-0.309
1900,11,-0.218,0.118,-0.08,-0.258,-0.308
1900,12,-0.1,0.134,-0.094,-0.259,-0.311
1901,1,0.284,0.217,-0.106,-0.259,-0.304
1901,2,1.066,0.259,-0.101,-0.257,-0.306
1901,3,0.816,0.369,-0.109,-0.261,-0.309
1901,4,0.205,0.457,-0.122,-0.268,-0.311
1901,5,0.087,0.497,-0.117,-0.27,-0.315
1901,6,-0.226,0.537,-0.098,-0.272,-0.314
1901,7,1.147,0.469,-0.1,-0.278,-0.314
1901,8,0.838,0.426,-0.098,-0.281,-0.316
1901,9,0.787,0.345,-0.11,-0.284,-0.317
1901,10,0.797,0.327,-0.14,-0.285,-0.317
1901,11,0.266,0.326,-0.157,-0.286,-0.317
1901,12,0.374,0.281,-0.175,-0.277,-0.32
1902,1,-0.532,0.13,-0.184,-0.268,-0.321
