Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1845,2,-0.797,,,,
1845,3,-0.804,-0.91,,,
1845,4,-1.128,-0.996,,,
1845,5,-0.768,-0.937,,,
1845,6,-0.873,-0.96,,,
1845,7,-0.345,-0.891,,,
1845,8,-0.609,-0.798,,,
1845,9,-0.76,-0.699,,,
1845,10,,-0.645,,,
1845,11,,-0.584,,,
1845,12,,-0.494,,,
1846,1,0.345,-0.478,,,
1846,2,0.32,-0.448,,,
1846,3,0.38,-0.43,,,
1846,4,-0.479,-0.375,,,
1846,5,-0.031,-0.355,,,
1846,6,0.207,-0.219,-0.747,,
1846,7,-0.152,-0.281,-0.743,,
1846,8,-0.248,-0.359,-0.731,,
1846,9,-0.549,-0.48,-0.727,,
1846,10,-0.981,-0.518,-0.725,,
1846,11,-0.986,-0.607,-0.72,,
1846,12,-0.455,-0.701,-0.713,,
1847,1,-0.403,-0.734,-0.705,,
1847,2,-0.611,-0.769,-0.699,,
1847,3,-1.078,-0.783,-0.689,,
1847,4,-0.927,-0.791,-0.693,,
1847,5,-1.103,-0.747,-0.683,,
1847,6,-0.922,-0.812,-0.674,,
1847,7,-0.55,-0.864,-0.685,,
1847,8,-0.661,-0.845,-0.681,,
1847,9,-0.713,-0.827,-0.682,-0.708,
1847,10,-1.077,-0.79,-0.681,-0.706,
1847,11,-0.464,-0.773,-0.683,-0.704,
1847,12,-1.23,-0.737,-0.666,-0.715,
1848,1,-1.032,-0.69,-0.66,-0.723,
1848,2,-0.378,-0.678,-0.656,-0.732,
1848,3,-0.86,-0.692,-0.65,-0.732,
1848,4,-0.493,-0.656,-0.632,-0.731,
1848,5,-0.898,-0.654,-0.62,-0.722,
1848,6,-0.48,-0.618,-0.597,-0.714,
1848,7,0.007,-0.569,-0.613,-0.71,
1848,8,-0.516,-0.578,-0.633,-0.704,
1848,9,-0.887,-0.545,-0.657,-0.703,
1848,10,-0.645,-0.6,-0.669,-0.706,
1848,11,-0.429,-0.616,-0.688,-0.705,
1848,12,-0.807,-0.61,-0.697,-0.711,
1849,1,-0.436,-0.629,-0.693,-0.715,
1849,2,-0.497,-0.643,-0.696,-0.716,
1849,3,-0.457,-0.628,-0.701,-0.716,
1849,4,-1.16,-0.649,-0.701,-0.713,
1849,5,-1.091,-0.721,-0.702,-0.706,
1849,6,-0.401,-0.76,-0.71,-0.703,
1849,7,-0.223,-0.822,-0.714,-0.699,
1849,8,-0.686,-0.825,-0.719,-0.694,
1849,9,-0.708,-0.86,-0.72,-0.69,
1849,10,-0.898,-0.851,-0.713,-0.689,
1849,11,-1.284,-0.833,-0.7,-0.679,
1849,12,-1.275,-0.789,-0.695,-0.671,
1850,1,-1.18,-0.767,-0.689,-0.665,
1850,2,-0.533,-0.742,-0.685,-0.662,
1850,3,-0.886,-0.718,-0.683,-0.663,
1850,4,-1.052,-0.691,-0.677,-0.657,
1850,5,-0.869,-0.625,-0.688,-0.652,
1850,6,0.12,-0.577,-0.687,-0.648,
1850,7,0.045,-0.529,-0.679,-0.647,
1850,8,-0.388,-0.561,-0.68,-0.646,
1850,9,-0.421,-0.575,-0.676,-0.647,
1850,10,-0.571,-0.587,-0.676,-0.643,
1850,11,-0.491,-0.61,-0.669,-0.64,
1850,12,-0.703,-0.649,-0.664,-0.63,
1851,1,-0.599,-0.646,-0.666,-0.636,
1851,2,-0.911,-0.648,-0.66,-0.644,
1851,3,-1.054,-0.685,-0.662,-0.653,
1851,4,-1.206,-0.719,-0.667,-0.654,
1851,5,-1.136,-0.766,-0.679,-0.661,
1851,6,-0.351,-0.783,-0.675,-0.667,
1851,7,0.079,-0.785,-0.688,-0.671,
1851,8,-0.407,-0.786,-0.701,-0.676,
1851,9,-0.868,-0.793,-0.705,-0.682,
1851,10,-0.987,-0.736,-0.701,-0.685,
1851,11,-1.046,-0.667,-0.692,-0.688,
