Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,-0.118,-0.455,,,
1750,3,2.057,-0.399,,,
1750,4,0.373,-0.338,,,
1750,5,-1.049,-0.472,,,
1750,6,0.337,-0.477,,,
1750,7,0.516,-0.451,,,
1750,8,0.425,-0.691,,,
1750,9,-0.18,-0.792,,,
1750,10,-1.006,-0.954,,,
1750,11,-2.961,-0.947,,,
1750,12,-2.136,-0.999,,,
1751,1,-1.664,-0.992,,,
1751,2,-3.002,-0.942,,,
1751,3,0.848,-0.979,,,
1751,4,-1.574,-0.998,,,
1751,5,-0.965,-1.011,,,
1751,6,-0.286,-1.016,,,
1751,7,0.598,-0.945,,,
1751,8,1.021,-0.631,,,
1751,9,-0.625,-0.707,,,
1751,10,-1.229,-0.663,,,
1751,11,-3.12,-0.654,,,
1751,12,-2.199,-0.464,,,
1752,1,-0.813,-0.502,,,
1752,2,0.77,-0.66,,,
1752,3,-0.069,,,,
1752,4,-1.038,,,,
1752,5,-0.861,,,,
1752,6,1.993,,,,
1752,7,0.144,,,,
1752,8,-0.878,,,,
1752,9,,,,,
1752,10,-0.522,,,,
1752,11,-0.307,,,,
1752,12,-1.026,,,,
1753,1,-3.067,,,,
1753,2,-0.971,,,,
1753,3,0.876,-0.234,,,
1753,4,0.124,-0.21,,,
1753,5,0.209,-0.335,,,
1753,6,2.201,-0.262,,,
1753,7,0.846,-0.138,,,
1753,8,-0.947,-0.293,,,
1753,9,-0.222,-0.691,,,
1753,10,-0.237,-0.744,,,
1753,11,-1.805,-0.686,,,
1753,12,-0.151,-0.801,,,
1754,1,-1.575,-0.94,,,
1754,2,-2.834,-0.798,,,
1754,3,-3.897,-0.818,,,
1754,4,-0.518,-0.708,,,
1754,5,0.902,-0.463,,,
1754,6,0.825,-0.477,,,
1754,7,-0.819,-0.787,,,
1754,8,0.757,-0.895,,,
1754,9,-0.459,-0.641,,,
1754,10,1.079,-0.262,,,
1754,11,1.137,-0.352,,,
1754,12,-0.319,-0.182,,,
1755,1,-5.292,-0.129,,,
1755,2,-4.135,-0.299,,,
1755,3,-0.852,-0.368,-0.377,,
1755,4,4.027,-0.534,-0.43,,
1755,5,-0.172,-0.703,-0.441,,
1755,6,2.859,-0.682,-0.453,,
1755,7,-0.177,-0.17,-0.467,,
1755,8,-1.279,0.244,-0.476,,
1755,9,-1.293,0.314,-0.49,,
1755,10,-0.912,-0.107,-0.503,,
1755,11,-0.891,-0.104,-0.491,,
1755,12,-0.064,-0.178,-0.506,,
1756,1,0.854,-0.169,-0.563,,
1756,2,0.832,-0.068,-0.556,,
1756,3,-0.015,0.074,-0.588,,
1756,4,-1.026,0.045,-0.623,,
1756,5,-0.134,-0.122,-0.599,,
1756,6,1.964,-0.312,-0.594,,
1756,7,-0.069,-0.641,-0.55,,
1756,8,-0.065,-0.794,-0.486,,
1756,9,0.419,-0.881,-0.422,,
1756,10,-1.268,-0.753,-0.409,,
1756,11,-2.898,-0.655,-0.423,,
1756,12,-2.339,-0.669,-0.434,,
1757,1,-3.099,-0.45,-0.389,,
1757,2,-1.002,-0.361,-0.403,,
1757,3,-1.051,-0.54,-0.392,,
1757,4,0.5,-0.743,-0.398,,
1757,5,1.049,-0.583,-0.48,,
1757,6,1.793,-0.534,-0.496,,
1757,7,2.567,-0.602,-0.43,,
1757,8,0.992,-0.642,-0.383,,
1757,9,-1.719,-0.551,-0.401,-0.382,
1757,10,-3.707,-0.648,-0.43,-0.397,
1757,11,-0.977,-0.66,-0.421,-0.409,
1757,12,-1.752,-0.701,-0.456,-0.437,
1758,1,-3.912,-1.126,-0.445,-0.447,
1758,2,-1.485,-1.253,-0.434,-0.423,
1758,3,0.036,-1.288,-0.421,-0.444,
1758,4,-0.657,-1.175,-0.416,-0.447,
1758,5,0.897,-1.125,-0.409,-0.463,
1758,6,1.309,-0.966,-0.386,-0.483,
1758,7,-2.534,-0.549,-0.439,-0.49,
1758,8,-0.532,-0.344,-0.438,-0.471,
1758,9,-2.145,-0.353,-0.418,-0.483,
1758,10,-2.344,-0.272,-0.407,-0.503,
1758,11,-0.385,-0.346,-0.384,-0.5,
1758,12,0.16,-0.437,-0.408,-0.494,
1759,1,1.095,-0.072,-0.396,-0.466,
1759,2,0.972,-0.034,-0.38,-0.428,
1759,3,-0.075,0.16,-0.377,-0.414,
1759,4,0.313,0.416,-0.393,-0.419,
1759,5,0.008,0.135,-0.368,-0.411,
1759,6,0.223,0.013,-0.383,-0.411,
1759,7,1.85,-0.188,-0.323,-0.402,
1759,8,-0.087,-0.379,-0.326,-0.422,
1759,9,0.19,-0.534,-0.366,-0.435,
1759,10,0.724,-0.371,-0.332,-0.465,
1759,11,-3.758,-0.341,-0.325,-0.483,
1759,12,-1.295,-0.296,-0.356,-0.478,
1760,1,-1.321,-0.41,-0.373,-0.415,
1760,2,-1.321,-0.454,-0.398,-0.402,
1760,3,-1.938,-0.513,-0.386,-0.389,
1760,4,2.269,-0.624,-0.365,-0.422,
1760,5,0.374,-0.351,-0.377,-0.424,
1760,6,0.76,-0.132,-0.421,-0.442,
1760,7,0.482,-0.215,-0.427,-0.456,
1760,8,-0.61,-0.029,-0.37,-0.451,
1760,9,-0.528,0.229,-0.398,-0.448,
1760,10,-0.597,0.008,-0.391,-0.441,
1760,11,-0.486,0.084,-0.434,-0.442,
1760,12,1.326,0.064,-0.46,-0.463,
1761,1,-2.316,0.079,-0.417,-0.514,
1761,2,0.916,0.203,-0.385,-0.544,
1761,3,1.156,0.298,-0.379,-0.549,
1761,4,-0.381,0.16,-0.383,-0.531,
1761,5,1.288,0.087,-0.402,-0.526,
1761,6,0.516,-0.295,-0.393,-0.535,
1761,7,0.664,-0.061,-0.382,-0.543,
1761,8,0.882,-0.234,-0.369,-0.539,
1761,9,0.601,-0.621,-0.406,-0.545,
1761,10,-2.252,-0.378,-0.429,-0.539,
1761,11,-1.359,-0.363,-0.398,-0.512,
1761,12,-3.255,-0.411,-0.389,-0.51,
1762,1,0.49,-0.339,-0.415,-0.538,
1762,2,-1.16,-0.455,-0.442,-0.513,
1762,3,-3.48,-0.588,-0.478,-0.507,
1762,4,2.53,-0.6,-0.531,-0.523,
1762,5,1.472,-0.628,-0.487,-0.541,
1762,6,-0.07,-0.724,-0.46,-0.564,
1762,7,1.537,-1.12,-0.401,-0.584,
1762,8,-0.509,-0.866,-0.421,-0.594,
1762,9,-1.0,-0.711,-0.377,-0.586,-0.534
1762,10,-2.392,-0.94,-0.413,-0.56,-0.527
1762,11,-1.704,-1.207,-0.427,-0.544,-0.52
1762,12,-4.404,-1.22,-0.427,-0.554,-0.513
1763,1,-4.255,-1.343,-0.467,-0.549,-0.495
1763,2,1.881,-1.188,-0.467,-0.549,-0.501
1763,3,-1.614,-1.249,-0.474,-0.568,-0.51
1763,4,-0.224,-1.266,-0.466,-0.559,-0.513
1763,5,-1.726,-1.25,-0.475,-0.563,-0.514
1763,6,-0.227,-0.828,-0.539,-0.582,-0.527
1763,7,0.056,-0.325,-0.589,-0.559,-0.538
1763,8,1.353,-0.338,-0.65,-0.552,-0.537
1763,9,-1.727,-0.396,-0.68,-0.548,-0.536
1763,10,-2.6,-0.466,-0.656,-0.534,-0.533
1763,11,-1.509,-0.165,-0.668,-0.531,-0.527
1763,12,0.653,-0.081,-0.661,-0.545,-0.52
1764,1,1.779,-0.061,-0.691,-0.549,-0.515
1764,2,1.731,-0.315,-0.699,-0.563,-0.502
1764,3,-2.306,-0.337,-0.713,-0.574,-0.48
1764,4,-1.069,-0.327,-0.685,-0.575,-0.473
1764,5,1.882,-0.291,-0.656,-0.575,-0.476
1764,6,0.792,-0.321,-0.637,-0.581,-0.478
1764,7,0.286,-0.282,-0.754,-0.602,-0.477
1764,8,-1.692,-0.64,-0.7,-0.606,-0.474
1764,9,-1.984,-0.385,-0.647,-0.613,-0.477
1764,10,-2.485,-0.288,-0.714,-0.656,-0.49
1764,11,-1.082,-0.487,-0.757,-0.62,-0.508
1764,12,0.293,-0.488,-0.771,-0.616,-0.521
1765,1,2.257,-0.668,-0.795,-0.621,-0.5
1765,2,-2.567,-0.582,-0.789,-0.614,-0.473
1765,3,0.747,-0.493,-0.785,-0.616,-0.467
1765,4,0.096,-0.299,-0.755,-0.65,-0.486
1765,5,-0.5,-0.293,-0.712,-0.657,-0.489
1765,6,0.777,-0.528,-0.687,-0.667,-0.496
1765,7,-1.88,-1.157,-0.672,-0.687,-0.494
1765,8,-0.653,-1.171,-0.727,-0.681,-0.488
1765,9,-0.921,-1.289,-0.739,-0.67,-0.481
1765,10,-0.153,-1.205,-0.727,-0.673,-0.479
1765,11,-1.018,-1.119,-0.691,-0.668,-0.479
1765,12,-2.521,-1.107,-0.703,-0.681,-0.485
1766,1,-5.286,-1.045,-0.7,-0.663,-0.504
1766,2,-2.742,-0.954,-0.718,-0.684,-0.504
1766,3,-0.668,-0.897,-0.717,-0.709,-0.499
1766,4,1.1,-0.935,-0.686,-0.73,-0.493
1766,5,0.536,-0.818,-0.661,-0.725,-0.501
1766,6,0.917,-0.782,-0.697,-0.739,-0.508
1766,7,-1.133,-0.886,-0.716,-0.743,-0.508
1766,8,0.445,-0.487,-0.757,-0.753,-0.506
1766,9,-0.242,-0.456,-0.742,-0.763,-0.516
1766,10,-0.606,-0.673,-0.721,-0.748,-0.514
1766,11,0.387,-0.805,-0.752,-0.76,-0.507
1766,12,-2.088,-0.96,-0.773,-0.726,-0.505
1767,1,-6.537,-0.856,-0.789,-0.731,-0.502
1767,2,2.04,-0.906,-0.771,-0.702,-0.505
1767,3,-0.29,-0.949,-0.748,-0.66,-0.493
1767,4,-1.5,-0.946,-0.781,-0.683,-0.501
1767,5,-1.056,-0.905,-0.754,-0.707,-0.51
1767,6,-0.94,-0.975,-0.771,-0.692,-0.521
1767,7,0.115,-0.708,-0.841,-0.704,-0.538
1767,8,-0.158,-0.998,-0.808,-0.696,-0.538
1767,9,-0.755,-1.169,-0.855,-0.685,-0.532
1767,10,-0.572,-1.001,-0.888,-0.657,-0.515
1767,11,0.876,-0.878,-0.886,-0.632,-0.51
1767,12,-2.926,-0.881,-0.908,-0.589,-0.516
1768,1,-3.335,-0.87,-0.907,-0.543,-0.502
1768,2,-1.429,-0.834,-0.896,-0.578,-0.501
1768,3,-2.352,-0.909,-0.866,-0.576,-0.503
1768,4,0.517,-0.921,-0.879,-0.578,-0.493
1768,5,0.421,-0.995,-0.86,-0.566,-0.492
1768,6,-0.976,-0.879,-0.824,-0.572,-0.5
1768,7,0.243,-0.547,-0.737,-0.586,-0.483
1768,8,0.279,-0.488,-0.718,-0.604,-0.476
1768,9,-1.655,-0.409,-0.738,-0.588,-0.477
1768,10,-0.718,-0.439,-0.804,-0.563,-0.473
1768,11,-0.014,-0.469,-0.782,-0.553,-0.472
1768,12,-1.53,-0.429,-0.817,-0.546,-0.467
1769,1,0.646,-0.507,-0.795,-0.563,-0.491
1769,2,-0.716,-0.578,-0.808,-0.576,-0.491
1769,3,-1.404,-0.491,-0.814,-0.545,-0.49
1769,4,0.158,-0.806,-0.81,-0.527,-0.48
1769,5,0.06,-0.757,-0.863,-0.542,-0.473
1769,6,-0.498,-0.69,-0.814,-0.545,-0.481
1769,7,-0.687,-0.907,-0.707,-0.553,-0.49
1769,8,-0.581,-0.894,-0.703,-0.526,-0.489
1769,9,-0.614,-0.949,-0.674,-0.52,-0.486
1769,10,-4.492,-1.12,-0.652,-0.516,-0.482
1769,11,0.568,-1.16,-0.657,-0.532,-0.466
1769,12,-0.719,-1.162,-0.613,-0.564,-0.45
1770,1,-1.955,-1.257,-0.612,-0.585,-0.457
1770,2,-0.56,-1.206,-0.604,-0.544,-0.465
1770,3,-2.073,-1.083,-0.586,-0.545,-0.447
1770,4,-1.892,-0.788,-0.56,-0.549,-0.461
1770,5,-0.412,-0.824,-0.552,-0.553,-0.455
1770,6,-0.522,-0.792,-0.49,-0.551,-0.454
1770,7,-1.829,-0.637,-0.415,-0.532,-0.453
1770,8,0.03,-0.721,-0.429,-0.525,-0.446
1770,9,0.861,-0.706,-0.414,-0.515,-0.445
1770,10,-0.953,-0.789,-0.43,-0.517,-0.441
1770,11,0.143,-0.597,-0.441,-0.515,-0.446
1770,12,-0.339,-0.655,-0.44,-0.508,-0.461
1771,1,-0.093,-0.483,-0.472,-0.494,-0.454
1771,2,-1.575,-0.514,-0.489,-0.464,-0.455
1771,3,-1.887,-0.637,-0.459,-0.449,-0.456
1771,4,-2.89,-0.59,-0.441,-0.454,-0.445
1771,5,1.887,-0.833,-0.446,-0.475,-0.444
1771,6,-1.22,-0.736,-0.394,-0.482,-0.444
1771,7,0.244,-0.738,-0.411,-0.472,-0.443
1771,8,-0.34,-0.416,-0.395,-0.472,-0.442
1771,9,-0.62,-0.135,-0.349,-0.487,-0.444
1771,10,-0.393,0.091,-0.332,-0.489,-0.443
1771,11,-2.77,-0.181,-0.332,-0.503,-0.439
1771,12,0.827,0.064,-0.317,-0.499,-0.421
1772,1,-0.113,0.056,-0.316,-0.465,-0.419
1772,2,2.285,0.114,-0.282,-0.497,-0.435
1772,3,1.486,0.191,-0.292,-0.48,-0.425
1772,4,-0.18,0.308,-0.251,-0.478,-0.442
1772,5,-1.379,0.652,-0.311,-0.479,-0.453
1772,6,1.727,0.645,-0.357,-0.478,-0.444
1772,7,0.139,0.755,-0.33,-0.491,-0.443
1772,8,0.353,0.372,-0.281,-0.482,-0.44
1772,9,0.311,0.131,-0.236,-0.478,-0.442
1772,10,1.005,0.106,-0.211,-0.471,-0.444
1772,11,1.357,0.204,-0.22,-0.476,-0.454
1772,12,0.754,-0.018,-0.193,-0.478,-0.444
1773,1,1.206,-0.168,-0.157,-0.454,-0.418
1773,2,-2.312,-0.262,-0.154,-0.454,-0.42
1773,3,-1.41,-0.277,-0.164,-0.437,-0.418
1773,4,-0.483,-0.327,-0.154,-0.428,-0.414
1773,5,-0.205,-0.467,-0.171,-0.421,-0.404
1773,6,-0.927,-0.4,-0.192,-0.418,-0.405
1773,7,-1.66,-0.529,-0.251,-0.407,-0.398
1773,8,-0.778,-0.318,-0.211,-0.4,-0.404
1773,9,0.131,-0.087,-0.159,-0.405,-0.398
1773,10,0.402,0.051,-0.104,-0.411,-0.387
1773,11,-0.318,0.074,-0.169,-0.413,-0.383
1773,12,1.553,0.184,-0.147,-0.388,-0.392
1774,1,-0.34,0.27,-0.149,-0.433,-0.413
1774,2,0.217,0.459,-0.136,-0.42,-0.434
1774,3,1.368,0.347,-0.16,-0.406,-0.43
1774,4,1.165,0.145,-0.168,-0.384,-0.437
1774,5,0.076,-0.083,-0.142,-0.37,-0.434
1774,6,0.395,-0.504,-0.184,-0.38,-0.434
1774,7,-0.635,-0.5,-0.223,-0.377,-0.432
1774,8,1.49,-0.324,-0.292,-0.371,-0.429
1774,9,-1.212,-0.385,-0.286,-0.359,-0.416
1774,10,-2.024,-0.514,-0.305,-0.308,-0.422
1774,11,-3.046,-0.6,-0.301,-0.313,-0.422
1774,12,-3.498,-0.543,-0.343,-0.284,-0.438
1775,1,-0.293,-0.459,-0.37,-0.293,-0.45
1775,2,2.325,-0.565,-0.36,-0.316,-0.453
1775,3,0.637,-0.446,-0.371,-0.279,-0.48
1775,4,-0.388,-0.305,-0.382,-0.272,-0.493
1775,5,-0.946,-0.123,-0.401,-0.253,-0.49
1775,6,1.077,0.032,-0.466,-0.24,-0.494
1775,7,0.369,-0.242,-0.494,-0.219,-0.489
1775,8,0.215,-0.367,-0.479,-0.211,-0.491
1775,9,0.224,-0.321,-0.46,-0.221,-0.482
1775,10,-0.338,-0.254,-0.426,-0.209,-0.486
1775,11,-0.855,-0.341,-0.402,-0.224,-0.485
1775,12,-1.643,-0.425,-0.396,-0.24,-0.474
1776,1,-3.584,-0.444,-0.342,-0.244,-0.453
1776,2,0.824,-0.426,-0.311,-0.227,-0.442
1776,3,1.198,-0.614,-0.351,-0.204,-0.449
1776,4,0.415,-0.662,-0.382,-0.16,-0.448
1776,5,-1.989,-0.692,-0.379,-0.163,-0.451
1776,6,0.067,-0.695,-0.382,-0.148,-0.45
1776,7,0.138,-0.599,-0.456,-0.144,-0.452
1776,8,0.437,-0.821,-0.444,-0.13,-0.461
1776,9,-2.034,-0.769,-0.462,-0.124,-0.467
1776,10,-0.922,-0.913,-0.436,-0.138,-0.478
1776,11,-1.21,-0.841,-0.408,-0.118,-0.488
1776,12,-1.679,-0.916,-0.444,-0.117,-0.482
1777,1,-2.431,-1.05,-0.438,-0.108,-0.463
1777,2,-1.847,-1.003,-0.46,-0.167,-0.472
1777,3,1.828,-0.865,-0.427,-0.19,-0.466
1777,4,-1.318,-0.761,-0.366,-0.2,-0.463
1777,5,-1.124,-0.643,-0.314,-0.199,-0.467
1777,6,-0.829,-0.761,-0.21,-0.197,-0.459
1777,7,-1.47,-0.6,-0.257,-0.182,-0.462
1777,8,0.993,-0.566,-0.351,-0.183,-0.458
1777,9,-0.378,-0.739,-0.321,-0.198,-0.457
1777,10,0.332,-0.499,-0.332,-0.231,-0.452
1777,11,0.208,-0.302,-0.286,-0.276,-0.456
1777,12,-3.095,-0.278,-0.286,-0.3,-0.434
1778,1,-0.502,-0.026,-0.281,-0.294,-0.415
1778,2,-1.442,-0.02,-0.269,-0.263,-0.402
1778,3,-0.242,-0.179,-0.277,-0.259,-0.386
1778,4,1.562,-0.326,-0.263,-0.25,-0.386
1778,5,1.239,-0.357,-0.277,-0.243,-0.383
1778,6,-0.544,0.017,-0.288,-0.238,-0.375
1778,7,1.558,-0.337,-0.238,-0.211,-0.369
1778,8,1.071,-0.142,-0.243,-0.205,-0.373
1778,9,-2.293,-0.097,-0.248,-0.208,-0.363
1778,10,-1.437,-0.001,-0.217,-0.21,-0.366
1778,11,-0.157,0.043,-0.158,-0.212,-0.378
1778,12,1.387,-0.057,-0.148,-0.239,-0.39
1779,1,-4.747,-0.212,-0.139,-0.262,-0.402
1779,2,0.9,-0.288,-0.124,-0.293,-0.395
1779,3,0.298,-0.029,-0.088,-0.315,-0.404
1779,4,2.708,0.225,-0.108,-0.348,-0.4
1779,5,1.771,0.243,-0.094,-0.326,-0.389
1779,6,-1.744,0.358,-0.049,-0.322,-0.394
1779,7,-0.305,0.495,0.007,-0.311,-0.394
1779,8,0.161,0.14,-0.043,-0.332,-0.392
1779,9,0.819,0.32,-0.094,-0.312,-0.394
1779,10,1.606,0.005,-0.095,-0.328,-0.38
1779,11,0.06,0.009,-0.097,-0.312,-0.391
1779,12,2.767,0.245,-0.05,-0.312,-0.391
1780,1,-3.104,0.325,0.007,-0.314,-0.383
1780,2,-3.361,0.392,-0.007,-0.361,-0.376
1780,3,2.46,0.301,-0.025,-0.415,-0.367
1780,4,-1.073,0.209,-0.08,-0.437,-0.365
1780,5,1.815,0.063,-0.151,-0.427,-0.358
1780,6,1.097,-0.36,-0.134,-0.437,-0.353
1780,7,0.654,-0.149,-0.093,-0.446,-0.35
1780,8,0.966,0.173,-0.046,-0.458,-0.346
1780,9,-0.273,0.043,-0.058,-0.448,-0.355
1780,10,0.502,0.325,-0.074,-0.456,-0.347
1780,11,-1.693,0.304,-0.084,-0.454,-0.347
1780,12,-2.314,0.264,-0.081,-0.441,-0.347
1781,1,-0.564,0.269,-0.079,-0.412,-0.337
1781,2,0.498,0.297,-0.099,-0.42,-0.331
1781,3,0.907,0.331,-0.065,-0.449,-0.322
1781,4,2.309,0.112,-0.038,-0.442,-0.299
1781,5,1.558,0.224,-0.045,-0.426,-0.307
1781,6,0.614,0.501,-0.095,-0.418,-0.302
1781,7,0.713,0.628,-0.068,-0.433,-0.304
1781,8,1.303,0.183,-0.142,-0.449,-0.296
1781,9,0.142,0.005,-0.167,-0.446,-0.296
1781,10,-2.127,-0.307,-0.26,-0.466,-0.298
1781,11,-0.352,-0.537,-0.244,-0.473,-0.296
1781,12,1.012,-0.425,-0.2,-0.465,-0.297
1782,1,0.958,-0.322,-0.183,-0.461,-0.296
1782,2,-4.844,-0.419,-0.204,-0.446,-0.31
1782,3,-1.232,-0.552,-0.198,-0.453,-0.31
1782,4,-1.428,-0.622,-0.29,-0.448,-0.301
1782,5,-1.202,-0.928,-0.31,-0.456,-0.298
1782,6,1.957,-1.187,-0.414,-0.44,-0.305
1782,7,1.952,-1.102,-0.372,-0.434,-0.305
1782,8,0.14,-0.585,-0.371,-0.435,-0.303
1782,9,-1.454,-0.563,-0.509,-0.436,-0.311
1782,10,-2.968,-0.391,-0.541,-0.434,-0.314
1782,11,-4.033,-0.24,-0.568,-0.435,-0.323
1782,12,-2.089,-0.432,-0.588,-0.39,-0.328
1783,1,1.971,-0.456,-0.61,-0.376,-0.343
1783,2,1.367,-0.477,-0.647,-0.349,-0.33
1783,3,-0.97,-0.376,-0.619,-0.336,-0.323
1783,4,0.636,-0.115,-0.649,-0.343,-0.327
1783,5,0.611,0.172,-0.63,-0.345,-0.33
1783,6,-0.351,0.214,-0.594,-0.333,-0.328
1783,7,1.669,-0.212,-0.585,-0.332,-0.312
1783,8,-0.11,-0.619,-0.596,-0.345,-0.3
1783,9,-0.25,-0.642,-0.65,-0.32,-0.303
1783,10,0.162,-0.932,-0.667,-0.32,-0.3
1783,11,-0.588,-0.755,-0.695,-0.344,-0.296
1783,12,-1.585,-0.653,-0.687,-0.392,-0.297
1784,1,-3.139,-0.731,-0.727,-0.371,-0.293
1784,2,-3.509,-0.811,-0.774,-0.37,-0.28
1784,3,-1.251,-0.694,-0.805,-0.402,-0.275
1784,4,-2.842,-1.035,-0.823,-0.415,-0.265
1784,5,2.728,-1.08,-0.852,-0.408,-0.265
1784,6,0.88,-1.238,-0.88,-0.408,-0.263
1784,7,0.737,-1.024,-0.93,-0.411,-0.248
