Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1819,2,-0.425,,,,
1819,3,-0.612,,,,
1819,4,,,,,
1819,5,-1.152,,,,
1819,6,-2.135,,,,
1819,7,-2.096,,,,
1819,8,-1.681,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,0.137,,,,
1820,4,,,,,
1820,5,-0.523,,,,
1820,6,,,,,
1820,7,-0.837,,,,
1820,8,-1.425,,,,
1820,9,,,,,
1820,10,-3.664,,,,
1820,11,-0.593,,,,
1820,12,,,,,
1821,1,,,,,
1821,2,0.698,,,,
1821,3,1.163,,,,
1821,4,,,,,
1821,5,,,,,
1821,6,-2.231,,,,
1821,7,-2.228,,,,
1821,8,-1.854,,,,
1821,9,,,,,
1821,10,,,,,
1821,11,-1.183,,,,
1821,12,-0.43,,,,
1822,1,,,,,
1822,2,,,,,
1822,3,,,,,
1822,4,,,,,
1822,5,,,,,
1822,6,,,,,
1822,7,,,,,
1822,8,,,,,
1822,9,,,,,
1822,10,,,,,
1822,11,,,,,
1822,12,,,,,
1823,1,,,,,
1823,2,,,,,
1823,3,,,,,
1823,4,,,,,
1823,5,,,,,
1823,6,,,,,
1823,7,,,,,
1823,8,,,,,
1823,9,,,,,
1823,10,,,,,
1823,11,,,,,
1823,12,,,,,
1824,1,,,,,
1824,2,,,,,
1824,3,,,,,
1824,4,,,,,
1824,5,,,,,
1824,6,,,,,
1824,7,,,,,
1824,8,,,,,
1824,9,,,,,
1824,10,,,,,
1824,11,,,,,
1824,12,,,,,
1825,1,,,,,
1825,2,,,,,
1825,3,,,,,
1825,4,,,,,
1825,5,,,,,
1825,6,,,,,
1825,7,,,,,
1825,8,,,,,
1825,9,,,,,
1825,10,,,,,
1825,11,,,,,
1825,12,,,,,
1826,1,,,,,
1826,2,,,,,
1826,3,,,,,
1826,4,,,,,
1826,5,,,,,
1826,6,,,,,
1826,7,,,,,
1826,8,,,,,
1826,9,,,,,
1826,10,,,,,
1826,11,,,,,
1826,12,,,,,
1827,1,,,,,
1827,2,,,,,
1827,3,,,,,
1827,4,,,,,
1827,5,,,,,
1827,6,,,,,
1827,7,,,,,
1827,8,,,,,
1827,9,,,,,
1827,10,,,,,
1827,11,,,,,
1827,12,,,,,
1828,1,,,,,
1828,2,,,,,
1828,3,,,,,
1828,4,,,,,
1828,5,,,,,
1828,6,,,,,
1828,7,,,,,
1828,8,,,,,
1828,9,,,,,
1828,10,,,,,
1828,11,,,,,
1828,12,,,,,
1829,1,,,,,
1829,2,,,,,
1829,3,,,,,
1829,4,,,,,
1829,5,,,,,
1829,6,,,,,
1829,7,,,,,
1829,8,,,,,
1829,9,,,,,
1829,10,,,,,
1829,11,,,,,
1829,12,,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,-1.899,,,,
1840,1,-1.147,,,,
1840,2,-1.652,-1.203,,,
1840,3,-2.273,-1.193,,,
1840,4,-2.658,-1.156,,,
1840,5,-0.894,-1.106,,,
1840,6,-1.346,-1.164,,,
1840,7,1.297,-1.176,,,
1840,8,-0.675,-1.134,,,
1840,9,-0.686,-1.204,,,
1840,10,-0.852,-1.102,,,
1840,11,-0.482,-1.131,,,
1840,12,-2.603,-1.065,,,
1841,1,-1.294,-1.1,,,
1841,2,-1.138,-1.081,,,
1841,3,-3.118,-1.023,,,
1841,4,-1.436,,,,
1841,5,-1.239,,,,
1841,6,-0.551,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,0.547,,,,
1843,2,2.021,,,,
1843,3,-0.191,-0.514,,,
1843,4,-1.006,-0.48,,,
1843,5,-1.826,-0.623,,,
1843,6,-1.541,-0.789,,,
1843,7,-0.599,-0.895,,,
1843,8,-1.166,-1.019,,,
1843,9,-1.893,-0.983,,,
1843,10,-0.506,-1.117,,,
1843,11,-1.367,-1.089,,-0.692,
1843,12,-1.943,-1.063,,-0.702,
1844,1,-0.717,-1.004,,-0.708,
1844,2,0.532,-0.948,,-0.723,
1844,3,0.24,-0.866,-0.643,-0.704,
1844,4,-2.615,-0.918,-0.646,-0.688,
1844,5,-1.495,-0.888,-0.667,-0.674,
1844,6,-1.223,-0.934,-0.63,-0.667,
1844,7,0.11,-1.085,-0.628,-0.668,
1844,8,-0.504,-1.17,-0.589,-0.677,
1844,9,-0.902,-1.124,-0.603,-0.673,
1844,10,-1.131,-0.961,-0.589,-0.664,
1844,11,-1.008,-0.876,-0.578,-0.655,
1844,12,-2.494,-0.829,-0.569,-0.639,
1845,1,-2.534,-0.817,-0.53,-0.638,
1845,2,-0.49,-0.784,-0.513,-0.636,
1845,3,0.797,-0.841,-0.493,-0.631,
1845,4,-0.654,-0.814,-0.494,-0.623,
1845,5,-0.476,-0.862,-0.516,-0.631,
1845,6,-0.666,-0.718,-0.568,-0.627,
1845,7,0.252,-0.442,-0.603,-0.635,
1845,8,-0.106,-0.398,-0.652,-0.63,
1845,9,-1.587,-0.448,-0.655,-0.631,
1845,10,-0.799,-0.409,-0.645,-0.624,
1845,11,-1.584,-0.393,-0.621,-0.631,
1845,12,-0.774,-0.438,-0.58,-0.625,
1846,1,0.777,-0.445,-0.561,-0.619,
1846,2,0.045,-0.402,-0.537,-0.619,
1846,3,0.194,-0.239,-0.524,-0.594,
1846,4,-0.185,-0.168,-0.514,-0.586,
1846,5,-0.288,-0.264,-0.485,-0.555,-0.685
1846,6,-1.204,-0.053,-0.495,-0.552,-0.68
1846,7,0.169,-0.209,-0.507,-0.558,-0.673
1846,8,0.413,-0.132,-0.54,-0.548,-0.662
1846,9,0.364,-0.227,-0.562,-0.549,-0.658
1846,10,0.054,-0.183,-0.519,-0.553,-0.665
1846,11,-2.73,-0.169,-0.496,-0.54,-0.667
1846,12,1.758,-0.056,-0.479,-0.553,-0.669
1847,1,-1.095,0.016,-0.49,-0.55,-0.663
1847,2,0.961,-0.037,-0.487,-0.544,-0.665
1847,3,-0.944,-0.006,-0.476,-0.557,-0.671
1847,4,0.348,-0.089,-0.46,-0.565,-0.673
1847,5,-0.122,0.056,-0.444,-0.562,-0.672
1847,6,0.153,-0.348,-0.404,-0.561,-0.67
1847,7,1.03,-0.382,-0.378,-0.552,-0.666
1847,8,-0.221,-0.542,-0.393,-0.545,-0.666
1847,9,0.732,-0.493,-0.433,-0.545,-0.672
1847,10,-0.935,-0.556,-0.451,-0.531,-0.665
1847,11,-0.994,-0.58,-0.475,-0.532,-0.664
1847,12,-3.089,-0.512,-0.477,-0.532,-0.664
1848,1,-1.496,-0.557,-0.477,-0.539,-0.657
1848,2,-0.969,-0.516,-0.476,-0.552,-0.667
1848,3,-0.35,-0.666,-0.463,-0.543,-0.664
1848,4,-0.413,-0.58,-0.45,-0.536,-0.662
1848,5,-0.407,-0.466,-0.446,-0.522,-0.656
1848,6,0.972,-0.421,-0.463,-0.507,-0.648
1848,7,0.494,-0.419,-0.487,-0.5,-0.641
1848,8,0.271,-0.459,-0.506,-0.485,-0.636
1848,9,-1.068,-0.518,-0.511,-0.471,-0.639
1848,10,0.095,-0.485,-0.515,-0.462,-0.628
1848,11,0.375,-0.462,-0.47,-0.459,-0.622
1848,12,-2.551,-0.562,-0.453,-0.446,-0.619
1849,1,-1.472,-0.645,-0.453,-0.443,-0.628
1849,2,-1.454,-0.695,-0.447,-0.462,-0.638
1849,3,-1.053,-0.629,-0.455,-0.485,-0.625
1849,4,-0.018,-0.651,-0.461,-0.487,-0.615
1849,5,-0.139,-0.684,-0.413,-0.478,-0.602
1849,6,-0.217,-0.478,-0.476,-0.476,-0.599
1849,7,-0.508,-0.44,-0.472,-0.483,-0.6
1849,8,-0.324,-0.434,-0.499,-0.487,-0.602
1849,9,-0.279,-0.48,-0.511,-0.49,-0.594
1849,10,-0.175,-0.621,-0.541,-0.473,-0.589
1849,11,-0.016,-0.772,-0.546,-0.461,-0.586
1849,12,-0.077,-0.818,-0.553,-0.434,-0.578
1850,1,-1.013,-0.755,-0.573,-0.422,-0.575
1850,2,-1.392,-0.732,-0.576,-0.414,-0.57
1850,3,-1.599,-0.777,-0.597,-0.41,-0.569
1850,4,-1.715,-0.761,-0.568,-0.41,-0.556
1850,5,-1.945,-0.871,-0.548,-0.399,-0.553
1850,6,-0.776,-1.016,-0.496,-0.39,-0.541
1850,7,0.258,-0.988,-0.476,-0.393,-0.542
1850,8,-0.054,-0.96,-0.451,-0.394,-0.537
1850,9,-0.82,-0.84,-0.431,-0.399,-0.531
1850,10,0.024,-0.731,-0.427,-0.397,-0.528
1850,11,-1.336,-0.365,-0.423,-0.39,-0.531
1850,12,-1.817,-0.319,-0.435,-0.389,-0.52
1851,1,-0.682,-0.325,-0.438,-0.398,-0.521
1851,2,-1.052,-0.256,-0.433,-0.405,-0.526
1851,3,-0.158,-0.195,-0.419,-0.433,-0.515
1851,4,-0.411,-0.223,-0.411,-0.446,-0.515
1851,5,2.44,-0.101,-0.434,-0.447,-0.518
1851,6,-0.215,-0.116,-0.397,-0.431,-0.517
1851,7,0.185,-0.134,-0.378,-0.434,-0.521
1851,8,0.767,-0.1,-0.384,-0.435,-0.52
1851,9,-0.084,-0.223,-0.408,-0.438,-0.524
1851,10,-0.315,-0.309,-0.455,-0.453,-0.531
1851,11,0.132,-0.552,-0.46,-0.442,-0.521
