Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1848,2,-1.009,,,,
1848,3,-1.521,,,,
1848,4,-0.969,-1.36,,,
1848,5,-0.668,-1.488,,,
1848,6,-0.777,-1.311,,,
1848,7,0.191,-0.931,,,
1848,8,-0.333,-0.914,,,
1848,9,-1.492,-0.767,,,
1848,10,-1.251,-0.824,,,
1848,11,-1.585,-0.872,,,
1848,12,-2.224,-0.887,,,
1849,1,0.47,-0.891,,,
1849,2,-0.808,-0.871,,,
1849,3,0.242,-0.898,-0.906,,
1849,4,-1.651,-0.839,-0.879,,
1849,5,-1.244,-0.846,-0.89,,
1849,6,-0.965,-0.861,-0.9,,
1849,7,0.146,-1.174,-0.915,,
1849,8,-0.085,-1.14,-0.97,,
1849,9,-1.815,-1.117,-0.978,,
1849,10,-0.547,-1.092,-0.99,,
1849,11,-1.666,-1.101,-0.972,,
1849,12,-2.411,-1.11,-0.964,,
1850,1,-3.286,-1.093,-0.965,,
1850,2,-0.396,-1.116,-0.961,,
1850,3,0.521,-1.008,-0.956,,
1850,4,-1.359,-1.154,-0.945,,
1850,5,-1.354,-1.078,-0.979,,
1850,6,-1.065,-0.895,-0.908,,
1850,7,0.344,-0.719,-0.871,,
1850,8,-0.36,-0.716,-0.896,,
1850,9,-0.524,-0.864,-0.881,,
1850,10,-2.294,-0.976,-0.902,,
1850,11,-0.751,-0.857,-0.889,,
1850,12,-0.22,-0.729,-0.883,,
1851,1,-1.175,-0.788,-0.885,,
1851,2,-0.361,-0.773,-0.868,,
1851,3,-1.247,-0.78,-0.85,,
1851,4,-2.701,-0.653,-0.848,,
1851,5,0.074,-0.73,-0.862,,
1851,6,0.465,-0.713,-0.848,,
1851,7,-0.362,-0.678,-0.875,,
1851,8,-0.183,-0.801,-0.868,,
1851,9,-0.612,-0.866,-0.885,,
1851,10,-0.768,-0.717,,,
1851,11,-1.675,-0.689,,,
1851,12,-0.016,-0.791,,,
1852,1,-0.756,-0.756,,,
1852,2,-1.833,-0.772,,,
1852,3,-2.022,-0.767,,,
1852,4,-0.912,-0.718,,,
1852,5,0.411,-0.753,,,
1852,6,-0.76,-0.761,,,
1852,7,0.059,-0.852,,,
1852,8,-0.378,,,,
1852,9,-0.549,,,,
1852,10,-0.19,,,,
1852,11,-2.086,,,,
1852,12,-0.112,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
1855,10,,,,,
1855,11,,,,,
1855,12,,,,,
1856,1,,,,,
1856,2,,,,,
1856,3,,,,,
1856,4,,,,,
1856,5,,,,,
1856,6,,,,,
1856,7,,,,,
1856,8,,,,,
1856,9,,,,,
1856,10,,,,,
1856,11,,,,,
1856,12,,,,,
1857,1,,,,,
1857,2,,,,,
1857,3,,,,,
1857,4,,,,,
1857,5,,,,,
1857,6,,,,,
1857,7,,,,,
1857,8,,,,,
1857,9,,,,,
1857,10,,,,,
1857,11,,,,,
1857,12,,,,,
1858,1,,,,,
1858,2,,,,,
1858,3,,,,,
1858,4,,,,,
1858,5,,,,,
1858,6,,,,,
1858,7,,,,,
1858,8,,,,,
1858,9,,,,,
1858,10,,,,,
1858,11,,,,,
1858,12,,,,,
1859,1,,,,,
1859,2,,,,,
1859,3,,,,,
1859,4,,,,,
1859,5,,,,,
1859,6,,,,,
1859,7,,,,,
1859,8,,,,,
1859,9,,,,,
1859,10,,,,,
1859,11,,,,,
1859,12,,,,,
1860,1,,,,,
1860,2,,,,,
1860,3,,,,,
1860,4,,,,,
1860,5,,,,,
1860,6,,,,,
1860,7,,,,,
1860,8,,,,,
1860,9,,,,,
1860,10,,,,,
1860,11,,,,,
1860,12,,,,,
1861,1,,,,,
1861,2,,,,,
1861,3,,,,,
1861,4,,,,,
1861,5,,,,,
1861,6,,,,,
1861,7,,,,,
1861,8,,,,,
1861,9,,,,,
1861,10,,,,,
1861,11,,,,,
1861,12,,,,,
1862,1,,,,,
1862,2,,,,,
1862,3,,,,,
1862,4,,,,,
1862,5,,,,,
1862,6,,,,,
1862,7,,,,,
1862,8,,,,,
1862,9,,,,,
1862,10,,,,,
1862,11,,,,,
1862,12,,,,,
1863,1,,,,,
1863,2,,,,,
1863,3,,,,,
1863,4,,,,,
1863,5,,,,,
1863,6,,,,,
1863,7,,,,,
1863,8,,,,,
1863,9,,,,,
1863,10,,,,,
1863,11,,,,,
1863,12,,,,,
1864,1,,,,,
1864,2,,,,,
1864,3,,,,,
1864,4,,,,,
1864,5,,,,,
1864,6,,,,,
1864,7,,,,,
1864,8,,,,,
1864,9,,,,,
1864,10,,,,,
1864,11,,,,,
1864,12,,,,,
1865,1,,,,,
1865,2,,,,,
1865,3,,,,,
1865,4,,,,,
1865,5,,,,,
1865,6,,,,,
1865,7,,,,,
1865,8,,,,,
1865,9,,,,,
1865,10,,,,,
1865,11,,,,,
1865,12,,,,,
1866,1,,,,,
1866,2,,,,,
1866,3,,,,,
1866,4,,,,,
1866,5,,,,,
1866,6,,,,,
1866,7,,,,,
1866,8,,,,,
1866,9,,,,,
1866,10,,,,,
1866,11,,,,,
1866,12,,,,,
1867,1,,,,,
1867,2,,,,,
1867,3,,,,,
1867,4,,,,,
1867,5,,,,,
1867,6,,,,,
1867,7,,,,,
1867,8,,,,,
1867,9,,,,,
1867,10,,,,,
1867,11,,,,,
1867,12,,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,,,,,
1868,8,,,,,
1868,9,,,,,
1868,10,,,,,
1868,11,,,,,
1868,12,,,,,
1869,1,,,,,
1869,2,,,,,
1869,3,,,,,
1869,4,,,,,
1869,5,,,,,
1869,6,,,,,
1869,7,,,,,
1869,8,,,,,
1869,9,,,,,
1869,10,,,,,
1869,11,,,,,
1869,12,,,,,
1870,1,,,,,
1870,2,,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,,,
1870,9,,,,,
1870,10,,,,,
1870,11,,,,,
1870,12,,,,,
1871,1,,,,,
1871,2,,,,,
1871,3,,,,,
1871,4,,,,,
1871,5,,,,,
1871,6,,,,,
1871,7,,,,,
1871,8,,,,,
1871,9,,,,,
1871,10,,,,,
1871,11,,,,,
1871,12,,,,,
1872,1,,,,,
1872,2,,,,,
1872,3,,,,,
1872,4,,,,,
1872,5,,,,,
1872,6,,,,,
1872,7,,,,,
1872,8,,,,,
1872,9,,,,,
1872,10,,,,,
1872,11,,,,,
1872,12,,,,,
1873,1,,,,,
1873,2,,,,,
1873,3,,,,,
1873,4,,,,,
1873,5,,,,,
1873,6,,,,,
1873,7,,,,,
1873,8,,,,,
1873,9,,,,,
1873,10,,,,,
1873,11,,,,,
1873,12,,,,,
1874,1,,,,,
1874,2,,,,,
1874,3,,,,,
1874,4,,,,,
1874,5,,,,,
1874,6,,,,,
1874,7,,,,,
1874,8,,,,,
1874,9,,,,,
1874,10,,,,,
1874,11,,,,,
1874,12,,,,,
1875,1,-0.146,,,,
1875,2,-0.834,,,,
1875,3,1.622,-0.36,,,
1875,4,0.898,-0.364,,,
1875,5,-0.47,-0.303,,,
1875,6,-0.282,-0.117,,,
1875,7,0.328,-0.005,,,
1875,8,-1.168,-0.104,,,
1875,9,-1.282,-0.275,,,
1875,10,-1.58,-0.505,,,
1875,11,0.466,-0.453,,,
1875,12,1.05,-0.445,,,
1876,1,1.192,-0.474,,,
1876,2,-2.016,-0.373,,,
1876,3,-0.43,-0.288,-0.312,,
1876,4,-1.863,-0.278,-0.315,,
1876,5,0.153,-0.496,-0.353,,
