Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1840,2,-0.362,,,,
1840,3,-0.734,-0.756,,,
1840,4,-1.288,-0.78,,,
1840,5,-0.496,-0.68,,,
1840,6,-0.62,-0.647,,,
1840,7,-0.082,-0.653,,,
1840,8,-0.525,-0.654,,,
1840,9,-0.503,-0.635,,,
1840,10,-1.151,-0.574,,,
1840,11,-0.719,-0.567,,,
1840,12,-1.218,-0.509,,,
1841,1,-0.142,-0.473,,,
1841,2,-0.373,-0.385,,,
1841,3,-0.503,-0.368,-0.537,,
1841,4,-0.561,-0.268,-0.543,,
1841,5,-0.404,-0.238,-0.545,,
1841,6,0.075,-0.119,-0.549,,
1841,7,0.352,-0.095,-0.568,,
1841,8,0.522,-0.008,-0.589,,
1841,9,-0.293,0.002,-0.547,,
1841,10,0.042,-0.029,-0.549,,
1841,11,-0.358,-0.055,-0.549,,
1841,12,0.21,-0.103,-0.551,,
1842,1,0.154,-0.194,-0.565,,
1842,2,0.67,-0.281,-0.585,,
1842,3,-0.391,-0.326,-0.591,,
1842,4,-0.927,-0.446,-0.602,,
1842,5,-0.718,-0.532,-0.603,,
1842,6,-0.5,-0.578,-0.596,,
1842,7,-0.736,-0.582,-0.616,,
1842,8,-0.527,-0.652,-0.618,-0.792,
1842,9,-0.836,-0.676,-0.624,-0.794,
1842,10,-1.388,-0.677,-0.645,-0.797,
1842,11,-1.398,-0.673,-0.657,-0.794,
1842,12,-0.341,-0.643,-0.663,-0.799,
1843,1,0.111,-0.612,-0.666,-0.796,
1843,2,-0.171,-0.592,-0.677,-0.783,
1843,3,-0.681,-0.578,-0.681,-0.776,
1843,4,-0.943,-0.542,-0.697,-0.778,
1843,5,-0.672,-0.497,-0.719,-0.774,
1843,6,-0.139,-0.553,-0.722,-0.773,
1843,7,-0.356,-0.67,-0.718,-0.773,
1843,8,-0.294,-0.739,-0.728,-0.777,
1843,9,-0.67,-0.676,-0.723,-0.779,
1843,10,-0.951,-0.682,-0.727,-0.783,
1843,11,-0.86,-0.692,-0.731,-0.787,
1843,12,-1.013,-0.736,-0.741,-0.793,
1844,1,-1.287,-0.782,-0.754,-0.8,
1844,2,-1.008,-0.865,-0.771,-0.812,
1844,3,0.082,-0.925,-0.784,-0.795,
1844,4,-1.017,-0.975,-0.807,-0.798,
1844,5,-0.792,-1.068,-0.832,-0.801,
1844,6,-0.666,-1.081,-0.854,-0.802,
1844,7,-0.909,-1.082,-0.873,-0.802,
1844,8,-1.293,-1.038,-0.901,-0.805,
1844,9,-1.383,-1.136,-0.917,-0.803,
1844,10,-1.552,-1.262,-0.927,-0.801,
1844,11,-1.972,-1.299,-0.938,-0.79,
1844,12,-1.174,-1.324,-0.943,-0.794,
