Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1873,8,0.044,,,,
1873,9,0.084,,,,
1873,10,-0.413,-0.135,,,
1873,11,,-0.169,,,
1873,12,-0.019,-0.225,,,
1874,1,-0.203,-0.28,,,
1874,2,-0.48,-0.329,,,
1874,3,-0.909,-0.344,,,
1874,4,-0.015,-0.337,,,
1874,5,-0.541,-0.346,,,
1874,6,,-0.391,,,
1874,7,-0.248,-0.456,,,
1874,8,-0.54,-0.485,,,
1874,9,-0.092,-0.471,,,
1874,10,-0.333,-0.508,,,
1874,11,-0.856,-0.506,,,
1874,12,-0.554,-0.53,,,
1875,1,-0.994,-0.519,,,
1875,2,-0.825,-0.513,,,
1875,3,-0.74,-0.559,-0.435,,
1875,4,-0.459,-0.605,-0.433,,
1875,5,-0.52,-0.661,-0.418,,
1875,6,-0.203,-0.694,-0.402,,
1875,7,-0.114,-0.696,-0.396,,
1875,8,-0.462,-0.736,-0.39,,
1875,9,-0.642,-0.744,-0.372,,
1875,10,-0.892,-0.701,-0.356,,
1875,11,-1.524,-0.722,-0.359,,
1875,12,-0.955,-0.714,-0.366,,
1876,1,-1.01,-0.723,-0.373,,
1876,2,-1.308,-0.745,-0.38,,
1876,3,-0.844,,-0.386,,
1876,4,,,-0.382,,
1876,5,-0.771,,-0.373,,
1876,6,-0.099,,-0.378,,
1876,7,,,-0.387,-0.352,
1876,8,,,-0.385,-0.357,
1876,9,,,-0.382,-0.353,
1876,10,-0.32,-0.541,-0.393,-0.354,
1876,11,-0.942,-0.501,-0.398,-0.348,
1876,12,-0.911,-0.48,-0.4,-0.343,
1877,1,-0.58,-0.426,-0.411,-0.334,
1877,2,-0.688,-0.337,-0.422,-0.329,
1877,3,-0.232,-0.272,-0.432,-0.328,
1877,4,-0.263,-0.25,-0.431,-0.33,
1877,5,-0.287,-0.18,-0.427,-0.332,
1877,6,0.152,-0.119,-0.429,-0.334,
1877,7,0.423,-0.103,-0.424,-0.338,
1877,8,0.351,-0.036,-0.429,-0.341,
1877,9,0.031,0.056,-0.429,-0.34,
1877,10,-0.061,0.106,-0.432,-0.341,
1877,11,-0.096,0.102,-0.427,-0.339,
1877,12,-0.183,0.121,-0.429,-0.335,
1878,1,-0.387,0.081,-0.423,-0.334,
1878,2,0.118,0.021,-0.411,-0.341,
1878,3,0.878,-0.0,-0.407,-0.339,
1878,4,0.33,-0.01,-0.39,-0.33,
1878,5,-0.337,-0.021,-0.367,-0.331,
1878,6,0.386,-0.032,-0.35,-0.333,
1878,7,-0.054,-0.061,-0.328,-0.336,
1878,8,-0.377,-0.103,-0.308,-0.338,
1878,9,-0.221,-0.237,-0.285,-0.341,
1878,10,-0.181,-0.319,-0.281,-0.336,
1878,11,-0.221,-0.36,-0.262,-0.333,
1878,12,-0.323,-0.398,-0.265,-0.335,
1879,1,-0.733,-0.467,-0.252,-0.336,
1879,2,-0.377,-0.535,-0.249,-0.331,
1879,3,-0.731,-0.576,-0.238,-0.324,
1879,4,-0.654,-0.582,-0.237,-0.326,
1879,5,-0.838,-0.615,-0.231,-0.325,
1879,6,-0.066,-0.647,-0.216,-0.33,
1879,7,-0.882,-0.643,-0.205,-0.333,
1879,8,-1.195,-0.704,-0.198,-0.326,
1879,9,-0.716,-0.706,-0.198,-0.331,
1879,10,-0.253,-0.707,-0.205,-0.333,
1879,11,-0.613,-0.654,-0.207,-0.334,
1879,12,-0.712,-0.674,-0.218,-0.332,
1880,1,-0.686,-0.58,-0.229,-0.334,
1880,2,-1.099,-0.457,-0.242,-0.334,
1880,3,-0.762,-0.431,-0.246,-0.331,
1880,4,-0.657,-0.401,-0.248,-0.332,
1880,5,-0.201,-0.363,-0.26,-0.332,
1880,6,-0.314,-0.296,-0.269,-0.335,
1880,7,0.251,-0.213,-0.272,-0.334,
1880,8,0.275,-0.131,-0.292,-0.335,
1880,9,-0.405,-0.024,-0.306,,
1880,10,0.113,0.058,-0.304,,
1880,11,-0.162,0.101,-0.303,,
1880,12,0.097,0.108,-0.301,,
1881,1,0.308,0.131,-0.299,,
1881,2,-0.11,0.064,-0.295,,
1881,3,0.512,0.088,-0.296,,
1881,4,0.332,0.059,-0.291,,
1881,5,0.316,0.026,-0.292,,
1881,6,,0.014,-0.291,,-0.418
1881,7,0.531,-0.003,-0.286,,-0.423
1881,8,,-0.019,-0.277,,-0.43
1881,9,-0.12,-0.077,-0.266,-0.279,-0.431
1881,10,-0.234,-0.163,-0.258,-0.281,-0.434
1881,11,-0.556,-0.225,-0.253,-0.277,-0.429
1881,12,-0.051,-0.247,-0.26,-0.282,-0.425
1882,1,0.108,-0.311,-0.254,-0.287,-0.419
1882,2,-0.301,-0.303,-0.229,-0.291,-0.417
1882,3,-0.188,-0.311,-0.229,-0.296,-0.416
1882,4,-0.694,-0.306,,-0.3,-0.417
1882,5,-0.428,-0.327,,-0.303,-0.422
1882,6,,-0.382,,-0.318,-0.424
1882,7,-0.238,-0.44,,-0.331,-0.429
1882,8,-0.436,,,-0.347,-0.433
1882,9,-0.219,,,-0.352,-0.435
1882,10,-0.169,,,-0.358,-0.438
1882,11,-0.805,,,-0.363,-0.435
1882,12,,-0.295,,-0.363,-0.429
1883,1,,,,-0.366,-0.426
1883,2,,,,-0.371,-0.428
1883,3,0.03,,,-0.376,-0.43
1883,4,0.441,,,-0.375,-0.433
1883,5,-0.272,,,-0.376,-0.433
1883,6,0.477,,,-0.389,-0.437
1883,7,,,,-0.398,-0.439
1883,8,,,,-0.405,-0.439
1883,9,,,,-0.407,-0.441
1883,10,0.14,,,-0.412,-0.44
1883,11,-0.313,,,-0.409,-0.436
1883,12,,,,-0.412,-0.435
1884,1,,,,-0.41,-0.435
1884,2,0.136,,,-0.407,-0.436
1884,3,-0.07,,,-0.398,-0.434
1884,4,-0.174,,,-0.391,-0.436
1884,5,-0.522,,,-0.388,-0.435
1884,6,,,,-0.391,-0.438
1884,7,,,,-0.39,-0.438
1884,8,,,,-0.385,-0.439
1884,9,,,,-0.388,-0.44
1884,10,,,,-0.392,-0.441
1884,11,,,,-0.39,-0.439
1884,12,,,,-0.38,-0.438
1885,1,,,,-0.378,-0.434
1885,2,,,,-0.376,-0.431
1885,3,,,,-0.381,-0.429
1885,4,,,,-0.384,-0.427
1885,5,,,,-0.389,-0.424
1885,6,,,,-0.4,-0.425
1885,7,,,,-0.409,-0.424
1885,8,,,,-0.425,-0.423
1885,9,,,,-0.432,-0.42
1885,10,,,,-0.437,-0.416
1885,11,,,,-0.443,-0.408
1885,12,,,,-0.445,-0.401
1886,1,-0.345,,,-0.45,-0.396
1886,2,-0.452,,,-0.454,-0.391
1886,3,0.33,-0.178,,-0.465,-0.389
1886,4,-0.17,-0.187,,-0.47,-0.391
1886,5,-0.245,-0.173,,-0.476,-0.391
1886,6,0.024,-0.31,,-0.48,-0.395
1886,7,0.02,-0.379,,-0.495,-0.398
1886,8,0.04,-0.443,,-0.502,-0.401
1886,9,-0.384,-0.543,,-0.508,-0.404
1886,10,-0.555,-0.586,,-0.513,-0.407
1886,11,-0.531,-0.624,,-0.51,-0.405
1886,12,-1.457,-0.758,,-0.508,-0.404
1887,1,-1.167,-0.862,,-0.504,-0.407
1887,2,-1.227,-0.992,,-0.506,-0.408
1887,3,-0.865,-1.005,-0.546,-0.505,-0.407
1887,4,-0.69,-1.021,-0.548,-0.504,-0.406
1887,5,-0.694,-1.044,-0.538,-0.511,-0.407
1887,6,-1.587,-0.937,-0.524,-0.513,-0.409
1887,7,-1.225,-0.9,-0.512,-0.52,-0.412
1887,8,-1.519,-0.84,-0.513,-0.525,-0.414
1887,9,-0.537,-0.743,-0.529,-0.529,-0.415
1887,10,-0.753,-0.649,-0.538,-0.536,-0.417
1887,11,-0.801,-0.624,-0.541,-0.532,-0.42
1887,12,-0.175,-0.595,-0.56,-0.522,-0.421
1888,1,-0.732,-0.587,-0.573,-0.519,-0.424
1888,2,-0.506,-0.563,-0.592,-0.515,-0.431
1888,3,0.302,-0.556,-0.599,-0.521,-0.437
1888,4,0.442,-0.557,-0.599,-0.535,-0.444
1888,5,-0.402,-0.479,-0.602,-0.534,-0.445
1888,6,-1.233,-0.524,-0.607,-0.541,-0.449
1888,7,-1.126,-0.499,-0.606,-0.543,-0.452
1888,8,-1.238,-0.454,-0.61,-0.541,-0.452
1888,9,-0.444,-0.449,-0.629,-0.54,-0.453
1888,10,-0.768,-0.48,-0.631,-0.544,-0.454
1888,11,0.13,-0.481,-0.633,-0.54,-0.451
