Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1867,2,-0.357,,,,
1867,3,-0.249,-0.165,,,
1867,4,0.242,-0.063,,,
1867,5,0.656,-0.145,,,
1867,6,-1.081,-0.277,,,
1867,7,-0.054,-0.342,,,
1867,8,-0.377,-0.437,,,
1867,9,-0.492,-0.475,,,
1867,10,0.605,,,,
1867,11,-1.009,,,,
1867,12,-1.069,,,,
1868,1,,,,,
1868,2,,,,,
1868,3,,,,,
1868,4,,,,,
1868,5,,,,,
1868,6,,,,,
1868,7,0.135,,,,
1868,8,-0.887,,,,
1868,9,-1.937,-0.83,,,
1868,10,-0.972,-0.867,,,
1868,11,-1.321,-0.832,,,
1868,12,-1.16,-0.854,,,
1869,1,-1.407,-0.863,,,
1869,2,-0.776,-0.792,,,
1869,3,-1.16,-0.684,,,
1869,4,-0.679,-0.651,,,
1869,5,0.482,-0.593,-0.389,,
1869,6,-0.562,-0.59,-0.407,,
1869,7,,-0.542,-0.419,,
1869,8,,-0.547,-0.42,,
1869,9,-0.64,-0.506,-0.411,,
1869,10,-0.569,,-0.418,,
1869,11,-0.627,,-0.417,,
1869,12,-1.125,,-0.408,,
1870,1,-0.834,,-0.403,,
1870,2,-0.839,,,,
1870,3,,,,,
1870,4,,,,,
1870,5,,,,,
1870,6,,,,,
1870,7,,,,,
1870,8,,,-0.382,,
1870,9,0.627,,-0.374,,
1870,10,-0.254,,-0.375,,
1870,11,-0.151,-0.293,-0.383,,
1870,12,-1.622,-0.326,-0.393,,
1871,1,-0.546,-0.246,-0.39,,
1871,2,-0.665,-0.22,-0.384,,
1871,3,-0.49,-0.24,-0.36,,
1871,4,-1.093,-0.145,-0.347,,
1871,5,0.458,-0.125,-0.332,,
1871,6,-0.21,-0.036,-0.316,,
1871,7,1.325,-0.061,-0.294,,
1871,8,-0.014,-0.039,,,
1871,9,0.385,0.028,,,
1871,10,0.888,0.104,,,
1871,11,0.088,0.122,,,
1871,12,-0.553,0.098,,,
1872,1,-0.853,0.008,,,
1872,2,-0.403,-0.003,,,
1872,3,0.321,-0.067,,,
1872,4,-0.179,-0.201,,,
1872,5,0.674,-0.224,,,
1872,6,-0.498,-0.193,,,
1872,7,,-0.19,,,
1872,8,,-0.246,,,
1872,9,,-0.29,,,
1872,10,-0.713,-0.301,,,
1872,11,-0.194,-0.391,,,
1872,12,-0.175,-0.425,,,
1873,1,-0.824,-0.42,,,
1873,2,-1.077,-0.451,-0.286,,
1873,3,-0.205,-0.461,-0.308,,
1873,4,-0.305,-0.418,-0.313,,
1873,5,-0.408,-0.438,-0.315,,
1873,6,-0.906,-0.44,-0.284,,
1873,7,0.302,,-0.278,,
1873,8,-0.508,,-0.279,,
1873,9,-0.514,,-0.284,,
1873,10,,,-0.268,,
1873,11,,,-0.275,,
1873,12,,,,,
1874,1,,,,,
1874,2,,,,,
1874,3,,,,,
1874,4,,,,,
1874,5,-0.149,,,,
1874,6,-0.534,,,,
1874,7,-0.373,,,,
1874,8,0.289,,,,
1874,9,0.812,,,,
1874,10,-0.982,,,,
1874,11,-1.249,,,,
1874,12,,,,,
1875,1,,,,,
1875,2,,,,,
1875,3,,,,,
1875,4,,,,,
1875,5,0.139,,,,
1875,6,-0.577,,,,
1875,7,0.412,-0.308,,,
1875,8,-0.101,-0.322,,,
1875,9,-0.684,-0.309,,,
1875,10,-0.561,-0.271,,,
1875,11,-0.259,-0.279,,,
1875,12,0.198,-0.277,,,
1876,1,-0.164,-0.222,,,
1876,2,-0.712,-0.246,,,
1876,3,-0.767,-0.249,,,
1876,4,-0.171,-0.223,,,
1876,5,0.041,,,,
1876,6,,,,,
1876,7,1.074,,,,
1876,8,,,,,
1876,9,-0.723,,,,
1876,10,,,,,
1876,11,,,,,
1876,12,,,,,
1877,1,,,,,
1877,2,,,,,
1877,3,,,,,
1877,4,,,,,
1877,5,,,,,
1877,6,,,,,
1877,7,,,,,
1877,8,,,,,
1877,9,,,,,
1877,10,,,,,
1877,11,,,,,
1877,12,,,,,
1878,1,,,,,
1878,2,,,,,
1878,3,,,,,
1878,4,,,,,
1878,5,,,,,
1878,6,,,,,
1878,7,,,,,
1878,8,,,,,
1878,9,,,,,
1878,10,,,,,
1878,11,,,,,
1878,12,,,,,
1879,1,,,,,
1879,2,,,,,
1879,3,,,,,
1879,4,,,,,
1879,5,,,,,
1879,6,,,,,
1879,7,,,,,
1879,8,,,,,
1879,9,,,,,
1879,10,,,,,
1879,11,,,,,
1879,12,,,,,
1880,1,,,,,
1880,2,,,,,
1880,3,,,,,
1880,4,,,,,
1880,5,,,,,
1880,6,,,,,
1880,7,,,,,
1880,8,,,,,
1880,9,,,,,
1880,10,,,,,
1880,11,,,,,
1880,12,,,,,
1881,1,,,,,
1881,2,,,,,
1881,3,,,,,
1881,4,,,,,
1881,5,,,,,
1881,6,,,,,
1881,7,,,,,
1881,8,,,,,
1881,9,,,,,
1881,10,,,,,
1881,11,,,,,
1881,12,,,,,
1882,1,,,,,
1882,2,,,,,
1882,3,,,,,
1882,4,,,,,
1882,5,,,,,
1882,6,,,,,
1882,7,,,,,
1882,8,,,,,
1882,9,,,,,
1882,10,,,,,
1882,11,,,,,
1882,12,,,,,
1883,1,-0.792,,,,
1883,2,-1.038,,,,
1883,3,-0.158,-0.62,,,
1883,4,-0.471,-0.624,,,
1883,5,-0.123,-0.615,,,
1883,6,-0.32,-0.597,,,
1883,7,0.057,-0.637,,,
1883,8,-0.495,-0.633,,,
1883,9,-0.922,-0.691,,,
1883,10,-0.887,-0.743,,,
1883,11,-0.971,-0.809,,,
1883,12,-1.043,-0.846,,,
1884,1,-1.271,-0.917,,,
1884,2,-0.99,-0.923,,,
1884,3,-0.851,-0.98,,,
1884,4,-1.095,-1.024,-0.734,,
1884,5,-0.92,-1.03,-0.748,,
1884,6,-0.763,-1.004,-0.754,,
1884,7,-0.797,-1.003,-0.778,,
1884,8,-0.569,-0.975,-0.797,,
1884,9,-1.607,-0.941,-0.816,,
1884,10,-1.406,-0.911,-0.821,,
1884,11,-1.042,-0.872,-0.816,,
1884,12,-0.734,-0.892,-0.799,,
1885,1,-1.258,-0.854,-0.792,,
1885,2,-0.655,-0.91,-0.801,,
1885,3,-0.45,-0.944,-0.799,,
1885,4,-0.727,-0.951,-0.793,,
1885,5,-0.45,-0.934,-0.787,,
1885,6,-1.007,-0.916,-0.777,,
1885,7,-0.337,-0.908,-0.779,,
1885,8,-1.243,-0.889,-0.781,,
1885,9,-2.012,-0.901,-0.791,,
1885,10,-1.495,-0.907,-0.794,,
1885,11,,-0.912,-0.798,,
1885,12,-0.527,-0.909,-0.803,,
1886,1,-1.157,-0.915,-0.803,,
1886,2,-0.426,-0.85,-0.798,,
1886,3,-0.593,-0.73,-0.79,,
1886,4,-0.8,-0.664,-0.78,,
1886,5,-0.512,-0.728,-0.771,,
1886,6,-0.971,-0.76,-0.762,,
1886,7,-0.412,-0.771,-0.753,,
1886,8,-0.458,-0.841,-0.731,,
1886,9,-0.578,-0.901,,,
1886,10,-0.697,-0.899,,,
1886,11,-1.611,-0.849,,,
1886,12,-0.903,-0.739,,,
1887,1,-1.294,-0.703,,,
1887,2,-1.265,-0.748,,,
1887,3,-1.312,-0.72,,,
1887,4,-0.78,-0.702,,,
1887,5,0.089,-0.626,,,
1887,6,0.357,-0.608,,,
1887,7,0.012,-0.577,,-0.651,
1887,8,-0.996,-0.569,,-0.649,
1887,9,-0.247,-0.52,,-0.652,
1887,10,-0.473,,,-0.649,
1887,11,-0.701,,,-0.646,
1887,12,-0.682,,,-0.641,
1888,1,,,,-0.641,
1888,2,,,,-0.639,
