Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.78,,,,
1824,3,-0.471,-0.802,,,
1824,4,0.254,-0.782,,,
1824,5,-0.558,-0.71,,,
1824,6,-0.354,-0.633,,,
1824,7,-0.355,-0.611,,,
1824,8,-1.058,-0.588,,,
1824,9,-1.012,-0.538,,,
1824,10,-1.532,-0.496,,,
1824,11,-0.741,-0.448,,,
1824,12,-0.421,-0.41,,,
1825,1,-0.306,-0.408,,,
1825,2,-0.504,-0.364,,,
1825,3,0.128,-0.381,,,
1825,4,0.761,-0.347,-0.641,,
1825,5,0.02,-0.319,-0.613,,
1825,6,0.104,-0.307,-0.575,,
1825,7,-0.332,-0.28,-0.586,,
1825,8,-0.537,-0.352,-0.592,,
1825,9,-1.215,-0.476,-0.588,,
1825,10,-1.116,-0.574,-0.575,,
1825,11,-0.407,-0.578,-0.56,,
1825,12,-0.277,-0.612,-0.559,,
1826,1,0.013,-0.621,-0.562,,
1826,2,-1.36,-0.663,-0.551,,
1826,3,-1.369,-0.681,-0.549,,
1826,4,-0.418,-0.683,-0.531,,
1826,5,-0.018,-0.646,-0.506,,
1826,6,-0.306,-0.58,-0.498,,
1826,7,-0.439,-0.574,-0.504,,
1826,8,-1.045,-0.491,-0.51,,
1826,9,-1.435,-0.372,-0.506,,
1826,10,-1.14,-0.295,-0.513,,
1826,11,0.041,-0.302,-0.504,,
1826,12,0.511,-0.278,-0.507,,
1827,1,0.091,-0.268,-0.509,,
1827,2,-0.363,-0.269,-0.506,,
1827,3,0.063,-0.253,-0.51,,
1827,4,0.504,-0.266,-0.496,,
1827,5,-0.106,-0.277,-0.495,,
1827,6,,-0.36,-0.498,,
1827,7,-0.319,-0.487,-0.482,,
1827,8,-1.057,-0.576,-0.458,,
1827,9,-1.252,-0.614,-0.476,,
1827,10,-1.295,-0.66,-0.484,,
1827,11,-0.084,-0.658,-0.507,,
1827,12,-0.492,-0.654,-0.52,,
1828,1,-1.423,-0.654,-0.511,,
1828,2,-1.439,-0.602,-0.512,,
1828,3,-0.387,-0.625,-0.519,,
1828,4,-0.05,-0.574,-0.52,,
1828,5,-0.083,-0.577,-0.492,,
1828,6,0.034,-0.611,-0.472,,
1828,7,-0.318,-0.567,,,
1828,8,-0.428,-0.544,,,
1828,9,-1.536,-0.532,,,
1828,10,,-0.538,,,
1828,11,-0.116,-0.534,,,
1828,12,-0.9,-0.584,,,
1829,1,-0.892,-0.594,,,
1829,2,-1.166,-0.63,,,
1829,3,-0.249,-0.607,,,
1829,4,-0.116,-0.61,,,
1829,5,-0.035,-0.654,,,
1829,6,-0.564,-0.632,,,
1829,7,-0.441,-0.5,,,
1829,8,-0.865,-0.326,,,
1829,9,-1.253,,,,
1829,10,,,,,
1829,11,-0.648,,,,
1829,12,-0.636,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
