Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1787,2,-0.676,,,,
1787,3,-0.228,,,,
1787,4,-0.593,,,,
1787,5,-0.956,,,,
1787,6,0.891,,,,
1787,7,-0.369,,,,
1787,8,0.052,,,,
1787,9,,,,,
1787,10,,,,,
1787,11,,,,,
1787,12,,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,,,,,
1788,6,,,,,
1788,7,,,,,
1788,8,,,,,
1788,9,,,,,
1788,10,,,,,
1788,11,,,,,
1788,12,-2.824,,,,
1789,1,,,,,
1789,2,-0.563,,,,
1789,3,-0.969,-0.311,,,
1789,4,0.305,-0.372,,,
1789,5,1.332,-0.485,,,
1789,6,-0.778,-0.422,,,
1789,7,0.146,-0.418,,,
1789,8,-0.339,-0.365,,,
1789,9,0.167,-0.309,,,
1789,10,-0.219,-0.42,,,
1789,11,-1.504,-0.556,,,
1789,12,-2.065,-0.467,,,
1790,1,-0.527,-0.507,,,
1790,2,0.071,-0.434,,,
1790,3,-0.299,-0.457,-0.027,,
1790,4,-1.029,-0.319,-0.019,,
1790,5,-0.3,-0.179,-0.019,,
1790,6,0.297,-0.057,-0.045,,
1790,7,-0.335,0.096,-0.055,,
1790,8,0.535,0.04,-0.07,,
1790,9,-0.105,0.13,-0.087,,
1790,10,1.437,0.317,-0.102,,
1790,11,0.174,0.294,-0.118,-0.126,
1790,12,-0.598,0.213,-0.145,-0.124,
1791,1,1.302,0.206,-0.181,-0.106,
1791,2,-0.602,0.226,-0.187,-0.099,
1791,3,0.783,0.201,-0.172,-0.116,
1791,4,1.212,0.047,-0.18,-0.126,
1791,5,-0.566,0.107,-0.193,-0.13,
1791,6,-0.678,0.157,-0.149,-0.13,
1791,7,-0.415,0.044,-0.136,-0.134,
1791,8,0.764,0.111,-0.135,-0.128,
1791,9,-0.404,0.079,-0.112,-0.128,
1791,10,-0.403,0.044,-0.089,-0.11,
1791,11,0.884,0.143,-0.107,-0.103,
1791,12,0.006,0.286,-0.124,-0.089,
1792,1,-0.049,0.313,-0.133,-0.085,
1792,2,0.194,0.129,-0.131,-0.074,
1792,3,0.4,0.118,-0.132,-0.081,
1792,4,0.789,0.182,-0.129,-0.075,
1792,5,0.626,0.066,-0.105,-0.066,
1792,6,1.035,-0.012,-0.086,-0.079,
1792,7,-0.082,-0.162,-0.088,-0.078,
1792,8,-1.449,-0.203,-0.076,-0.072,
1792,9,-0.533,-0.228,-0.059,-0.062,
1792,10,0.366,-0.331,-0.028,-0.058,
1792,11,-0.508,-0.458,0.002,-0.058,
1792,12,-0.935,-0.633,-0.017,-0.063,
1793,1,-1.852,-0.629,-0.016,-0.052,
1793,2,-0.29,-0.52,-0.023,-0.058,
1793,3,0.091,-0.413,-0.038,-0.059,
1793,4,-0.447,-0.436,-0.045,-0.064,
1793,5,-0.888,-0.472,-0.062,-0.066,
