Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1812,2,-3.156,,,,
1812,3,-2.149,-1.223,,,
1812,4,-1.827,-1.213,,,
1812,5,-1.944,-1.074,,,
1812,6,-0.715,-1.505,,,
1812,7,0.779,-1.85,,,
1812,8,1.441,-1.841,,,
1812,9,-2.296,-1.965,,,
1812,10,-0.691,-1.893,,,
1812,11,-0.982,-1.673,,,
1812,12,-4.643,-1.681,,,
1813,1,-6.014,-1.892,,,
1813,2,-3.05,-2.143,,,
1813,3,-3.639,-1.995,,,
1813,4,-0.962,-1.97,,,
1813,5,,-1.746,,,
1813,6,-0.805,-1.382,,,
1813,7,-1.757,-0.674,,,
1813,8,-1.573,-0.641,,,
1813,9,-0.519,-0.448,,,
1813,10,-0.393,-0.417,,,
1813,11,1.718,-0.705,,,
1813,12,-0.28,-0.734,,,
1814,1,2.482,-0.723,,,
1814,2,-2.652,-0.671,,,
1814,3,-1.331,-0.797,,,
1814,4,-0.584,-0.926,,,
1814,5,-2.765,-1.22,,,
1814,6,-1.155,-0.916,,,
1814,7,-1.626,-1.212,,,
1814,8,-0.944,-1.124,,,
1814,9,-2.028,,,,
1814,10,,,,,
1814,11,-1.809,,,,
1814,12,3.367,,,,
1815,1,,,,,
1815,2,,,,,
1815,3,,,,,
1815,4,,,,,
1815,5,,,,,
1815,6,,,,,
1815,7,,,,,
1815,8,,,,,
1815,9,,,,,
1815,10,,,,,
1815,11,-0.551,,,,
1815,12,,,,,
1816,1,,,,,
1816,2,,,,,
1816,3,,,,,
1816,4,,,,,
1816,5,,,,,
1816,6,,,,,
1816,7,,,,,
1816,8,,,,,
1816,9,,,,,
1816,10,,,,,
1816,11,,,,,
1816,12,,,,,
1817,1,,,,,
1817,2,,,,,
1817,3,,,,,
1817,4,,,,,
1817,5,-2.495,,,,
1817,6,-2.319,,,,
1817,7,-1.111,,,,
1817,8,0.729,,,,
1817,9,-3.3,,,,
1817,10,-3.231,,,,
1817,11,-1.715,,,,
1817,12,-0.328,,,,
1818,1,-1.937,,,,
1818,2,-1.182,,,,
1818,3,,,,,
1818,4,,,,,
1818,5,,,,,
1818,6,,,,,
1818,7,,,,,
1818,8,,,,,
1818,9,,,,,
1818,10,,,,,
1818,11,,,,,
1818,12,,,,,
1819,1,-1.701,,,,
1819,2,-0.063,,,,
1819,3,0.285,,,,
1819,4,,,,,
1819,5,-1.268,,,,
1819,6,-2.003,,,,
1819,7,-2.231,,,,
1819,8,-1.656,,,,
1819,9,,,,,
1819,10,,,,,
1819,11,,,,,
1819,12,,,,,
1820,1,,,,,
1820,2,,,,,
1820,3,0.258,,,,
1820,4,,,,,
1820,5,-0.425,,,,
1820,6,,,,,
1820,7,-1.161,,,,
1820,8,-0.726,,,,
1820,9,,,,,
1820,10,-3.345,-0.638,,,
1820,11,-0.748,-0.551,,,
1820,12,,-0.722,,,
1821,1,0.874,-0.834,,,
1821,2,0.098,-0.941,,,
1821,3,1.08,-1.024,,,
1821,4,-0.058,-0.885,,,
1821,5,0.62,-0.938,,,
1821,6,-2.505,-0.764,-0.837,,-0.828
1821,7,-2.514,-0.787,-0.796,,-0.826
1821,8,-2.008,-0.919,-0.797,,-0.835
1821,9,-1.685,-1.007,-0.782,,-0.835
1821,10,-1.668,-1.073,-0.773,,-0.84
1821,11,-1.387,-1.245,-0.747,-0.756,-0.835
1821,12,-0.018,-1.041,-0.705,-0.724,-0.844
1822,1,0.603,-0.867,-0.672,-0.702,-0.841
1822,2,-1.483,-0.776,-0.634,-0.711,-0.84
1822,3,0.023,-0.749,-0.62,-0.703,-0.841
1822,4,-0.85,-0.717,-0.624,-0.691,-0.842
1822,5,-1.446,-0.744,-0.639,-0.671,-0.837
1822,6,,-1.051,-0.582,-0.642,-0.839
1822,7,-0.416,-1.214,-0.573,-0.623,-0.85
1822,8,-0.919,-1.025,-0.589,-0.626,-0.864
1822,9,-1.366,-0.968,-0.636,-0.609,-0.863
