Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1844,12,-3.974,,,,
1845,1,,,,,
1845,2,,,,,
1845,3,,,,,
1845,4,,,,,
1845,5,,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,,,,,
1846,2,,,,,
1846,3,,,,,
1846,4,,,,,
1846,5,,,,,
1846,6,,,,,
1846,7,,,,,
1846,8,,,,,
1846,9,,,,,
1846,10,,,,,
1846,11,,,,,
1846,12,,,,,
1847,1,,,,,
1847,2,,,,,
1847,3,,,,,
1847,4,,,,,
1847,5,,,,,
1847,6,,,,,
1847,7,,,,,
1847,8,,,,,
1847,9,,,,,
1847,10,,,,,
1847,11,,,,,
1847,12,,,,,
1848,1,-3.745,,,,
1848,2,-1.239,,,,
1848,3,-0.888,-1.102,,,
1848,4,-0.213,-1.133,,,
1848,5,-0.373,-1.185,,,
1848,6,-0.064,-1.031,,,
1848,7,0.277,-0.677,,,
1848,8,-0.167,-0.55,,,
1848,9,-1.142,-0.48,,,
1848,10,-0.793,-0.586,,,
1848,11,-0.777,-0.627,,,
1848,12,-3.252,-0.672,,,
1849,1,0.509,-0.637,,,
1849,2,0.278,-0.608,,,
1849,3,-0.04,-0.649,-0.606,,
1849,4,-1.489,-0.578,-0.589,,
1849,5,-0.867,-0.628,-0.574,,
1849,6,-0.603,-0.497,-0.599,,
1849,7,0.7,-0.75,-0.602,,
1849,8,0.174,-0.742,-0.662,,
1849,9,-1.633,-0.708,-0.66,,
1849,10,0.067,-0.734,-0.673,,
1849,11,-1.379,-0.81,-0.653,,
1849,12,-1.678,-0.834,-0.644,,
1850,1,-2.527,-0.835,-0.659,,
1850,2,0.378,-0.879,-0.651,,
1850,3,0.36,-0.768,-0.666,,
1850,4,-1.801,-0.937,-0.652,,
1850,5,-1.78,-0.835,-0.668,,
1850,6,-0.892,-0.784,-0.584,-0.475,
1850,7,0.69,-0.66,-0.526,-0.473,
1850,8,-0.357,-0.697,-0.535,-0.469,
1850,9,-0.293,-0.801,-0.517,-0.472,
1850,10,-1.964,-0.801,-0.532,-0.469,
1850,11,-0.15,-0.513,-0.517,-0.472,
1850,12,-1.069,-0.306,-0.519,-0.456,
1851,1,-1.041,-0.406,-0.526,-0.453,
1851,2,-0.068,-0.378,-0.505,-0.474,
1851,3,-0.885,-0.318,-0.499,-0.484,
1851,4,-1.802,-0.213,-0.487,-0.489,
1851,5,1.679,-0.265,-0.51,-0.485,
1851,6,1.584,-0.175,-0.487,-0.483,
1851,7,-0.5,-0.139,-0.518,-0.479,
1851,8,-0.029,-0.223,-0.52,-0.476,
1851,9,0.432,-0.275,-0.544,-0.475,
1851,10,-0.706,-0.181,-0.575,-0.478,
1851,11,-0.775,-0.316,-0.566,-0.473,
1851,12,0.005,-0.452,-0.568,-0.477,
1852,1,-0.607,-0.427,-0.588,-0.464,
1852,2,-1.077,-0.426,-0.605,-0.51,
1852,3,-1.5,-0.494,-0.586,-0.507,
1852,4,-0.684,-0.398,-0.572,-0.525,
1852,5,0.061,-0.428,-0.535,-0.52,
1852,6,-0.045,-0.433,-0.483,-0.523,
1852,7,-0.203,-0.403,-0.427,-0.531,
1852,8,-0.01,-0.465,-0.393,-0.528,
1852,9,-0.392,-0.319,-0.385,-0.537,
1852,10,0.456,-0.359,-0.342,-0.549,-0.563
1852,11,-1.143,-0.32,-0.294,-0.566,-0.572
1852,12,-0.054,-0.332,-0.282,-0.54,-0.59
1853,1,-0.243,-0.324,-0.301,-0.516,-0.593
1853,2,-1.825,-0.231,-0.29,-0.512,-0.603
1853,3,0.247,-0.266,-0.313,-0.511,-0.607
1853,4,-1.158,-0.312,-0.291,-0.513,-0.608
1853,5,0.533,-0.393,-0.317,-0.511,-0.6
1853,6,-0.194,-0.544,-0.312,-0.505,-0.6
1853,7,-0.11,-0.637,-0.284,-0.502,-0.595
1853,8,1.111,-0.473,-0.278,-0.51,-0.592
1853,9,-0.811,-0.618,-0.281,-0.515,-0.595
1853,10,-0.096,-0.8,-0.288,-0.514,-0.603
1853,11,-2.122,-0.87,-0.314,-0.497,-0.604
1853,12,-1.862,-0.914,-0.338,-0.483,-0.607
1854,1,-1.354,-0.946,-0.325,-0.499,-0.62
1854,2,0.137,-1.113,-0.329,-0.51,-0.642
1854,3,-1.486,-1.084,-0.345,-0.513,-0.651
1854,4,-3.346,-1.003,-0.366,-0.494,-0.641
1854,5,-0.306,-0.753,-0.373,-0.489,-0.636
1854,6,-0.721,-0.479,-0.354,-0.474,-0.627
1854,7,-0.494,-0.295,-0.325,-0.476,-0.626
1854,8,-0.891,-0.104,-0.359,-0.483,-0.623
1854,9,-0.461,0.089,-0.355,-0.458,-0.62
1854,10,0.876,0.43,-0.377,-0.451,-0.616
1854,11,0.872,0.547,-0.387,-0.443,-0.61
1854,12,1.428,0.595,-0.403,-0.436,-0.607
1855,1,0.853,0.6,-0.403,-0.422,-0.597
1855,2,2.432,0.697,-0.404,-0.434,-0.591
1855,3,0.821,0.598,-0.407,-0.473,-0.599
1855,4,0.748,0.469,-0.446,-0.47,-0.604
1855,5,1.104,0.256,-0.463,-0.449,-0.611
1855,6,-0.143,0.07,-0.496,-0.435,-0.608
1855,7,-0.439,0.055,-0.506,-0.43,-0.606
1855,8,0.275,-0.122,-0.488,-0.422,-0.605
1855,9,-1.651,-0.279,-0.506,-0.416,-0.602
1855,10,-0.667,-0.528,-0.493,-0.398,-0.598
1855,11,-1.694,-0.613,-0.505,-0.404,-0.592
1855,12,-0.8,-0.589,-0.491,-0.431,-0.595
1856,1,0.679,-0.525,-0.478,-0.442,-0.6
1856,2,0.302,-0.571,-0.516,-0.469,-0.617
1856,3,-1.066,-0.478,-0.531,-0.473,-0.626
1856,4,-2.239,-0.586,-0.541,-0.472,-0.631
1856,5,0.088,-0.544,-0.484,-0.49,-0.63
1856,6,0.144,-0.386,-0.479,-0.518,-0.63
1856,7,0.327,-0.346,-0.48,-0.508,-0.628
1856,8,-0.274,-0.628,-0.5,-0.512,-0.622
1856,9,-0.536,-0.646,-0.482,-0.523,-0.625
1856,10,-1.961,-0.626,-0.412,-0.533,-0.622
1856,11,-1.196,-0.682,-0.413,-0.519,-0.618
1856,12,1.098,-0.774,-0.38,-0.525,-0.623
1857,1,1.162,-0.822,-0.365,-0.533,-0.622
1857,2,-3.088,-0.803,-0.36,-0.538,-0.639
1857,3,-1.273,-0.805,-0.331,-0.531,-0.632
1857,4,-2.003,-0.801,-0.33,-0.535,-0.634
1857,5,-0.582,-0.88,-0.35,-0.544,-0.631
1857,6,-0.966,-1.14,-0.389,-0.54,-0.63
1857,7,-0.243,-1.306,-0.418,-0.534,-0.633
1857,8,-0.048,-1.115,-0.475,-0.543,-0.632
1857,9,-0.565,-1.078,-0.561,-0.55,-0.639
1857,10,-1.901,-0.941,-0.597,-0.575,-0.64
1857,11,-2.15,-0.905,-0.604,-0.583,-0.629
1857,12,-2.021,-0.774,-0.587,-0.619,-0.602
1858,1,-0.836,-0.698,-0.56,-0.617,-0.585
1858,2,-0.789,-0.789,-0.555,-0.6,-0.586
1858,3,-0.825,-0.886,-0.518,-0.606,-0.591
1858,4,-0.361,-0.786,-0.504,-0.605,-0.593
1858,5,-0.158,-0.498,-0.492,-0.602,-0.598
1858,6,0.614,-0.46,-0.549,-0.599,-0.601
1858,7,0.669,-0.508,-0.601,-0.592,-0.602
1858,8,-1.147,-0.529,-0.661,-0.607,-0.603
