Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1823,3,-0.581,-1.117,,,
1823,4,-0.887,-1.16,,,
1823,5,-0.426,-1.195,,,
1823,6,-0.223,-1.128,,,
1823,7,-0.337,-1.049,,,
1823,8,-1.093,-0.955,,,
1823,9,-1.709,-0.869,,,
1823,10,-1.967,-0.79,,,
1823,11,-1.886,-0.738,,,
1823,12,-1.613,-0.697,,,
1824,1,0.198,-0.619,,,
1824,2,-0.942,-0.597,,,
1824,3,0.453,-0.533,-0.495,,
1824,4,0.068,-0.463,-0.499,,
1824,5,0.189,-0.35,-0.494,,
1824,6,0.273,-0.204,-0.473,,
1824,7,0.595,-0.233,-0.487,,
1824,8,-0.821,-0.165,-0.481,,
1824,9,-0.946,-0.178,-0.503,,
1824,10,-1.121,-0.167,-0.479,,
1824,11,-0.538,-0.177,-0.459,,
1824,12,0.145,-0.176,-0.451,,
1825,1,-0.15,-0.232,-0.442,,
1825,2,-0.131,-0.226,-0.436,,
1825,3,0.296,-0.254,-0.434,,
1825,4,0.205,-0.228,-0.428,,
1825,5,0.075,-0.195,-0.404,,
1825,6,0.274,-0.281,-0.361,-0.443,
1825,7,-0.076,-0.359,-0.332,-0.432,
1825,8,-0.744,-0.348,-0.274,-0.419,
1825,9,-1.284,-0.361,-0.265,-0.419,
1825,10,-0.803,-0.329,-0.253,-0.411,
1825,11,-0.144,-0.293,-0.242,-0.381,
1825,12,-0.892,-0.345,-0.225,-0.352,
1826,1,-1.086,-0.333,-0.217,-0.36,
1826,2,0.006,-0.344,-0.2,-0.375,
1826,3,0.135,-0.313,-0.192,-0.377,
1826,4,0.597,-0.359,-0.177,-0.37,
1826,5,0.502,-0.398,-0.144,-0.374,
1826,6,-0.345,-0.308,-0.103,-0.369,
1826,7,0.063,-0.285,-0.121,-0.363,
1826,8,-0.879,-0.172,-0.123,-0.365,
1826,9,-0.915,-0.111,-0.155,-0.361,
1826,10,-1.349,-0.049,-0.161,-0.361,
1826,11,-0.616,-0.048,-0.169,-0.363,
1826,12,0.191,-0.013,-0.18,-0.37,
1827,1,-0.811,0.025,-0.192,-0.377,
1827,2,1.36,0.064,-0.184,-0.383,
1827,3,0.875,0.047,-0.187,-0.41,
1827,4,1.334,0.07,-0.185,-0.416,
1827,5,0.512,0.118,-0.2,-0.414,
1827,6,0.079,0.116,-0.206,-0.416,
1827,7,0.517,0.267,-0.198,-0.424,
1827,8,-0.404,0.272,-0.188,-0.433,
1827,9,-1.121,0.194,-0.202,-0.437,
1827,10,-1.081,0.067,-0.206,-0.436,
1827,11,-0.038,0.045,-0.215,-0.44,
1827,12,0.176,0.105,-0.221,-0.442,-0.663
1828,1,0.998,0.075,-0.21,-0.441,-0.664
1828,2,1.419,0.102,-0.202,-0.425,-0.657
1828,3,-0.066,0.092,-0.199,-0.43,-0.665
1828,4,-0.186,0.096,-0.205,-0.43,-0.674
1828,5,0.248,0.106,-0.177,-0.433,-0.679
1828,6,0.794,0.161,-0.14,-0.433,-0.684
1828,7,0.159,0.004,-0.14,-0.433,-0.681
1828,8,-0.08,-0.202,-0.16,-0.429,-0.68
