Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1750,2,0.168,-0.249,,,
1750,3,,-0.279,,,
1750,4,0.149,-0.331,,,
1750,5,-1.461,-0.697,,,
1750,6,-0.093,-0.757,,,
1750,7,0.694,-0.92,,,
1750,8,0.815,-1.214,,,
1750,9,,-1.24,,,
1750,10,-2.317,-1.371,,,
1750,11,-5.321,-1.323,,,
1750,12,-3.657,-1.394,,,
1751,1,-1.298,-1.349,,,
1751,2,-3.362,-1.372,,,
1751,3,1.512,-1.361,,,
1751,4,-1.42,-1.355,,,
1751,5,-0.88,-1.192,,,
1751,6,-0.949,-1.058,,,
1751,7,1.232,-1.124,,,
1751,8,0.544,-0.696,,,
1751,9,-0.422,-0.712,,,
1751,10,-2.235,-0.687,,,
1751,11,-3.366,-0.647,,,
1751,12,-2.052,-0.527,,,
1752,1,-2.088,-0.507,,,
1752,2,1.769,-0.592,,,
1752,3,1.323,,,,
1752,4,-1.119,,,,
1752,5,-0.403,,,,
1752,6,0.493,,,,
1752,7,1.471,,,,
1752,8,-0.478,,,,
1752,9,,,,,
1752,10,-0.769,,,,
1752,11,-0.126,,,,
1752,12,-1.007,,,,
1753,1,-0.41,,,,
1753,2,-1.153,,,,
1753,3,1.868,-0.293,,,
1753,4,-0.289,-0.24,,,
1753,5,0.107,-0.342,,,
1753,6,-0.224,-0.673,,,
1753,7,-0.155,-0.669,,,
1753,8,-0.838,-0.78,,,
1753,9,-0.524,-1.032,,,
1753,10,-0.132,-0.843,,,
1753,11,-1.342,-0.794,,,
1753,12,-4.987,-0.715,,,
1754,1,-0.365,-0.712,,,
1754,2,-2.479,-0.747,,,
1754,3,-1.156,-0.806,,,
1754,4,1.982,-0.772,,,
1754,5,0.696,-0.711,,,
1754,6,0.717,-0.33,,,
1754,7,-0.111,-0.42,,,
1754,8,-1.263,-0.494,,,
1754,9,-1.227,-0.462,,,
1754,10,0.268,-0.58,,,
1754,11,-0.606,-0.583,,,
1754,12,-0.415,-0.509,,,
1755,1,-1.444,-0.418,,,
1755,2,-3.371,-0.446,,,
1755,3,-0.772,-0.435,-0.188,,
1755,4,0.574,-0.366,-0.251,,
1755,5,0.649,-0.417,-0.273,,
1755,6,1.612,-0.532,-0.315,,
1755,7,0.979,-0.274,-0.387,,
1755,8,-1.595,0.279,-0.412,,
1755,9,-1.098,0.396,-0.456,,
1755,10,1.092,0.349,-0.476,,
1755,11,-1.216,0.279,-0.509,,
1755,12,-1.799,0.252,-0.512,,
1756,1,1.66,0.191,-0.525,,
1756,2,3.258,0.233,-0.548,,
1756,3,0.631,0.293,-0.577,,
1756,4,0.012,0.148,-0.632,,
1756,5,-0.191,0.038,-0.631,,
1756,6,1.286,-0.083,-0.579,,
1756,7,0.257,-0.382,-0.533,,
1756,8,-1.103,-0.493,-0.462,,
1756,9,-0.374,-0.515,-0.437,,
1756,10,-0.649,-0.436,-0.498,,
1756,11,-2.533,-0.382,-0.549,,
