Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,-0.074,,,,
1880,10,-0.446,0.0,,,
1880,11,-0.25,0.064,,,
1880,12,0.358,0.097,,,
1881,1,0.762,0.16,,,
1881,2,0.578,0.219,,,
1881,3,0.285,0.224,,,
1881,4,-0.137,0.277,,,
1881,5,0.708,0.268,,,
1881,6,0.12,0.212,,,
1881,7,0.439,0.164,,,
1881,8,0.286,0.021,,,
1881,9,-0.012,-0.106,,,
1881,10,0.191,-0.115,-0.28,,
1881,11,-0.366,-0.214,-0.29,,
1881,12,-0.313,-0.238,-0.299,,
1882,1,0.188,-0.382,-0.305,,
1882,2,-1.142,-0.443,-0.305,,
1882,3,-1.23,-0.476,-0.286,,
1882,4,-0.253,-0.523,-0.29,,
1882,5,-0.473,-0.622,-0.289,,
1882,6,-0.165,-0.557,-0.294,,
1882,7,-1.295,-0.62,-0.324,,
1882,8,-0.448,-0.593,-0.306,,
1882,9,-0.405,-0.513,-0.324,,
1882,10,-0.374,-0.493,-0.349,,
1882,11,-1.556,-0.452,-0.349,,
1882,12,0.472,-0.369,-0.349,,
1883,1,-0.577,-0.335,-0.34,-0.303,
1883,2,-0.811,-0.37,-0.329,-0.297,
1883,3,-0.27,-0.382,-0.334,-0.304,
1883,4,-0.02,-0.354,-0.334,-0.311,
1883,5,0.019,-0.354,-0.326,-0.321,
1883,6,0.83,-0.415,-0.336,-0.327,
1883,7,-0.881,-0.377,-0.366,-0.34,
1883,8,-0.863,-0.403,-0.403,-0.35,
1883,9,-0.558,-0.425,-0.422,-0.359,
1883,10,-0.029,-0.448,-0.422,-0.359,
1883,11,-1.557,-0.532,-0.424,-0.354,
1883,12,-0.267,-0.639,-0.415,-0.336,
1884,1,-0.118,-0.604,-0.413,-0.344,
1884,2,-1.124,-0.545,-0.428,-0.336,
1884,3,-0.53,-0.469,-0.437,-0.315,
1884,4,-0.297,-0.513,-0.44,-0.313,
1884,5,-0.989,-0.468,-0.452,-0.308,
1884,6,-0.451,-0.467,-0.476,-0.306,
1884,7,-0.459,-0.563,-0.51,-0.307,
1884,8,-0.157,-0.564,-0.504,-0.309,
1884,9,0.347,-0.59,-0.497,-0.297,
1884,10,-0.551,-0.687,-0.492,-0.302,
1884,11,-1.024,-0.612,-0.498,-0.304,
1884,12,-0.249,-0.598,-0.494,-0.299,
1885,1,-1.277,-0.537,-0.484,-0.298,
1885,2,-1.136,-0.508,-0.494,-0.275,
1885,3,-0.832,-0.569,-0.501,-0.284,
1885,4,-1.469,-0.557,-0.498,-0.285,
1885,5,-0.087,-0.453,-0.464,-0.295,
1885,6,-0.287,-0.451,-0.477,-0.292,
1885,7,0.272,-0.432,-0.471,-0.297,-0.254
1885,8,0.191,-0.475,-0.454,-0.309,-0.257
1885,9,-0.382,-0.478,-0.45,-0.315,-0.258
1885,10,-0.41,-0.367,-0.453,-0.316,-0.257
1885,11,0.226,-0.31,-0.46,-0.317,-0.254
1885,12,-0.217,-0.232,-0.48,-0.322,-0.249
1886,1,-1.058,-0.209,-0.468,-0.328,-0.241
1886,2,-1.651,-0.276,-0.461,-0.337,-0.239
1886,3,-0.865,-0.287,-0.455,-0.347,-0.241
1886,4,-0.134,-0.255,-0.449,-0.345,-0.239
1886,5,0.591,-0.362,-0.425,-0.357,-0.243
