Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1768,11,-1.59,-0.663,,,
1768,12,-0.978,-0.429,,,
1769,1,-0.15,-0.378,,,
1769,2,-1.153,-0.3,,,
1769,3,-0.459,-0.244,,,
1769,4,0.537,-0.445,,,
1769,5,1.591,-0.605,,,
1769,6,1.76,,,,
1769,7,-0.002,,,,
1769,8,-0.144,,,,
1769,9,,,,,
1769,10,,,,,
1769,11,,,,,
1769,12,,,,,
1770,1,,,,,
1770,2,,,,,
1770,3,,,,,
1770,4,,,,,
1770,5,,,,,
1770,6,,,,,
1770,7,,,,,
1770,8,,,,,
1770,9,,,,,
1770,10,,,,,
1770,11,,,,,
1770,12,,,,,
1771,1,,,,,
1771,2,,,,,
1771,3,,,,,
1771,4,,,,,
1771,5,,,,,
1771,6,,,,,
1771,7,,,,,
1771,8,,,,,
1771,9,,,,,
1771,10,,,,,
1771,11,,,,,
1771,12,,,,,
1772,1,,,,,
1772,2,,,,,
1772,3,,,,,
1772,4,,,,,
1772,5,,,,,
1772,6,,,,,
1772,7,,,,,
1772,8,,,,,
1772,9,,,,,
1772,10,,,,,
1772,11,,,,,
1772,12,,,,,
1773,1,,,,,
1773,2,,,,,
1773,3,,,,,
1773,4,,,,,
1773,5,,,,,
1773,6,,,,,
1773,7,,,,,
1773,8,,,,,
1773,9,,,,,
1773,10,,,,,
1773,11,,,,,
1773,12,,,,,
1774,1,,,,,
1774,2,,,,,
1774,3,,,,,
1774,4,,,,,
1774,5,,,,,
1774,6,,,,,
1774,7,,,,,
1774,8,,,,,
1774,9,,,,,
1774,10,-0.786,,,,
1774,11,-2.71,,,,
1774,12,-2.964,0.007,,,
1775,1,2.179,-0.152,,,
1775,2,2.905,-0.166,,,
1775,3,2.273,-0.194,,,
1775,4,-0.805,-0.103,,,
1775,5,0.183,0.31,,,
1775,6,-1.382,0.375,,,
1775,7,-0.133,-0.06,,,
1775,8,0.288,-0.232,,,
1775,9,-1.38,-0.52,,,
1775,10,0.311,-0.56,,,
1775,11,2.248,-0.677,,,
1775,12,-2.187,-0.49,,,
1776,1,-3.042,-0.538,,,
1776,2,0.841,-0.482,,,
1776,3,-1.178,-0.489,,,
1776,4,-1.292,-0.654,,,
1776,5,,-0.882,,,
1776,6,0.866,-0.607,,,
1776,7,-0.718,-0.035,-0.264,,
1776,8,0.96,0.003,-0.26,,
1776,9,-1.463,0.078,-0.25,,
1776,10,-1.661,-0.036,-0.27,,
1776,11,-0.493,0.026,-0.312,,
1776,12,1.118,-0.175,-0.357,,
1777,1,3.815,-0.295,-0.407,,
1777,2,1.292,-0.484,-0.419,,
1777,3,-0.277,-0.455,-0.399,,
1777,4,-2.653,-0.575,-0.398,,
1777,5,-0.476,-0.654,-0.362,,
1777,6,-1.544,-0.831,,,
1777,7,-2.159,-1.158,,,
1777,8,-1.308,-1.086,,,
1777,9,-1.114,-1.182,,,
1777,10,-3.106,-0.806,,,
1777,11,-1.436,-0.795,,,
1777,12,-1.008,,,,
1778,1,-0.106,,,,
1778,2,,,,,
1778,3,,,,,
1778,4,,,,,
1778,5,-0.346,,,,
1778,6,-2.105,,,,
1778,7,,,,,
1778,8,,,,,
1778,9,,,,,
1778,10,-1.962,,,,
1778,11,-2.669,,,,
1778,12,-2.013,,,,
1779,1,-1.134,,,,
1779,2,1.253,,,,
1779,3,0.93,,,,
1779,4,,,,,
1779,5,,,,,
1779,6,,,,,
1779,7,,,,,
1779,8,,,,,
1779,9,,,,,
1779,10,,,,,
1779,11,,,,,
1779,12,,,,,
1780,1,,,,,
1780,2,,,,,
1780,3,,,,,
1780,4,,,,,
1780,5,,,,,
1780,6,,,,,
1780,7,,,,,
1780,8,,,,,
1780,9,,,,,
1780,10,,,,,
1780,11,,,,,
1780,12,,,,,
1781,1,,,,,
1781,2,,,,,
1781,3,,,,,
1781,4,,,,,
1781,5,,,,,
1781,6,,,,,
1781,7,,,,,
1781,8,,,,,
1781,9,-1.98,,,,
1781,10,-0.811,,,,
1781,11,0.904,-0.696,,,
1781,12,0.106,-0.523,,,
1782,1,-1.972,-0.575,,,
1782,2,-1.98,-0.451,,,
1782,3,-2.199,-0.254,,,
1782,4,0.724,-0.258,,,
1782,5,0.013,,,,
1782,6,0.628,,,,
1782,7,-0.665,,,,
1782,8,,,,,
1782,9,,,,,
1782,10,,,,,
1782,11,,,,,
1782,12,,,,,
1783,1,,,,,
1783,2,,,,,
1783,3,,,,,
1783,4,,,,,
1783,5,,,,,
1783,6,,,,,
1783,7,,,,,
1783,8,,,,,
1783,9,,,,,
1783,10,,,,,
1783,11,,,,,
1783,12,,,,,
1784,1,,,,,
1784,2,,,,,
1784,3,,,,,
1784,4,,,,,
1784,5,,,,,
1784,6,,,,,
1784,7,,,,,
1784,8,,,,,
1784,9,,,,,
1784,10,,,,,
1784,11,,,,,
1784,12,,,,,
1785,1,,,,,
1785,2,,,,,
1785,3,,,,,
1785,4,,,,,
1785,5,,,,,
1785,6,,,,,
1785,7,,,,,
1785,8,,,,,
1785,9,,,,,
1785,10,,,,,
1785,11,,,,,
1785,12,,,,,
1786,1,,,,,
1786,2,,,,,
1786,3,,,,,
1786,4,,,,,
1786,5,,,,,
1786,6,,,,,
1786,7,,,,,
1786,8,,,,,
1786,9,,,,,
1786,10,,,,,
1786,11,,,,,
1786,12,,,,,
1787,1,,,,,
1787,2,,,,,
1787,3,,,,,
1787,4,,,,,
1787,5,,,,,
1787,6,,,,,
1787,7,,,,,
1787,8,,,,,
1787,9,,,,,
1787,10,,,,,
1787,11,,,,,
1787,12,,,,,
1788,1,,,,,
1788,2,,,,,
1788,3,,,,,
1788,4,,,,,
1788,5,,,,,
1788,6,,,,,
1788,7,,,,,
1788,8,,,,,
1788,9,,,,,
1788,10,,,,,
1788,11,,,,,
1788,12,,,,,
1789,1,,,,,
1789,2,,,,,
1789,3,,,,,
1789,4,,,,,
1789,5,,,,,
1789,6,,,,,
1789,7,,,,,
1789,8,,,,,
1789,9,,,,,
1789,10,,,,,
1789,11,,,,,
1789,12,,,,,
1790,1,,,,,
1790,2,,,,,
1790,3,,,,,
1790,4,,,,,
1790,5,,,,,
1790,6,,,,,
1790,7,,,,,
1790,8,,,,,
1790,9,,,,,
1790,10,,,,,
1790,11,,,,,
1790,12,,,,,
1791,1,,,,,
1791,2,,,,,
1791,3,,,,,
1791,4,,,,,
1791,5,,,,,
1791,6,,,,,
1791,7,,,,,
1791,8,,,,,
1791,9,,,,,
1791,10,,,,,
1791,11,,,,,
1791,12,,,,,
1792,1,,,,,
1792,2,,,,,
1792,3,,,,,
1792,4,,,,,
1792,5,,,,,
1792,6,,,,,
1792,7,,,,,
1792,8,,,,,
1792,9,,,,,
1792,10,,,,,
1792,11,,,,,
1792,12,,,,,
1793,1,,,,,
1793,2,,,,,
1793,3,,,,,
1793,4,,,,,
1793,5,,,,,
1793,6,,,,,
1793,7,,,,,
1793,8,,,,,
1793,9,,,,,
1793,10,,,,,
1793,11,,,,,
1793,12,,,,,
1794,1,,,,,
1794,2,,,,,
1794,3,,,,,
1794,4,,,,,
1794,5,,,,,
1794,6,,,,,
1794,7,,,,,
1794,8,,,,,
1794,9,,,,,
1794,10,,,,,
1794,11,,,,,
1794,12,,,,,
1795,1,,,,,
1795,2,,,,,
1795,3,,,,,
1795,4,,,,,
1795,5,,,,,
1795,6,,,,,
1795,7,,,,,
1795,8,,,,,
1795,9,,,,,
1795,10,,,,,
1795,11,,,,,
1795,12,,,,,
1796,1,,,,,
1796,2,,,,,
1796,3,,,,,
1796,4,,,,,
1796,5,,,,,
1796,6,0.991,,,,
1796,7,-0.142,,,,
1796,8,1.066,0.015,,,
1796,9,0.11,0.055,,,
1796,10,-0.654,-0.071,,,
1796,11,-0.613,-0.169,,,
1796,12,-2.822,-0.214,,,
1797,1,1.991,-0.205,,,
1797,2,1.814,-0.269,,,
1797,3,-0.852,-0.257,,,
1797,4,-1.803,,,,
1797,5,-1.109,,,,
1797,6,0.45,,,,
1797,7,,,,,
1797,8,,,,,
1797,9,,,,,
1797,10,,,,,
1797,11,,,,,
1797,12,,,,,
1798,1,,,,,
1798,2,,,,,
1798,3,,,,,
1798,4,,,,,
1798,5,,,,,
1798,6,,,,,
1798,7,,,,,
1798,8,,,,,
1798,9,,,,,
1798,10,,,,,
1798,11,,,,,
1798,12,,,,,
1799,1,,,,,
1799,2,,,,,
1799,3,,,,,
1799,4,,,,,
1799,5,,,,,
1799,6,,,,,
1799,7,,,,,
1799,8,,,,,
1799,9,,,,,
1799,10,,,,,
1799,11,,,,,
1799,12,,,,,
1800,1,,,,,
1800,2,,,,,
1800,3,,,,,
1800,4,,,,,
1800,5,,,,,
1800,6,,,,,
1800,7,,,,,
1800,8,,,,,
1800,9,,,,,
1800,10,,,,,
1800,11,,,,,
1800,12,,,,,
1801,1,,,,,
1801,2,,,,,
1801,3,,,,,
1801,4,,,,,
1801,5,,,,,
1801,6,,,,,
1801,7,,,,,
1801,8,,,,,
1801,9,,,,,
1801,10,,,,,
1801,11,,,,,
1801,12,,,,,
1802,1,,,,,
1802,2,,,,,
1802,3,,,,,
1802,4,,,,,
1802,5,,,,,
1802,6,,,,,
1802,7,,,,,
1802,8,,,,,
1802,9,,,,,
1802,10,,,,,
1802,11,,,,,
1802,12,,,,,
1803,1,,,,,
1803,2,,,,,
1803,3,,,,,
1803,4,,,,,
1803,5,,,,,
1803,6,,,,,
1803,7,,,,,
1803,8,,,,,
1803,9,,,,,
1803,10,,,,,
1803,11,,,,,
1803,12,,,,,
1804,1,,,,,
1804,2,,,,,
1804,3,,,,,
1804,4,,,,,
1804,5,,,,,
1804,6,,,,,
1804,7,,,,,
1804,8,,,,,
1804,9,,,,,
1804,10,,,,,
1804,11,,,,,
1804,12,,,,,
1805,1,,,,,
1805,2,,,,,
1805,3,,,,,
1805,4,,,,,
1805,5,,,,,
1805,6,,,,,
1805,7,,,,,
1805,8,,,,,
1805,9,,,,,
1805,10,,,,,
1805,11,,,,,
1805,12,,,,,
1806,1,,,,,
1806,2,,,,,
1806,3,,,,,
1806,4,,,,,
1806,5,,,,,
1806,6,,,,,
1806,7,,,,,
1806,8,,,,,
1806,9,,,,,
1806,10,,,,,
1806,11,,,,,
1806,12,,,,,
1807,1,,,,,
1807,2,,,,,
1807,3,,,,,
1807,4,,,,,
1807,5,,,,,
1807,6,,,,,
1807,7,,,,,
1807,8,,,,,
1807,9,,,,,
1807,10,,,,,
1807,11,,,,,
1807,12,,,,,
1808,1,,,,,
1808,2,,,,,
1808,3,,,,,
1808,4,,,,,
1808,5,,,,,
1808,6,,,,,
1808,7,,,,,
1808,8,,,,,
1808,9,,,,,
1808,10,,,,,
1808,11,,,,,
1808,12,,,,,
1809,1,,,,,
1809,2,,,,,
1809,3,,,,,
1809,4,,,,,
1809,5,,,,,
1809,6,,,,,
1809,7,,,,,
1809,8,,,,,
1809,9,,,,,
1809,10,,,,,
1809,11,,,,,
1809,12,,,,,
1810,1,,,,,
1810,2,,,,,
1810,3,,,,,
1810,4,,,,,
1810,5,,,,,
1810,6,,,,,
1810,7,,,,,
1810,8,,,,,
1810,9,,,,,
1810,10,,,,,
