Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1855,6,-0.944,,,,
1855,7,-1.193,-0.753,,,
1855,8,-0.445,-0.845,,,
1855,9,-1.039,-0.871,,,
1855,10,-1.328,-0.906,,,
1855,11,-0.912,-0.982,,,
1855,12,-2.339,-0.849,,,
1856,1,-0.29,-0.792,,,
1856,2,-1.154,-0.781,,,
1856,3,-0.884,-0.755,,,
1856,4,0.181,-0.718,,,
1856,5,-1.433,-0.618,,,
1856,6,0.644,-0.47,,,
1856,7,-0.511,-0.515,-0.488,,
1856,8,-0.31,-0.517,-0.506,,
1856,9,-0.719,-0.377,-0.504,,
1856,10,-0.893,-0.478,-0.497,,
1856,11,0.296,-0.381,-0.488,,
1856,12,-0.57,-0.285,-0.469,,
1857,1,-0.824,-0.136,-0.457,,
1857,2,-1.184,-0.088,-0.456,,
1857,3,0.794,-0.013,-0.458,,
1857,4,-1.023,0.022,-0.464,,
1857,5,-0.268,0.136,-0.472,,
1857,6,1.792,0.121,-0.472,,
1857,7,1.279,0.249,-0.474,,
1857,8,0.269,0.399,-0.483,,
1857,9,0.178,0.299,-0.51,,
1857,10,-0.471,0.463,-0.544,-0.575,
1857,11,1.665,0.4,-0.577,-0.572,
1857,12,-0.755,0.172,-0.581,-0.584,
1858,1,0.716,-0.079,-0.56,-0.588,
1858,2,0.611,-0.098,-0.54,-0.585,
1858,3,-0.408,-0.103,-0.526,-0.59,
1858,4,0.948,-0.191,-0.505,-0.594,
1858,5,-1.021,-0.538,-0.505,-0.602,
1858,6,-0.951,-0.704,-0.495,-0.602,
1858,7,-1.723,-0.981,-0.51,-0.612,
1858,8,0.033,-1.212,-0.495,-0.619,
1858,9,0.122,-1.244,-0.483,-0.626,
1858,10,-1.525,-1.292,-0.473,-0.63,
1858,11,-2.498,-1.218,-0.486,-0.623,
1858,12,-2.752,-1.099,-0.51,-0.618,
1859,1,-2.604,-0.915,-0.528,-0.616,
1859,2,-2.169,-0.935,-0.492,-0.607,
1859,3,-0.788,-1.004,-0.49,-0.595,
1859,4,0.377,-0.88,-0.508,-0.599,
1859,5,-0.138,-0.755,-0.532,-0.592,
1859,6,0.477,-0.562,-0.538,-0.586,
1859,7,0.487,-0.37,-0.54,-0.595,
1859,8,-0.203,-0.241,-0.538,-0.604,
1859,9,-0.705,-0.354,-0.541,-0.609,
1859,10,-0.038,-0.506,-0.501,-0.615,
1859,11,-0.998,-0.704,-0.485,-0.611,
1859,12,-0.442,-0.842,-0.494,-0.611,
1860,1,-0.297,-0.879,-0.556,-0.62,
1860,2,-0.624,-0.799,-0.59,-0.621,
1860,3,-2.148,-0.755,-0.625,-0.62,
1860,4,-1.447,-0.759,-0.642,-0.624,-0.541
1860,5,-2.509,-0.752,-0.686,-0.627,-0.535
1860,6,-1.174,-0.859,-0.695,-0.605,-0.533
1860,7,0.043,-0.935,-0.732,-0.594,-0.534
1860,8,0.746,-0.903,-0.751,-0.595,-0.541
1860,9,-0.166,-0.736,-0.779,-0.59,-0.542
1860,10,-0.088,-0.55,-0.805,-0.569,-0.536
1860,11,-0.923,-0.527,-0.819,-0.557,-0.536
1860,12,-1.717,-0.498,-0.806,-0.534,-0.531
1861,1,-1.218,-0.631,-0.801,-0.533,-0.533
1861,2,-0.233,-0.539,-0.815,-0.531,-0.533
1861,3,-0.141,-0.574,-0.841,-0.515,-0.533
1861,4,0.776,-0.735,-0.839,-0.519,-0.538
1861,5,-2.234,-0.753,-0.803,-0.504,-0.539
1861,6,-0.819,-0.686,-0.763,-0.518,-0.54
1861,7,-1.554,-0.663,-0.744,-0.512,-0.544
1861,8,1.849,-0.731,-0.708,-0.513,-0.543
1861,9,-0.582,-0.672,-0.686,-0.505,-0.545
1861,10,-2.017,-0.62,-0.701,-0.503,-0.549
1861,11,-1.145,-0.377,-0.697,-0.514,-0.546
1861,12,-0.912,-0.204,-0.704,-0.513,-0.545
1862,1,-0.949,-0.279,-0.732,-0.511,-0.546
1862,2,-1.049,-0.579,-0.752,-0.507,-0.546
1862,3,0.573,-0.69,-0.759,-0.519,-0.547
1862,4,1.4,-0.644,-0.766,-0.525,-0.547
1862,5,0.681,-0.633,-0.751,-0.523,-0.553
1862,6,1.262,-0.665,-0.751,-0.543,-0.553
1862,7,-2.463,-0.712,-0.767,-0.563,-0.554
1862,8,-1.752,-0.667,-0.759,-0.566,-0.549
1862,9,-1.91,-0.89,-0.73,-0.568,-0.546
1862,10,-1.464,-1.056,-0.704,-0.567,-0.536
1862,11,-1.019,-1.268,-0.676,-0.576,-0.533
1862,12,-1.291,-1.389,-0.628,-0.573,-0.537
1863,1,-1.512,-1.303,-0.628,-0.577,-0.531
1863,2,-0.51,-1.223,-0.65,-0.583,-0.529
1863,3,-2.098,-1.184,-0.653,-0.583,-0.526
1863,4,-0.6,-1.178,-0.633,-0.591,-0.528
1863,5,-1.859,-1.124,-0.608,-0.579,-0.526
1863,6,-0.194,-1.043,-0.573,-0.563,-0.524
1863,7,-1.427,-1.038,-0.556,-0.556,-0.531
1863,8,-0.793,-0.999,-0.566,-0.556,-0.53
1863,9,-1.441,-0.78,-0.547,-0.56,-0.523
1863,10,-1.388,-0.773,-0.565,-0.538,-0.519
1863,11,-0.371,-0.608,-0.523,-0.522,-0.513
1863,12,-0.326,-0.586,-0.525,-0.51,-0.512
1864,1,-1.452,-0.569,-0.497,-0.491,-0.513
1864,2,-0.037,-0.617,-0.534,-0.482,-0.511
1864,3,0.524,-0.595,-0.521,-0.482,-0.516
1864,4,-0.509,-0.515,-0.498,-0.479,-0.517
1864,5,0.124,-0.491,-0.495,-0.464,-0.523
1864,6,0.063,-0.501,-0.488,-0.474,-0.523
1864,7,-1.224,-0.485,-0.482,-0.499,-0.529
1864,8,-1.365,-0.495,-0.476,-0.499,-0.525
1864,9,-1.178,-0.572,-0.497,-0.489,-0.523
1864,10,-0.433,-0.52,-0.549,-0.501,-0.53
1864,11,-0.083,-0.602,-0.561,-0.502,-0.534
1864,12,-0.438,-0.465,-0.593,-0.508,-0.536
1865,1,-1.259,-0.359,-0.569,-0.515,-0.542
1865,2,-0.163,-0.291,-0.541,-0.504,-0.541
1865,3,-0.396,-0.224,-0.512,-0.486,-0.544
1865,4,0.116,-0.096,-0.492,-0.48,-0.549
1865,5,-0.859,-0.04,-0.465,-0.46,-0.548
1865,6,1.699,0.029,-0.451,-0.452,-0.554
1865,7,0.056,0.117,-0.421,-0.458,-0.556
1865,8,-0.557,0.062,-0.414,-0.477,-0.555
1865,9,-0.37,0.179,-0.387,-0.484,-0.55
1865,10,1.108,0.143,-0.378,-0.484,-0.548
1865,11,0.587,0.24,-0.338,-0.489,-0.546
1865,12,0.386,0.017,-0.32,-0.472,-0.54
1866,1,-0.197,0.024,-0.311,-0.469,-0.543
1866,2,-0.823,0.039,-0.298,-0.47,-0.54
1866,3,1.002,0.088,-0.28,-0.48,-0.535
1866,4,-0.311,-0.06,-0.237,-0.498,-0.535
1866,5,0.298,-0.189,-0.24,-0.488,-0.53
1866,6,-0.971,-0.258,-0.257,-0.488,-0.536
1866,7,0.142,-0.29,-0.238,-0.485,-0.531
1866,8,-0.388,-0.28,-0.256,-0.503,-0.533
1866,9,0.217,-0.423,-0.277,-0.51,-0.527
1866,10,-0.659,-0.537,-0.257,-0.507,-0.528
1866,11,-0.959,-0.569,-0.23,-0.503,-0.541
1866,12,-0.444,-0.539,-0.245,-0.502,-0.551
1867,1,-0.585,-0.638,-0.265,-0.5,-0.547
1867,2,-0.7,-0.612,-0.247,-0.498,-0.542
1867,3,-0.717,-0.643,-0.218,-0.516,-0.536
1867,4,-1.681,-0.609,-0.236,-0.531,-0.528
1867,5,-0.078,-0.481,-0.253,-0.555,-0.532
1867,6,-0.616,-0.48,-0.266,-0.567,-0.54
1867,7,-1.048,-0.409,-0.263,-0.554,-0.542
1867,8,-0.074,-0.359,-0.25,-0.538,-0.546
1867,9,-0.159,-0.339,-0.242,-0.521,-0.549
1867,10,-0.251,-0.203,-0.256,-0.497,-0.544
1867,11,0.585,-0.153,-0.244,-0.493,-0.551
1867,12,-0.439,-0.027,-0.275,-0.49,-0.55
1868,1,0.273,-0.015,-0.287,-0.475,-0.557
1868,2,-0.102,-0.007,-0.304,-0.473,-0.562
1868,3,-0.476,-0.023,-0.314,-0.462,-0.558
1868,4,-0.052,0.095,-0.334,-0.462,-0.563
1868,5,0.52,-0.001,-0.37,-0.449,-0.565
1868,6,0.901,-0.075,-0.37,-0.446,-0.566
1868,7,-0.905,-0.125,-0.381,-0.449,-0.564
1868,8,0.025,-0.21,-0.375,-0.441,-0.569
1868,9,-0.357,-0.232,-0.413,-0.419,-0.571
1868,10,1.17,-0.169,-0.431,-0.408,-0.57
1868,11,-0.568,-0.068,-0.454,-0.404,-0.559
1868,12,-1.329,-0.21,-0.45,-0.406,-0.557
1869,1,-0.332,-0.339,-0.472,-0.411,-0.553
1869,2,-1.114,-0.365,-0.472,-0.415,-0.548
1869,3,-0.743,-0.287,-0.499,-0.436,-0.549
1869,4,0.708,-0.51,-0.515,-0.435,-0.553
1869,5,1.732,-0.557,-0.51,-0.454,-0.557
1869,6,-0.809,-0.545,-0.516,-0.46,-0.563
1869,7,-2.454,-0.607,-0.519,-0.464,-0.564
1869,8,-0.29,-0.463,-0.521,-0.446,-0.565
1869,9,0.583,-0.397,-0.536,-0.437,-0.566
1869,10,-1.505,-0.515,-0.514,-0.445,-0.567
1869,11,-1.132,-0.673,-0.548,-0.456,-0.563
1869,12,-1.186,-0.616,-0.542,-0.462,-0.564
1870,1,-1.078,-0.467,-0.539,-0.463,-0.569
1870,2,0.614,-0.575,-0.534,-0.462,-0.569
1870,3,0.048,-0.703,-0.531,-0.469,-0.565
1870,4,-0.697,-0.584,-0.502,-0.474,-0.563
1870,5,-0.169,-0.621,-0.521,-0.469,-0.557
1870,6,-0.126,-0.494,-0.529,-0.503,-0.547
1870,7,-0.664,-0.476,-0.528,-0.518,-0.549
1870,8,-1.585,-0.562,-0.531,-0.516,-0.549
1870,9,-0.956,-0.676,-0.538,-0.51,-0.556
1870,10,-0.077,-0.73,-0.547,-0.526,-0.564
1870,11,-1.574,-0.806,-0.56,-0.535,-0.562
1870,12,0.333,-0.856,-0.573,-0.545,-0.551
1871,1,-0.858,-0.901,-0.587,-0.553,-0.553
1871,2,-0.415,-0.799,-0.585,-0.549,-0.551
1871,3,-1.325,-0.841,-0.559,-0.555,-0.549
1871,4,-1.347,-0.965,-0.58,-0.55,-0.555
1871,5,-1.075,-0.893,-0.567,-0.555,-0.549
1871,6,-0.733,-0.983,-0.554,-0.555,-0.549
1871,7,-1.197,-0.98,-0.583,-0.55,-0.549
1871,8,-0.37,-1.01,-0.573,-0.553,-0.559
1871,9,-1.451,-1.034,-0.594,-0.548,-0.556
1871,10,-1.574,-0.954,-0.614,-0.552,-0.546
1871,11,-0.702,-1.039,-0.677,-0.567,-0.541
1871,12,-0.749,-1.0,-0.676,-0.589,-0.534
1872,1,-0.821,-0.972,-0.662,-0.582,-0.532
1872,2,-0.778,-0.925,-0.644,-0.577,-0.53
1872,3,-1.616,-0.802,-0.655,-0.553,-0.54
1872,4,-0.383,-0.547,-0.653,-0.531,-0.552
1872,5,-2.101,-0.531,-0.659,-0.541,-0.561
1872,6,-0.256,-0.547,-0.658,-0.537,-0.571
1872,7,-0.861,-0.454,-0.664,-0.52,-0.568
1872,8,0.19,-0.411,-0.673,-0.526,-0.56
1872,9,0.028,-0.349,-0.696,-0.529,-0.557
1872,10,1.489,-0.368,-0.692,-0.521,-0.545
1872,11,-0.518,-0.215,-0.693,-0.526,-0.544
1872,12,-0.937,-0.181,-0.732,-0.527,-0.543
1873,1,0.298,-0.258,-0.749,-0.538,-0.538
1873,2,-0.267,-0.26,-0.728,-0.542,-0.538
1873,3,-0.87,-0.164,-0.706,-0.533,-0.528
1873,4,-0.613,-0.293,-0.718,-0.535,-0.532
1873,5,-0.263,-0.232,-0.701,-0.551,-0.527
1873,6,0.156,-0.202,-0.72,-0.568,-0.521
1873,7,-1.79,-0.397,-0.725,-0.572,-0.516
1873,8,0.17,-0.42,-0.723,-0.582,-0.517
1873,9,1.175,-0.513,-0.697,-0.581,-0.515
1873,10,-0.057,-0.501,-0.67,-0.602,-0.509
1873,11,0.208,-0.654,-0.657,-0.597,-0.507
1873,12,-0.575,-0.725,-0.66,-0.603,-0.507
1874,1,-2.041,-0.713,-0.627,-0.615,-0.501
1874,2,-0.537,-0.662,-0.634,-0.614,-0.503
1874,3,-1.992,-0.766,-0.596,-0.615,-0.499
1874,4,-0.47,-0.878,-0.59,-0.627,-0.499
1874,5,-2.096,-1.016,-0.624,-0.65,-0.509
1874,6,-0.694,-1.062,-0.663,-0.652,-0.517
1874,7,-1.65,-1.013,-0.645,-0.629,-0.519
1874,8,0.79,-0.963,-0.634,-0.63,-0.503
1874,9,-0.071,-0.905,-0.57,-0.643,-0.496
1874,10,-1.405,-0.907,-0.547,-0.634,-0.497
1874,11,-1.445,-0.752,-0.535,-0.623,-0.497
1874,12,-1.133,-0.898,-0.533,-0.621,-0.495
1875,1,-1.448,-0.903,-0.502,-0.624,-0.49
1875,2,0.058,-0.992,-0.518,-0.633,-0.491
1875,3,-1.295,-0.96,-0.528,-0.645,-0.493
1875,4,-0.488,-0.909,-0.539,-0.647,-0.499
1875,5,-0.246,-0.832,-0.531,-0.654,-0.501
1875,6,-2.445,-0.807,-0.524,-0.643,-0.517
1875,7,-1.708,-0.783,-0.548,-0.641,-0.528
1875,8,-0.275,-0.811,-0.552,-0.621,-0.532
1875,9,0.309,-0.684,-0.529,-0.628,-0.531
1875,10,-0.789,-0.618,-0.522,-0.644,-0.537
1875,11,-0.524,-0.626,-0.541,-0.635,-0.535
1875,12,-0.83,-0.497,-0.564,-0.631,-0.54
1876,1,-1.158,-0.29,-0.557,-0.638,-0.538
1876,2,-0.28,-0.331,-0.579,-0.632,-0.537
1876,3,0.219,-0.288,-0.602,-0.617,-0.542
1876,4,0.307,-0.323,-0.623,-0.611,-0.545
1876,5,-0.34,-0.509,-0.627,-0.61,-0.553
1876,6,-0.891,-0.696,-0.652,-0.611,-0.555
1876,7,0.768,-0.579,-0.646,-0.614,-0.564
1876,8,-0.76,-0.565,-0.655,-0.615,-0.569
1876,9,0.817,-0.398,-0.637,-0.601,-0.574
1876,10,-1.21,-0.342,-0.641,-0.585,-0.578
1876,11,-2.755,-0.426,-0.623,-0.578,-0.577
1876,12,-3.065,-0.364,-0.628,-0.567,-0.576
1877,1,0.243,-0.346,-0.596,-0.564,-0.577
1877,2,-0.112,-0.344,-0.616,-0.562,-0.58
1877,3,2.221,-0.461,-0.63,-0.564,-0.583
1877,4,0.977,-0.295,-0.614,-0.573,-0.583
1877,5,-1.345,-0.068,-0.588,-0.567,-0.592
1877,6,-0.147,0.144,-0.584,-0.574,-0.586
1877,7,0.984,0.031,-0.583,-0.581,-0.584
1877,8,-0.739,-0.002,-0.593,-0.582,-0.578
1877,9,-0.585,-0.144,-0.594,-0.592,-0.582
1877,10,0.789,-0.242,-0.602,-0.594,-0.584
1877,11,-0.033,-0.248,-0.615,-0.595,-0.59
1877,12,-0.522,-0.335,-0.553,-0.596,-0.591
1878,1,-1.109,-0.53,-0.533,-0.601,-0.591
1878,2,-0.508,-0.564,-0.514,-0.603,-0.589
1878,3,0.507,-0.536,-0.55,-0.594,-0.588
1878,4,-0.198,-0.712,-0.57,-0.602,-0.586
1878,5,-1.416,-0.709,-0.568,-0.605,-0.597
1878,6,-1.185,-0.839,-0.542,-0.596,-0.61
1878,7,-1.359,-0.888,-0.55,-0.584,-0.601
1878,8,-1.153,-0.933,-0.542,-0.592,-0.597
1878,9,-0.248,-1.051,-0.537,-0.61,-0.594
1878,10,-1.32,-1.097,-0.553,-0.61,-0.598
1878,11,0.001,-1.063,-0.563,-0.611,-0.599
1878,12,-2.08,-1.047,-0.563,-0.609,-0.592
1879,1,-1.702,-0.912,-0.601,-0.592,-0.593
1879,2,-1.04,-0.847,-0.596,-0.591,-0.591
1879,3,-0.915,-0.906,-0.606,-0.562,-0.585
1879,4,-0.746,-0.831,-0.58,-0.562,-0.59
1879,5,-1.005,-0.82,-0.533,-0.564,-0.598
1879,6,-0.997,-0.721,-0.471,-0.574,-0.599
1879,7,0.268,-0.697,-0.483,-0.574,-0.591
1879,8,-0.382,-0.654,-0.491,-0.56,-0.598
1879,9,-0.949,-0.69,-0.557,-0.556,-0.605
1879,10,-0.428,-0.71,-0.599,-0.55,-0.601
1879,11,0.138,-0.711,-0.599,-0.538,-0.598
1879,12,-0.893,-0.525,-0.615,-0.529,-0.594
1880,1,-1.417,-0.589,-0.661,-0.517,-0.594
1880,2,-0.524,-0.486,-0.647,-0.521,-0.598
1880,3,-1.343,-0.557,-0.656,-0.518,-0.604
1880,4,-0.99,-0.691,-0.648,-0.525,-0.597
1880,5,-1.015,-0.736,-0.658,-0.534,-0.605
1880,6,1.237,-0.598,-0.668,-0.53,-0.611
1880,7,-0.508,-0.619,-0.654,-0.537,-0.608
1880,8,0.865,-0.554,-0.653,-0.548,-0.609
1880,9,-1.802,-0.4,-0.659,-0.553,-0.611
1880,10,-2.04,-0.371,-0.681,-0.548,-0.616
1880,11,-0.397,-0.368,-0.668,-0.535,-0.609
1880,12,0.755,-0.542,-0.628,-0.535,-0.611
1881,1,-1.67,-0.63,-0.611,-0.522,-0.612
1881,2,0.255,-0.74,-0.606,-0.525,-0.611
1881,3,0.513,-0.568,-0.617,-0.529,-0.608
1881,4,-0.648,-0.37,-0.597,-0.541,-0.606
1881,5,-0.971,-0.332,-0.595,-0.55,-0.603
1881,6,-0.857,-0.34,-0.566,-0.556,-0.602
1881,7,-1.565,-0.241,-0.539,-0.579,-0.601
1881,8,-0.453,-0.312,-0.528,-0.586,-0.602
1881,9,0.261,-0.501,-0.487,-0.601,-0.598
1881,10,0.338,-0.576,-0.483,-0.603,-0.594
1881,11,0.065,-0.606,-0.506,-0.587,-0.59
1881,12,0.659,-0.626,-0.519,-0.562,-0.593
1882,1,-0.493,-0.642,-0.552,-0.572,-0.59
1882,2,-0.593,-0.598,-0.504,-0.584,-0.583
1882,3,-1.758,-0.713,-0.482,-0.614,-0.581
1882,4,-1.541,-0.634,-0.485,-0.636,-0.58
1882,5,-1.33,-0.693,-0.488,-0.644,-0.579
1882,6,-1.105,-0.843,-0.474,-0.634,-0.588
1882,7,-1.749,-0.823,-0.451,-0.648,-0.584
1882,8,0.07,-0.812,-0.45,-0.629,-0.59
1882,9,-1.126,-0.65,-0.442,-0.635,-0.596
1882,10,1.291,-0.652,-0.447,-0.648,-0.602
1882,11,-0.645,-0.594,-0.452,-0.654,-0.606
1882,12,-1.139,-0.402,-0.506,-0.656,-0.607
1883,1,-0.254,-0.281,-0.541,-0.644,-0.612
1883,2,-0.461,-0.36,-0.582,-0.637,-0.618
1883,3,0.185,-0.341,-0.556,-0.642,-0.611
1883,4,-1.565,-0.459,-0.525,-0.638,-0.613
1883,5,-0.634,-0.395,-0.501,-0.643,-0.621
1883,6,1.2,-0.328,-0.528,-0.652,-0.632
1883,7,-0.294,-0.312,-0.494,-0.63,-0.624
1883,8,-0.877,-0.305,-0.509,-0.612,-0.633
1883,9,-0.9,-0.192,-0.521,-0.608,-0.648
1883,10,-0.129,-0.104,-0.529,-0.594,-0.661
1883,11,0.131,-0.25,-0.536,-0.6,-0.663
1883,12,-0.344,-0.502,-0.55,-0.581,-0.656
1884,1,-0.061,-0.618,-0.557,-0.57,-0.645
1884,2,-0.374,-0.336,-0.575,-0.567,-0.641
1884,3,1.54,-0.229,-0.596,-0.555,-0.638
1884,4,-0.508,-0.272,-0.627,-0.553,-0.638
1884,5,-2.382,-0.286,-0.642,-0.546,-0.632
1884,6,-1.824,-0.261,-0.653,-0.546,-0.64
1884,7,-1.682,-0.257,-0.661,-0.552,-0.64
1884,8,2.5,-0.266,-0.676,-0.566,-0.647
1884,9,0.387,-0.465,-0.67,-0.568,-0.652
1884,10,-0.649,-0.533,-0.673,-0.569,-0.652
1884,11,-0.03,-0.444,-0.688,-0.573,-0.648
1884,12,-0.045,-0.46,-0.653,-0.568,-0.649
1885,1,-0.011,-0.534,-0.636,-0.564,-0.651
1885,2,-0.485,-0.874,-0.611,-0.563,-0.65
1885,3,-0.849,-0.928,-0.614,-0.563,-0.644
1885,4,-1.326,-0.888,-0.648,-0.547,-0.642
1885,5,-1.315,-0.8,-0.651,-0.556,-0.643
1885,6,-2.015,-0.866,-0.643,-0.579,-0.626
1885,7,-2.566,-0.839,-0.633,-0.575,-0.62
1885,8,-1.577,-0.848,-0.621,-0.597,-0.617
1885,9,-0.263,-0.797,-0.626,-0.595,-0.618
1885,10,-0.169,-0.778,-0.595,-0.587,-0.62
1885,11,1.026,-0.788,-0.617,-0.584,-0.624
1885,12,-0.838,-0.757,-0.675,-0.592,-0.622
1886,1,0.312,-0.711,-0.649,-0.586,-0.626
1886,2,-0.595,-0.706,-0.618,-0.59,-0.629
1886,3,-0.236,-0.767,-0.599,-0.599,-0.634
1886,4,-1.099,-0.88,-0.591,-0.6,-0.636
1886,5,-1.43,-1.036,-0.606,-0.596,-0.634
1886,6,-1.652,-0.968,-0.596,-0.593,-0.637
1886,7,-2.008,-1.074,-0.602,-0.588,-0.636
1886,8,-1.517,-1.149,-0.607,-0.588,-0.621
1886,9,-1.0,-1.248,-0.624,-0.594,-0.617
1886,10,-1.52,-1.297,-0.624,-0.603,-0.609
