Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.856,,,,
1824,3,-0.368,,,,
1824,4,0.145,,,,
1824,5,-0.385,,,,
1824,6,-0.278,-0.563,,,
1824,7,-0.169,-0.557,,,
1824,8,-1.025,-0.534,,,
1824,9,-0.988,-0.521,,,
1824,10,-1.527,-0.479,,,
1824,11,-0.832,-0.459,,,
1824,12,-0.123,-0.431,,,
1825,1,-0.273,-0.461,,,
1825,2,-0.59,-0.44,,,
1825,3,-0.209,-0.468,,,
1825,4,0.65,-0.439,,,
1825,5,-0.143,-0.411,,,
1825,6,0.054,-0.451,,,
1825,7,-0.531,-0.459,,,
1825,8,-0.765,-0.538,,,
1825,9,-1.322,-0.616,,,
1825,10,-1.184,-0.697,,,
1825,11,-0.498,-0.674,,,
1825,12,-0.601,-0.705,,,
1826,1,-0.368,-0.678,,,
1826,2,-1.544,-0.698,,,
1826,3,-1.138,-0.7,,,
1826,4,-0.318,-0.692,,,
1826,5,0.133,-0.644,,,
1826,6,-0.32,-0.551,,,
1826,7,-0.206,-0.496,,,
1826,8,-1.013,-0.382,,,
1826,9,-1.34,-0.279,,,
1826,10,-1.085,-0.2,,,
1826,11,0.068,-0.204,,,
1826,12,0.518,,,,
1827,1,0.29,,,,
1827,2,-0.178,,,,
1827,3,0.106,,,,
1827,4,0.629,,,,
1827,5,0.079,,,,
1827,6,,,,,
1827,7,-0.051,,,,
1827,8,-0.787,,,,
1827,9,-1.178,,,,
1827,10,-1.109,,,,
1827,11,-0.161,,,,
1827,12,-0.64,-0.63,,,
1828,1,-1.64,-0.636,,,
1828,2,-1.572,-0.607,,,
1828,3,-0.39,-0.657,,,
1828,4,0.014,,,,
1828,5,-0.093,,,,
1828,6,0.043,,,,
1828,7,-0.122,,,,
1828,8,-0.431,,,,
1828,9,-1.787,,,,
1828,10,,,,,
1828,11,-0.389,,,,
1828,12,-1.189,,,,
1829,1,-1.008,,,,
1829,2,-1.322,,,,
1829,3,-0.448,,,,
1829,4,-0.33,,,,
1829,5,-0.079,,,,
1829,6,-0.698,,,,
1829,7,-0.283,,,,
1829,8,-0.788,,,,
1829,9,-1.398,,,,
1829,10,,,,,
1829,11,-0.941,,,,
1829,12,-0.812,,,,
1830,1,,,,,
1830,2,,,,,
1830,3,,,,,
1830,4,,,,,
1830,5,,,,,
1830,6,,,,,
1830,7,,,,,
1830,8,,,,,
1830,9,,,,,
1830,10,,,,,
1830,11,,,,,
1830,12,,,,,
1831,1,,,,,
1831,2,,,,,
1831,3,,,,,
1831,4,,,,,
1831,5,,,,,
1831,6,,,,,
1831,7,,,,,
1831,8,,,,,
1831,9,,,,,
1831,10,,,,,
1831,11,,,,,
1831,12,,,,,
1832,1,,,,,
1832,2,,,,,
1832,3,,,,,
1832,4,,,,,
1832,5,,,,,
1832,6,,,,,
1832,7,,,,,
1832,8,,,,,
1832,9,,,,,
1832,10,,,,,
1832,11,,,,,
1832,12,,,,,
1833,1,,,,,
1833,2,,,,,
1833,3,,,,,
1833,4,,,,,
1833,5,,,,,
1833,6,,,,,
1833,7,,,,,
1833,8,,,,,
1833,9,,,,,
1833,10,,,,,
1833,11,,,,,
1833,12,,,,,
1834,1,,,,,
1834,2,,,,,
1834,3,,,,,
1834,4,,,,,
1834,5,,,,,
1834,6,,,,,
1834,7,,,,,
1834,8,,,,,
1834,9,,,,,
1834,10,,,,,
1834,11,,,,,
1834,12,,,,,
1835,1,,,,,
1835,2,,,,,
1835,3,,,,,
1835,4,,,,,
1835,5,,,,,
1835,6,,,,,
1835,7,,,,,
1835,8,,,,,
1835,9,,,,,
1835,10,,,,,
1835,11,,,,,
1835,12,,,,,
1836,1,,,,,
1836,2,,,,,
1836,3,,,,,
1836,4,,,,,
1836,5,,,,,
1836,6,,,,,
1836,7,,,,,
1836,8,,,,,
1836,9,,,,,
1836,10,,,,,
1836,11,,,,,
1836,12,,,,,
1837,1,,,,,
1837,2,,,,,
1837,3,,,,,
1837,4,,,,,
1837,5,,,,,
1837,6,,,,,
1837,7,,,,,
1837,8,,,,,
1837,9,,,,,
1837,10,,,,,
1837,11,,,,,
1837,12,,,,,
1838,1,,,,,
1838,2,,,,,
1838,3,,,,,
1838,4,,,,,
1838,5,,,,,
1838,6,,,,,
1838,7,,,,,
1838,8,,,,,
1838,9,,,,,
1838,10,,,,,
1838,11,,,,,
1838,12,,,,,
1839,1,,,,,
1839,2,,,,,
1839,3,,,,,
1839,4,,,,,
1839,5,,,,,
1839,6,,,,,
1839,7,,,,,
1839,8,,,,,
1839,9,,,,,
1839,10,,,,,
1839,11,,,,,
1839,12,,,,,
1840,1,,,,,
1840,2,,,,,
1840,3,,,,,
1840,4,,,,,
1840,5,,,,,
1840,6,,,,,
1840,7,,,,,
1840,8,,,,,
1840,9,,,,,
1840,10,,,,,
1840,11,,,,,
1840,12,,,,,
1841,1,,,,,
1841,2,,,,,
1841,3,,,,,
1841,4,,,,,
1841,5,,,,,
1841,6,,,,,
1841,7,,,,,
1841,8,,,,,
1841,9,,,,,
1841,10,,,,,
1841,11,,,,,
1841,12,,,,,
1842,1,,,,,
1842,2,,,,,
1842,3,,,,,
1842,4,,,,,
1842,5,,,,,
1842,6,,,,,
1842,7,,,,,
1842,8,,,,,
1842,9,,,,,
1842,10,,,,,
1842,11,,,,,
1842,12,,,,,
1843,1,,,,,
1843,2,,,,,
1843,3,,,,,
1843,4,,,,,
1843,5,,,,,
1843,6,,,,,
1843,7,,,,,
1843,8,,,,,
1843,9,,,,,
1843,10,,,,,
1843,11,,,,,
1843,12,,,,,
1844,1,,,,,
1844,2,,,,,
1844,3,,,,,
1844,4,,,,,
1844,5,,,,,
1844,6,,,,,
1844,7,,,,,
1844,8,,,,,
1844,9,,,,,
1844,10,,,,,
1844,11,,,,,
1844,12,,,,,
1845,1,,,,,
1845,2,,,,,
1845,3,,,,,
1845,4,,,,,
1845,5,,,,,
1845,6,,,,,
1845,7,,,,,
1845,8,,,,,
1845,9,,,,,
1845,10,,,,,
1845,11,,,,,
1845,12,,,,,
1846,1,0.452,,,,
1846,2,0.079,,,,
1846,3,0.441,,,,
1846,4,-0.771,,,,
1846,5,-0.231,,,,
1846,6,0.108,-0.274,,,
1846,7,0.228,-0.317,,,
1846,8,-0.163,-0.361,,,
1846,9,-0.539,-0.505,,,
1846,10,-1.219,-0.501,,,
