Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1840,2,-0.661,,,,
1840,3,-1.135,,,,
1840,4,-0.998,,,,
1840,5,-0.455,-0.768,,,
1840,6,-0.414,-0.728,,,
1840,7,0.054,-0.795,,,
1840,8,-0.652,-0.783,,,
1840,9,-0.642,-0.797,,,
1840,10,,-0.783,,,
1840,11,-1.154,-0.791,,,
1840,12,-1.448,-0.772,,,
1841,1,-0.708,-0.754,,,
1841,2,-0.511,-0.672,,,
1841,3,-1.299,-0.673,,,
1841,4,-0.831,-0.559,,,
1841,5,-0.558,-0.52,,,
1841,6,-0.176,-0.422,,,
1841,7,0.263,-0.369,,,
1841,8,0.333,-0.3,,,
1841,9,-0.649,-0.211,-0.614,,
1841,10,0.027,-0.189,-0.62,,
1841,11,-0.685,-0.212,-0.62,,
1841,12,-0.264,-0.245,-0.623,,
1842,1,-0.076,-0.342,-0.637,,
1842,2,0.319,-0.417,-0.657,,
1842,3,-0.231,-0.435,-0.661,,
1842,4,-0.57,-0.534,-0.663,,
1842,5,-0.84,-0.585,-0.662,,
1842,6,-0.57,-0.573,-0.654,,
1842,7,-0.897,-0.539,-0.67,,
1842,8,-0.569,-0.543,-0.674,,
1842,9,-0.871,-0.598,-0.675,,
1842,10,-1.157,-0.608,-0.687,,
1842,11,-1.297,-0.615,-0.699,,
1842,12,-0.115,-0.589,-0.703,,
1843,1,0.33,-0.558,-0.708,,
1843,2,0.276,-0.545,-0.713,,
1843,3,-0.903,-0.537,-0.715,,
1843,4,-0.685,-0.503,-0.724,,
1843,5,-0.917,-0.471,-0.734,,
1843,6,-0.269,-0.506,-0.74,,
1843,7,-0.516,-0.616,-0.723,,
1843,8,-0.415,-0.719,-0.722,,
1843,9,-0.776,-0.665,-0.7,,
1843,10,-0.75,-0.689,-0.7,,
1843,11,-0.91,-0.697,-0.702,,
1843,12,-0.53,-0.729,-0.703,,
1844,1,-1.0,-0.757,-0.709,,
1844,2,-0.954,-0.817,-0.718,,
1844,3,-0.251,-0.862,-0.72,,
1844,4,-0.981,-0.883,-0.739,,
1844,5,-1.014,-0.968,-0.755,,
1844,6,-0.653,-1.043,-0.761,,
1844,7,-0.854,-1.032,-0.769,,
1844,8,-1.133,-1.026,-0.784,,
1844,9,-1.31,-1.105,-0.803,,
1844,10,-1.001,-1.166,-0.811,,
1844,11,-1.939,-1.178,-0.82,,
1844,12,-1.426,-1.182,-0.823,,
1845,1,-0.87,-1.131,-0.813,,
1845,2,-0.875,-1.113,-0.817,,
1845,3,-1.206,,-0.817,,
1845,4,-1.713,,-0.821,,
1845,5,-1.152,,-0.814,,
1845,6,-0.705,,-0.837,,
1845,7,,,-0.876,,
1845,8,-0.918,,-0.878,,
1845,9,,,-0.878,,
1845,10,-1.897,-0.846,-0.883,,
1845,11,-1.741,-0.809,-0.882,,
1845,12,-1.827,-0.769,-0.885,,
1846,1,0.316,-0.757,-0.879,,
1846,2,-0.423,-0.698,-0.886,,
1846,3,-0.012,-0.698,-0.891,,
1846,4,-0.802,-0.635,-0.893,,
1846,5,-0.702,-0.625,-0.9,,
1846,6,-0.236,-0.526,,,
1846,7,-0.094,-0.6,,,
1846,8,-0.218,-0.613,,,
1846,9,-0.737,-0.725,,,
1846,10,-1.148,-0.748,,,
1846,11,-1.618,-0.8,,,
1846,12,-0.635,-0.843,,,
1847,1,-0.569,-0.86,,,
1847,2,-0.584,-0.913,,,
1847,3,-1.358,-0.924,,,
1847,4,-1.075,-0.941,,,
1847,5,-1.329,-0.882,,,
1847,6,-0.752,-0.953,,,
1847,7,-0.293,-1.072,,,
1847,8,-0.859,-1.012,,,
1847,9,-0.862,-0.975,,,
1847,10,-1.362,,,,
1847,11,-0.901,,,,
1847,12,-1.492,,,,
1848,1,,,,,
1848,2,,,,,
1848,3,,,,,
1848,4,,,,,
1848,5,,,,,
1848,6,,,,,
1848,7,,,,,
1848,8,,,,,
1848,9,,,,,
1848,10,,,,,
1848,11,,,,,
1848,12,,,,,
1849,1,,,,,
1849,2,,,,,
1849,3,,,,,
1849,4,,,,,
1849,5,,,,,
1849,6,,,,,
1849,7,,,,,
1849,8,,,,,
1849,9,,,,,
1849,10,,,,,
1849,11,,,,,
1849,12,,,,,
1850,1,,,,,
1850,2,,,,,
1850,3,,,,,
1850,4,,,,,
1850,5,,,,,
1850,6,,,,,
1850,7,,,,,
1850,8,,,,,
1850,9,,,,,
1850,10,,,,,
1850,11,,,,,
1850,12,,,,,
1851,1,,,,,
1851,2,,,,,
1851,3,,,,,
1851,4,,,,,
1851,5,,,,,
1851,6,,,,,
1851,7,,,,,
1851,8,,,,,
1851,9,,,,,
1851,10,,,,,
1851,11,,,,,
1851,12,,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,-1.473,,,,
1853,2,-1.265,,,,
1853,3,-0.038,-0.356,,,
1853,4,0.206,-0.359,,,
1853,5,0.224,-0.262,,,
1853,6,0.198,-0.28,,,
1853,7,0.218,-0.158,,,
1853,8,0.302,-0.138,,,
1853,9,-0.102,-0.145,,,
1853,10,-0.472,-0.249,,,
1853,11,-0.383,-0.259,,,
1853,12,-0.774,-0.263,,,
1854,1,-0.015,-0.205,,,
1854,2,-1.018,-0.217,,,
1854,3,-0.13,-0.269,-0.516,,
1854,4,-1.041,-0.276,-0.534,,
1854,5,0.106,-0.3,-0.542,,
1854,6,0.146,-0.252,-0.554,,
1854,7,0.919,-0.27,-0.561,,
1854,8,0.164,-0.2,-0.558,,
1854,9,-0.726,-0.247,-0.537,,
1854,10,-0.556,-0.159,-0.541,,
1854,11,-0.681,-0.169,-0.556,,
1854,12,-0.198,-0.234,-0.571,,
1855,1,-0.22,-0.356,-0.577,,
1855,2,-0.181,-0.388,-0.586,,
1855,3,-0.692,-0.404,-0.592,,
1855,4,0.004,-0.502,-0.607,,
1855,5,-0.007,-0.539,-0.597,,
1855,6,-0.638,-0.622,-0.59,,
1855,7,-0.54,-0.658,-0.567,,
1855,8,-0.223,-0.743,-0.561,,
1855,9,-0.916,-0.765,-0.574,,
1855,10,-1.732,-0.846,-0.585,,
1855,11,-1.129,-0.917,-0.605,,
1855,12,-1.197,-0.863,-0.609,,
1856,1,-0.649,-0.888,-0.62,,
1856,2,-1.198,-0.942,-0.633,,
1856,3,-0.955,-0.923,-0.638,,
1856,4,-0.963,-0.898,-0.632,,
1856,5,-0.86,-0.946,-0.637,,
1856,6,0.005,-0.944,-0.635,-0.588,
1856,7,-0.839,-0.96,-0.648,-0.594,
1856,8,-0.869,-0.896,-0.637,-0.592,
1856,9,-0.686,-0.865,-0.659,-0.594,
1856,10,-1.431,,-0.646,-0.596,
1856,11,-1.713,,-0.645,-0.584,
1856,12,-1.172,,-0.642,-0.586,
1857,1,,,-0.661,-0.601,
1857,2,,,-0.666,-0.61,
1857,3,,,-0.663,-0.61,
1857,4,,,-0.654,-0.612,
1857,5,,,-0.654,-0.614,
1857,6,,,-0.67,-0.616,
1857,7,,,-0.672,-0.619,
1857,8,,,-0.672,-0.62,
1857,9,,,-0.675,-0.623,
1857,10,,,-0.693,-0.628,
1857,11,,,-0.711,-0.628,
1857,12,,,-0.706,-0.642,
1858,1,-0.078,,-0.705,-0.631,
1858,2,-0.914,,-0.699,-0.621,
1858,3,-0.854,-0.585,-0.695,-0.629,
