Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1824,2,-0.796,,,,
1824,3,-0.177,-0.632,,,
1824,4,0.23,-0.594,,,
1824,5,-0.169,-0.502,,,
1824,6,-0.276,-0.412,,,
1824,7,-0.079,-0.404,,,
1824,8,-1.004,-0.347,,,
1824,9,-0.923,-0.334,,,
1824,10,-1.228,-0.327,,,
1824,11,-0.303,-0.315,,,
1824,12,-0.159,-0.302,,,
1825,1,0.032,-0.315,,,
1825,2,-0.104,-0.296,,,
1825,3,-0.025,-0.304,,,
1825,4,0.309,-0.294,-0.517,,
1825,5,-0.017,-0.294,-0.499,,
1825,6,-0.12,-0.323,-0.465,,
1825,7,-0.239,-0.362,-0.468,,
1825,8,-0.775,-0.417,-0.459,,
1825,9,-1.018,-0.487,-0.454,,
1825,10,-1.109,-0.528,-0.441,,
1825,11,-0.298,-0.529,-0.429,,
1825,12,-0.515,-0.564,-0.426,,
1826,1,-0.436,-0.558,-0.424,,
1826,2,-0.756,-0.566,-0.408,,
1826,3,-0.875,-0.544,-0.401,,
1826,4,-0.183,-0.523,-0.383,,
1826,5,-0.024,-0.521,-0.361,,
1826,6,-0.545,-0.427,-0.346,,
1826,7,-0.161,-0.397,-0.362,,
1826,8,-0.873,-0.328,-0.365,,
1826,9,-0.752,-0.241,-0.372,,
1826,10,-0.861,-0.185,-0.379,,
1826,11,-0.266,-0.158,-0.379,,
1826,12,0.611,-0.128,-0.385,,
1827,1,-0.08,-0.101,-0.385,,
1827,2,0.07,-0.085,-0.375,,
1827,3,0.167,-0.109,-0.372,,
1827,4,0.49,-0.11,-0.364,,
1827,5,0.309,-0.102,-0.368,,
1827,6,,-0.183,-0.379,,
1827,7,0.159,-0.241,-0.362,,
1827,8,-0.679,-0.308,-0.344,,
1827,9,-1.04,-0.35,-0.358,,
1827,10,-0.881,-0.408,-0.364,,
1827,11,-0.161,-0.441,-0.379,,
1827,12,-0.368,-0.434,-0.384,,
1828,1,-0.767,-0.457,-0.373,,
1828,2,-0.738,-0.414,-0.368,,
1828,3,-0.341,-0.418,-0.375,,
1828,4,-0.203,-0.392,-0.375,,
1828,5,-0.09,-0.387,-0.347,,
1828,6,-0.1,-0.386,-0.321,,
1828,7,-0.114,-0.405,,,
1828,8,-0.165,-0.423,,,
1828,9,-1.085,-0.445,,,
1828,10,,-0.444,,,
1828,11,-0.098,-0.452,,,
1828,12,-0.35,-0.498,,,
1829,1,-0.996,-0.496,,,
1829,2,-0.964,-0.512,,,
1829,3,-0.598,-0.486,,,
1829,4,-0.191,-0.499,,,
1829,5,-0.193,-0.538,,,
1829,6,-0.652,-0.578,,,
1829,7,-0.085,-0.407,,,
