Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1849,4,-0.455,,,,
1849,5,-0.769,,,,
1849,6,-0.681,-0.608,,,
1849,7,-0.171,-0.688,,,
1849,8,-0.612,-0.663,,,
1849,9,-1.346,-0.643,,,
1849,10,-0.398,-0.581,,,
1849,11,-0.584,-0.578,,,
1849,12,,-0.515,,,
1850,1,-1.68,-0.537,,,
1850,2,-0.141,-0.505,,,
1850,3,0.083,-0.439,,,
1850,4,0.29,-0.441,,,
1850,5,-0.73,-0.499,,,
1850,6,0.075,-0.458,,,
1850,7,-0.445,-0.386,,,
1850,8,-0.221,-0.445,,,
1850,9,-0.555,-0.506,,,
1850,10,-0.423,-0.516,,,
1850,11,-1.282,-0.464,,,
1850,12,-0.464,-0.465,,,
1851,1,-0.816,-0.44,,,
1851,2,-0.858,-0.416,,,
1851,3,-0.644,-0.364,,,
1851,4,0.166,-0.292,,,
1851,5,-0.103,-0.265,,,
1851,6,0.07,-0.124,,,
1851,7,-0.155,-0.07,,,
1851,8,0.069,,,,
1851,9,0.074,,,,
1851,10,0.438,,,,
1851,11,-0.953,,,,
1851,12,1.222,,,,
1852,1,,,,,
1852,2,,,,,
1852,3,,,,,
1852,4,,,,,
1852,5,,,,,
1852,6,,,,,
1852,7,,,,,
1852,8,,,,,
1852,9,,,,,
1852,10,,,,,
1852,11,,,,,
1852,12,,,,,
1853,1,,,,,
1853,2,,,,,
1853,3,,,,,
1853,4,,,,,
1853,5,,,,,
1853,6,,,,,
1853,7,,,,,
1853,8,,,,,
1853,9,,,,,
1853,10,,,,,
1853,11,,,,,
1853,12,,,,,
1854,1,,,,,
1854,2,,,,,
1854,3,,,,,
1854,4,,,,,
1854,5,,,,,
1854,6,,,,,
1854,7,,,,,
1854,8,,,,,
1854,9,,,,,
1854,10,,,,,
1854,11,,,,,
1854,12,,,,,
1855,1,,,,,
1855,2,,,,,
1855,3,,,,,
1855,4,,,,,
1855,5,,,,,
1855,6,,,,,
1855,7,,,,,
1855,8,,,,,
1855,9,,,,,
