Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1880,9,0.206,,,,
1880,10,-0.149,0.067,,,
1880,11,-0.369,0.104,,,
1880,12,0.258,0.105,,,
1881,1,-0.097,0.142,,,
1881,2,0.303,0.2,,,
1881,3,0.522,0.202,,,
1881,4,0.676,0.262,,,
1881,5,0.482,0.29,,,
1881,6,-0.382,0.265,,,
1881,7,0.497,0.302,,,
1881,8,,0.276,,,
1881,9,0.221,0.195,,,
1881,10,0.574,0.143,,,
1881,11,-0.036,0.101,-0.246,,
1881,12,-0.042,0.082,-0.262,,
1882,1,0.353,-0.054,-0.266,,
1882,2,-0.006,-0.125,-0.261,,
1882,3,-0.457,-0.139,-0.238,,
1882,4,0.055,-0.21,-0.247,,
1882,5,-0.025,-0.308,-0.252,,
1882,6,-0.608,-0.339,-0.243,,
1882,7,-1.142,-0.368,-0.237,,
1882,8,-0.387,-0.4,-0.218,,
1882,9,0.057,-0.358,-0.219,,
1882,10,-0.288,-0.375,-0.211,,
1882,11,-1.21,-0.397,-0.214,,
1882,12,-0.414,-0.357,-0.216,,
1883,1,0.013,-0.406,-0.216,,
1883,2,-0.395,-0.414,-0.213,,
1883,3,0.042,-0.447,-0.23,,
1883,4,-0.149,-0.404,-0.235,,
1883,5,-0.282,-0.392,-0.233,,
1883,6,-0.124,-0.399,-0.235,,
1883,7,-1.735,-0.448,-0.242,-0.261,
1883,8,-0.48,-0.479,-0.256,-0.266,
1883,9,-0.346,-0.525,-0.269,-0.266,
1883,10,0.226,-0.545,-0.275,-0.268,
1883,11,-1.064,-0.598,-0.287,-0.273,
1883,12,-0.491,-0.657,-0.279,-0.265,
1884,1,-0.583,-0.523,-0.273,-0.262,
1884,2,-0.764,-0.473,-0.282,-0.255,
1884,3,-0.514,-0.409,-0.294,-0.246,
1884,4,-0.381,-0.483,-0.3,-0.246,
1884,5,-0.915,-0.493,-0.312,-0.244,
1884,6,-0.832,-0.452,-0.327,-0.247,
1884,7,-0.137,-0.424,-0.346,-0.249,
1884,8,0.12,-0.373,-0.351,-0.252,
1884,9,0.425,-0.39,-0.356,-0.243,
1884,10,-0.66,-0.345,-0.359,-0.245,
1884,11,-1.184,-0.28,-0.371,-0.247,
1884,12,-0.0,-0.256,-0.371,-0.244,
1885,1,-0.246,-0.24,-0.361,-0.238,
1885,2,-0.153,-0.253,-0.376,-0.228,
1885,3,-0.718,,-0.385,-0.227,
1885,4,0.166,,-0.392,-0.225,
1885,5,-0.135,,-0.377,-0.235,
1885,6,,,-0.38,-0.239,
1885,7,,,-0.386,-0.25,
1885,8,,,-0.384,-0.262,
1885,9,,,-0.391,-0.269,
1885,10,,,-0.384,-0.269,
1885,11,-0.247,,-0.384,-0.268,
1885,12,0.111,,-0.389,-0.269,
1886,1,-0.485,-0.143,-0.354,-0.269,-0.208
1886,2,-0.566,-0.146,-0.34,-0.269,-0.206
1886,3,-0.215,-0.118,-0.332,-0.278,-0.206
1886,4,0.315,-0.061,-0.34,-0.284,-0.206
1886,5,-0.281,-0.103,-0.327,-0.292,-0.208
1886,6,0.108,-0.191,-0.31,-0.297,-0.206
1886,7,0.847,-0.216,-0.297,-0.306,-0.203
1886,8,-0.072,-0.196,-0.279,-0.313,-0.206
1886,9,-0.482,-0.241,-0.267,-0.31,-0.203
1886,10,0.228,-0.277,-0.262,-0.312,-0.204
1886,11,-0.745,-0.318,-0.242,-0.312,-0.203
1886,12,-0.945,-0.375,-0.232,-0.308,-0.201
1887,1,-0.789,-0.493,-0.232,-0.317,-0.202
1887,2,-0.318,-0.592,-0.242,-0.318,-0.203
1887,3,-0.762,-0.594,-0.249,-0.319,-0.208
1887,4,-0.11,-0.67,-0.242,-0.314,-0.21
1887,5,-0.775,-0.635,-0.242,-0.311,-0.215
