Year,Month,Monthly Anomaly,Annual Anomaly,Five-year Anomaly,Ten-year Anomaly,Twenty-year Anomaly
1889,5,0.485,,,,
1889,6,0.488,,,,
1889,7,0.518,,,,
1889,8,0.07,,,,
1889,9,,,,,
1889,10,,,,,
1889,11,,,,,
1889,12,,,,,
1890,1,,,,,
1890,2,,,,,
1890,3,,,,,
1890,4,-0.975,,,,
1890,5,,,,,
1890,6,,,,,
1890,7,-0.733,,,,
1890,8,-0.401,,,,
1890,9,,,,,
1890,10,,,,,
1890,11,,,,,
1890,12,,,,,
1891,1,,,,,
1891,2,,,,,
1891,3,,,,,
1891,4,-0.304,,,,
1891,5,-0.6,,,,
1891,6,-0.538,,,,
1891,7,0.168,,,,
1891,8,-0.478,,,,
1891,9,,,,,
1891,10,,,,,
1891,11,,,,,
1891,12,,,,,
1892,1,-0.91,,,,
1892,2,-0.831,,,,
1892,3,-0.414,-0.488,,,
1892,4,-0.908,-0.438,,,
1892,5,-0.244,-0.401,,,
1892,6,0.013,-0.4,,,
1892,7,-0.312,-0.445,-0.519,,
1892,8,-0.665,-0.477,-0.521,,
1892,9,0.299,-0.488,-0.508,,
1892,10,-0.169,-0.431,-0.5,,
1892,11,-0.151,-0.458,-0.482,,
1892,12,-0.51,-0.475,-0.48,,
1893,1,-1.455,-0.459,-0.463,,
1893,2,-1.203,-0.402,-0.452,,
1893,3,-0.546,-0.45,-0.46,,
1893,4,-0.231,-0.482,-0.445,,
1893,5,-0.565,-0.47,-0.42,-0.321,
1893,6,-0.188,-0.449,-0.404,-0.32,
1893,7,-0.122,-0.419,-0.386,-0.324,
1893,8,0.013,-0.334,-0.372,-0.338,
1893,9,-0.268,-0.308,-0.356,-0.34,
1893,10,-0.562,-0.387,-0.357,-0.342,
1893,11,-0.007,-0.34,-0.353,-0.341,
1893,12,-0.248,-0.333,-0.339,-0.339,
1894,1,-1.106,-0.333,-0.339,-0.333,
1894,2,-0.181,-0.327,-0.323,-0.346,
1894,3,-0.233,-0.33,-0.311,-0.35,
1894,4,-1.178,-0.284,-0.296,-0.353,
1894,5,0.003,-0.267,-0.295,-0.364,
1894,6,-0.113,-0.313,-0.284,-0.372,
1894,7,-0.117,-0.302,-0.286,-0.371,
1894,8,0.086,-0.359,-0.283,-0.37,
1894,9,-0.305,-0.358,-0.282,-0.367,
1894,10,-0.013,-0.297,-0.28,-0.364,
1894,11,0.206,-0.292,-0.283,-0.363,
1894,12,-0.8,-0.311,-0.288,-0.367,
1895,1,-0.977,-0.276,-0.274,-0.359,
1895,2,-0.873,-0.259,-0.261,-0.352,
1895,3,-0.209,-0.284,-0.262,-0.34,
1895,4,-0.454,-0.296,-0.241,-0.331,
1895,5,0.065,-0.264,-0.222,-0.321,
1895,6,-0.339,-0.22,-0.23,-0.318,
1895,7,0.296,-0.165,-0.21,-0.311,
1895,8,0.294,-0.128,-0.21,-0.303,
1895,9,-0.606,-0.109,-0.206,-0.301,
1895,10,-0.157,-0.104,-0.209,-0.284,
1895,11,0.594,-0.137,-0.201,-0.273,-0.316
1895,12,-0.274,-0.085,-0.204,-0.263,-0.317
1896,1,-0.321,-0.096,-0.215,-0.253,-0.311
1896,2,-0.424,-0.077,-0.247,-0.244,-0.314
1896,3,0.021,-0.005,-0.253,-0.232,-0.316
1896,4,-0.401,0.021,-0.249,-0.232,-0.318
1896,5,-0.331,-0.073,-0.247,-0.229,-0.321
1896,6,0.29,-0.04,-0.241,-0.229,-0.325
1896,7,0.161,-0.097,-0.222,-0.233,-0.327
1896,8,0.531,-0.115,-0.234,-0.229,-0.328
1896,9,0.249,-0.15,-0.237,-0.23,-0.33
1896,10,0.162,-0.181,-0.222,-0.23,-0.332
1896,11,-0.535,-0.186,-0.236,-0.226,-0.331
1896,12,0.117,-0.235,-0.242,-0.223,-0.329
1897,1,-1.007,-0.205,-0.229,-0.216,-0.324
1897,2,-0.637,-0.242,-0.228,-0.212,-0.324
1897,3,-0.392,-0.24,-0.217,-0.212,-0.322
1897,4,-0.781,-0.164,-0.216,-0.202,-0.325
1897,5,-0.394,-0.037,-0.223,-0.201,-0.326
1897,6,-0.294,-0.13,-0.219,-0.198,-0.327
1897,7,0.525,-0.066,-0.2,-0.189,-0.332
1897,8,0.087,-0.111,-0.182,-0.179,-0.335
1897,9,0.264,-0.106,-0.172,-0.179,-0.337
1897,10,1.082,-0.074,-0.163,-0.189,-0.339
1897,11,0.988,-0.049,-0.159,-0.189,-0.341
1897,12,-1.001,-0.053,-0.156,-0.187,-0.339
1898,1,-0.242,-0.163,-0.159,-0.176,-0.336
1898,2,-1.177,-0.332,-0.154,-0.163,-0.335
1898,3,-0.334,-0.405,-0.143,-0.157,-0.336
1898,4,-0.388,-0.524,-0.123,-0.154,-0.336
1898,5,-0.097,-0.596,-0.126,-0.146,-0.336
1898,6,-0.349,-0.504,-0.123,-0.144,-0.334
1898,7,-0.795,-0.477,-0.12,-0.142,-0.333
1898,8,-1.938,-0.455,-0.116,-0.138,-0.331
1898,9,-0.604,-0.464,-0.109,-0.148,-0.328
1898,10,-0.349,-0.455,-0.106,-0.146,-0.327
1898,11,0.12,-0.516,-0.105,-0.145,-0.328
1898,12,0.105,-0.524,-0.118,-0.151,-0.329
1899,1,0.079,-0.403,-0.127,-0.151,-0.33
1899,2,-0.908,-0.228,-0.136,-0.161,-0.335
1899,3,-0.442,-0.153,-0.148,-0.171,-0.337
1899,4,-0.283,-0.117,-0.165,-0.169,-0.342
1899,5,-0.833,-0.145,-0.157,-0.173,-0.345
1899,6,-0.436,-0.203,-0.161,-0.171,-0.348
1899,7,0.65,-0.192,-0.147,-0.175,-0.35
1899,8,0.163,-0.1,-0.141,-0.179,-0.349
1899,9,0.299,-0.033,-0.142,-0.189,-0.351
1899,10,0.085,-0.001,-0.123,-0.198,-0.351
1899,11,-0.214,0.092,-0.119,-0.201,-0.349
1899,12,-0.596,0.119,-0.108,-0.208,-0.348
1900,1,0.209,0.071,-0.104,-0.206,-0.347
1900,2,0.203,0.11,-0.097,-0.203,-0.345
1900,3,0.364,0.091,-0.096,-0.211,-0.343
1900,4,0.096,0.166,-0.137,-0.212,-0.343
1900,5,0.282,0.22,-0.157,-0.217,-0.344
1900,6,-0.116,0.265,-0.143,-0.209,-0.344
1900,7,0.076,0.232,-0.141,-0.219,-0.342
1900,8,0.633,0.2,-0.117,-0.221,-0.34
1900,9,0.066,0.207,-0.108,-0.214,-0.342
1900,10,0.992,0.181,-0.098,-0.209,-0.344
1900,11,0.427,0.134,-0.091,-0.215,-0.346
1900,12,-0.056,0.102,-0.085,-0.215,-0.343
1901,1,-0.186,0.065,-0.07,-0.21,-0.343
1901,2,-0.177,0.012,-0.028,-0.218,-0.342
1901,3,0.451,-0.032,-0.043,-0.227,-0.343
1901,4,-0.223,-0.186,-0.042,-0.232,-0.348
1901,5,-0.275,-0.229,-0.042,-0.234,-0.35
1901,6,-0.508,-0.231,-0.061,-0.241,-0.352
1901,7,-0.359,-0.23,-0.081,-0.246,-0.358
1901,8,-0.011,-0.239,-0.088,-0.255,-0.359
1901,9,-0.462,-0.312,-0.106,-0.261,-0.363
1901,10,-0.851,-0.268,-0.115,-0.271,-0.36
1901,11,-0.092,-0.256,-0.11,-0.272,-0.356
1901,12,-0.083,-0.183,-0.1,-0.273,-0.349
1902,1,-0.168,-0.092,-0.12,-0.265,-0.344
1902,2,-0.288,-0.044,-0.13,-0.267,-0.341
1902,3,-0.43,0.022,-0.161,-0.268,-0.342
1902,4,0.307,-0.024,-0.18,-0.271,-0.337
1902,5,-0.128,-0.034,-0.178,-0.275,-0.333
